sample_name	contig	virus	splice_type	virus_brkend_grp	tumor_or_normal	total_rpm	Gene_ID	project	cohort
CESC-C5-A8XH^CESC^tumor	HPV16~2708~-~chr17~78827244~+	HPV16	GT-AG	HPV16:2708	tumor	0.78144995681893	USP36^ENSG00000055483.18	CESC	TCGA
CESC-C5-A8XH^CESC^tumor	chr17~78829008~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.649000811595382	USP36^ENSG00000055483.18	CESC	TCGA
CESC-C5-A8XH^CESC^tumor	chr17~78827348~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.185428803312966	USP36^ENSG00000055483.18	CESC	TCGA
LIHC-BC-A10W^LIHC^tumor	NC_003977_3182nt_Hepatitis_B_virus~2450~+~chr13~95577230~+	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:2450	tumor	0.965294161232929	CLDN10^ENSG00000134873.8	LIHC	TCGA
LIHC-BC-A10W^LIHC^tumor	chr1~210804167~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:461	tumor	0.296023542778098	KCNH1^ENSG00000143473.10	LIHC	TCGA
HNSC-KU-A6H7^HNSC^tumor	chr1~15740223~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	26.4025982931378	RP11-169K16.4^ENSG00000224459.1	HNSC	TCGA
CESC-VS-A9U5^CESC^tumor	chr12~123298172~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	10.5092799999115	SBNO1^ENSG00000139697.10	CESC	TCGA
CESC-VS-A9U5^CESC^tumor	HPV16~3595~+~chr12~123267184~+	HPV16	GT-AG	HPV16:3595	tumor	0.232892631576986	CDK2AP1^ENSG00000111328.5	CESC	TCGA
CESC-VS-A8Q9^CESC^tumor	HPV51~178~+~chr19~12807007~+	HPV51	GT-AG	HPV51:178	tumor	0.142278271289283	RNASEH2A^ENSG00000104889.4	CESC	TCGA
CESC-MU-A5YI^CESC^tumor	chr6~26115136~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	7.08547168067753	HIST1H2BC^ENSG00000180596.7	CESC	TCGA
CESC-IR-A3LC^CESC^tumor	HPV16~881~+~chr22~45842990~+	HPV16	GT-AG	HPV16:881	tumor	36.6451016289551	ATXN10^ENSG00000130638.14	CESC	TCGA
CESC-IR-A3LC^CESC^tumor	HPV16~227~+~chr22~45842990~+	HPV16	GT-AG	HPV16:227	tumor	2.87817188253501	ATXN10^ENSG00000130638.14	CESC	TCGA
CESC-DS-A0VM^CESC^tumor	HPV16~3357~-~chr9~5968018~+	HPV16	GT-AG	HPV16:3357	tumor	0.218124736354709	KIAA2026^ENSG00000183354.10	CESC	TCGA
CESC-DS-A0VM^CESC^tumor	chr17~39700312~+~HPV16~408~+	HPV16	GT-AG	HPV16:408	tumor	0.0830951376589366	ERBB2^ENSG00000141736.12	CESC	TCGA
HNSC-CN-A49C^HNSC^tumor	HPV16~881~+~chr17~39706989~+	HPV16	GT-AG	HPV16:881	tumor	5.42154432275648	ERBB2^ENSG00000141736.12	HNSC	TCGA
HNSC-CN-A49C^HNSC^tumor	HPV16~881~+~chr4~65693108~+	HPV16	GT-AG	HPV16:881	tumor	1.43308337193882	EPHA5-AS1^ENSG00000250846.5	HNSC	TCGA
HNSC-CN-A49C^HNSC^tumor	HPV16~227~+~chr17~39706989~+	HPV16	GT-AG	HPV16:227	tumor	0.759706847774794	ERBB2^ENSG00000141736.12	HNSC	TCGA
HNSC-HD-7754^HNSC^tumor	chr18~48041124~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	7.28766857071468	ZBTB7C^ENSG00000184828.8	HNSC	TCGA
HNSC-HD-7754^HNSC^tumor	HPV16~3357~-~chr17~81869541~+	HPV16	GT-AG	HPV16:3357	tumor	2.80878892829628	ARHGDIA^ENSG00000141522.10	HNSC	TCGA
HNSC-HD-7754^HNSC^tumor	HPV16~2708~-~chr17~81869541~+	HPV16	GT-AG	HPV16:2708	tumor	0.422945050978977	ARHGDIA^ENSG00000141522.10	HNSC	TCGA
HNSC-HD-7754^HNSC^tumor	HPV16~578~+~chr17~81869541~+	HPV16	GT-AG	HPV16:578	tumor	0.0542237244844842	ARHGDIA^ENSG00000141522.10	HNSC	TCGA
HNSC-HD-7754^HNSC^tumor	chr18~48041124~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.0433789795875874	ZBTB7C^ENSG00000184828.8	HNSC	TCGA
HNSC-MZ-A6I9^HNSC^tumor	chr14~37623004~+~HPV16~3357~+	HPV16	GT-AG	HPV16:3357	tumor	0.124593490376368	TTC6^ENSG00000139865.15	HNSC	TCGA
CESC-UC-A7PF^CESC^tumor	chr1~9850777~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	14.5638278155967	CTNNBIP1^ENSG00000178585.13	CESC	TCGA
CESC-UC-A7PF^CESC^tumor	chr8~127443721~+~HPV16~3597~-	HPV16	GT-AG	HPV16:3597	tumor	0.613398283448718	CASC8^ENSG00000246228.5	CESC	TCGA
CESC-UC-A7PF^CESC^tumor	chr1~9850777~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.560821287724542	CTNNBIP1^ENSG00000178585.13	CESC	TCGA
CESC-UC-A7PF^CESC^tumor	chr8~127420964~+~HPV16~3597~-	HPV16	GT-AG	HPV16:3597	tumor	0.490718626758974	CASC8^ENSG00000246228.5	CESC	TCGA
CESC-VS-A950^CESC^tumor	HPV35~884~+~chr1~151347631~+	HPV35	GT-AG	HPV35:884	tumor	129.804226040382	RP11-126K1.6^ENSG00000237976.1	CESC	TCGA
CESC-VS-A950^CESC^tumor	chr1~151347189~+~HPV35~414~+	HPV35	GT-AG	HPV35:414	tumor	0.334800765086708	RP11-126K1.6^ENSG00000237976.1	CESC	TCGA
CESC-EK-A3GM^CESC^tumor	chr1~171638723~+~HPV45~930~-	HPV45	GT-AG	HPV45:930	tumor	12.8194884076364	MYOC^ENSG00000034971.13	CESC	TCGA
CESC-EK-A3GM^CESC^tumor	chr1~171638723~+~HPV45~231~-	HPV45	GT-AG	HPV45:231	tumor	3.91139461892679	MYOC^ENSG00000034971.13	CESC	TCGA
CESC-EK-A3GM^CESC^tumor	chr1~171636710~+~HPV45~930~-	HPV45	GT-AG	HPV45:930	tumor	3.73946518512781	MYOC^ENSG00000034971.13	CESC	TCGA
CESC-FU-A23L^CESC^tumor	chr8~127290061~+~HPV45~930~-	HPV45	GT-AG	HPV45:930	tumor	35.3981735875922	CASC8^ENSG00000246228.5	CESC	TCGA
CESC-FU-A23L^CESC^tumor	chr8~127290061~+~HPV45~231~-	HPV45	GT-AG	HPV45:231	tumor	4.74804269011653	CASC8^ENSG00000246228.5	CESC	TCGA
CESC-ZJ-A8QQ^CESC^tumor	HPV68~839~+~chr14~68682936~+	HPV68	GT-AG	HPV68:839	tumor	5.34421618769652	RAD51B^ENSG00000182185.17	CESC	TCGA
CESC-Q1-A73Q^CESC^tumor	chr1~48761471~+~HPV33~3515~-	HPV33	GT-AG	HPV33:3515	tumor	6.61426176050052	BEND5^ENSG00000162373.11	CESC	TCGA
CESC-Q1-A73Q^CESC^tumor	chr1~48761471~+~HPV33~895~-	HPV33	GT-AG	HPV33:895	tumor	4.00162836510282	BEND5^ENSG00000162373.11	CESC	TCGA
CESC-Q1-A73Q^CESC^tumor	chr1~48759285~+~HPV33~895~-	HPV33	GT-AG	HPV33:895	tumor	3.158309990639	BEND5^ENSG00000162373.11	CESC	TCGA
CESC-Q1-A73Q^CESC^tumor	HPV33~508~-~chr1~48776605~+	HPV33	GT-AG	HPV33:508	tumor	0.396855705630031	BEND5^ENSG00000162373.11	CESC	TCGA
LIHC-G3-AAV1^LIHC^tumor	chr6~129642019~+~NC_003977_3182nt_Hepatitis_B_virus~461~-	HBV	GT-AG	NC_003977_3182nt_Hepatitis_B_virus:461	tumor	0.209777863074123	ARHGAP18^ENSG00000146376.9	LIHC	TCGA
CESC-EK-A2RO^CESC^tumor	chr17~1013165~+~HPV16~881~-	HPV16	GT-AG	HPV16:881	tumor	1.66654453590291	ABR^ENSG00000159842.13	CESC	TCGA
CESC-EK-A2RO^CESC^tumor	chr17~1013165~+~HPV16~227~-	HPV16	GT-AG	HPV16:227	tumor	0.247506614243006	ABR^ENSG00000159842.13	CESC	TCGA
CESC-EA-A3HQ^CESC^tumor	HPV16~881~+~chr15~45061066~+	HPV16	GT-AG	HPV16:881	tumor	0.209630476975597	SORD^ENSG00000140263.12	CESC	TCGA
CESC-EA-A3HQ^CESC^tumor	chr8~127794735~+~HPV16~408~+	HPV16	GT-AG	HPV16:408	tumor	0.154944265590658	PVT1_1^ENSG00000276443.1	CESC	TCGA
CESC-EA-A3HQ^CESC^tumor	chr8~127796009~+~HPV16~408~+	HPV16	GT-AG	HPV16:408	tumor	0.109372422769876	PVT1^ENSG00000249859.6	CESC	TCGA
HNSC-BB-7866^HNSC^tumor	HPV16~881~+~chr8~127855154~+	HPV16	GT-AG	HPV16:881	tumor	36.6515409894173	PVT1^ENSG00000249859.6	HNSC	TCGA
HNSC-BB-7866^HNSC^tumor	chr8~127855320~+~HPV16~5638~+	HPV16	GT-AG	HPV16:5638	tumor	2.5160538812325	PVT1^ENSG00000249859.6	HNSC	TCGA
HNSC-BB-7866^HNSC^tumor	HPV16~227~+~chr8~127855154~+	HPV16	GT-AG	HPV16:227	tumor	1.16597618886384	PVT1^ENSG00000249859.6	HNSC	TCGA
HNSC-BB-7866^HNSC^tumor	chr8~127855320~+~HPV16~408~+	HPV16	GT-AG	HPV16:408	tumor	0.981874685359024	PVT1^ENSG00000249859.6	HNSC	TCGA
HNSC-BB-7866^HNSC^tumor	chr8~127855320~+~HPV16~3357~+	HPV16	GT-AG	HPV16:3357	tumor	0.245468671339756	PVT1^ENSG00000249859.6	HNSC	TCGA
HNSC-BB-7866^HNSC^tumor	chr8~127855320~+~HPV16~578~-	HPV16	GT-AG	HPV16:578	tumor	0.138076127628613	PVT1^ENSG00000249859.6	HNSC	TCGA
