#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr11~101491354~HPV35~2297	chr11	101491354	-	HPV35	2297	-	1	1	0	0	1
subset.insertion_seqs.fa	chr11~116881059~HPV35~0	chr11	116881059	-	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr11~128452701~HPV35~6871	chr11	128452701	-	HPV35	6871	+	118	118	0	117	1
subset.insertion_seqs.fa	chr5~35844786~HPV35~0	chr5	35844786	-	HPV35	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr5~83185416~HPV35~1357	chr5	83185416	-	HPV35	1357	-	166	166	0	166	0
subset.insertion_seqs.fa	chr5~145584984~HPV35~0	chr5	145584984	-	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr7~69300157~HPV35~2124	chr7	69300157	-	HPV35	2124	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~87012129~HPV35~0	chr7	87012129	-	HPV35	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr7~148919683~HPV35~4515	chr7	148919683	-	HPV35	4515	-	148	148	1	149	2
subset.insertion_seqs.fa	chr7~149168804~HPV35~0	chr7	149168804	-	HPV35	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr19~18289019~HPV35~4422	chr19	18289019	-	HPV35	4422	+	1	1	0	0	1
subset.insertion_seqs.fa	chr19~19071625~HPV35~7001	chr19	19071625	-	HPV35	7001	+	1	1	0	1	0
subset.insertion_seqs.fa	chr19~50945279~HPV35~5897	chr19	50945279	-	HPV35	5897	+	1	1	0	1	0
subset.insertion_seqs.fa	chrX~6420966~HPV35~3810	chrX	6420966	-	HPV35	3810	-	171	171	0	146	28
subset.insertion_seqs.fa	chrX~25005367~HPV35~4021	chrX	25005367	-	HPV35	4021	-	159	159	1	160	0
subset.insertion_seqs.fa	chrX~64665469~HPV35~4527	chrX	64665469	-	HPV35	4527	+	1	1	0	0	1
subset.insertion_seqs.fa	chr18~31129360~HPV35~0	chr18	31129360	-	HPV35	0	?	1	1	0	2	0
subset.insertion_seqs.fa	chr18~56561231~HPV35~5870	chr18	56561231	-	HPV35	5870	-	160	160	0	160	1
subset.insertion_seqs.fa	chr18~71026198~HPV35~2727	chr18	71026198	-	HPV35	2727	-	166	166	0	169	0
subset.insertion_seqs.fa	chr12~1522801~HPV35~3015	chr12	1522801	-	HPV35	3015	+	1	1	0	0	1
subset.insertion_seqs.fa	chr12~38926995~HPV35~4894	chr12	38926995	-	HPV35	4894	+	163	163	1	149	17
subset.insertion_seqs.fa	chr12~122349420~HPV35~3507	chr12	122349420	-	HPV35	3507	-	4	4	1	1	4
subset.insertion_seqs.fa	chr3~52566005~HPV35~2326	chr3	52566005	-	HPV35	2326	-	1	1	0	0	1
subset.insertion_seqs.fa	chr3~78144257~HPV35~2016	chr3	78144257	-	HPV35	2016	+	146	146	1	59	91
subset.insertion_seqs.fa	chr3~88783088~HPV35~2150	chr3	88783088	-	HPV35	2150	+	137	137	1	137	1
subset.insertion_seqs.fa	chr3~167056411~HPV35~4869	chr3	167056411	-	HPV35	4869	+	167	167	1	167	1
subset.insertion_seqs.fa	chr3~180345254~HPV35~0	chr3	180345254	-	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr22~23612355~HPV35~2287	chr22	23612355	-	HPV35	2287	-	1	1	0	0	1
subset.insertion_seqs.fa	chr22~25036207~HPV35~3006	chr22	25036207	-	HPV35	3006	+	151	151	0	85	72
subset.insertion_seqs.fa	chr22~27505457~HPV35~5610	chr22	27505457	-	HPV35	5610	+	173	173	0	163	11
subset.insertion_seqs.fa	chr17~36225200~HPV35~0	chr17	36225200	-	HPV35	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr6~22528369~HPV35~1181	chr6	22528369	-	HPV35	1181	-	174	174	1	176	0
subset.insertion_seqs.fa	chr6~56718102~HPV35~5938	chr6	56718102	-	HPV35	5938	+	1	1	0	1	0
subset.insertion_seqs.fa	chr6~96980446~HPV35~3451	chr6	96980446	-	HPV35	3451	-	151	151	0	30	127
subset.insertion_seqs.fa	chr6~109850583~HPV35~4131	chr6	109850583	-	HPV35	4131	-	1	1	0	0	1
