#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr9~31932325~HPV31~3501	chr9	31932325	+	HPV31	3501	-	1	1	0	0	1
subset.insertion_seqs.fa	chr20~12953321~HPV31~3740	chr20	12953321	+	HPV31	3740	-	158	158	3	14	147
subset.insertion_seqs.fa	chr20~20162730~HPV31~4878	chr20	20162730	+	HPV31	4878	+	198	198	1	201	0
subset.insertion_seqs.fa	chr20~22209097~HPV31~192	chr20	22209097	+	HPV31	192	+	1	1	0	0	1
subset.insertion_seqs.fa	chr20~37068550~HPV31~3411	chr20	37068550	+	HPV31	3411	-	176	176	0	105	71
subset.insertion_seqs.fa	chr20~51241754~HPV31~3660	chr20	51241754	+	HPV31	3660	+	176	176	4	156	23
subset.insertion_seqs.fa	chr20~51641709~HPV31~2715	chr20	51641709	+	HPV31	2715	-	1	1	0	0	1
subset.insertion_seqs.fa	chr13~21166512~HPV31~463	chr13	21166512	+	HPV31	463	+	194	194	0	103	94
subset.insertion_seqs.fa	chr13~109354665~HPV31~2686	chr13	109354665	+	HPV31	2686	+	1	1	0	1	0
subset.insertion_seqs.fa	chr13~112741281~HPV31~2194	chr13	112741281	+	HPV31	2194	+	196	196	1	173	26
subset.insertion_seqs.fa	chr2~11168228~HPV31~0	chr2	11168228	+	HPV31	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr2~24056404~HPV31~4422	chr2	24056404	+	HPV31	4422	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~27451576~HPV31~2664	chr2	27451576	+	HPV31	2664	-	1	1	0	0	1
subset.insertion_seqs.fa	chr2~42251084~HPV31~2109	chr2	42251084	+	HPV31	2109	+	197	197	1	57	143
subset.insertion_seqs.fa	chr2~81639711~HPV31~254	chr2	81639711	+	HPV31	254	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~86473259~HPV31~3299	chr2	86473259	+	HPV31	3299	+	1	1	0	1	0
subset.insertion_seqs.fa	chr2~129114892~HPV31~817	chr2	129114892	+	HPV31	817	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~179391916~HPV31~3598	chr2	179391916	+	HPV31	3598	-	1	1	0	0	1
subset.insertion_seqs.fa	chr2~183479826~HPV31~3871	chr2	183479826	+	HPV31	3871	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~202004171~HPV31~462	chr2	202004171	+	HPV31	462	+	6	6	3	3	6
subset.insertion_seqs.fa	chr2~220917778~HPV31~0	chr2	220917778	+	HPV31	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr2~233169807~HPV31~911	chr2	233169807	+	HPV31	911	+	198	198	1	200	1
subset.insertion_seqs.fa	chr6~58097038~HPV31~6789	chr6	58097038	+	HPV31	6789	-	191	191	1	47	147
subset.insertion_seqs.fa	chr6~64406836~HPV31~178	chr6	64406836	+	HPV31	178	+	1	1	0	0	1
subset.insertion_seqs.fa	chr6~67644125~HPV31~4105	chr6	67644125	+	HPV31	4105	+	152	152	0	155	2
subset.insertion_seqs.fa	chr8~10959993~HPV31~3982	chr8	10959993	+	HPV31	3982	-	188	188	4	181	9
subset.insertion_seqs.fa	chr8~14416268~HPV31~4327	chr8	14416268	+	HPV31	4327	-	1	1	0	1	0
subset.insertion_seqs.fa	chr8~22426443~HPV31~2844	chr8	22426443	+	HPV31	2844	+	1	1	0	0	1
subset.insertion_seqs.fa	chr8~63196411~HPV31~843	chr8	63196411	+	HPV31	843	-	1	1	0	0	1
subset.insertion_seqs.fa	chr8~75760322~HPV31~1266	chr8	75760322	+	HPV31	1266	-	1	1	0	1	0
subset.insertion_seqs.fa	chr1~27441779~HPV31~2458	chr1	27441779	+	HPV31	2458	-	1	1	0	0	1
subset.insertion_seqs.fa	chr1~29269142~HPV31~2891	chr1	29269142	+	HPV31	2891	+	157	157	1	140	21
subset.insertion_seqs.fa	chr1~52396692~HPV31~267	chr1	52396692	+	HPV31	267	+	1	1	0	1	0
subset.insertion_seqs.fa	chr1~57690289~HPV31~2447	chr1	57690289	+	HPV31	2447	-	197	197	1	31	169
subset.insertion_seqs.fa	chr1~61821286~HPV31~0	chr1	61821286	+	HPV31	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr1~202788593~HPV31~4107	chr1	202788593	+	HPV31	4107	+	27	27	1	5	27
subset.insertion_seqs.fa	chr1~237826260~HPV31~349	chr1	237826260	+	HPV31	349	+	1	1	0	0	1
subset.insertion_seqs.fa	chr1~242868211~HPV31~432	chr1	242868211	+	HPV31	432	+	1	1	0	0	1
subset.insertion_seqs.fa	chr12~55811598~HPV31~0	chr12	55811598	+	HPV31	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr12~79626531~HPV31~2759	chr12	79626531	+	HPV31	2759	-	1	1	0	0	1
subset.insertion_seqs.fa	chr12~95770801~HPV31~3368	chr12	95770801	+	HPV31	3368	+	197	197	1	200	0
subset.insertion_seqs.fa	chr12~122811616~HPV31~2723	chr12	122811616	+	HPV31	2723	-	1	1	0	0	1
subset.insertion_seqs.fa	chr19~4177836~HPV31~2745	chr19	4177836	+	HPV31	2745	-	1	1	0	0	1
subset.insertion_seqs.fa	chr19~11291452~HPV31~2700	chr19	11291452	+	HPV31	2700	+	1	1	0	0	1
subset.insertion_seqs.fa	chr19~15411988~HPV31~743	chr19	15411988	+	HPV31	743	+	1	1	0	0	1
subset.insertion_seqs.fa	chr19~18190744~HPV31~923	chr19	18190744	+	HPV31	923	+	1	1	0	1	0
subset.insertion_seqs.fa	chr5~28719712~HPV31~3548	chr5	28719712	+	HPV31	3548	-	1	1	0	0	1
subset.insertion_seqs.fa	chr5~158914086~HPV31~5137	chr5	158914086	+	HPV31	5137	-	187	187	4	189	0
subset.insertion_seqs.fa	chr5~179742101~HPV31~2868	chr5	179742101	+	HPV31	2868	+	1	1	0	1	0
subset.insertion_seqs.fa	chrX~10845068~HPV31~6195	chrX	10845068	+	HPV31	6195	-	177	177	1	181	0
subset.insertion_seqs.fa	chrX~14160952~HPV31~3740	chrX	14160952	+	HPV31	3740	-	5	5	2	2	5
subset.insertion_seqs.fa	chrX~18831653~HPV31~2490	chrX	18831653	+	HPV31	2490	-	1	1	0	0	1
subset.insertion_seqs.fa	chrX~110671876~HPV31~1383	chrX	110671876	+	HPV31	1383	+	1	1	0	1	0
subset.insertion_seqs.fa	chrX~128695182~HPV31~4937	chrX	128695182	+	HPV31	4937	-	183	183	1	186	1
subset.insertion_seqs.fa	chrX~137393806~HPV31~2310	chrX	137393806	+	HPV31	2310	-	1	1	0	0	1
subset.insertion_seqs.fa	chr3~1873085~HPV31~4791	chr3	1873085	+	HPV31	4791	+	1	1	0	1	0
subset.insertion_seqs.fa	chr3~28541483~HPV31~6457	chr3	28541483	+	HPV31	6457	+	1	1	0	1	0
subset.insertion_seqs.fa	chr3~63699728~HPV31~171	chr3	63699728	+	HPV31	171	+	1	1	0	0	1
subset.insertion_seqs.fa	chr6~16710721~HPV31~3183	chr6	16710721	-	HPV31	3183	+	1	1	0	0	1
subset.insertion_seqs.fa	chr6~53444849~HPV31~1596	chr6	53444849	-	HPV31	1596	-	1	1	0	0	1
subset.insertion_seqs.fa	chr6~84060844~HPV31~2614	chr6	84060844	-	HPV31	2614	+	1	1	0	0	1
subset.insertion_seqs.fa	chr6~87899070~HPV31~1180	chr6	87899070	-	HPV31	1180	-	182	182	4	119	65
subset.insertion_seqs.fa	chr6~103167667~HPV31~1146	chr6	103167667	-	HPV31	1146	+	1	1	0	1	0
subset.insertion_seqs.fa	chr2~22973790~HPV31~2218	chr2	22973790	-	HPV31	2218	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~108771606~HPV31~4727	chr2	108771606	-	HPV31	4727	-	172	172	1	137	39
subset.insertion_seqs.fa	chr2~146459441~HPV31~0	chr2	146459441	-	HPV31	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr2~179391846~HPV31~3544	chr2	179391846	-	HPV31	3544	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~213539960~HPV31~2772	chr2	213539960	-	HPV31	2772	-	163	163	4	46	119
subset.insertion_seqs.fa	chr2~217169886~HPV31~223	chr2	217169886	-	HPV31	223	-	1	1	0	0	1
subset.insertion_seqs.fa	chr14~57711621~HPV31~1878	chr14	57711621	-	HPV31	1878	+	197	197	1	200	0
subset.insertion_seqs.fa	chr13~28675724~HPV31~1398	chr13	28675724	-	HPV31	1398	-	1	1	0	1	0
subset.insertion_seqs.fa	chr13~73908680~HPV31~738	chr13	73908680	-	HPV31	738	+	1	1	0	1	0
subset.insertion_seqs.fa	chr13~85697090~HPV31~0	chr13	85697090	-	HPV31	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chrX~76775305~HPV31~335	chrX	76775305	-	HPV31	335	-	1	1	0	0	1
subset.insertion_seqs.fa	chrX~106830768~HPV31~0	chrX	106830768	-	HPV31	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chrX~110671542~HPV31~1320	chrX	110671542	-	HPV31	1320	+	191	191	1	94	100
subset.insertion_seqs.fa	chrX~146053642~HPV31~2305	chrX	146053642	-	HPV31	2305	-	1	1	0	0	1
subset.insertion_seqs.fa	chrX~146594483~HPV31~2251	chrX	146594483	-	HPV31	2251	+	1	1	0	1	0
subset.insertion_seqs.fa	chr3~1872754~HPV31~4728	chr3	1872754	-	HPV31	4728	+	195	195	1	198	0
subset.insertion_seqs.fa	chr3~9848430~HPV31~3923	chr3	9848430	-	HPV31	3923	-	1	1	0	0	1
subset.insertion_seqs.fa	chr3~52158965~HPV31~2572	chr3	52158965	-	HPV31	2572	+	1	1	0	0	1
subset.insertion_seqs.fa	chr3~83748960~HPV31~3291	chr3	83748960	-	HPV31	3291	+	1	1	0	0	1
subset.insertion_seqs.fa	chr3~102919990~HPV31~510	chr3	102919990	-	HPV31	510	-	1	1	0	0	1
subset.insertion_seqs.fa	chr3~112862557~HPV31~2652	chr3	112862557	-	HPV31	2652	+	1	1	0	0	1
subset.insertion_seqs.fa	chr19~11291122~HPV31~2661	chr19	11291122	-	HPV31	2661	+	179	179	1	78	104
subset.insertion_seqs.fa	chr19~23214059~HPV31~2196	chr19	23214059	-	HPV31	2196	+	1	1	0	1	0
subset.insertion_seqs.fa	chr19~23932124~HPV31~6731	chr19	23932124	-	HPV31	6731	+	149	149	1	101	52
subset.insertion_seqs.fa	chr5~19550252~HPV31~3437	chr5	19550252	-	HPV31	3437	+	1	1	0	0	1
subset.insertion_seqs.fa	chr5~122143276~HPV31~2318	chr5	122143276	-	HPV31	2318	+	183	183	1	186	1
subset.insertion_seqs.fa	chr5~169492867~HPV31~0	chr5	169492867	-	HPV31	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr8~5546732~HPV31~3263	chr8	5546732	-	HPV31	3263	+	1	1	0	1	0
subset.insertion_seqs.fa	chr8~6273435~HPV31~3368	chr8	6273435	-	HPV31	3368	+	1	1	0	0	1
subset.insertion_seqs.fa	chr8~14415938~HPV31~4390	chr8	14415938	-	HPV31	4390	-	154	154	1	160	0
subset.insertion_seqs.fa	chr8~49041067~HPV31~4038	chr8	49041067	-	HPV31	4038	-	1	1	0	0	1
subset.insertion_seqs.fa	chr8~57407211~HPV31~0	chr8	57407211	-	HPV31	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr8~86599319~HPV31~6356	chr8	86599319	-	HPV31	6356	-	2	2	0	2	0
subset.insertion_seqs.fa	chr8~105161364~HPV31~2416	chr8	105161364	-	HPV31	2416	-	2	2	0	0	2
subset.insertion_seqs.fa	chr8~107037219~HPV31~5027	chr8	107037219	-	HPV31	5027	-	184	184	4	184	2
subset.insertion_seqs.fa	chr8~111673771~HPV31~405	chr8	111673771	-	HPV31	405	-	1	1	0	0	1
subset.insertion_seqs.fa	chr8~111961985~HPV31~2843	chr8	111961985	-	HPV31	2843	-	1	1	0	1	0
subset.insertion_seqs.fa	chr12~19922812~HPV31~1549	chr12	19922812	-	HPV31	1549	-	1	1	0	0	1
subset.insertion_seqs.fa	chr12~39198908~HPV31~0	chr12	39198908	-	HPV31	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr1~49430090~HPV31~905	chr1	49430090	-	HPV31	905	-	1	1	0	0	1
subset.insertion_seqs.fa	chr1~52396362~HPV31~204	chr1	52396362	-	HPV31	204	+	196	196	1	199	0
subset.insertion_seqs.fa	chr1~192164547~HPV31~6179	chr1	192164547	-	HPV31	6179	+	180	180	4	76	106
subset.insertion_seqs.fa	chr1~202788544~HPV31~0	chr1	202788544	-	HPV31	0	?	24	24	0	17	14
subset.insertion_seqs.fa	chr4~38052333~HPV31~4536	chr4	38052333	-	HPV31	4536	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~38992887~HPV31~3136	chr4	38992887	-	HPV31	3136	+	1	1	0	0	1
subset.insertion_seqs.fa	chr4~54822400~HPV31~2455	chr4	54822400	-	HPV31	2455	+	1	1	0	0	1
subset.insertion_seqs.fa	chr4~65591089~HPV31~2017	chr4	65591089	-	HPV31	2017	-	182	182	4	184	0
subset.insertion_seqs.fa	chr4~75165689~HPV31~256	chr4	75165689	-	HPV31	256	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~155621540~HPV31~2625	chr4	155621540	-	HPV31	2625	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~33507805~HPV31~717	chr10	33507805	-	HPV31	717	+	1	1	0	1	0
subset.insertion_seqs.fa	chr10~54283852~HPV31~3397	chr10	54283852	-	HPV31	3397	-	1	1	0	0	1
subset.insertion_seqs.fa	chr10~69362368~HPV31~6065	chr10	69362368	-	HPV31	6065	+	164	164	1	168	0
subset.insertion_seqs.fa	chr10~89620006~HPV31~6521	chr10	89620006	-	HPV31	6521	-	1	1	0	0	1
subset.insertion_seqs.fa	chr10~96877598~HPV31~2465	chr10	96877598	-	HPV31	2465	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~98111774~HPV31~3105	chr10	98111774	-	HPV31	3105	+	1	1	0	1	0
subset.insertion_seqs.fa	chr15~52459216~HPV31~3721	chr15	52459216	-	HPV31	3721	+	1	1	1	0	1
subset.insertion_seqs.fa	chr15~99276163~HPV31~2360	chr15	99276163	-	HPV31	2360	-	1	1	0	0	1
subset.insertion_seqs.fa	chr15~100512205~HPV31~5057	chr15	100512205	-	HPV31	5057	-	188	188	4	188	2
subset.insertion_seqs.fa	chr18~80015346~HPV31~3575	chr18	80015346	-	HPV31	3575	+	1	1	0	0	1
subset.insertion_seqs.fa	chr11~44800095~HPV31~877	chr11	44800095	-	HPV31	877	-	1	1	0	0	1
subset.insertion_seqs.fa	chr17~531783~HPV31~533	chr17	531783	-	HPV31	533	-	1	1	0	0	1
subset.insertion_seqs.fa	chr17~4619405~HPV31~2505	chr17	4619405	-	HPV31	2505	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~30865656~HPV31~7579	chr17	30865656	-	HPV31	7579	-	139	139	2	139	1
subset.insertion_seqs.fa	chr17~49264624~HPV31~4665	chr17	49264624	-	HPV31	4665	-	163	163	4	143	22
subset.insertion_seqs.fa	chr17~54542423~HPV31~2140	chr17	54542423	-	HPV31	2140	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~71962380~HPV31~2490	chr17	71962380	-	HPV31	2490	-	1	1	0	1	0
subset.insertion_seqs.fa	chr21~18515792~HPV31~1834	chr21	18515792	-	HPV31	1834	+	194	194	1	179	18
subset.insertion_seqs.fa	chr21~27378610~HPV31~1603	chr21	27378610	-	HPV31	1603	-	186	186	4	188	0
subset.insertion_seqs.fa	chr21~31583957~HPV31~4248	chr21	31583957	-	HPV31	4248	-	145	145	0	1	145
subset.insertion_seqs.fa	chr21~33470655~HPV31~0	chr21	33470655	-	HPV31	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr21~34910392~HPV31~4398	chr21	34910392	-	HPV31	4398	+	176	176	1	160	20
subset.insertion_seqs.fa	chr16~59686697~HPV31~1376	chr16	59686697	-	HPV31	1376	-	197	197	1	66	134
subset.insertion_seqs.fa	chr16~65846520~HPV31~3383	chr16	65846520	-	HPV31	3383	+	183	183	1	187	0
subset.insertion_seqs.fa	chr9~2398472~HPV31~199	chr9	2398472	-	HPV31	199	-	1	1	0	0	1
subset.insertion_seqs.fa	chr9~104428829~HPV31~1257	chr9	104428829	-	HPV31	1257	+	1	1	0	1	0
subset.insertion_seqs.fa	chr20~22208765~HPV31~129	chr20	22208765	-	HPV31	129	+	197	197	2	1	199
subset.insertion_seqs.fa	chr7~104992509~HPV31~4940	chr7	104992509	-	HPV31	4940	+	183	183	1	159	28
subset.insertion_seqs.fa	chr7~116782383~HPV31~2355	chr7	116782383	-	HPV31	2355	-	183	183	1	187	0
subset.insertion_seqs.fa	chr7~121167811~HPV31~2480	chr7	121167811	-	HPV31	2480	+	1	1	0	0	1
subset.insertion_seqs.fa	chr7~150320638~HPV31~573	chr7	150320638	-	HPV31	573	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~152627489~HPV31~0	chr7	152627489	-	HPV31	0	?	1	1	0	0	1
