sample_name	Number.of.input.reads	Average.input.read.length	Uniquely.mapped.reads.number	Uniquely.mapped.reads..	Average.mapped.length	Number.of.splices..Total	Number.of.splices..Annotated..sjdb.	Number.of.splices..GT.AG	Number.of.splices..GC.AG	Number.of.splices..AT.AC	Number.of.splices..Non.canonical	Mismatch.rate.per.base...	Deletion.rate.per.base	Deletion.average.length	Insertion.rate.per.base	Insertion.average.length	Number.of.reads.mapped.to.multiple.loci	X..of.reads.mapped.to.multiple.loci	Number.of.reads.mapped.to.too.many.loci	X..of.reads.mapped.to.too.many.loci	Number.of.reads.unmapped..too.many.mismatches	X..of.reads.unmapped..too.many.mismatches	Number.of.reads.unmapped..too.short	X..of.reads.unmapped..too.short	Number.of.reads.unmapped..other	X..of.reads.unmapped..other	num_fq_sets
LIHC-K7-A5RF-TP	60505331	96	55143626	91.14%	95.06	13234765	13078161	13160466	65331	4708	4260	0.26%	0.00%	1.38	0.00%	1.15	2982925	4.93%	6907	0.01%	251	0.00%	2362969	3.91%	8653	0.01%	2
BRCA-BH-A203-TP	80994534	100	73318805	90.52%	99.09	16026019	15789414	15895841	105859	12559	11760	0.37%	0.00%	1.44	0.01%	1.23	4881026	6.03%	37262	0.05%	800	0.00%	2719921	3.36%	36720	0.05%	2
LUAD-93-A4JN-TP	68624570	96	59794609	87.13%	95.11	10449777	9833133	10364866	67355	8506	9050	0.32%	0.00%	1.35	0.01%	1.22	3653939	5.32%	45535	0.07%	855	0.00%	5093986	7.42%	35646	0.05%	2
BRCA-E9-A1RD-TP	102965394	100	93754853	91.05%	99.14	19614230	19372819	19443759	136705	15669	18097	0.27%	0.00%	1.49	0.01%	1.25	4887540	4.75%	47081	0.05%	1462	0.00%	4204307	4.08%	70151	0.07%	2
KIRC-BP-4354-TP	54155738	100	48529566	89.61%	98.83	10386845	10272962	10296401	75497	8084	6863	0.61%	0.00%	1.44	0.01%	1.23	2536779	4.68%	25474	0.05%	704	0.00%	3041927	5.62%	21288	0.04%	2
PAAD-YB-A89D-NT	62077101	96	54948058	88.52%	95.11	11267838	11169307	11189796	62986	6778	8278	0.31%	0.00%	1.38	0.01%	1.22	3220531	5.19%	19793	0.03%	578	0.00%	3870795	6.24%	17346	0.03%	2
LUAD-55-8619-TP	54026205	96	47265538	87.49%	94.86	8775505	8485172	8706487	55016	6110	7892	0.27%	0.00%	1.37	0.01%	1.2	3326260	6.16%	25336	0.05%	576	0.00%	3387135	6.27%	21360	0.04%	2
STAD-CD-8527-TP	94663774	150	61176455	64.62%	148.27	19368906	19044485	19190420	125712	17417	35357	0.52%	0.01%	1.37	0.01%	1.47	7163450	7.57%	78955	0.08%	42118	0.04%	26161509	27.64%	41287	0.04%	2
SKCM-EE-A2GK-TM	65870615	96	58644631	89.03%	94.92	13167581	12930844	13064427	83947	10095	9112	0.48%	0.00%	1.39	0.01%	1.19	4599778	6.98%	29408	0.04%	672	0.00%	2572135	3.90%	23991	0.04%	2
KIRC-BP-5175-TP	83269527	100	72287410	86.81%	99.25	10730616	10631999	10640660	75362	7381	7213	0.47%	0.00%	1.35	0.01%	1.2	6147862	7.38%	30757	0.04%	689	0.00%	4778408	5.74%	24401	0.03%	2
LIHC-XR-A8TD-TP	54798937	96	48039289	87.66%	95.19	10202979	9953703	10137021	54797	5663	5498	0.22%	0.00%	1.43	0.01%	1.18	3664490	6.69%	16115	0.03%	458	0.00%	3061441	5.59%	17144	0.03%	2
BRCA-AC-A4ZE-TP	74719759	96	68871424	92.17%	95.27	13436369	13278735	13309333	99976	11589	15471	0.20%	0.00%	1.44	0.01%	1.21	3773747	5.05%	46232	0.06%	731	0.00%	1974977	2.64%	52648	0.07%	2
THCA-EM-A1CV-TP	99506554	96	90836111	91.29%	95.21	19232386	19059921	19073367	128406	14062	16551	0.21%	0.00%	1.46	0.01%	1.2	5099711	5.13%	34075	0.03%	661	0.00%	3495809	3.51%	40187	0.04%	2
PRAD-HC-8256-TP	67903977	96	60992398	89.82%	95.21	12996663	12881499	12870853	101210	14672	9928	0.19%	0.00%	1.43	0.01%	1.2	3978623	5.86%	19237	0.03%	450	0.00%	2889098	4.25%	24171	0.04%	2
PAAD-F2-7276-TP	80319013	96	72814416	90.66%	95.05	16632280	16419834	16509252	99615	11277	12136	0.24%	0.00%	1.44	0.01%	1.22	4629858	5.76%	26488	0.03%	667	0.00%	2821333	3.51%	26251	0.03%	2
LGG-P5-A5EY-TP	62526918	96	57656230	92.21%	95.27	8410868	8331441	8342807	56745	6270	5046	0.23%	0.00%	1.35	0.01%	1.21	3253975	5.20%	13751	0.02%	339	0.00%	1587225	2.54%	15398	0.02%	2
LUSC-63-A5MV-TP	60269442	96	52960921	87.87%	95.11	9930182	9580968	9848320	66678	8522	6662	0.36%	0.00%	1.43	0.01%	1.2	3279799	5.44%	38726	0.06%	721	0.00%	3928060	6.52%	61215	0.10%	2
HNSC-HD-8224-TP	43457110	96	38754584	89.18%	95.08	8527247	8439817	8457089	58507	6852	4799	0.26%	0.00%	1.43	0.01%	1.21	2146163	4.94%	16184	0.04%	265	0.00%	2513017	5.78%	26897	0.06%	2
CESC-EK-A2RJ-TP	85013399	96	75594824	88.92%	95.08	15898670	15517018	15779159	93047	11240	15224	0.31%	0.00%	1.65	0.01%	1.18	5903105	6.94%	46710	0.05%	803	0.00%	3421298	4.02%	46659	0.05%	2
CESC-FU-A3HZ-TP	47102171	96	42070557	89.32%	95.14	9438208	9348464	9355061	66610	9491	7046	0.22%	0.00%	1.48	0.01%	1.2	3198459	6.79%	12067	0.03%	342	0.00%	1798336	3.82%	22410	0.05%	2
LUAD-55-7281-TP	54571447	96	49136048	90.04%	94.62	9174129	9095411	9108590	52915	6340	6284	0.45%	0.00%	1.46	0.01%	1.21	3472389	6.36%	17035	0.03%	420	0.00%	1932500	3.54%	13055	0.02%	2
CESC-PN-A8MA-TP	56364028	96	49542055	87.90%	95.2	8639580	8256704	8568241	54711	7954	8674	0.23%	0.01%	1.45	0.01%	1.23	3767055	6.68%	44798	0.08%	688	0.00%	2965537	5.26%	43895	0.08%	2
KIRP-BQ-5891-TP	90527407	96	83026872	91.71%	94.99	19430568	19265190	19236930	162117	17944	13577	0.29%	0.00%	1.44	0.00%	1.21	4417659	4.88%	24092	0.03%	718	0.00%	3020150	3.34%	37916	0.04%	2
THCA-H2-A422-TP	86842563	96	78704234	90.63%	94.99	15640696	15496337	15505866	107998	11755	15077	0.26%	0.00%	1.39	0.01%	1.2	5146049	5.93%	39052	0.04%	916	0.00%	2920780	3.36%	31532	0.04%	2
PRAD-4L-AA1F-TP	68214587	96	61396531	90.00%	95.19	12353363	12211689	12261300	74493	8396	9174	0.24%	0.00%	1.43	0.01%	1.23	3707437	5.43%	22036	0.03%	574	0.00%	3061516	4.49%	26493	0.04%	2
THCA-DJ-A3US-TP	81808443	96	74766390	91.39%	95.1	16445205	16124143	16322906	96512	12146	13641	0.26%	0.00%	1.41	0.00%	1.21	4267591	5.22%	28599	0.03%	723	0.00%	2716298	3.32%	28842	0.04%	2
LIHC-BC-A216-TP	86369225	96	65339036	75.65%	95.21	11793025	11640212	11705626	74372	6410	6617	0.28%	0.00%	1.41	0.01%	1.2	18355080	21.25%	28145	0.03%	647	0.00%	2611104	3.02%	35213	0.04%	2
HNSC-CQ-6218-TP	81588385	96	73294489	89.83%	95.14	17963996	17718028	17844728	99121	9859	10288	0.22%	0.00%	1.5	0.00%	1.2	5814730	7.13%	23654	0.03%	494	0.00%	2406745	2.95%	48273	0.06%	2
CESC-EA-A5FO-TP	53125752	96	48015582	90.38%	95.12	10025554	9942776	9938013	70255	9205	8081	0.34%	0.00%	1.48	0.01%	1.19	2994437	5.64%	23496	0.04%	266	0.00%	2070720	3.90%	21251	0.04%	2
KIRC-CZ-5987-NT	46303157	100	42287027	91.33%	99.05	9627072	9550194	9545651	67168	7575	6678	0.32%	0.00%	1.45	0.01%	1.2	2328660	5.03%	7256	0.02%	326	0.00%	1669977	3.61%	9911	0.02%	2
LUAD-55-8299-TP	66070686	96	58699548	88.84%	95.05	12368831	12187261	12273106	78552	8664	8509	0.27%	0.00%	1.47	0.01%	1.22	4828029	7.31%	27130	0.04%	588	0.00%	2490411	3.77%	24980	0.04%	2
BRCA-BH-A0AZ-TP	60923630	100	55236718	90.67%	99.09	13499781	13383265	13406045	75200	7995	10541	0.22%	0.00%	1.43	0.01%	1.3	3158766	5.18%	12838	0.02%	551	0.00%	2499236	4.10%	15521	0.03%	2
BLCA-CF-A3MF-TP	74026684	96	60438737	81.64%	95.43	3466855	3415205	3432498	27161	1848	5348	0.33%	0.01%	1.27	0.01%	1.18	7685801	10.38%	31967	0.04%	889	0.00%	5835135	7.88%	34155	0.05%	2
SKCM-DA-A1IB-TM	76262375	96	65928550	86.45%	94.95	12006806	10997130	11918184	71723	8112	8787	0.67%	0.01%	1.24	0.00%	1.2	5816731	7.63%	26390	0.03%	1005	0.00%	4459883	5.85%	29816	0.04%	2
SARC-QQ-A8VF-TP	71071593	96	62664638	88.17%	95.06	15608463	15443008	15476921	107045	12386	12111	0.21%	0.00%	1.46	0.00%	1.23	3494244	4.92%	33515	0.05%	769	0.00%	4855796	6.83%	22631	0.03%	2
LUSC-63-A5MM-TP	66971402	96	59798081	89.29%	94.84	13857514	13721725	13758374	81877	9366	7897	0.46%	0.00%	1.51	0.00%	1.21	4327279	6.46%	27387	0.04%	433	0.00%	2799993	4.18%	18229	0.03%	2
LAML-AB-2912-TB	93509753	100	61422630	65.69%	98.98	4641526	4501794	4582997	47560	4637	6332	0.63%	0.01%	1.51	0.01%	1.26	9606994	10.27%	106346	0.11%	1607	0.00%	20051888	21.44%	2320288	2.48%	2
HNSC-CV-7568-TP	97498124	96	87970530	90.23%	94.6	19066823	18860313	18900073	130987	13472	22291	0.19%	0.00%	1.66	0.00%	1.25	5205538	5.34%	45532	0.05%	913	0.00%	4218791	4.33%	56820	0.06%	2
GBM-19-2624-TP	75148618	152	66599082	88.62%	150.72	18865671	18594340	18678428	150090	16724	20429	0.67%	0.01%	1.43	0.01%	1.5	3636929	4.84%	34097	0.05%	35316	0.05%	4827047	6.42%	16147	0.02%	2
CESC-C5-A2M2-TP	66972868	96	60749313	90.71%	95.19	12520588	12380249	12398788	94207	11606	15987	0.18%	0.00%	1.47	0.01%	1.21	3596562	5.37%	36427	0.05%	607	0.00%	2564021	3.83%	25938	0.04%	2
ESCA-X8-AAAR-TP	146643488	150	105662149	72.05%	148.14	32965885	32174869	32649132	235324	23714	57715	0.51%	0.01%	1.19	0.01%	1.46	11529049	7.86%	63859	0.04%	117322	0.08%	29195310	19.91%	75799	0.05%	2
LUSC-77-8143-TP	58445248	96	51681120	88.43%	95.11	11422067	11280009	11322265	82299	9568	7935	0.29%	0.00%	1.39	0.01%	1.19	3782297	6.47%	55665	0.10%	483	0.00%	2878710	4.93%	46973	0.08%	2
HNSC-CV-7238-TP	78674197	96	70702504	89.87%	95.16	13770791	13560604	13657299	95927	9030	8535	0.40%	0.00%	1.42	0.01%	1.21	4902114	6.23%	41666	0.05%	753	0.00%	2975085	3.78%	52075	0.07%	2
BRCA-BH-A0GY-TP	59923467	100	52252608	87.20%	99.21	11902302	11785196	11788633	94857	10954	7858	0.23%	0.00%	1.4	0.01%	1.26	2830462	4.72%	23497	0.04%	374	0.00%	4781444	7.98%	35082	0.06%	2
