fusion_name	Annots
CTD-2337A12.1::CAST	[INTRACHROMOSOMAL[chr5:0.11Mb]]
KIAA1467::EMP1	[INTRACHROMOSOMAL[chr12:0.05Mb],NEIGHBORS[54195]]
LINC01237::AC093642.5	[INTRACHROMOSOMAL[chr2:0.01Mb],NEIGHBORS[9911]]
RP11-368L12.1::RP11-96H17.1	[INTRACHROMOSOMAL[chr16:0.18Mb]]
TRIM16L::KSR1	[TCGA_StarF2019,INTRACHROMOSOMAL[chr17:8.72Mb]]
CREBBP::NAA60	[TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr16:0.24Mb]]
HPGD::RP11-440I14.2	[INTRACHROMOSOMAL[chr4:0.00Mb],LOCAL_REARRANGEMENT:-:[547]]
TRBV11-3::TRBC2	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr7:0.12Mb]]
RP11-745L13.2::RPL7AP28	[INTRACHROMOSOMAL[chr4:0.07Mb],NEIGHBORS[72118]]
RP1-122P22.2::RIN2	[INTRACHROMOSOMAL[chr20:0.08Mb],NEIGHBORS[76846]]
PRSS27::TPSAB1	[TCGA_StarF2019,INTRACHROMOSOMAL[chr16:1.47Mb]]
DGCR2::SLC25A1	[TumorFusionsNAR2018,TCGA_StarF2019,INTRACHROMOSOMAL[chr22:0.05Mb],LOCAL_REARRANGEMENT:-:[53121]]
CHST9::AQP4	[CCLE_StarF2019,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr18:0.04Mb],NEIGHBORS[40663]]
DNAJC2::CUX1	[TCGA_StarF2019,INTRACHROMOSOMAL[chr7:1.03Mb]]
COX6CP1::COX6C	[CCLE_StarF2019,TCGA_StarF2019,INTERCHROMOSOMAL[chr16--chr8]]
PCDHGA2::PCDHGC5	[HGNC_GENEFAM,DGD_PARALOGS,INTRACHROMOSOMAL[chr5:0.15Mb]]
RPL11::AC007386.3	[INTERCHROMOSOMAL[chr1--chr2]]
RP11-1023L17.1::C1QTNF3-AMACR	[INTRACHROMOSOMAL[chr5:0.04Mb],NEIGHBORS[40170]]
DAP::ESYT1	[TCGA_StarF2019,INTERCHROMOSOMAL[chr5--chr12]]
WARSP1::WARS	[TCGA_StarF2019,INTERCHROMOSOMAL[chr11--chr14]]
ATP5L::RP11-126M14.1	[INTERCHROMOSOMAL[chr11--chr6]]
MED13L::RP11-642P15.1	[INTRACHROMOSOMAL[chr12:12.02Mb]]
RP4-769N13.6::GPRASP2	[INTRACHROMOSOMAL[chrX:0.06Mb],NEIGHBORS[62031]]
PDE4D::SMIM15	[TCGA_StarF2019,INTRACHROMOSOMAL[chr5:0.64Mb]]
LRRC8B::LRRC8C	[Babiceanu_Normal,GTEx_recurrent_StarF2019,DGD_PARALOGS,INTRACHROMOSOMAL[chr1:0.04Mb],NEIGHBORS[35208]]
RP11-731D1.4::SH3D19	[INTRACHROMOSOMAL[chr4:0.01Mb],NEIGHBORS[8143]]
PCDHA11::PCDHAC2	[DGD_PARALOGS,HGNC_GENEFAM,INTRACHROMOSOMAL[chr5:0.09Mb],NEIGHBORS[94635]]
EEF1DP3::FRY	[Babiceanu_Normal,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr13:0.08Mb],NEIGHBORS[77828]]
PCDHGB2::PCDHGC5	[HGNC_GENEFAM,DGD_PARALOGS,INTRACHROMOSOMAL[chr5:0.13Mb]]
CNNM2::uc_338	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr10--chr17]]
NAIP::OCLN	[GTEx_recurrent_StarF2019,Greger_Normal,INTRACHROMOSOMAL[chr5:1.41Mb]]
RP11-567N4.2::RP11-542G1.1	[INTRACHROMOSOMAL[chr4:0.00Mb],NEIGHBORS[25]]
ACTN2::ACTN3	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr1--chr11]]
MYL1::MYL3	[HGNC_GENEFAM,GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr2--chr3]]
RP11-206L10.9::PSPH	[INTERCHROMOSOMAL[chr1--chr7]]
LINC00472::RP11-154D6.1	[INTRACHROMOSOMAL[chr6:0.02Mb],NEIGHBORS[16116]]
TG::GNAS	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr8--chr20]]
RNF146::ECHDC1	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_INVERSION:+:-:[143]]
CAPS2::TMBIM4	[INTRACHROMOSOMAL[chr12:9.11Mb]]
RP4-614O4.11::EDEM2	[INTRACHROMOSOMAL[chr20:0.12Mb]]
VAPB::APCDD1L-AS1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr20:0.06Mb],NEIGHBORS[64278]]
H6PD::SPSB1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr1:0.02Mb],NEIGHBORS[21543]]
SOCS5::LINC01119	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr2:0.05Mb],NEIGHBORS[53568]]
LINC01359::JAK1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr1:0.01Mb],NEIGHBORS[5721]]
BPTF::KPNA2	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr17:0.05Mb],NEIGHBORS[51141]]
VTI1A::RP11-57H14.3	[INTRACHROMOSOMAL[chr10:0.07Mb],NEIGHBORS[69991]]
PTS::RP11-356J5.12	[INTRACHROMOSOMAL[chr11:0.00Mb],NEIGHBORS[794]]
PFKFB3::RP11-563J2.2	[INTRACHROMOSOMAL[chr10:0.04Mb],NEIGHBORS[42142]]
PRKCH::FLJ22447	[ChimerSeq,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr14:0.02Mb],NEIGHBORS[19564]]
RP11-384F7.2::LSAMP	[INTRACHROMOSOMAL[chr3:0.53Mb]]
REREP1Y::OFD1P10Y	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chrY:0.11Mb]]
GPR141::NME8	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr7:0.01Mb],NEIGHBORS[14809]]
KANSL1::LRRC37A2	[Babiceanu_Normal,INTRACHROMOSOMAL[chr17:0.29Mb]]
SF1::FUS	[ChimerSeq,INTERCHROMOSOMAL[chr11--chr16]]
HBB::HBBP1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr11:0.01Mb],LOCAL_REARRANGEMENT:-:[12559]]
NAIP::B2M	[INTERCHROMOSOMAL[chr5--chr15]]
OAZ1::METRNL	[INTERCHROMOSOMAL[chr19--chr17]]
FGG::ALB	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr4:81.18Mb]]
CTD-2008L17.1::RP11-456O19.2	[INTRACHROMOSOMAL[chr18:0.02Mb],NEIGHBORS[18613]]
WDR1::UBC	[INTERCHROMOSOMAL[chr4--chr12]]
SLAIN2::SLC10A4	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr4:0.06Mb],NEIGHBORS[57131]]
RP11-678G14.2::ZNF723P	[INTRACHROMOSOMAL[chr19:1.26Mb]]
MTNR1A::F11-AS1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr4:0.03Mb],NEIGHBORS[32658]]
TPM2::ACTG1	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr9--chr17]]
TEX35::RP5-1098D14.1	[INTRACHROMOSOMAL[chr1:0.10Mb]]
LEPROT::LEPR	[ChimerSeq,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr1:0.09Mb],NEIGHBORS[89682]]
RIPK1::SERPINB9	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr6:0.16Mb]]
JAM3::PICALM	[INTRACHROMOSOMAL[chr11:48.00Mb]]
CYP4B1::CYP4X1	[HGNC_GENEFAM,GTEx_recurrent_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr1:0.20Mb]]
CWC15::PNISR	[INTERCHROMOSOMAL[chr11--chr6]]
KRT2::KRT1	[GTEx_recurrent_StarF2019,DGD_PARALOGS,HGNC_GENEFAM,INTRACHROMOSOMAL[chr12:0.02Mb],LOCAL_REARRANGEMENT:-:[22572]]
C5orf56::RAD50	[INTRACHROMOSOMAL[chr5:0.08Mb],NEIGHBORS[79975]]
EIF4E3::FOXP1	[ChimerSeq,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr3:0.09Mb],NEIGHBORS[91427]]
C15orf57::CBX3	[Babiceanu_Normal,INTERCHROMOSOMAL[chr15--chr7]]
FGA::C3	[HGNC_GENEFAM,GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr4--chr19]]
CRP::ORM1	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr1--chr9]]
UBXN11::RPL28	[INTERCHROMOSOMAL[chr1--chr19]]
RP11-141M1.3::STARD13	[INTRACHROMOSOMAL[chr13:0.00Mb],NEIGHBORS[4576]]
NSF::LRRC37A3	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr17:18.10Mb]]
RP11-446H18.5::LINC00882	[INTRACHROMOSOMAL[chr3:0.03Mb],NEIGHBORS[31970]]
TTN::TNNT1	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr2--chr19]]
MALRD1::PLXDC2	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr10:0.03Mb],NEIGHBORS[25838]]
RMND5A::AC093616.4	[INTRACHROMOSOMAL[chr2:0.92Mb]]
SAMD5::SASH1	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr6:0.70Mb]]
RFWD2::MSH4	[TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr1:100.03Mb]]
RP11-545G3.2::RP11-728K20.1	[INTRACHROMOSOMAL[chr7:0.14Mb]]
RP11-539I5.1::HSPA12A	[INTRACHROMOSOMAL[chr10:0.09Mb],NEIGHBORS[86187]]
ACTB::ACTBP6	[TCGA_StarF2019,INTERCHROMOSOMAL[chr7--chr8]]
CBL::PHLDB1	[ChimerSeq,TumorFusionsNAR2018,TCGA_StarF2019,INTRACHROMOSOMAL[chr11:0.55Mb]]
CARS::OSBPL5	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr11:0.03Mb],LOCAL_REARRANGEMENT:-:[29503]]
RP11-280O1.2::RXRG	[INTRACHROMOSOMAL[chr1:0.03Mb],NEIGHBORS[31486]]
PCDHA10::PCDHAC2	[HGNC_GENEFAM,DGD_PARALOGS,INTRACHROMOSOMAL[chr5:0.10Mb],NEIGHBORS[97995]]
YWHAE::RP11-349I1.2	[INTERCHROMOSOMAL[chr17--chr14]]
STX18-AS1::RP11-326I19.2	[INTRACHROMOSOMAL[chr4:0.11Mb]]
COL1A1::COL6A1	[HGNC_GENEFAM,INTERCHROMOSOMAL[chr17--chr21]]
NADK::TOM1L2	[TumorFusionsNAR2018,TCGA_StarF2019,INTERCHROMOSOMAL[chr1--chr17]]
SBNO2::GAMT	[TCGA_StarF2019,INTRACHROMOSOMAL[chr19:0.22Mb]]
TMC5::CLEC19A	[TCGA_StarF2019,INTRACHROMOSOMAL[chr16:0.09Mb],LOCAL_REARRANGEMENT:+:[88351]]
C7orf60::ADAMTS14	[INTERCHROMOSOMAL[chr7--chr10]]
EHMT1::NELFB	[TCGA_StarF2019,INTRACHROMOSOMAL[chr9:0.35Mb]]
KAT6B::ZNF503-AS1	[ChimerSeq,TCGA_StarF2019,INTRACHROMOSOMAL[chr10:0.24Mb]]
MRPS18A::RP5-1120P11.1	[INTRACHROMOSOMAL[chr6:0.31Mb]]
RP11-262A12.1::RP11-708B6.2	[INTRACHROMOSOMAL[chr11:0.17Mb]]
INVS::RPA3	[TumorFusionsNAR2018,TCGA_StarF2019,INTERCHROMOSOMAL[chr9--chr7]]
SHISA9::U91319.1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr16:0.01Mb],NEIGHBORS[5903]]
PLCH1::RP11-639F1.1	[INTRACHROMOSOMAL[chr3:0.10Mb]]
RP11-742B18.1::SPARCL1	[INTRACHROMOSOMAL[chr4:0.04Mb],NEIGHBORS[36974]]
NSF::LRRC37A	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr17:0.25Mb]]
NRIP1::SVILP1	[TCGA_StarF2019,INTERCHROMOSOMAL[chr21--chr10]]
LINC00578::RP11-91K9.1	[INTRACHROMOSOMAL[chr3:0.06Mb],NEIGHBORS[64560]]
RP11-69I8.3::RP3-523C21.2	[INTRACHROMOSOMAL[chr6:0.01Mb],NEIGHBORS[7691]]
MACC1::AC005062.2	[INTRACHROMOSOMAL[chr7:0.01Mb],NEIGHBORS_OVERLAP:-:-:[5798]]
NBPF19::LINC00694	[INTERCHROMOSOMAL[chr1--chr3]]
KCNQ5::DST	[TCGA_StarF2019,TumorFusionsNAR2018,ChimerSeq,INTRACHROMOSOMAL[chr6:15.67Mb]]
LDLRAD3::PRR5L	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr11:0.06Mb],NEIGHBORS[64152]]
EHMT1::SPATA17	[TCGA_StarF2019,INTERCHROMOSOMAL[chr9--chr1]]
KIF26B::SMYD3	[ChimerSeq,TumorFusionsNAR2018,TCGA_StarF2019,INTRACHROMOSOMAL[chr1:0.04Mb],LOCAL_INVERSION:+:-:[39911]]
PCBP1-AS1::C2orf42	[TCGA_StarF2019,CCLE_StarF2019,INTRACHROMOSOMAL[chr2:0.05Mb],LOCAL_REARRANGEMENT:-:[46660]]
KLF9::FOXRED2	[ChimerSeq,TCGA_StarF2019,INTERCHROMOSOMAL[chr9--chr22]]
ATAD3A::RP11-150O12.2	[INTERCHROMOSOMAL[chr1--chr8]]
ZNF614::FXYD5	[TCGA_StarF2019,INTRACHROMOSOMAL[chr19:16.84Mb]]
RPS12::RPS12P18	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr6--chr10]]
RP11-834C11.12::RP11-834C11.4	[INTRACHROMOSOMAL[chr12:0.09Mb],NEIGHBORS[91210]]
N6AMT1::AF131217.1	[INTRACHROMOSOMAL[chr21:0.20Mb]]
SPRR3::SPRR1A	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr1:0.02Mb],LOCAL_REARRANGEMENT:+:[16247]]
TPPP::BRD9	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr5:0.16Mb]]
MTMR8::ASB12	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chrX:0.04Mb],NEIGHBORS[37450]]
PRR16::CTD-2334D19.1	[INTRACHROMOSOMAL[chr5:0.09Mb],NEIGHBORS[93886]]
RP11-411K7.1::MLIP	[INTRACHROMOSOMAL[chr6:0.02Mb],NEIGHBORS[21249]]
GTDC1::ARHGAP15	[INTRACHROMOSOMAL[chr2:0.17Mb]]
MICB::RPL23AP1	[INTRACHROMOSOMAL[chr6:1.77Mb]]
KRT5::KRT2	[DGD_PARALOGS,GTEx_recurrent_StarF2019,HGNC_GENEFAM,INTRACHROMOSOMAL[chr12:0.12Mb]]
CMTM8::CMTM7	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr3:0.02Mb],NEIGHBORS[21346]]
MYH6::TNNT2	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr14--chr1]]
PCDHGB1::PCDHGC5	[HGNC_GENEFAM,DGD_PARALOGS,INTRACHROMOSOMAL[chr5:0.14Mb]]
CTSC::RAB38	[Babiceanu_Normal,GTEx_recurrent_StarF2019,Greger_Normal,ChimerSeq,INTRACHROMOSOMAL[chr11:0.12Mb]]
HBB::HBG2	[DGD_PARALOGS,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr11:0.02Mb],LOCAL_REARRANGEMENT:-:[18879]]
HBB::HBG1	[GTEx_recurrent_StarF2019,DGD_PARALOGS,INTRACHROMOSOMAL[chr11:0.02Mb],LOCAL_REARRANGEMENT:-:[18688]]
RP11-128P17.3::RP11-128P17.2	[INTRACHROMOSOMAL[chr18:0.07Mb],NEIGHBORS[69347]]
RP11-96P7.1::CTD-2336H13.2	[INTRACHROMOSOMAL[chr16:0.08Mb],NEIGHBORS[77864]]
KRT18P59::PKNOX2	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr11:0.04Mb],NEIGHBORS[37906]]
PKD1::NPIPA2	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr16:12.61Mb]]
RSF1::CTD-2301A4.1	[INTERCHROMOSOMAL[chr11--chr5]]
ALDOA::ALDOB	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr16--chr9]]
HBA2::HBZ	[GTEx_recurrent_StarF2019,DGD_PARALOGS,INTRACHROMOSOMAL[chr16:0.02Mb],LOCAL_REARRANGEMENT:+:[18344]]
CPQ::REPS2	[INTERCHROMOSOMAL[chr8--chrX]]
GNG10::UGCG	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr9:0.23Mb]]
XPO6::GSG1L	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr16:0.03Mb],NEIGHBORS[34470]]
KB-1507C5.2::ATP6V1C1	[INTRACHROMOSOMAL[chr8:0.04Mb],NEIGHBORS[43187]]
COL3A1::COL1A1	[HGNC_GENEFAM,GTEx_recurrent_StarF2019,ChimerSeq,INTERCHROMOSOMAL[chr2--chr17]]
CANT1::DDX11L9	[TCGA_StarF2019,INTERCHROMOSOMAL[chr17--chr15]]
TNS4::CH507-513H4.1	[INTERCHROMOSOMAL[chr17--chr21]]
MTG1::ZNF350	[TCGA_StarF2019,INTERCHROMOSOMAL[chr10--chr19]]
COL4A2::COL4A1	[HGNC_GENEFAM,DGD_PARALOGS,GTEx_recurrent_StarF2019,ChimerPub,INTRACHROMOSOMAL[chr13:0.00Mb],NEIGHBORS_OVERLAP:+:-:[1337]]
CSNK2A1::DDX11L1	[INTERCHROMOSOMAL[chr20--chr1]]
TRAV4::TRAC	[HGNC_GENEFAM,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr14:0.54Mb]]
ALK::AC013403.13	[INTRACHROMOSOMAL[chr2:2.03Mb]]
PPDPF::RP11-216P16.4	[INTERCHROMOSOMAL[chr20--chr12]]
PROSC::CHMP1A	[TumorFusionsNAR2018,INTERCHROMOSOMAL[chr8--chr16]]
PCBP3::GRIK1	[TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr21:15.70Mb]]
PTMS::PTMA	[TCGA_StarF2019,INTERCHROMOSOMAL[chr12--chr2]]
BAALC-AS1::BAALC-AS2	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr8:0.02Mb],NEIGHBORS[15515]]
RP11-545G3.2::ACTR3B	[INTRACHROMOSOMAL[chr7:2.71Mb]]
AIG1::RP1-95L4.4	[INTRACHROMOSOMAL[chr6:0.00Mb],NEIGHBORS[1942]]
PPP2R4::CRAT	[TumorFusionsNAR2018,INTRACHROMOSOMAL[chr9:0.00Mb],NEIGHBORS_OVERLAP:+:-:[239]]
PTDSS2::B4GALNT4	[TCGA_StarF2019,INTRACHROMOSOMAL[chr11:0.07Mb],LOCAL_REARRANGEMENT:+:[66152]]
SLC16A12::LIPA	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr10:0.02Mb],NEIGHBORS[15742]]
CUL3::FAM124B	[TCGA_StarF2019,INTRACHROMOSOMAL[chr2:0.07Mb],NEIGHBORS[68065]]
COL1A2::COL18A1	[HGNC_GENEFAM,INTERCHROMOSOMAL[chr7--chr21]]
PCDHGA4::PCDHGC5	[DGD_PARALOGS,HGNC_GENEFAM,INTRACHROMOSOMAL[chr5:0.13Mb]]
KRT1::KRT6A	[HGNC_GENEFAM,DGD_PARALOGS,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr12:0.18Mb]]
FOXO3::RP11-440G9.1	[INTRACHROMOSOMAL[chr6:33.84Mb]]
RPL11::PNRC2	[TCGA_StarF2019,INTRACHROMOSOMAL[chr1:0.26Mb]]
RP11-279F6.1::PCAT29	[INTRACHROMOSOMAL[chr15:0.02Mb],NEIGHBORS[20689]]
LINC01036::LINC01037	[GTEx_recurrent_StarF2019,HGNC_GENEFAM,INTRACHROMOSOMAL[chr1:0.08Mb],NEIGHBORS[83283]]
RP11-494M8.4::OVCH2	[INTRACHROMOSOMAL[chr11:0.05Mb],NEIGHBORS[47972]]
RP11-381K20.2::KLHL3	[INTRACHROMOSOMAL[chr5:0.08Mb],NEIGHBORS[78243]]
COL8A1::CMSS1	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr3:0.02Mb],NEIGHBORS[18608]]
POC1B::DUSP6	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr12:0.07Mb],NEIGHBORS[66447]]
TTLL1::PACSIN2	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr22:0.02Mb],NEIGHBORS[24499]]
KRT75::VIM	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr12--chr10]]
SMG1::RP11-231C14.4	[INTRACHROMOSOMAL[chr16:10.56Mb]]
NCOR2::UBC	[ChimerSeq,GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr12:0.34Mb]]
HBA1::FKBP8	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr16--chr19]]
RMND5A::AC083899.3	[INTRACHROMOSOMAL[chr2:0.35Mb]]
MIR100HG::RP11-166D19.1	[INTRACHROMOSOMAL[chr11:0.04Mb],NEIGHBORS[39099]]
RP11-32B5.7::RP11-116P24.2	[INTRACHROMOSOMAL[chr15:0.52Mb]]
RP1-34H18.1::NAV3	[INTRACHROMOSOMAL[chr12:0.26Mb]]
RP11-626H12.1::ANO1	[INTRACHROMOSOMAL[chr11:0.06Mb],NEIGHBORS[62487]]
RP11-172E9.2::RP11-427J23.1	[INTRACHROMOSOMAL[chr13:0.07Mb],NEIGHBORS[70448]]
RP11-230B22.1::ATG4C	[INTRACHROMOSOMAL[chr1:0.07Mb],NEIGHBORS[73441]]
GUSBP2::C1QTNF3-AMACR	[INTERCHROMOSOMAL[chr6--chr5]]
BRD3::PTPN1	[INTERCHROMOSOMAL[chr9--chr20]]
SLC25A37::UBB	[GTEx_recurrent_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]
