#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	HPV16~91~-~chrX~84382556~+	chrX	84382556	+	HPV16	91	-	0+36	high	36
subset.insertion_seqs.fa	HPV16~3315~-~chrX~139075760~+	chrX	139075760	+	HPV16	3315	-	93+47	high	140
subset.insertion_seqs.fa	chr9~13662631~+~HPV16~1445~+	chr9	13662631	+	HPV16	1445	+	142+45	high	187
subset.insertion_seqs.fa	HPV16~6836~+~chr9~111395393~+	chr9	111395393	+	HPV16	6836	+	146+46	high	192
subset.insertion_seqs.fa	HPV16~1395~+~chr9~121708467~+	chr9	121708467	+	HPV16	1395	+	145+45	high	190
subset.insertion_seqs.fa	HPV16~6378~+~chr20~5942764~+	chr20	5942764	+	HPV16	6378	+	0+35	high	35
subset.insertion_seqs.fa	HPV16~6378~+~chr20~5942773~+	chr20	5942773	+	HPV16	6378	+	159+18	high	177
subset.insertion_seqs.fa	HPV16~6645~+~chr20~8398779~+	chr20	8398779	+	HPV16	6645	+	145+44	high	189
subset.insertion_seqs.fa	HPV16~2440~+~chr20~56601584~+	chr20	56601584	+	HPV16	2440	+	149+39	high	188
subset.insertion_seqs.fa	HPV16~6271~-~chr18~57040333~+	chr18	57040333	+	HPV16	6271	-	146+45	high	191
subset.insertion_seqs.fa	HPV16~4004~-~chr18~70954794~+	chr18	70954794	+	HPV16	4004	-	154+18	high	172
subset.insertion_seqs.fa	HPV16~7561~+~chr12~103578383~+	chr12	103578383	+	HPV16	7561	+	150+21	high	171
subset.insertion_seqs.fa	chr10~49807472~+~HPV16~6996~-	chr10	49807472	+	HPV16	6996	-	158+33	high	191
subset.insertion_seqs.fa	chrX~84382561~-~HPV16~91~+	chrX	84382561	-	HPV16	91	+	0+18	high	18
subset.insertion_seqs.fa	chr2~192283746~-~HPV16~151~+	chr2	192283746	-	HPV16	151	+	144+14	high	158
subset.insertion_seqs.fa	HPV16~1282~+~chr5~95896787~-	chr5	95896787	-	HPV16	1282	+	157+16	high	173
subset.insertion_seqs.fa	HPV16~1282~+~chr5~95896788~-	chr5	95896788	-	HPV16	1282	+	157+34	high	191
subset.insertion_seqs.fa	chr14~69352881~-~HPV16~1452~+	chr14	69352881	-	HPV16	1452	+	152+23	high	175
subset.insertion_seqs.fa	chr14~69352882~-~HPV16~1452~+	chr14	69352882	-	HPV16	1452	+	152+22	high	174
subset.insertion_seqs.fa	HPV16~1742~+~chr17~65500817~-	chr17	65500817	-	HPV16	1742	+	0+18	high	18
subset.insertion_seqs.fa	chr22~47977273~-~HPV16~2562~+	chr22	47977273	-	HPV16	2562	+	158+16	high	174
subset.insertion_seqs.fa	chr7~53022719~+~HPV16~2803~+	chr7	53022719	+	HPV16	2803	+	158+15	high	173
subset.insertion_seqs.fa	chr19~35202957~+~HPV16~3166~+	chr19	35202957	+	HPV16	3166	+	157+16	high	173
subset.insertion_seqs.fa	chr11~97654275~-~HPV16~3352~+	chr11	97654275	-	HPV16	3352	+	158+16	high	174
subset.insertion_seqs.fa	chr11~91587820~+~HPV16~3434~+	chr11	91587820	+	HPV16	3434	+	150+22	high	172
subset.insertion_seqs.fa	chr18~70954795~-~HPV16~4005~+	chr18	70954795	-	HPV16	4005	+	154+15	high	169
subset.insertion_seqs.fa	HPV16~4095~+~chr5~8026341~-	chr5	8026341	-	HPV16	4095	+	159+17	high	176
subset.insertion_seqs.fa	HPV16~4095~+~chr5~8026342~-	chr5	8026342	-	HPV16	4095	+	159+35	high	194
subset.insertion_seqs.fa	chr15~77771253~-~HPV16~4191~+	chr15	77771253	-	HPV16	4191	+	0+37	high	37
subset.insertion_seqs.fa	HPV16~4367~+~chr2~15501003~+	chr2	15501003	+	HPV16	4367	+	158+14	high	172
subset.insertion_seqs.fa	HPV16~4524~+~chr5~147888722~+	chr5	147888722	+	HPV16	4524	+	158+16	high	174
subset.insertion_seqs.fa	HPV16~4524~+~chr5~147888725~+	chr5	147888725	+	HPV16	4524	+	158+33	high	191
subset.insertion_seqs.fa	HPV16~4524~+~chr5~147888726~+	chr5	147888726	+	HPV16	4524	+	158+16	high	174
subset.insertion_seqs.fa	HPV16~4686~+~chr11~16347288~+	chr11	16347288	+	HPV16	4686	+	148+38	high	186
subset.insertion_seqs.fa	HPV16~4941~+~chr3~73560290~-	chr3	73560290	-	HPV16	4941	+	0+19	high	19
subset.insertion_seqs.fa	HPV16~5085~+~chr8~70416315~-	chr8	70416315	-	HPV16	5085	+	159+15	high	174
subset.insertion_seqs.fa	chr19~33720389~+~HPV16~5406~+	chr19	33720389	+	HPV16	5406	+	157+16	high	173
subset.insertion_seqs.fa	HPV16~6378~+~chr20~5942758~+	chr20	5942758	+	HPV16	6378	+	0+15	high	15
subset.insertion_seqs.fa	HPV16~6378~+~chr20~5942774~+	chr20	5942774	+	HPV16	6378	+	159+15	high	174
subset.insertion_seqs.fa	HPV16~6996~+~chr10~49807471~-	chr10	49807471	-	HPV16	6996	+	158+15	high	173
subset.insertion_seqs.fa	HPV16~7229~+~chr8~4650260~+	chr8	4650260	+	HPV16	7229	+	156+16	high	172
subset.insertion_seqs.fa	HPV16~7566~+~chr12~103578384~+	chr12	103578384	+	HPV16	7566	+	150+22	high	172
subset.insertion_seqs.fa	chr22~22971378~+~HPV16~910~+	chr22	22971378	+	HPV16	910	+	0+31	low	31
subset.insertion_seqs.fa	chrY~3600609~+~HPV16~4519~+	chrY	3600609	+	HPV16	4519	+	109+32	low	141
subset.insertion_seqs.fa	HPV16~5599~+~chr9~7295584~+	chr9	7295584	+	HPV16	5599	+	144+45	low	189
subset.insertion_seqs.fa	chr13~20273039~+~HPV16~3400~-	chr13	20273039	+	HPV16	3400	-	150+24	low	174
subset.insertion_seqs.fa	chr10~90823887~+~HPV16~7878~-	chr10	90823887	+	HPV16	7878	-	158+35	low	193
subset.insertion_seqs.fa	chr22~22971376~+~HPV16~910~+	chr22	22971376	+	HPV16	910	+	0+18	low	18
subset.insertion_seqs.fa	HPV16~6669~+~chr15~67904591~+	chr15	67904591	+	HPV16	6669	+	0+35	low	35
subset.insertion_seqs.fa	HPV16~6669~+~chr15~67904596~+	chr15	67904596	+	HPV16	6669	+	0+18	low	18
subset.insertion_seqs.fa	chr21~24941236~+~HPV16~2686-2766~NA	chr21	24941236	+	HPV16	2686-2766	NA	4+20	low	24
subset.insertion_seqs.fa	chr21~24941133~+~HPV16~2686-2766~NA	chr21	24941133	+	HPV16	2686-2766	NA	4+8	low	12
