sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	sample_type	sample
TARGET-00-BM5571-14A	NC_001405_35937nt_Human_mastadenovirus_C	35937	52	0	1723	0.048	AML-normal	TARGET-00-BM5571
TARGET-00-BM5571-14A	NC_001405_35937nt_Human_mastadenovirus_C	35937	52	0	1723	0.048	AML-normal	TARGET-00-BM5571
TARGET-00-BM5571-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	64	28	589	0.002	AML-normal	TARGET-00-BM5571
TARGET-00-BM5571-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	64	28	589	0.002	AML-normal	TARGET-00-BM5571
TARGET-20-PAMYGX-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	60	0	847	0.024	AML-tumor	TARGET-20-PAMYGX
TARGET-20-PAEIKD-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	82	0	1380	0.038	AML-tumor	TARGET-20-PAEIKD
TARGET-40-PALFYN-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	121	0	2632	0.073	OS-tumor	TARGET-40-PALFYN
TARGET-20-PANHYK-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	100	0	1360	0.038	AML-tumor	TARGET-20-PANHYK
TARGET-52-PASILR-01A	NC_038319_7339nt_Human_parechovirus_1	7339	2049	7	1710	0.233	RT-tumor	TARGET-52-PASILR
TARGET-52-PASILR-01A	NC_001897_7348nt_Parechovirus_A	7348	2464	108	1381	0.188	RT-tumor	TARGET-52-PASILR
TARGET-20-PAPBEJ-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	114	0	1214	0.034	AML-tumor	TARGET-20-PAPBEJ
TARGET-10-PATALJ-09A	NC_001702_8135nt_Murine_type_C_retrovirus	8135	280	0	5033	0.619	ALL-tumor	TARGET-10-PATALJ
TARGET-10-PATALJ-09A	NC_007815_8197nt_PreXMRV_1	8197	82	0	2985	0.364	ALL-tumor	TARGET-10-PATALJ
TARGET-20-PANZKA-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	56	0	818	0.023	AML-tumor	TARGET-20-PANZKA
TARGET-20-PASWAJ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	92	0	1352	0.038	AML-tumor	TARGET-20-PASWAJ
TARGET-20-PAKIWK-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	124	0	866	0.024	AML-tumor	TARGET-20-PAKIWK
TARGET-00-BM5759-14A	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	87	0	1138	0.217	AML-normal	TARGET-00-BM5759
TARGET-00-BM5759-14A	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	87	0	1138	0.217	AML-normal	TARGET-00-BM5759
TARGET-00-BM5759-14A	NC_001405_35937nt_Human_mastadenovirus_C	35937	94	0	1974	0.055	AML-normal	TARGET-00-BM5759
TARGET-00-BM5759-14A	NC_001405_35937nt_Human_mastadenovirus_C	35937	94	0	1974	0.055	AML-normal	TARGET-00-BM5759
TARGET-00-BM5759-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	111	10	610	0.003	AML-normal	TARGET-00-BM5759
TARGET-00-BM5759-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	111	10	610	0.003	AML-normal	TARGET-00-BM5759
TARGET-20-PAKSMZ-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	138	0	1042	0.029	AML-tumor	TARGET-20-PAKSMZ
TARGET-10-PARAYM-09A	NC_001702_8135nt_Murine_type_C_retrovirus	8135	333	0	5227	0.643	ALL-tumor	TARGET-10-PARAYM
TARGET-10-PARAYM-09A	NC_007815_8197nt_PreXMRV_1	8197	79	0	2722	0.332	ALL-tumor	TARGET-10-PARAYM
TARGET-10-PARAYM-09A	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	56	0	1148	0.138	ALL-tumor	TARGET-10-PARAYM
TARGET-20-PARKCX-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	130	0	1337	0.037	AML-tumor	TARGET-20-PARKCX
TARGET-10-PAUBCT-09A	NC_039237_12513nt_Bovine_viral_diarrhea_virus_2	12513	64	0	3605	0.288	ALL-tumor	TARGET-10-PAUBCT
TARGET-20-PASTUH-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	186	0	1920	0.053	AML-tumor	TARGET-20-PASTUH
TARGET-10-PATZVD-09A	NC_039237_12513nt_Bovine_viral_diarrhea_virus_2	12513	67	0	4296	0.343	ALL-tumor	TARGET-10-PATZVD
TARGET-10-PATEVE-09B	NC_001405_35937nt_Human_mastadenovirus_C	35937	60	0	1694	0.047	ALL-tumor	TARGET-10-PATEVE
TARGET-10-PATEVE-09B	NC_001716_153080nt_Human_betaherpesvirus_7	153080	86	10	799	0.005	ALL-tumor	TARGET-10-PATEVE
TARGET-20-PAEFGT-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	208	0	1355	0.038	AML-tumor	TARGET-20-PAEFGT
TARGET-20-PABLDZ-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	72	7	2252	0.245	AML-tumor	TARGET-20-PABLDZ
TARGET-20-PABLDZ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	533	0	1998	0.056	AML-tumor	TARGET-20-PABLDZ
TARGET-20-PANLIZ-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	242	0	1822	0.051	AML-tumor	TARGET-20-PANLIZ
TARGET-40-PALHRL-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	87	0	1376	0.038	OS-tumor	TARGET-40-PALHRL
TARGET-52-PADWRZ-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	142	0	1932	0.054	RT-tumor	TARGET-52-PADWRZ
TARGET-20-PARCZL-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	188	0	1492	0.042	AML-tumor	TARGET-20-PARCZL
TARGET-20-PAEERJ-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	54	0	558	0.016	AML-tumor	TARGET-20-PAEERJ
TARGET-20-PARUBT-40A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	71	0	2893	0.315	AML-tumor	TARGET-20-PARUBT
TARGET-20-PARUBT-40A	NC_001405_35937nt_Human_mastadenovirus_C	35937	418	0	1793	0.05	AML-tumor	TARGET-20-PARUBT
TARGET-52-PAKTCT-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	62	0	1092	0.03	RT-tumor	TARGET-52-PAKTCT
TARGET-20-PANPLS-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	134	0	1326	0.037	AML-tumor	TARGET-20-PANPLS
TARGET-20-PASXNR-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	104	0	1150	0.032	AML-tumor	TARGET-20-PASXNR
TARGET-00-BM5776-14A	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	54	0	893	0.17	AML-normal	TARGET-00-BM5776
TARGET-00-BM5776-14A	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	54	0	893	0.17	AML-normal	TARGET-00-BM5776
TARGET-00-BM5776-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	64	0	590	0.003	AML-normal	TARGET-00-BM5776
TARGET-00-BM5776-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	64	0	590	0.003	AML-normal	TARGET-00-BM5776
TARGET-20-PASXYG-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	296	0	1450	0.04	AML-tumor	TARGET-20-PASXYG
TARGET-20-PARUNX-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	480	0	1737	0.048	AML-tumor	TARGET-20-PARUNX
TARGET-20-PARUNX-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	92	0	3318	0.361	AML-tumor	TARGET-20-PARUNX
TARGET-20-PARUNX-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	420	5	1891	0.053	AML-tumor	TARGET-20-PARUNX
TARGET-52-PADYCE-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	68	0	875	0.024	RT-tumor	TARGET-52-PADYCE
TARGET-20-PANGTF-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	94	0	1234	0.034	AML-tumor	TARGET-20-PANGTF
TARGET-20-PARTAL-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	190	0	1749	0.049	AML-tumor	TARGET-20-PARTAL
TARGET-20-PANLIZ-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	50	0	2480	0.27	AML-tumor	TARGET-20-PANLIZ
TARGET-20-PANLIZ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	114	0	1414	0.039	AML-tumor	TARGET-20-PANLIZ
TARGET-20-PARPDS-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	122	0	1568	0.044	AML-tumor	TARGET-20-PARPDS
TARGET-20-PANLLX-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	86	0	1195	0.033	AML-tumor	TARGET-20-PANLLX
TARGET-20-PARYVW-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	66	0	955	0.027	AML-tumor	TARGET-20-PARYVW
TARGET-20-PADZCG-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	52	0	2481	0.27	AML-tumor	TARGET-20-PADZCG
TARGET-20-PADZCG-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	248	0	2037	0.057	AML-tumor	TARGET-20-PADZCG
TARGET-20-PASGWH-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	284	0	1349	0.038	AML-tumor	TARGET-20-PASGWH
TARGET-40-PALKGN-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	134	0	2296	0.064	OS-tumor	TARGET-40-PALKGN
TARGET-20-PARBIU-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	110	0	1498	0.042	AML-tumor	TARGET-20-PARBIU
TARGET-20-PARXMP-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	210	0	1623	0.045	AML-tumor	TARGET-20-PARXMP
TARGET-20-PARFAL-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	90	0	1233	0.034	AML-tumor	TARGET-20-PARFAL
TARGET-20-PASBHI-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	242	0	1695	0.047	AML-tumor	TARGET-20-PASBHI
TARGET-20-PADYIR-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	137	0	1324	0.037	AML-tumor	TARGET-20-PADYIR
TARGET-20-PASCGR-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	164	0	1771	0.049	AML-tumor	TARGET-20-PASCGR
TARGET-10-PARWVN-03A	NC_001716_153080nt_Human_betaherpesvirus_7	153080	59	35	830	0.005	ALL-tumor	TARGET-10-PARWVN
TARGET-20-PARTAL-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	164	0	1543	0.043	AML-tumor	TARGET-20-PARTAL
TARGET-00-BM4203-14A	NC_001405_35937nt_Human_mastadenovirus_C	35937	53	0	1927	0.054	AML-normal	TARGET-00-BM4203
TARGET-00-BM4203-14A	NC_001405_35937nt_Human_mastadenovirus_C	35937	53	0	1927	0.054	AML-normal	TARGET-00-BM4203
TARGET-00-BM4203-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	64	0	592	0.003	AML-normal	TARGET-00-BM4203
TARGET-00-BM4203-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	64	0	592	0.003	AML-normal	TARGET-00-BM4203
TARGET-21-PATAIJ-09A	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	62	10	1155	0.139	AML-tumor	TARGET-21-PATAIJ
TARGET-20-PAEERJ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	54	0	728	0.02	AML-tumor	TARGET-20-PAEERJ
TARGET-20-PASPLU-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	52	0	809	0.023	AML-tumor	TARGET-20-PASPLU
TARGET-20-PARSAN-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	92	0	1209	0.034	AML-tumor	TARGET-20-PARSAN
TARGET-20-PARJYP-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	52	0	993	0.028	AML-tumor	TARGET-20-PARJYP
TARGET-20-PARIMT-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	112	0	1478	0.041	AML-tumor	TARGET-20-PARIMT
TARGET-20-PARIHK-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	174	0	1269	0.035	AML-tumor	TARGET-20-PARIHK
TARGET-20-PASVVS-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	54	0	964	0.027	AML-tumor	TARGET-20-PASVVS
TARGET-20-PANDIX-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	174	0	1534	0.043	AML-tumor	TARGET-20-PANDIX
TARGET-20-PASPGA-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	372	0	1447	0.04	AML-tumor	TARGET-20-PASPGA
TARGET-20-PARSHM-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	238	0	1807	0.05	AML-tumor	TARGET-20-PARSHM
TARGET-20-SJAML007112-09A	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	58	0	1713	0.01	ALL-tumor	TARGET-20-SJAML007112
TARGET-20-PASBBE-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	136	0	956	0.027	AML-tumor	TARGET-20-PASBBE
TARGET-10-PARFWD-03B	HPV92	7461	82	0	3814	0.511	ALL-tumor	TARGET-10-PARFWD
TARGET-10-PARFWD-03B	NC_001405_35937nt_Human_mastadenovirus_C	35937	65	0	1891	0.053	ALL-tumor	TARGET-10-PARFWD
TARGET-10-PARFWD-03B	NC_006273_235646nt_Human_betaherpesvirus_5	235646	62	0	570	0.002	ALL-tumor	TARGET-10-PARFWD
TARGET-20-PARLVL-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	312	0	1856	0.052	AML-tumor	TARGET-20-PARLVL
TARGET-20-PATIAK-09A	NC_000898_162114nt_Human_betaherpesvirus_6B	162114	1172	0	48783	0.301	AML-tumor	TARGET-20-PATIAK
TARGET-20-PASHYZ-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	58	0	2632	0.287	AML-tumor	TARGET-20-PASHYZ
TARGET-20-PASHYZ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	278	0	1848	0.051	AML-tumor	TARGET-20-PASHYZ
TARGET-15-SJMPAL043514-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	104	0	3139	0.087	ALL-tumor	TARGET-15-SJMPAL043514
TARGET-15-SJMPAL043510-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	71	0	2738	0.076	ALL-tumor	TARGET-15-SJMPAL043510
TARGET-20-PARDDY-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	158	0	1735	0.048	AML-tumor	TARGET-20-PARDDY
TARGET-52-PAJMBW-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	75	0	1361	0.038	RT-tumor	TARGET-52-PAJMBW
TARGET-20-PASTUH-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	96	0	1005	0.028	AML-tumor	TARGET-20-PASTUH
TARGET-40-PAMHYN-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	89	0	2279	0.063	OS-tumor	TARGET-40-PAMHYN
TARGET-20-PASWPD-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	192	0	1507	0.042	AML-tumor	TARGET-20-PASWPD
TARGET-15-SJMPAL012418-09A	NC_000898_162114nt_Human_betaherpesvirus_6B	162114	151	0	11844	0.073	ALL-tumor	TARGET-15-SJMPAL012418
TARGET-20-PAKERZ-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	58	0	984	0.027	AML-tumor	TARGET-20-PAKERZ
TARGET-20-PAMYAS-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	126	0	1418	0.039	AML-tumor	TARGET-20-PAMYAS
TARGET-20-PARDMG-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	102	0	1086	0.03	AML-tumor	TARGET-20-PARDMG
TARGET-15-SJMPAL043511-09B	NC_001405_35937nt_Human_mastadenovirus_C	35937	98	0	2094	0.058	ALL-tumor	TARGET-15-SJMPAL043511
TARGET-40-PANSEN-01A	NC_001405_35937nt_Human_mastadenovirus_C	35937	66	0	2183	0.061	OS-tumor	TARGET-40-PANSEN
TARGET-20-PAKTCX-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	108	0	3253	0.354	AML-tumor	TARGET-20-PAKTCX
TARGET-20-PAKTCX-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	444	6	2094	0.058	AML-tumor	TARGET-20-PAKTCX
TARGET-30-PANUIF-01A	NC_001716_153080nt_Human_betaherpesvirus_7	153080	70	0	4865	0.032	NBL-tumor	TARGET-30-PANUIF
TARGET-20-PANLKB-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	64	0	1437	0.04	AML-tumor	TARGET-20-PANLKB
TARGET-20-PANPKN-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	332	0	2282	0.064	AML-tumor	TARGET-20-PANPKN
TARGET-20-PATIAK-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	168	0	1339	0.037	AML-tumor	TARGET-20-PATIAK
TARGET-20-PANYSN-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	198	0	1453	0.04	AML-tumor	TARGET-20-PANYSN
TARGET-20-PARCCH-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	177	0	1173	0.033	AML-tumor	TARGET-20-PARCCH
TARGET-20-PAKERZ-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	62	0	2753	0.3	AML-tumor	TARGET-20-PAKERZ
TARGET-20-PAKERZ-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	302	0	1770	0.049	AML-tumor	TARGET-20-PAKERZ
TARGET-20-PASTTW-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	82	0	1091	0.03	AML-tumor	TARGET-20-PASTTW
TARGET-20-PAKIWK-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	168	0	1931	0.054	AML-tumor	TARGET-20-PAKIWK
TARGET-15-SJMPAL044950-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	258	0	3325	0.093	ALL-tumor	TARGET-15-SJMPAL044950
TARGET-15-SJMPAL044950-09A	NC_001479_7835nt_Encephalomyocarditis_virus	7835	71	25	564	0.072	ALL-tumor	TARGET-15-SJMPAL044950
TARGET-20-PARYFN-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	184	0	1334	0.037	AML-tumor	TARGET-20-PARYFN
TARGET-20-PANNHB-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	96	0	1334	0.037	AML-tumor	TARGET-20-PANNHB
TARGET-20-PAEFGR-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	96	0	1471	0.041	AML-tumor	TARGET-20-PAEFGR
TARGET-20-PARUDL-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	112	0	1312	0.037	AML-tumor	TARGET-20-PARUDL
TARGET-20-PALGKX-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	204	0	1809	0.05	AML-tumor	TARGET-20-PALGKX
TARGET-20-PARYVW-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	232	0	1438	0.04	AML-tumor	TARGET-20-PARYVW
TARGET-20-PANLIR-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	117	0	1323	0.037	AML-tumor	TARGET-20-PANLIR
TARGET-20-PASYJI-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	92	0	3413	0.372	AML-tumor	TARGET-20-PASYJI
TARGET-20-PASYJI-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	484	5	1719	0.048	AML-tumor	TARGET-20-PASYJI
TARGET-15-SJMPAL003414-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	88	0	2514	0.07	ALL-tumor	TARGET-15-SJMPAL003414
TARGET-20-PANLXM-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	106	0	1392	0.039	AML-tumor	TARGET-20-PANLXM
TARGET-20-PASINN-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	198	0	1666	0.046	AML-tumor	TARGET-20-PASINN
TARGET-20-PATDNN-04A	NC_001802_9181nt_Human_immunodeficiency_virus_1	9181	72	0	3086	0.336	AML-tumor	TARGET-20-PATDNN
TARGET-20-PATDNN-04A	NC_001405_35937nt_Human_mastadenovirus_C	35937	255	0	1622	0.045	AML-tumor	TARGET-20-PATDNN
TARGET-20-PAKTCX-09A	NC_001405_35937nt_Human_mastadenovirus_C	35937	232	0	1751	0.049	AML-tumor	TARGET-20-PAKTCX
TARGET-20-PANYNR-03A	NC_001405_35937nt_Human_mastadenovirus_C	35937	284	0	1496	0.042	AML-tumor	TARGET-20-PANYNR
TARGET-00-BM5682-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	60	0	589	0.002	AML-normal	TARGET-00-BM5682
TARGET-00-BM5682-14A	NC_006273_235646nt_Human_betaherpesvirus_5	235646	60	0	589	0.002	AML-normal	TARGET-00-BM5682
TARGET-10-PAPSPG-04A	NC_001710_9392nt_GB_virus_C	9392	282	0	6811	0.725	ALL-tumor	TARGET-10-PAPSPG
TARGET-10-PAPSPG-04A	NC_001710_9392nt_GB_virus_C	9392	282	0	6811	0.725	ALL-tumor	TARGET-10-PAPSPG
