cohort	project	sample_id	seqtype	chrom	virus	contig	sample_region_expr	mean_region_expr	log2_fold_change	expr_quantile	region_gene_list
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~7597~-~chr2~43718279~+	18.81	13.57	0.47	1.00	PLEKHH2^ENSG00000152527.12
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~43776286~+~HPV18~2002~-	57.86	30.53	0.92	1.00	PLEKHH2^ENSG00000152527.12,RN7SKP66^ENSG00000252490.1,DYNC2LI1^ENSG00000138036.17
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~7597~-~chr1~94332271~+	24.70	8.01	1.62	0.97	RP11-148B18.4^ENSG00000236098.1,RP11-148B18.3^ENSG00000226835.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~44118789~+~HPV18~7597~+	42.03	39.15	0.10	0.97	AEBP1^ENSG00000106624.7,MIR4649^ENSG00000264652.1,POLD2^ENSG00000106628.9,RNA5SP230^ENSG00000252848.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr5	HPV18	chr5~36120529~+~HPV18~7597~+	15.51	15.76	-0.02	0.39	LMBRD2^ENSG00000164187.6
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr20	HPV18	chr20~15322061~+~HPV18~7597~+	13.35	12.42	0.10	0.74	MACROD2^ENSG00000172264.15
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr11	HPV18	chr11~64347064~+~HPV18~7597~+	17.10	17.29	-0.02	0.73	CCDC88B^ENSG00000168071.20,MIR7155^ENSG00000278359.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr18	HPV18	chr18~27520025~+~HPV18~7597~+	0.00	1.50	-7.24	0.26	RP11-739N10.1^ENSG00000264151.4
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	chr9~129211050~+~HPV18~2006~+	10.76	10.89	-0.02	0.51	RP11-247A12.2^ENSG00000204055.4
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	chr9~109413224~+~HPV18~2006~+	16.37	16.63	-0.02	0.32	PTPN3^ENSG00000070159.12
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	chr9~10036852~+~HPV18~2006~+	13.73	10.12	0.44	0.89	PTPRD^ENSG00000153707.14
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~102106358~+~HPV18~2006~+	16.74	16.99	-0.02	0.35	CUX1^ENSG00000257923.8
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr6	HPV18	chr6~157040208~+~HPV18~2006~+	16.62	16.67	-0.00	0.42	ARID1B^ENSG00000049618.20
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr4	HPV18	chr4~41069064~+~HPV18~2006~+	15.50	15.24	0.02	0.62	APBB2^ENSG00000163697.15
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr22	HPV18	chr22~50535853~+~HPV18~2006~+	87.03	89.41	-0.04	0.34	SCO2^ENSG00000130489.11,TYMP^ENSG00000025708.11,ODF3B^ENSG00000177989.12,CTA-384D8.35^ENSG00000272666.1,CTA-384D8.34^ENSG00000273272.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~99460345~+~HPV18~2006~+	16.66	16.85	-0.02	0.34	REV1^ENSG00000135945.8
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	chr2~113836937~+~HPV18~2006~+	13.18	20.36	-0.63	0.23	AC024704.2^ENSG00000244063.1,AC104653.1^ENSG00000228857.2
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr15	HPV18	chr15~65313880~+~HPV18~2006~+	0.00	4.58	-8.84	0.33	RNU5B-1^ENSG00000200156.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	chr1~86496998~+~HPV18~2006~+	7.42	2.77	1.42	0.85	CLCA1^ENSG00000016490.14
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chrX	HPV18	HPV18~2006~-~chrX~97301962~+	15.17	14.96	0.02	0.43	DIAPH2^ENSG00000147202.16
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr9	HPV18	HPV18~2006~-~chr9~109452017~+	16.37	16.63	-0.02	0.32	PTPN3^ENSG00000070159.12
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr21	HPV18	HPV18~2006~-~chr21~43795889~+	30.43	32.28	-0.09	0.19	RRP1^ENSG00000160214.11,AATBC^ENSG00000215458.7
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr2	HPV18	HPV18~2006~-~chr2~213804431~+	15.74	14.95	0.07	0.74	SPAG16^ENSG00000144451.17
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr17	HPV18	HPV18~2006~-~chr17~6435459~+	17.51	23.66	-0.43	0.22	AIPL1^ENSG00000129221.13,FAM64A^ENSG00000129195.14
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr17	HPV18	HPV18~2006~-~chr17~10164190~+	16.69	14.56	0.20	0.94	GAS7^ENSG00000007237.17
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~2006~-~chr1~156304145~+	38.15	41.58	-0.12	0.14	GLMP^ENSG00000198715.10,VHLL^ENSG00000189030.9,CCT3^ENSG00000163468.13
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr5	HPV18	chr5~36120529~+~HPV18~1993~+	15.51	15.76	-0.02	0.39	LMBRD2^ENSG00000164187.6
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr11	HPV18	chr11~64347064~+~HPV18~1993~+	17.10	17.29	-0.02	0.73	CCDC88B^ENSG00000168071.20,MIR7155^ENSG00000278359.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr20	HPV18	chr20~15322061~+~HPV18~1993~+	13.35	12.42	0.10	0.74	MACROD2^ENSG00000172264.15
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~44118789~+~HPV18~1993~+	42.03	39.15	0.10	0.97	AEBP1^ENSG00000106624.7,MIR4649^ENSG00000264652.1,POLD2^ENSG00000106628.9,RNA5SP230^ENSG00000252848.1
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr19	HPV18	HPV18~1993~-~chr19~14327855~+	24.91	19.55	0.35	0.86	CTC-548K16.2^ENSG00000266913.1,CTC-548K16.1^ENSG00000267147.2
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr10	HPV18	HPV18~1993~-~chr10~125604561~+	11.76	4.24	1.47	0.92	TEX36^ENSG00000175018.11
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr18	HPV18	chr18~27520025~+~HPV18~1993~+	0.00	1.50	-7.24	0.50	RP11-739N10.1^ENSG00000264151.4
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr7	HPV18	chr7~26359926~+~HPV18~1993~+	15.79	16.21	-0.04	0.35	SNX10^ENSG00000086300.14
TCGA	CESC	CESC-C5-A7X8-TP	RNA	chr1	HPV18	HPV18~7597~-~chr1~154295125~+	0.00	0.49	-5.64	0.53	SNORD59^ENSG00000252682.1,RNU6-239P^ENSG00000212292.1,RNU6-121P^ENSG00000222457.1
TCGA	HNSC	HNSC-P3-A6SW-TP	RNA	chr12	HPV16	chr12~90905865~+~HPV16~881~-	18.15	1.25	3.85	1.00	CCER1^ENSG00000197651.4
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33707970~+~HPV16~881~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33710040~+~HPV16~2600~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~3357~-~chr20~33707387~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~5777~-~chr20~33669145~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~1786~-~chr20~33705938~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~637~-~chr20~33667157~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~7055~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~2708~-~chr20~33707383~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~3357~-~chr20~33658476~+	84.24	72.21	0.22	1.00	CBFA2T2^ENSG00000078699.20,RP1-63M2.7^ENSG00000275223.1,NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33707970~+~HPV16~227~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33701467~+~HPV16~3358~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~7461~-~chr20~33700711~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~3357~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~741~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~2708~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
TCGA	CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33709886~+~HPV16~1587~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
TCGA	HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	chr4~139807086~+~HPV16~2974~-	18.70	14.71	0.35	1.00	MAML3^ENSG00000196782.11
TCGA	HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	chr4~139730668~+~HPV16~881~-	37.41	32.79	0.19	1.00	MGST2^ENSG00000085871.7,MAML3^ENSG00000196782.11
TCGA	HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	HPV16~3357~-~chr4~139889356~+	18.70	14.71	0.35	1.00	MAML3^ENSG00000196782.11
TCGA	HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	chr4~139784591~+~HPV16~882~-	31.24	15.15	1.04	1.00	MAML3^ENSG00000196782.11,RN7SKP253^ENSG00000252233.1
TCGA	LGG	LGG-QH-A6CS-TP	RNA	chr5	HBV	NC_003977_3182nt_Hepatitis_B_virus~1793~+~chr5~1306848~+	0.00	0.02	-1.73	0.40	MIR4457^ENSG00000263670.1
TCGA	LGG	LGG-QH-A6CS-TP	RNA	chr4	HBV	NC_003977_3182nt_Hepatitis_B_virus~1804~+~chr4~129752655~+	0.00	0.63	-5.99	0.58	RP11-519M16.1^ENSG00000246876.5
TCGA	CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73413637~+~HPV16~881~-	30.59	9.61	1.67	0.99	MARK2P12^ENSG00000229708.1,LINC00393^ENSG00000224853.1
TCGA	CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73477207~+~HPV16~881~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
TCGA	CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73456963~+~HPV16~881~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
TCGA	CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73497733~+~HPV16~2442~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
TCGA	CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73451336~+~HPV16~882~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
TCGA	CESC	CESC-JW-A69B-TP	RNA	chr9	HPV16	chr9~133255382~+~HPV16~3924~+	16.64	15.36	0.12	0.58	ABO^ENSG00000175164.12
TCGA	CESC	CESC-HG-A2PA-TP	RNA	chr3	HPV16	HPV16~1859~+~chr3~189899756~+	20.54	17.80	0.21	0.79	TP63^ENSG00000073282.11
TCGA	CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159203657~+~HPV18~930~-	34.70	27.25	0.35	0.99	RNF145^ENSG00000145860.10,CTB-11I22.1^ENSG00000253256.1
TCGA	CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159203657~+~HPV18~234~-	34.70	27.25	0.35	0.99	RNF145^ENSG00000145860.10,CTB-11I22.1^ENSG00000253256.1
TCGA	CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159194826~+~HPV18~239~-	22.58	19.29	0.23	1.00	RNF145^ENSG00000145860.10
TCGA	CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159206049~+~HPV18~1761~-	34.70	27.25	0.35	0.99	RNF145^ENSG00000145860.10,CTB-11I22.1^ENSG00000253256.1
TCGA	LIHC	LIHC-DD-AADK-TP	RNA	chr19	HBV	NC_003977_3182nt_Hepatitis_B_virus~1818~+~chr19~35722273~+	31.62	28.14	0.17	0.97	ZBTB32^ENSG00000011590.12,KMT2B^ENSG00000272333.4
TCGA	CESC	CESC-C5-A7X3-TP	RNA	chr1	HPV45	HPV45~930~+~chr1~43464843~+	14.68	13.57	0.11	0.86	HYI-AS1^ENSG00000229348.1
TCGA	CESC	CESC-C5-A7X3-TP	RNA	chr1	HPV45	HPV45~2462~+~chr1~43462500~+	47.15	45.95	0.04	0.77	SZT2^ENSG00000198198.12,HYI^ENSG00000178922.15,HYI-AS1^ENSG00000229348.1
TCGA	CESC	CESC-C5-A7X3-TP	RNA	chr1	HPV45	chr1~43435330~+~HPV45~3403~+	15.05	15.75	-0.07	0.07	SZT2^ENSG00000198198.12
TCGA	CESC	CESC-C5-A7X3-TP	RNA	chr11	HPV45	chr11~32337694~+~HPV45~3391~+	9.03	4.48	1.01	0.80	THEM7P^ENSG00000227160.2
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68237177~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~918~+~chr14~68232968~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68234922~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~229~+~chr14~68411421~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	chr14~68274977~+~HPV16~3434~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68291883~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~227~+~chr14~68237177~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~229~+~chr14~68497120~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~227~+~chr14~68291883~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~3981~+~chr14~68216852~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
TCGA	HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~227~+~chr14~68234922~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206039055~+~HPV16~881~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~205978929~+~HPV16~881~-	20.38	16.95	0.27	1.00	RAB7B^ENSG00000276600.3
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206066515~+~HPV16~2091~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206032222~+~HPV16~881~-	59.39	27.42	1.11	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1,C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206047619~+~HPV16~881~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206062939~+~HPV16~881~-	18.31	15.04	0.28	0.82	C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206039055~+~HPV16~227~-	18.31	15.04	0.28	0.82	C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206049015~+~HPV16~877~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206032223~+~HPV16~227~-	59.39	27.42	1.11	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1,C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~205978929~+~HPV16~227~-	20.38	16.95	0.27	1.00	RAB7B^ENSG00000276600.3
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206050938~+~HPV16~861~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206027475~+~HPV16~855~-	59.39	27.42	1.11	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1,C1orf186^ENSG00000263961.5
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206016130~+~HPV16~844~-	41.08	12.37	1.73	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1
TCGA	CESC	CESC-VS-A8QA-TP	RNA	chr18	HPV16	HPV16~2091~+~chr18~9192781~+	15.78	16.05	-0.02	0.30	ANKRD12^ENSG00000101745.14
TCGA	CESC	CESC-EK-A2RC-TP	RNA	chr4	HPV16	HPV16~881~+~chr4~67700453~+	38.51	32.48	0.25	1.00	UBA6^ENSG00000033178.11,UBA6-AS1^ENSG00000248049.5
TCGA	CESC	CESC-EK-A2RC-TP	RNA	chr4	HPV16	HPV16~1471~+~chr4~67700381~+	38.51	32.48	0.25	1.00	UBA6^ENSG00000033178.11,UBA6-AS1^ENSG00000248049.5
TCGA	STAD	STAD-BR-8686-TP	RNA	chr16	Eppstein-Barr	NC_009334_172764nt_Human_herpesvirus_4_type_2~151300~-~chr16~12733253~+	16.84	16.77	0.01	0.50	CPPED1^ENSG00000103381.10
TCGA	STAD	STAD-BR-8686-TP	RNA	chr21	Eppstein-Barr	NC_009334_172764nt_Human_herpesvirus_4_type_2~161580~+~chr21~8445303~+	90.30	89.09	0.02	0.53	FP236383.7^ENSG00000276737.1,FP236383.5^ENSG00000275783.1,FP236383.1^ENSG00000274519.1,CH507-513H4.3^ENSG00000281181.1,RNA5-8S5^ENSG00000278189.1,FP236383.9^ENSG00000276924.1,FP236383.12^ENSG00000277644.1,FP236383.3^ENSG00000274735.1
