sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tissue_id
SH10TC_STOMACH	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	15937	490	4140	0.497	STOMACH
SH10TC_STOMACH	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	94246	99	4023	0.483	STOMACH
NCIH2126_LUNG	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	52	0	2600	0.306	LUNG
SNUC4_LARGE_INTESTINE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	165884	532	8136	1	LARGE_INTESTINE
SNUC4_LARGE_INTESTINE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	148	0	4706	0.565	LARGE_INTESTINE
SNUC4_LARGE_INTESTINE	NC_007815_8197nt_PreXMRV_1	8197	6566	213	4169	0.509	LARGE_INTESTINE
HEPG2_LIVER	NC_001702_8135nt_Murine_type_C_retrovirus	8135	289	0	7272	0.894	LIVER
HEPG2_LIVER	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	50	0	3533	0.232	LIVER
KYSE150_OESOPHAGUS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	402	0	7705	0.947	OESOPHAGUS
HS870T_FIBROBLAST	NC_001664_159378nt_Human_betaherpesvirus_6A	159378	54	0	3545	0.022	FIBROBLAST
HCC2814_LUNG	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	144	0	4244	0.499	LUNG
HCC2814_LUNG	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	132	0	6148	0.403	LUNG
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	575	0	7976	0.98	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	66	0	3889	0.255	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GSS_STOMACH	NC_001702_8135nt_Murine_type_C_retrovirus	8135	3368	0	8134	1	STOMACH
GSS_STOMACH	NC_007815_8197nt_PreXMRV_1	8197	108	0	1466	0.179	STOMACH
SW837_LARGE_INTESTINE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	1027	0	5828	0.699	LARGE_INTESTINE
HMEL_BREAST	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	153547	2741	2813	0.537	BREAST
HMEL_BREAST	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	79426	5450	4357	0.523	BREAST
HMEL_BREAST	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	118	0	4248	0.499	BREAST
HMEL_BREAST	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	114	0	5842	0.383	BREAST
HMEL_BREAST	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	671	0	754	0.091	BREAST
KYSE410_OESOPHAGUS	NC_007815_8197nt_PreXMRV_1	8197	218	0	5568	0.679	OESOPHAGUS
KYSE410_OESOPHAGUS	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	62	0	3898	0.256	OESOPHAGUS
KE39_STOMACH	NC_001702_8135nt_Murine_type_C_retrovirus	8135	401	0	7581	0.932	STOMACH
H4_CENTRAL_NERVOUS_SYSTEM	NC_001702_8135nt_Murine_type_C_retrovirus	8135	372	0	4684	0.576	CENTRAL_NERVOUS_SYSTEM
H4_CENTRAL_NERVOUS_SYSTEM	NC_007815_8197nt_PreXMRV_1	8197	96	0	2173	0.265	CENTRAL_NERVOUS_SYSTEM
H4_CENTRAL_NERVOUS_SYSTEM	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	76	0	1663	0.2	CENTRAL_NERVOUS_SYSTEM
MON_SOFT_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	63	0	3353	0.394	SOFT_TISSUE
LU65_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	814304	2732	8136	1	LUNG
LU65_LUNG	NC_007815_8197nt_PreXMRV_1	8197	35892	981	7222	0.881	LUNG
LU65_LUNG	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	776	0	2641	0.317	LUNG
LU65_LUNG	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	9722	0	2501	0.3	LUNG
MDAMB415_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	156	0	5752	0.707	BREAST
CHAGOK1_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	334	0	4588	0.564	LUNG
CHAGOK1_LUNG	NC_007815_8197nt_PreXMRV_1	8197	103	0	2843	0.347	LUNG
CHAGOK1_LUNG	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	52	0	1262	0.151	LUNG
MDAMB231_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	116	0	4777	0.587	BREAST
MDAMB231_BREAST	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	64	0	514	0.098	BREAST
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	54	0	2397	0.282	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	122	0	5202	0.639	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	21717	279	74631	0.434	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	5967	46	56878	0.329	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	54	0	2568	0.302	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	156	0	5692	0.7	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TUHR14TKB_KIDNEY	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	185	0	5169	0.62	KIDNEY
KPL1_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	222	0	6463	0.794	BREAST
KPL1_BREAST	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	185	24	1307	0.249	BREAST
KPL1_BREAST	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	139	0	2670	0.016	BREAST
KPL1_BREAST	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	220	0	628	0.004	BREAST
KPL1_BREAST	NC_006273_235646nt_Human_betaherpesvirus_5	235646	262	0	726	0.003	BREAST
KYSE270_OESOPHAGUS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	171	0	5796	0.712	OESOPHAGUS
COV362_OVARY	NC_001702_8135nt_Murine_type_C_retrovirus	8135	54	0	3166	0.389	OVARY
CAL54_KIDNEY	NC_001702_8135nt_Murine_type_C_retrovirus	8135	366	0	4747	0.584	KIDNEY
CAL54_KIDNEY	NC_007815_8197nt_PreXMRV_1	8197	104	0	2518	0.307	KIDNEY
CAL54_KIDNEY	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	54	0	1054	0.127	KIDNEY
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	53408	165	118608	0.687	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	56013	87	97951	0.57	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	72	0	2862	0.336	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PATU8988T_PANCREAS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	274	0	7083	0.871	PANCREAS
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	1045363	38577	8507	1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_000858_9028nt_Simian_T_lymphotropic_virus_1	9028	100840	40707	8905	0.986	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SW48_LARGE_INTESTINE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	256	0	5328	0.639	LARGE_INTESTINE
KELLY_AUTONOMIC_GANGLIA	NC_001702_8135nt_Murine_type_C_retrovirus	8135	369414	3463	8074	0.993	AUTONOMIC_GANGLIA
KELLY_AUTONOMIC_GANGLIA	NC_007815_8197nt_PreXMRV_1	8197	35361	220	6524	0.796	AUTONOMIC_GANGLIA
KELLY_AUTONOMIC_GANGLIA	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	15033	21	2088	0.251	AUTONOMIC_GANGLIA
KELLY_AUTONOMIC_GANGLIA	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	4643	170	1639	0.197	AUTONOMIC_GANGLIA
PSN1_PANCREAS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	353	0	7702	0.947	PANCREAS
MDAMB361_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	55	0	3196	0.393	BREAST
IPC298_SKIN	NC_001702_8135nt_Murine_type_C_retrovirus	8135	197	0	6403	0.787	SKIN
IPC298_SKIN	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	122	0	8106	0.047	SKIN
IPC298_SKIN	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	107	0	7530	0.044	SKIN
MALME3M_SKIN	NC_001702_8135nt_Murine_type_C_retrovirus	8135	138	0	5148	0.633	SKIN
HS737T_FIBROBLAST	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	230	0	6075	0.714	FIBROBLAST
FU97_STOMACH	NC_007815_8197nt_PreXMRV_1	8197	278	0	5507	0.672	STOMACH
FU97_STOMACH	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	171	0	6575	0.431	STOMACH
TE6_OESOPHAGUS	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	219	0	5214	0.626	OESOPHAGUS
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	177	0	5806	0.714	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PANC0403_PANCREAS	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	65	0	2614	0.307	PANCREAS
SW480_LARGE_INTESTINE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	60	0	3186	0.392	LARGE_INTESTINE
ML1_THYROID	NC_001702_8135nt_Murine_type_C_retrovirus	8135	309415	4177	7999	0.983	THYROID
ML1_THYROID	NC_007815_8197nt_PreXMRV_1	8197	84562	726	7474	0.912	THYROID
ML1_THYROID	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	46358	6	3218	0.386	THYROID
ML1_THYROID	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	7253	199	3185	0.383	THYROID
HCC1954_BREAST	NC_007815_8197nt_PreXMRV_1	8197	756	8	6065	0.74	BREAST
HCC1954_BREAST	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	281	0	8594	0.564	BREAST
HCC1954_BREAST	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	163	0	2005	0.241	BREAST
HCC1954_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	186	0	1863	0.229	BREAST
CAL29_URINARY_TRACT	NC_001702_8135nt_Murine_type_C_retrovirus	8135	381	0	4422	0.544	URINARY_TRACT
CAL29_URINARY_TRACT	NC_007815_8197nt_PreXMRV_1	8197	104	0	3210	0.392	URINARY_TRACT
CAL29_URINARY_TRACT	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	76	0	1487	0.178	URINARY_TRACT
HS746T_STOMACH	NC_007815_8197nt_PreXMRV_1	8197	320	0	5466	0.667	STOMACH
HS746T_STOMACH	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	88	0	5140	0.337	STOMACH
HS746T_STOMACH	NC_001702_8135nt_Murine_type_C_retrovirus	8135	108	0	1866	0.229	STOMACH
HS746T_STOMACH	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	68	0	1444	0.173	STOMACH
22RV1_PROSTATE	NC_007815_8197nt_PreXMRV_1	8197	1796109	28512	8113	0.99	PROSTATE
22RV1_PROSTATE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	285960	2446	7438	0.914	PROSTATE
22RV1_PROSTATE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	384882	1978	3379	0.406	PROSTATE
22RV1_PROSTATE	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	118970	7033	3191	0.383	PROSTATE
22RV1_PROSTATE	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	116	0	5729	0.376	PROSTATE
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	87	0	3958	0.475	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	99719	634	125140	0.728	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	51769	1491	109460	0.634	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ES2_OVARY	NC_001702_8135nt_Murine_type_C_retrovirus	8135	311	0	4463	0.549	OVARY
ES2_OVARY	NC_007815_8197nt_PreXMRV_1	8197	72	0	1986	0.242	OVARY
ES2_OVARY	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	73	0	1456	0.175	OVARY
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	238	0	4502	0.553	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007815_8197nt_PreXMRV_1	8197	79	0	2084	0.254	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
253JBV_URINARY_TRACT	NC_007815_8197nt_PreXMRV_1	8197	35124	353	7586	0.925	URINARY_TRACT
253JBV_URINARY_TRACT	NC_001702_8135nt_Murine_type_C_retrovirus	8135	139496	521	7510	0.923	URINARY_TRACT
253JBV_URINARY_TRACT	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	28218	16	3411	0.409	URINARY_TRACT
253JBV_URINARY_TRACT	NC_001362_8323nt_Friend_murine_leukemia_virus	8323	9647	427	2983	0.358	URINARY_TRACT
KMRC1_KIDNEY	NC_001702_8135nt_Murine_type_C_retrovirus	8135	218	0	6496	0.799	KIDNEY
KMRC1_KIDNEY	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	124	0	526	0.1	KIDNEY
LN340_CENTRAL_NERVOUS_SYSTEM	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	81	0	3329	0.391	CENTRAL_NERVOUS_SYSTEM
LN340_CENTRAL_NERVOUS_SYSTEM	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	116	0	5933	0.389	CENTRAL_NERVOUS_SYSTEM
NCIH1435_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	334	0	7221	0.888	LUNG
COLO679_SKIN	NC_001702_8135nt_Murine_type_C_retrovirus	8135	249	0	4165	0.512	SKIN
COLO679_SKIN	NC_007815_8197nt_PreXMRV_1	8197	86	0	2090	0.255	SKIN
COLO679_SKIN	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	58	0	1559	0.187	SKIN
TO175T_FIBROBLAST	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	241	0	5105	0.613	FIBROBLAST
LN235_CENTRAL_NERVOUS_SYSTEM	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	160	0	3856	0.453	CENTRAL_NERVOUS_SYSTEM
LN235_CENTRAL_NERVOUS_SYSTEM	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	124	0	5963	0.391	CENTRAL_NERVOUS_SYSTEM
PANC0327_PANCREAS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	86	0	4344	0.534	PANCREAS
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	378	0	7546	0.928	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	35989	172	110366	0.642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	20453	413	99154	0.574	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	52	0	3239	0.212	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	307	0	5022	0.603	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	139	0	4407	0.542	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HCC33_LUNG	NC_007815_8197nt_PreXMRV_1	8197	326	0	5540	0.676	LUNG
HCC33_LUNG	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	96	0	4685	0.307	LUNG
HCC33_LUNG	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	60	0	1382	0.166	LUNG
HCC33_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	58	0	1196	0.147	LUNG
VCAP_PROSTATE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	3116166	58200	8136	1	PROSTATE
VCAP_PROSTATE	NC_007815_8197nt_PreXMRV_1	8197	99853	3703	6844	0.835	PROSTATE
VCAP_PROSTATE	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	74	0	4026	0.264	PROSTATE
VCAP_PROSTATE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	127	0	1393	0.167	PROSTATE
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	154	0	527	0.101	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	98	0	3956	0.475	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SNU398_LIVER	NC_000898_162114nt_Human_betaherpesvirus_6B	162114	221	0	10954	0.068	LIVER
SW1088_CENTRAL_NERVOUS_SYSTEM	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	171	0	4799	0.576	CENTRAL_NERVOUS_SYSTEM
CAL148_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	471	0	4808	0.591	BREAST
CAL148_BREAST	NC_007815_8197nt_PreXMRV_1	8197	128	0	2918	0.356	BREAST
CAL148_BREAST	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	82	0	1705	0.205	BREAST
LS513_LARGE_INTESTINE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	355	0	7192	0.884	LARGE_INTESTINE
DETROIT562_UPPER_AERODIGESTIVE_TRACT	NC_001702_8135nt_Murine_type_C_retrovirus	8135	337	0	4858	0.597	UPPER_AERODIGESTIVE_TRACT
DETROIT562_UPPER_AERODIGESTIVE_TRACT	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	110	0	4647	0.305	UPPER_AERODIGESTIVE_TRACT
DETROIT562_UPPER_AERODIGESTIVE_TRACT	NC_007815_8197nt_PreXMRV_1	8197	67	0	2338	0.285	UPPER_AERODIGESTIVE_TRACT
KP3_PANCREAS	NC_001702_8135nt_Murine_type_C_retrovirus	8135	984	0	7652	0.941	PANCREAS
KP3_PANCREAS	NC_007815_8197nt_PreXMRV_1	8197	143	0	3516	0.429	PANCREAS
TUHR10TKB_KIDNEY	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	113	0	4221	0.507	KIDNEY
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NC_001702_8135nt_Murine_type_C_retrovirus	8135	156	0	5872	0.722	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCIH684_LIVER	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	8507	65	0	2909	0.342	LIVER
NCIH684_LIVER	NC_000898_162114nt_Human_betaherpesvirus_6B	162114	67	0	4417	0.027	LIVER
SNU1077_ENDOMETRIUM	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	71	0	4344	0.025	ENDOMETRIUM
SNU81_LARGE_INTESTINE	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	143	0	4569	0.548	LARGE_INTESTINE
HCC1359_LUNG	NC_001702_8135nt_Murine_type_C_retrovirus	8135	356	0	4376	0.538	LUNG
HCC1359_LUNG	NC_007815_8197nt_PreXMRV_1	8197	92	0	2145	0.262	LUNG
HCC1359_LUNG	NC_001501_8332nt_Moloney_murine_leukemia_virus	8332	67	0	1273	0.153	LUNG
HCC1419_BREAST	NC_001702_8135nt_Murine_type_C_retrovirus	8135	296	0	7386	0.908	BREAST
HCC1419_BREAST	NC_006430_15246nt_Mammalian_orthorubulavirus_5	15246	50	0	3237	0.212	BREAST
PLCPRF5_LIVER	NC_003977_3182nt_Hepatitis_B_virus	3182	24842	688	2459	0.773	LIVER
