#Supplementary Table 5. Detailed information on HPV integration sites detected from virus capture sequencing data
#Sample ID	Chromosome	Chromosome band	Integrated Position	Integration NO.	# of support reads			NNSS value of HIVID			WGS data
#					left	right	total	left	right	total	Have WGS data	found by WGS
sample_id	chromosome	chromosome_band	integration_position	integration_no	left_reads	right_reads	total	left_NNSS	right_NNSS	total_NNSS	have_WGS_data	found_by_WGS	hg38_Chrom	hg38_Coord
T9202	chr7	7q33	136412734	30	2	0	2	1.193	0	1.19259	N	N	chr7	136727987
T9202	chr8	8q24.21	128260115	31	0	4	4	0	2.385	2.38518	N	N	chr8	127247870
T9202	chr8	8q24.21	128271502	32	0	12	12	0	7.156	7.155541	N	N	chr8	127259257
T9202	chr8	8q24.21	128272297	33	0	5	5	0	2.981	2.981475	N	N	chr8	127260052
T9202	chr8	8q24.21	128275951	34	7	0	7	4.174	0	4.174066	N	N	chr8	127263706
T9202	chr8	8q24.21	128276003	35	10	0	10	5.963	0	5.96295	N	N	chr8	127263758
T9202	chr8	8q24.21	128276023	36	4	0	4	2.385	0	2.38518	N	N	chr8	127263778
T9202	chr8	8q24.21	128276070	37	5	0	5	2.981	0	2.981475	N	N	chr8	127263825
T9202	chr8	8q24.21	128276080	38	8	0	8	4.77	0	4.77036	N	N	chr8	127263835
T7098	chr11	11q14.3	91949471	1	0	5	5	0	1.824	1.823808	N	N	chr11	92216305
T7098	chr13	13q14.2	50793472	2	0	4	4	0	1.459	1.459047	N	N	chr13	50219336
T7098	chr21	21q22.11	33996659	3	0	5	5	0	1.824	1.823808	N	N	chr21	32624349
T7098	chr21	21q22.11	35068381	4	0	3	3	0	1.094	1.094285	N	N	chr21	33696076
T7098	chr3	3q26.2	168921972	5	0	5	5	0	1.824	1.823809	N	N	chr3	169204184
T7098	chr3	3q26.2	168921998	6	0	4	4	0	1.459	1.459047	N	N	chr3	169204210
T7098	chr3	3q26.2	169083876	7	7	0	7	2.554	0	2.553332	N	N	chr3	169366088
T7098	chr6	6p22.2	25222023	8	0	37	37	0	13.497	13.496183	N	N	chr6	25221795
T7098	chr6	6p22.2	25222044	9	0	6	6	0	2.189	2.188571	N	N	chr6	25221816
T7098	chr6	6p22.2	25222097	10	0	6	6	0	2.189	2.18857	N	N	chr6	25221869
T7098	chr6	6p22.2	25222119	11	0	3	3	0	1.094	1.094285	N	N	chr6	25221891
T7098	chr6	6p22.2	25222247	12	0	3	3	0	1.094	1.094285	N	N	chr6	25222019
T7098	chr6	6p22.2	25232075	13	3	0	3	1.095	0	1.094285	N	N	chr6	25231847
T7098	chr6	6p22.2	25232282	14	59	0	59	21.522	0	21.520939	N	N	chr6	25232054
T6887	chr1	1p36.22	11798683	1	0	5	5	0	1.098	1.09765	N	N	chr1	11738626
T6887	chr1	1p31.3	67549144	2	0	5	5	0	1.098	1.097651	N	N	chr1	67083461
T6887	chr11	11p14.3	23324279	3	0	10	10	0	2.195	2.195301	N	N	chr11	23302733
T6887	chr11	11q14.1	81108432	4	6	0	6	1.318	0	1.317181	N	N	chr11	81397390
T6887	chr11	11q14.3	89781502	5	0	15	15	0	3.293	3.292952	N	N	chr11	90048334
T6887	chr12	12q23.3	103812211	6	5	0	5	1.098	0	1.097651	N	N	chr12	103418433
T6887	chr13	13q22.1	73893784	7	7	0	7	1.537	0	1.536711	N	N	chr13	73319647
T6887	chr13	13q22.1	73893838	8	11	0	11	2.416	0	2.414831	N	N	chr13	73319701
T6887	chr13	13q22.1	73893896	9	29	0	29	6.367	0	6.366374	N	N	chr13	73319759
T6887	chr13	13q22.1	73899764	10	5	0	5	1.098	0	1.097651	N	N	chr13	73325627
T6887	chr14	14q23.2	62521303	11	5	0	5	1.098	0	1.097651	N	N	chr14	62054585
T6887	chr16	16q12.1	51033007	12	0	8	8	0	1.756	1.756241	N	N	chr16	50999096
T6887	chr17	17q25.3	79343732	13	0	6	6	0	1.317	1.317181	N	N	chr17	81369932
T6887	chr2	2p11.2	84541207	14	0	6	6	0	1.317	1.317181	N	N	chr2	84314083
T6887	chr2	2q14.3	125355287	15	0	31	31	0	6.806	6.805434	N	N	chr2	124597710
T6887	chr4	4p12	46842892	16	0	6	6	0	1.318	1.317181	N	N	chr4	46840875
T6887	chr4	4q21.23	85853706	17	0	6	6	0	1.317	1.317181	N	N	chr4	84932553
T6887	chr4	4q28.1	124346823	18	8	0	8	1.756	0	1.756241	N	N	chr4	123425668
T6887	chr5	5p13.3	30277559	19	0	5	5	0	1.098	1.09765	N	N	chr5	30277452
T6887	chr8	8q24.12	120305861	20	20	0	20	4.391	0	4.390603	N	N	chr8	119293621
T6887	chr8	8q24.12	120534844	21	5	0	5	1.098	0	1.097651	N	N	chr8	119522604
T6887	chr8	8q24.21	128381896	22	8	0	8	1.756	0	1.756241	N	N	chr8	127369650
T6887	chrX	Xp22.33	64457	23	0	89	89	0	19.539	19.538183	N	N	chrX	14457
T6887	chrX	Xp11.4	38542288	24	5	0	5	1.098	0	1.097651	N	N	chrX	38683034
T6887	chrX	Xq24	118726269	25	0	6	6	0	1.317	1.317181	N	N	chrX	119592306
T6887	chrX	Xq26.3	134856191	26	8	0	8	1.756	0	1.756241	N	N	chrX	135795502
T6887	chrX	Xq26.3	134873455	27	12	0	12	2.634	0	2.634362	N	N	chrX	135778240
T6887	chrX	Xq26.3	134890722	28	15	0	15	3.293	0	3.292952	N	N	chrX	135722429
T6887	chrX	Xq26.3	134929494	29	0	6	6	0	1.317	1.317181	N	N	chrX	135760956
T6887	chrX	Xq26.3	134946757	30	0	6	6	0	1.318	1.317181	N	N	chrX	135812774
T6887	chrX	Xq26.3	134964008	31	0	7	7	0	1.537	1.536711	N	N	chrX	135864571
T1581	chr1	1q41	220076243	1	4	0	4	1.506	0	1.50663	N	N	chr1	219902901
T1581	chr11	11q12.1	56300557	2	0	5	5	0	1.884	1.883287	N	N	chr11	56533081
T1581	chr13	13q22.1	74073666	3	0	5	5	0	1.883	1.883287	N	N	chr13	73499529
T1581	chr18	18q22.1	62771896	4	3	0	3	1.13	0	1.129972	N	N	chr18	65104660
T1581	chr19	19q13.32	46349825	5	4	0	4	1.507	0	1.506629	N	N	chr19	45846567
T1581	chr19	19q13.32	46349870	6	5	0	5	1.884	0	1.883287	N	N	chr19	45846612
T1581	chr19	19q13.32	46349907	7	5	0	5	1.884	0	1.883287	N	N	chr19	45846649
T1581	chr19	19q13.32	46349962	8	35	13	48	13.183	4.897	18.079558	N	N	chr19	45846704
T1581	chr19	19q13.32	46349999	9	0	3	3	0	1.131	1.129971	N	N	chr19	45846741
T1581	chr9	9q33.1	121903663	10	3	0	3	1.13	0	1.129972	N	N	chr9	119141385
T1581	chrX	Xq22.3	104768979	11	0	3	3	0	1.13	1.129972	N	N	chrX	105524986
T6008	chr11	11q14.1	78752192	1	0	2	2	0	1.341	1.34066	N	N	chr11	79041147
T6008	chr13	13q22.1	74069897	2	7	0	7	4.692	0	4.692311	N	N	chr13	73495760
T6008	chr13	13q22.1	74069911	3	10	0	10	6.703	0	6.703302	N	N	chr13	73495774
T6008	chr13	13q22.1	74069944	4	10	0	10	6.703	0	6.703301	N	N	chr13	73495807
T6008	chr13	13q22.1	74069965	5	16	0	16	10.725	0	10.725283	N	N	chr13	73495828
T6008	chr13	13q22.1	74069994	6	121	0	121	81.11	0	81.109958	N	N	chr13	73495857
T6008	chr13	13q22.1	74073591	7	0	144	144	0	96.528	96.527553	N	N	chr13	73499454
T6008	chr13	13q22.1	74073617	8	0	4	4	0	2.681	2.68132	N	N	chr13	73499480
T6008	chr13	13q22.1	74073640	9	10	17	27	6.703	11.395	18.098915	N	N	chr13	73499503
T6008	chr13	13q22.1	74073664	10	0	6	6	0	4.022	4.021981	N	N	chr13	73499527
T6008	chr13	13q22.1	74073694	11	0	2	2	0	1.341	1.34066	N	N	chr13	73499557
T6008	chr13	13q22.1	74073770	12	0	2	2	0	1.341	1.34066	N	N	chr13	73499633
T6008	chr13	13q22.1	74073892	13	0	3	3	0	2.011	2.01099	N	N	chr13	73499755
T6008	chr13	13q32.2	98704141	14	4	0	4	2.681	0	2.681321	N	N	chr13	98051887
T6008	chr16	16p13.12	13064401	15	0	2	2	0	1.341	1.34066	N	N	chr16	12970544
T6008	chr16	16q12.2	56357706	16	0	2	2	0	1.34	1.34066	N	N	chr16	56323794
T6008	chr17	17q25.1	71220975	17	0	2	2	0	1.34	1.34066	N	N	chr17	73224836
T6008	chr18	18q11.2	19256606	18	0	4	4	0	2.682	2.68132	N	N	chr18	21676645
T6008	chr2	2q14.3	126086576	19	0	2	2	0	1.341	1.34066	N	N	chr2	125328999
T6008	chr20	20q13.2	54343555	20	3	0	3	2.011	0	2.010991	N	N	chr20	55768499
T6008	chr3	3p21.1	53469508	21	0	3	3	0	2.011	2.01099	N	N	chr3	53435481
T6008	chr3	3q29	197900757	22	0	2	2	0	1.341	1.34066	N	N	chr3	198173886
T6008	chr6	6p21.2	38912786	23	3	0	3	2.011	0	2.010991	N	N	chr6	38945010
T5116	chr1	1p34.1	44558080	1	0	4	4	0	1.497	1.497439	N	N	chr1	44092408
T5116	chr1	1p32.3	54386152	2	6	0	6	2.246	0	2.246158	N	N	chr1	53920479
T5116	chr1	1q21.3	150620265	3	3	0	3	1.123	0	1.123079	N	N	chr1	150647789
T5116	chr1	1q24.2	170594897	4	0	3	3	0	1.123	1.123079	N	N	chr1	170625756
T5116	chr1	1q25.1	174538097	5	0	5	5	0	1.872	1.871798	N	N	chr1	174568959
T5116	chr1	1q31.3	194035568	6	0	3	3	0	1.123	1.123079	N	N	chr1	194066438
T5116	chr1	1q32.3	213410383	7	0	4	4	0	1.497	1.497439	N	N	chr1	213237040
T5116	chr1	1q42.13	230293975	8	0	5	5	0	1.872	1.871798	N	N	chr1	230158228
T5116	chr10	10p12.33	18291351	9	3	0	3	1.123	0	1.123079	N	N	chr10	18002422
T5116	chr10	10p11.1	38388459	10	5	0	5	1.872	0	1.871798	N	N	chr10	38099531
T5116	chr10	10q11.21	42398610	11	0	4	4	0	1.497	1.497439	N	N	chr10	41841599
T5116	chr10	10q11.21	42398697	12	4	0	4	1.497	0	1.497439	N	N	chr10	41841512
T5116	chr10	10q11.21	42599645	13	6	0	6	2.246	0	2.246158	N	N	chr10	42104197
T5116	chr10	10q21.1	54748048	14	0	3	3	0	1.123	1.123079	N	N	chr10	52988288
T5116	chr10	10q21.1	58057335	15	3	0	3	1.123	0	1.123079	N	N	chr10	56297574
T5116	chr10	10q23.31	92675059	16	11	0	11	4.118	0	4.117956	N	N	chr10	90915302
T5116	chr10	10q24.1	97777601	17	0	3	3	0	1.123	1.123079	N	N	chr10	96017844
T5116	chr10	10q25.1	106526421	18	0	3	3	0	1.123	1.123079	N	N	chr10	104766663
T5116	chr10	10q26.2	127578713	19	0	4	4	0	1.497	1.497439	N	N	chr10	125890144
T5116	chr10	10q26.2	127578795	20	4	0	4	1.497	0	1.497439	N	N	chr10	125890226
T5116	chr11	11p15.4	7051753	21	3	0	3	1.123	0	1.123079	N	N	chr11	7030522
T5116	chr11	11p15.3	10877648	22	0	4	4	0	1.498	1.497438	N	N	chr11	10856101
T5116	chr11	11p11.2	44197100	23	3	0	3	1.123	0	1.123079	N	N	chr11	44175550
T5116	chr11	11q14.1	84452569	24	0	4	4	0	1.497	1.497439	N	N	chr11	84741526
T5116	chr11	11q23.3	116177286	25	0	4	4	0	1.498	1.497438	N	N	chr11	116306569
T5116	chr11	11q23.3	116651565	26	0	6	6	0	2.246	2.246158	N	N	chr11	116780849
T5116	chr12	12q14.1	62271212	27	7	0	7	2.621	0	2.620518	N	N	chr12	61877431
T5116	chr12	12q14.3	66451372	28	0	6	6	0	2.246	2.246158	N	N	chr12	66057592
T5116	chr12	12q15	68793247	29	5	0	5	1.872	0	1.871798	N	N	chr12	68399467
T5116	chr12	12q22	93284114	30	0	3	3	0	1.123	1.123079	N	N	chr12	92890338
T5116	chr12	12q24.12	112299649	31	8	0	8	2.995	0	2.994877	N	N	chr12	111861845
T5116	chr12	12q24.33	131100685	32	0	3	3	0	1.123	1.123079	N	N	chr12	130616140
T5116	chr14	14q11.2	22463510	33	0	5	5	0	1.871	1.871799	N	N	chr14	21995271
T5116	chr14	14q21.3	50074236	34	5	0	5	1.872	0	1.871798	N	N	chr14	49607518
T5116	chr14	14q24.2	71907889	35	0	3	3	0	1.123	1.123079	N	N	chr14	71441172
T5116	chr14	14q24.2	72603486	36	4	0	4	1.497	0	1.497439	N	N	chr14	72136769
T5116	chr14	14q31.1	80988128	37	7	0	7	2.62	0	2.620518	N	N	chr14	80521784
T5116	chr14	14q32.31	102000281	38	5	0	5	1.872	0	1.871798	N	N	chr14	101533944
T5116	chr15	15q14	36449053	39	4	0	4	1.497	0	1.497439	N	N	chr15	36156852
T5116	chr15	15q21.1	45203453	40	0	7	7	0	2.621	2.620518	N	N	chr15	44911255
T5116	chr15	15q24.1	74582046	41	0	4	4	0	1.497	1.497439	N	N	chr15	74289705
T5116	chr16	16p12.1	24984416	42	0	7	7	0	2.62	2.620518	N	N	chr16	24973095
T5116	chr16	16p12.1	25900972	43	0	4	4	0	1.497	1.497439	N	N	chr16	25889651
T5116	chr16	16p11.2	33485069	44	0	27	27	0	10.107	10.107711	N	N	chr16	33682602
T5116	chr16	16p11.2	33485103	45	0	7	7	0	2.62	2.620518	N	N	chr16	33682636
T5116	chr16	16p11.1	34833290	46	3	0	3	1.123	0	1.123079	N	N	chr16	35598919
T5116	chr16	16q12.1	47403056	47	3	0	3	1.122	0	1.12308	N	N	chr16	47369145
T5116	chr16	16q12.2	54275001	48	0	21	21	0	7.861	7.861553	N	N	chr16	54241089
T5116	chr16	16q12.2	54291966	49	9	0	9	3.368	0	3.369238	N	N	chr16	54258054
T5116	chr16	16q12.2	54375729	50	3	0	3	1.123	0	1.123079	N	N	chr16	54341817
T5116	chr16	16q21	60890190	51	0	3	3	0	1.123	1.123079	N	N	chr16	60856286
T5116	chr16	16q21	63644834	52	3	0	3	1.123	0	1.123079	N	N	chr16	63610930
T5116	chr16	16q23.2	79776808	53	4	0	4	1.497	0	1.497439	N	N	chr16	79742911
T5116	chr16	16q23.3	83814708	54	3	0	3	1.123	0	1.123079	N	N	chr16	83781103
T5116	chr17	17p13.2	4402895	55	4	0	4	1.497	0	1.497439	N	N	chr17	4499600
T5116	chr17	17q22	50473007	56	0	5	5	0	1.871	1.871799	N	N	chr17	52395647
T5116	chr17	17q22	52278898	57	4	0	4	1.497	0	1.497439	N	N	chr17	54201537
T5116	chr17	17q24.1	63951112	58	0	3	3	0	1.123	1.123079	N	N	chr17	65954994
T5116	chr18	18q11.2	23790029	59	0	5	5	0	1.872	1.871798	N	N	chr18	26210065
T5116	chr18	18q22.1	63265790	60	4	0	4	1.497	0	1.497439	N	N	chr18	65598554
T5116	chr19	19p13.2	11286480	61	4	0	4	1.497	0	1.497439	N	N	chr19	11175804
T5116	chr19	19p13.2	12892614	62	5	0	5	1.872	0	1.871798	N	N	chr19	12781800
T5116	chr19	19q11	27736812	63	3	0	3	1.123	0	1.123079	N	N	chr19	27245904
T5116	chr19	19q12	31277161	64	0	3	3	0	1.123	1.123079	N	N	chr19	30786254
T5116	chr19	19q13.41	52396187	65	0	5	5	0	1.872	1.871798	N	N	chr19	51892934
T5116	chr2	2p25.3	503906	66	3	0	3	1.123	0	1.123079	N	N	chr2	503906
T5116	chr2	2p25.3	3908026	67	4	0	4	1.497	0	1.497439	N	N	chr2	3860436
T5116	chr2	2p24.1	19907482	68	4	0	4	1.497	0	1.497439	N	N	chr2	19707721
T5116	chr2	2p22.1	40567413	69	0	3	3	0	1.123	1.123079	N	N	chr2	40340273
T5116	chr2	2q11.2	101540659	70	3	0	3	1.123	0	1.123079	N	N	chr2	100924197
T5116	chr2	2q12.1	103992997	71	0	3	3	0	1.123	1.123079	N	N	chr2	103376539
T5116	chr2	2q21.2	134953613	72	5	0	5	1.872	0	1.871798	N	N	chr2	134196042
T5116	chr2	2q24.1	155061158	73	0	3	3	0	1.123	1.123079	N	N	chr2	154204645
T5116	chr2	2q24.1	159299545	74	0	10	10	0	3.744	3.743597	N	N	chr2	158443033
T5116	chr2	2q24.1	159299583	75	15	0	15	5.615	0	5.615395	N	N	chr2	158443071
T5116	chr2	2q24.3	164372464	76	4	0	4	1.497	0	1.497439	N	N	chr2	163515954
T5116	chr2	2q32.1	185559029	77	3	0	3	1.123	0	1.123079	N	N	chr2	184694302
T5116	chr2	2q32.1	188765770	78	3	0	3	1.123	0	1.123079	N	N	chr2	187901043
T5116	chr2	2q33.1	201651608	79	0	3	3	0	1.123	1.123079	N	N	chr2	200786885
T5116	chr2	2q33.1	201651697	80	4	0	4	1.497	0	1.497439	N	N	chr2	200786974
T5116	chr2	2q35	220850827	81	0	5	5	0	1.872	1.871798	N	N	chr2	219986106
T5116	chr20	20p12.1	14623500	82	0	6	6	0	2.246	2.246158	N	N	chr20	14642854
T5116	chr20	20q11.23	36532334	83	0	3	3	0	1.123	1.123079	N	N	chr20	37903932
T5116	chr20	20q13.12	43199926	84	3	0	3	1.123	0	1.123079	N	N	chr20	44571285
T5116	chr20	20q13.13	46903198	85	4	0	4	1.497	0	1.497439	N	N	chr20	48274455
T5116	chr21	21q22.12	37772712	86	6	0	6	2.246	0	2.246158	N	N	chr21	36400414
T5116	chr22	22q11.21	18874404	87	5	0	5	1.872	0	1.871798	N	N	chr22	18886891
T5116	chr22	22q13.32	49397291	88	0	6	6	0	2.246	2.246158	N	N	chr22	49001479
T5116	chr3	3p26.3	107669	89	0	7	7	0	2.62	2.620518	N	N	chr3	65986
T5116	chr3	3p26.1	7127809	90	0	3	3	0	1.123	1.123079	N	N	chr3	7086122
T5116	chr3	3p25.3	9294679	91	0	5	5	0	1.871	1.871799	N	N	chr3	9252995
T5116	chr3	3p22.1	40208072	92	5	0	5	1.872	0	1.871798	N	N	chr3	40166581
T5116	chr3	3p14.2	60733467	93	0	3	3	0	1.123	1.123079	N	N	chr3	60747734
T5116	chr3	3p14.2	60738544	94	4	0	4	1.497	0	1.497439	N	N	chr3	60752811
T5116	chr3	3p14.2	61208317	95	0	5	5	0	1.872	1.871798	N	N	chr3	61222643
T5116	chr3	3p14.2	61208366	96	0	19	19	0	7.113	7.112833	N	N	chr3	61222692
T5116	chr3	3p14.2	61208399	97	0	5	5	0	1.872	1.871798	N	N	chr3	61222725
T5116	chr3	3p14.2	61208462	98	0	4	4	0	1.497	1.497439	N	N	chr3	61222788
T5116	chr3	3p14.2	61215057	99	3	0	3	1.123	0	1.123079	N	N	chr3	61229383
T5116	chr3	3p14.2	61216738	100	10	0	10	3.743	0	3.743597	N	N	chr3	61231064
T5116	chr3	3p14.2	61216785	101	23	0	23	8.61	0	8.610272	N	N	chr3	61231111
T5116	chr3	3p14.2	61236691	102	3	0	3	1.123	0	1.123079	N	N	chr3	61251017
T5116	chr3	3p14.2	61236766	103	4	0	4	1.497	0	1.497439	N	N	chr3	61251092
T5116	chr3	3p14.2	61236834	104	4	0	4	1.497	0	1.497439	N	N	chr3	61251160
T5116	chr3	3p14.2	61236858	105	14	0	14	5.241	0	5.241035	N	N	chr3	61251184
T5116	chr3	3q11.2	94693148	106	9	0	9	3.37	0	3.369237	N	N	chr3	94974304
T5116	chr3	3q11.2	97219054	107	0	3	3	0	1.123	1.123079	N	N	chr3	97500210
T5116	chr3	3q13.31	117179764	108	0	4	4	0	1.497	1.497439	N	N	chr3	117460917
T5116	chr3	3q22.1	130761119	109	3	0	3	1.123	0	1.123079	N	N	chr3	131042275
T5116	chr3	3q27.1	182759961	110	0	6	6	0	2.246	2.246158	N	N	chr3	183042173
T5116	chr3	3q28	190171656	111	0	3	3	0	1.123	1.123079	N	N	chr3	190453867
T5116	chr4	4p15.1	34185947	112	7	0	7	2.62	0	2.620518	N	N	chr4	34184325
T5116	chr4	4p15.1	34997479	113	0	7	7	0	2.62	2.620518	N	N	chr4	34995857
T5116	chr4	4p14	38424636	114	0	8	8	0	2.995	2.994877	N	N	chr4	38423015
T5116	chr4	4p11	48203303	115	0	5	5	0	1.872	1.871798	N	N	chr4	48201286
T5116	chr4	4q12	55663203	116	3	0	3	1.123	0	1.123079	N	N	chr4	54797037
T5116	chr4	4q13.1	65047009	117	0	4	4	0	1.497	1.497439	N	N	chr4	64181291
T5116	chr4	4q21.21	80014494	118	3	0	3	1.123	0	1.123079	N	N	chr4	79093340
T5116	chr4	4q24	103785465	119	0	6	6	0	2.246	2.246158	N	N	chr4	102864308
T5116	chr5	5p15.2	10489935	120	0	4	4	0	1.498	1.497438	N	N	chr5	10489823
T5116	chr5	5p14.1	25923129	121	0	6	6	0	2.246	2.246158	N	N	chr5	25923020
T5116	chr5	5q11.2	52843252	122	6	0	6	2.246	0	2.246158	N	N	chr5	53547422
T5116	chr5	5q22.1	110407253	123	3	0	3	1.123	0	1.123079	N	N	chr5	111071555
T5116	chr5	5q23.1	116229684	124	3	0	3	1.123	0	1.123079	N	N	chr5	116893988
T5116	chr5	5q23.2	124050118	125	4	0	4	1.497	0	1.497439	N	N	chr5	124714425
T5116	chr5	5q33.2	154670680	126	3	0	3	1.123	0	1.123079	N	N	chr5	155291120
T5116	chr6	6p24.3	7539662	127	0	5	5	0	1.872	1.871798	N	N	chr6	7539429
T5116	chr6	6p24.3	7539823	128	0	4	4	0	1.497	1.497439	N	N	chr6	7539590
T5116	chr6	6p24.3	7638317	129	0	6	6	0	2.246	2.246158	N	N	chr6	7638084
T5116	chr6	6p22.1	28068019	130	0	4	4	0	1.497	1.497439	N	N	chr6	28100241
T5116	chr6	6p12.1	56343517	131	0	8	8	0	2.995	2.994877	N	N	chr6	56478719
T5116	chr6	6q16.1	97746935	132	0	5	5	0	1.872	1.871798	N	N	chr6	97299059
T5116	chr6	6q22.31	119558588	133	0	3	3	0	1.123	1.123079	N	N	chr6	119237423
T5116	chr6	6q22.31	124804750	134	4	0	4	1.497	0	1.497439	N	N	chr6	124483604
T5116	chr6	6q23.2	134255874	135	0	5	5	0	1.872	1.871798	N	N	chr6	133934736
T5116	chr6	6q27	169309681	136	3	0	3	1.123	0	1.123079	N	N	chr6	168909586
T5116	chr7	7p21.1	20789407	137	0	4	4	0	1.497	1.497439	N	N	chr7	20749784
T5116	chr7	7p14.3	31999277	138	0	4	4	0	1.497	1.497439	N	N	chr7	31959665
T5116	chr7	7p12.1	53287719	139	0	4	4	0	1.497	1.497439	N	N	chr7	53220026
T5116	chr7	7p11.2	57211248	140	0	5	5	0	1.872	1.871798	N	N	chr7	57143541
T5116	chr7	7q11.23	77313207	141	5	0	5	1.872	0	1.871798	N	N	chr7	77683890
T5116	chr7	7q21.11	79522992	142	0	3	3	0	1.123	1.123079	N	N	chr7	79893676
T5116	chr7	7q21.3	94001647	143	4	0	4	1.497	0	1.497439	N	N	chr7	94372335
T5116	chr7	7q22.1	103626738	144	4	0	4	1.497	0	1.497439	N	N	chr7	103986291
T5116	chr7	7q31.33	125354143	145	0	4	4	0	1.497	1.497439	N	N	chr7	125714089
T5116	chr7	7q32.1	127781781	146	0	4	4	0	1.497	1.497439	N	N	chr7	128141729
T5116	chr7	7q36.1	150703334	147	3	0	3	1.123	0	1.123079	N	N	chr7	151006246
T5116	chr8	8p23.3	888190	148	5	0	5	1.872	0	1.871798	N	N	chr8	938190
T5116	chr8	8p23.1	9485414	149	0	3	3	0	1.123	1.123079	N	N	chr8	9627904
T5116	chr8	8q11.22	52521585	150	5	0	5	1.872	0	1.871798	N	N	chr8	51609025
T5116	chr8	8q21.12	79775506	151	3	0	3	1.123	0	1.123079	N	N	chr8	78863271
T5116	chr8	8q21.3	88140563	152	4	0	4	1.497	0	1.497439	N	N	chr8	87128335
T5116	chr8	8q24.12	120967281	153	6	0	6	2.246	0	2.246158	N	N	chr8	119955041
T5116	chr8	8q24.13	126370304	154	5	0	5	1.872	0	1.871798	N	N	chr8	125358062
T5116	chr8	8q24.21	128755326	155	4	0	4	1.497	0	1.497439	N	N	chr8	127743080
T5116	chr9	9p23	11289557	156	3	0	3	1.123	0	1.123079	N	N	chr9	11289557
T5116	chr9	9q13	66971189	157	0	4	4	0	1.497	1.497439	N	N	chr9	63066217
