group	truth_insertion_name	ref_chr	truth_ref_pos	vir_chr	truth_vir_pos	pred_insertion_name	pred_chr_pos	pred_vir_pos	total_reads
HPV_sim_7sample_50insert	chr9~38905042~38906041~+~HPV18~6349~7348~+	chr9	38906041	HPV18	6349	chr9~38906042~+~HPV18~6348~+	38906042	6348	163
HPV_sim_7sample_50insert	chr2~155752410~155753409~+~HPV18~667~1666~-	chr2	155753409	HPV18	1666	chr2~155753410~+~HPV18~1667~-	155753410	1667	162
HPV_sim_7sample_50insert	chr22~44760856~44761855~-~HPV39~1822~2821~-	chr22	44760856	HPV39	2821	HPV39~2822~+~chr22~44760855~+	44760855	2822	160
HPV_sim_7sample_50insert	chr13~112740282~112741281~+~HPV31~2194~3193~+	chr13	112741281	HPV31	2194	chr13~112741282~+~HPV31~2193~+	112741282	2193	159
HPV_sim_7sample_50insert	chr12~95769802~95770801~+~HPV31~3368~4367~+	chr12	95770801	HPV31	3368	chr12~95770802~+~HPV31~3367~+	95770802	3367	159
HPV_sim_7sample_50insert	chr20~37067551~37068550~+~HPV31~2413~3412~-	chr20	37068550	HPV31	3412	chr20~37068550~+~HPV31~3414~-	37068550	3414	159
HPV_sim_7sample_50insert	chr2~233168808~233169807~+~HPV31~911~1910~+	chr2	233169807	HPV31	911	chr2~233169808~+~HPV31~910~+	233169808	910	159
HPV_sim_7sample_50insert	chr20~20161730~20162729~+~HPV31~4878~5877~+	chr20	20162729	HPV31	4878	chr20~20162730~+~HPV31~4877~+	20162730	4877	159
HPV_sim_7sample_50insert	chr11~79889526~79890525~+~HPV31~3349~4348~-	chr11	79890525	HPV31	4348	chr11~79890526~+~HPV31~4349~-	79890526	4349	159
HPV_sim_7sample_50insert	chr2~42250084~42251083~+~HPV31~2109~3108~+	chr2	42251083	HPV31	2109	chr2~42251084~+~HPV31~2108~+	42251084	2108	159
HPV_sim_7sample_50insert	chr1~57689290~57690289~+~HPV31~1448~2447~-	chr1	57690289	HPV31	2447	chr1~57690290~+~HPV31~2448~-	57690290	2448	159
HPV_sim_7sample_50insert	chr12~60496740~60497739~+~HPV18~6691~7690~-	chr12	60497739	HPV18	7690	chr12~60497740~+~HPV18~7691~-	60497740	7691	157
HPV_sim_7sample_50insert	chr16~64210220~64211219~+~HPV18~473~1472~-	chr16	64211219	HPV18	1472	chr16~64211220~+~HPV18~1473~-	64211220	1473	156
HPV_sim_7sample_50insert	chr13~34247750~34248749~+~HPV18~5549~6548~-	chr13	34248749	HPV18	6548	chr13~34248750~+~HPV18~6549~-	34248750	6549	156
HPV_sim_7sample_50insert	chrX~65805341~65806340~+~HPV18~5578~6577~-	chrX	65806340	HPV18	6577	chrX~65806341~+~HPV18~6578~-	65806341	6578	156
HPV_sim_7sample_50insert	chr7~24415118~24416117~+~HPV18~4399~5398~-	chr7	24416117	HPV18	5398	chr7~24416118~+~HPV18~5399~-	24416118	5399	156
HPV_sim_7sample_50insert	chr11~5009490~5010489~+~HPV18~4716~5715~+	chr11	5010489	HPV18	4716	chr11~5010489~+~HPV18~4714~+	5010489	4714	156
HPV_sim_7sample_50insert	chr16~79248185~79249184~+~HPV45~4098~5097~-	chr16	79249184	HPV45	5097	chr16~79249185~+~HPV45~5098~-	79249185	5098	156
HPV_sim_7sample_50insert	chr3~55192906~55193905~+~HPV18~1152~2151~+	chr3	55193905	HPV18	1152	chr3~55193906~+~HPV18~1151~+	55193906	1151	156
HPV_sim_7sample_50insert	chr9~91545327~91546326~+~HPV39~3970~4969~-	chr9	91546326	HPV39	4969	chr9~91546327~+~HPV39~4970~-	91546327	4970	155
HPV_sim_7sample_50insert	chr14~94591466~94592465~+~HPV39~115~1114~-	chr14	94592465	HPV39	1114	chr14~94592466~+~HPV39~1115~-	94592466	1115	154
HPV_sim_7sample_50insert	chr6~85608651~85609650~+~HPV39~4351~5350~-	chr6	85609650	HPV39	5350	chr6~85609652~+~HPV39~5350~-	85609652	5350	154
HPV_sim_7sample_50insert	chr4~21194484~21195483~+~HPV39~3033~4032~+	chr4	21195483	HPV39	3033	chr4~21195484~+~HPV39~3032~+	21195484	3032	154
HPV_sim_7sample_50insert	chr16~71999136~72000135~+~HPV39~4138~5137~+	chr16	72000135	HPV39	4138	chr16~72000136~+~HPV39~4137~+	72000136	4137	154
HPV_sim_7sample_50insert	chr18~27397605~27398604~+~HPV39~4540~5539~+	chr18	27398604	HPV39	4540	chr18~27398605~+~HPV39~4539~+	27398605	4539	154
HPV_sim_7sample_50insert	chr4~176307200~176308199~+~HPV45~2925~3924~+	chr4	176308199	HPV45	2925	chr4~176308200~+~HPV45~2924~+	176308200	2924	154
HPV_sim_7sample_50insert	chr6~153458069~153459068~+~HPV45~1740~2739~-	chr6	153459068	HPV45	2739	chr6~153459069~+~HPV45~2740~-	153459069	2740	154
HPV_sim_7sample_50insert	chr4~176354207~176355206~+~HPV45~1485~2484~+	chr4	176355206	HPV45	1485	chr4~176355208~+~HPV45~1485~+	176355208	1485	154
HPV_sim_7sample_50insert	chr5~61267122~61268121~+~HPV45~2643~3642~+	chr5	61268121	HPV45	2643	chr5~61268122~+~HPV45~2642~+	61268122	2642	154
HPV_sim_7sample_50insert	chr2~42715667~42716666~+~HPV39~1618~2617~+	chr2	42716666	HPV39	1618	chr2~42716667~+~HPV39~1617~+	42716667	1617	154
HPV_sim_7sample_50insert	chr20~19430523~19431522~+~HPV39~3055~4054~-	chr20	19431522	HPV39	4054	chr20~19431523~+~HPV39~4055~-	19431523	4055	153
HPV_sim_7sample_50insert	chr11~60937973~60938972~+~HPV39~6273~7272~-	chr11	60938972	HPV39	7272	chr11~60938972~+~HPV39~7274~-	60938972	7274	153
HPV_sim_7sample_50insert	chr3~176057300~176058299~+~HPV39~2494~3493~-	chr3	176058299	HPV39	3493	chr3~176058299~+~HPV39~3495~-	176058299	3495	153
HPV_sim_7sample_50insert	chr18~73440280~73441279~-~HPV18~2459~3458~-	chr18	73440280	HPV18	3458	HPV18~3459~+~chr18~73440279~+	73440279	3459	153
HPV_sim_7sample_50insert	chr5~21697514~21698513~-~HPV18~4662~5661~-	chr5	21697514	HPV18	5661	HPV18~5662~+~chr5~21697513~+	21697513	5662	153
HPV_sim_7sample_50insert	chr5~139602201~139603200~+~HPV39~986~1985~+	chr5	139603200	HPV39	986	chr5~139603201~+~HPV39~985~+	139603201	985	153
HPV_sim_7sample_50insert	chr2~134345894~134346893~-~HPV18~4672~5671~-	chr2	134345894	HPV18	5671	HPV18~5672~+~chr2~134345893~+	134345893	5672	153
HPV_sim_7sample_50insert	chr14~39350791~39351790~+~HPV39~3043~4042~+	chr14	39351790	HPV39	3043	chr14~39351791~+~HPV39~3042~+	39351791	3042	153
HPV_sim_7sample_50insert	chr7~99076734~99077733~-~HPV18~1513~2512~-	chr7	99076734	HPV18	2512	HPV18~2513~+~chr7~99076733~+	99076733	2513	153
HPV_sim_7sample_50insert	chr7~81153258~81154257~-~HPV18~4410~5409~-	chr7	81153258	HPV18	5409	HPV18~5410~+~chr7~81153257~+	81153257	5410	153
HPV_sim_7sample_50insert	chr18~73407386~73408385~-~HPV18~3271~4270~+	chr18	73407386	HPV18	3271	HPV18~3270~-~chr18~73407385~+	73407385	3270	153
HPV_sim_7sample_50insert	chr22~36753133~36754132~-~HPV18~3113~4112~+	chr22	36753133	HPV18	3113	HPV18~3112~-~chr22~36753132~+	36753132	3112	153
HPV_sim_7sample_50insert	chr12~108483849~108484848~+~HPV45~2353~3352~+	chr12	108484848	HPV45	2353	chr12~108484849~+~HPV45~2352~+	108484849	2352	153
HPV_sim_7sample_50insert	chr21~24940135~24941134~+~HPV31~1802~2801~-	chr21	24941134	HPV31	2801	chr21~24941135~+~HPV31~2802~-	24941135	2802	153
HPV_sim_7sample_50insert	chr8~47118635~47119634~-~HPV18~2166~3165~-	chr8	47118635	HPV18	3165	HPV18~3166~+~chr8~47118634~+	47118634	3166	153
HPV_sim_7sample_50insert	chr20~52025066~52026065~+~HPV18~2412~3411~+	chr20	52026065	HPV18	2412	chr20~52026065~+~HPV18~2410~+	52026065	2410	153
HPV_sim_7sample_50insert	chr8~113232216~113233215~+~HPV39~5806~6805~-	chr8	113233215	HPV39	6805	chr8~113233216~+~HPV39~6806~-	113233216	6806	152
HPV_sim_7sample_50insert	chr1~186818481~186819480~+~HPV39~4179~5178~-	chr1	186819480	HPV39	5178	chr1~186819481~+~HPV39~5179~-	186819481	5179	152
HPV_sim_7sample_50insert	chr8~14415938~14416937~-~HPV31~3391~4390~-	chr8	14415938	HPV31	4390	HPV31~4391~+~chr8~14415937~+	14415937	4391	152
HPV_sim_7sample_50insert	chr16~75319390~75320389~+~HPV39~2264~3263~+	chr16	75320389	HPV39	2264	chr16~75320388~+~HPV39~2261~+	75320388	2261	152
HPV_sim_7sample_50insert	chr5~109692473~109693472~+~HPV45~5021~6020~-	chr5	109693472	HPV45	6020	chr5~109693473~+~HPV45~6021~-	109693473	6021	152
HPV_sim_7sample_50insert	chr7~125200867~125201866~+~HPV45~6361~7360~+	chr7	125201866	HPV45	6361	chr7~125201867~+~HPV45~6360~+	125201867	6360	152
HPV_sim_7sample_50insert	chr9~108788382~108789381~+~HPV39~6107~7106~+	chr9	108789381	HPV39	6107	chr9~108789381~+~HPV39~6105~+	108789381	6105	152
HPV_sim_7sample_50insert	chr20~34261629~34262628~+~HPV45~731~1730~+	chr20	34262628	HPV45	731	chr20~34262629~+~HPV45~730~+	34262629	730	152
HPV_sim_7sample_50insert	chr22~41122088~41123087~+~HPV45~5750~6749~-	chr22	41123087	HPV45	6749	chr22~41123088~+~HPV45~6750~-	41123088	6750	152
HPV_sim_7sample_50insert	chr12~13198049~13199048~+~HPV39~962~1961~+	chr12	13199048	HPV39	962	chr12~13199048~+~HPV39~960~+	13199048	960	152
HPV_sim_7sample_50insert	chr13~46765618~46766617~+~HPV45~5775~6774~+	chr13	46766617	HPV45	5775	chr13~46766618~+~HPV45~5774~+	46766618	5774	152
HPV_sim_7sample_50insert	chr8~11294775~11295774~+~HPV45~5173~6172~+	chr8	11295774	HPV45	5173	chr8~11295775~+~HPV45~5172~+	11295775	5172	152
HPV_sim_7sample_50insert	chr2~185527502~185528501~+~HPV45~799~1798~-	chr2	185528501	HPV45	1798	chr2~185528502~+~HPV45~1799~-	185528502	1799	152
HPV_sim_7sample_50insert	chr16~59686697~59687696~-~HPV31~376~1375~-	chr16	59686697	HPV31	1375	HPV31~1377~+~chr16~59686697~+	59686697	1377	152
HPV_sim_7sample_50insert	chr3~7350915~7351914~+~HPV45~1784~2783~-	chr3	7351914	HPV45	2783	chr3~7351915~+~HPV45~2784~-	7351915	2784	152
HPV_sim_7sample_50insert	chr3~1872755~1873754~-~HPV31~4728~5727~+	chr3	1872755	HPV31	4728	HPV31~4727~-~chr3~1872754~+	1872754	4727	152
HPV_sim_7sample_50insert	chr14~57711628~57712627~-~HPV31~1878~2877~+	chr14	57711628	HPV31	1878	HPV31~1877~-~chr14~57711627~+	57711627	1877	152
HPV_sim_7sample_50insert	chrX~110671546~110672545~-~HPV31~1320~2319~+	chrX	110671546	HPV31	1320	HPV31~1319~-~chrX~110671545~+	110671545	1319	152
HPV_sim_7sample_50insert	chr1~52396362~52397361~-~HPV31~204~1203~+	chr1	52396362	HPV31	204	HPV31~203~-~chr1~52396361~+	52396361	203	152
HPV_sim_7sample_50insert	chr17~4366052~4367051~+~HPV39~2447~3446~+	chr17	4367051	HPV39	2447	chr17~4367052~+~HPV39~2446~+	4367052	2446	152
HPV_sim_7sample_50insert	chr5~110315740~110316739~+~HPV39~3172~4171~+	chr5	110316739	HPV39	3172	chr5~110316740~+~HPV39~3171~+	110316740	3171	152
HPV_sim_7sample_50insert	chr21~9970234~9971233~+~HPV39~6077~7076~+	chr21	9971233	HPV39	6077	chr21~9971234~+~HPV39~6076~+	9971234	6076	152
HPV_sim_7sample_50insert	chr22~32097155~32098154~+~HPV39~6723~7722~+	chr22	32098154	HPV39	6723	chr22~32098155~+~HPV39~6722~+	32098155	6722	151
HPV_sim_7sample_50insert	chr18~51240706~51241705~+~HPV45~129~1128~-	chr18	51241705	HPV45	1128	chr18~51241705~+~HPV45~1130~-	51241705	1130	151
HPV_sim_7sample_50insert	chr19~11291122~11292121~-~HPV31~2637~3636~+	chr19	11291122	HPV31	2637	HPV31~2636~-~chr19~11291121~+	11291121	2636	151
HPV_sim_7sample_50insert	chr13~21165512~21166511~+~HPV31~462~1461~+	chr13	21166511	HPV31	462	chr13~21166127~+~HPV31~461~+	21166127	461	151
HPV_sim_7sample_50insert	chr21~21795747~21796746~+~HPV39~5434~6433~+	chr21	21796746	HPV39	5434	chr21~21796747~+~HPV39~5433~+	21796747	5433	151
HPV_sim_7sample_50insert	chr10~72867100~72868099~+~HPV39~494~1493~-	chr10	72868099	HPV39	1493	chr10~72868099~+~HPV39~1495~-	72868099	1495	151
HPV_sim_7sample_50insert	chr20~22208767~22209766~-~HPV31~129~1128~+	chr20	22208767	HPV31	129	HPV31~128~-~chr20~22208766~+	22208766	128	151
HPV_sim_7sample_50insert	chr2~193170900~193171899~-~HPV39~3881~4880~-	chr2	193170900	HPV39	4880	HPV39~4881~+~chr2~193171136~+	193171136	4881	151
HPV_sim_7sample_50insert	chr21~18515793~18516792~-~HPV31~1834~2833~+	chr21	18515793	HPV31	1834	HPV31~1829~-~chr21~18515796~+	18515796	1829	150
HPV_sim_7sample_50insert	chr2~194531840~194532839~-~HPV18~3663~4662~+	chr2	194531840	HPV18	3663	HPV18~3662~-~chr2~194531839~+	194531839	3662	150
HPV_sim_7sample_50insert	chr13~21303882~21304881~+~HPV45~3907~4906~-	chr13	21304881	HPV45	4906	chr13~21304884~+~HPV45~4905~-	21304884	4905	148
HPV_sim_7sample_50insert	chr3~155403476~155404475~-~HPV45~2600~3599~-	chr3	155403476	HPV45	3599	HPV45~3600~+~chr3~155403475~+	155403475	3600	148
HPV_sim_7sample_50insert	chr3~98967453~98968452~+~HPV33~3937~4936~-	chr3	98968452	HPV33	4936	chr3~98968454~+~HPV33~4936~-	98968454	4936	147
HPV_sim_7sample_50insert	chr2~162521855~162522854~+~HPV33~2734~3733~+	chr2	162522854	HPV33	2734	chr2~162522855~+~HPV33~2733~+	162522855	2733	147
HPV_sim_7sample_50insert	chr4~19599566~19600565~+~HPV33~2595~3594~-	chr4	19600565	HPV33	3594	chr4~19600566~+~HPV33~3595~-	19600566	3595	147
HPV_sim_7sample_50insert	chr5~60513004~60514003~+~HPV33~6097~7096~+	chr5	60514003	HPV33	6097	chr5~60514005~+~HPV33~6097~+	60514005	6097	147
HPV_sim_7sample_50insert	chr6~41194090~41195089~+~HPV45~2438~3437~-	chr6	41195089	HPV45	3437	chr6~41195090~+~HPV45~3438~-	41195090	3438	147
HPV_sim_7sample_50insert	chrX~140500636~140501635~+~HPV45~5832~6831~-	chrX	140501635	HPV45	6831	chrX~140501636~+~HPV45~6832~-	140501636	6832	147
HPV_sim_7sample_50insert	chrX~140699598~140700597~+~HPV45~6333~7332~+	chrX	140700597	HPV45	6333	chrX~140700598~+~HPV45~6332~+	140700598	6332	147
HPV_sim_7sample_50insert	chr16~24269724~24270723~+~HPV45~4822~5821~-	chr16	24270723	HPV45	5821	chr16~24270724~+~HPV45~5822~-	24270724	5822	147
HPV_sim_7sample_50insert	chr1~8745731~8746730~+~HPV33~2672~3671~+	chr1	8746730	HPV33	2672	chr1~8746731~+~HPV33~2671~+	8746731	2671	147
HPV_sim_7sample_50insert	chr11~60451994~60452993~+~HPV45~2726~3725~+	chr11	60452993	HPV45	2726	chr11~60452994~+~HPV45~2725~+	60452994	2725	147
HPV_sim_7sample_50insert	chr6~39702013~39703012~-~HPV45~5112~6111~+	chr6	39702013	HPV45	5112	HPV45~5112~-~chr6~39702011~+	39702011	5112	147
HPV_sim_7sample_50insert	chr8~144157944~144158943~+~HPV45~972~1971~+	chr8	144158943	HPV45	972	chr8~144158944~+~HPV45~971~+	144158944	971	147
HPV_sim_7sample_50insert	chr3~39149865~39150864~+~HPV45~2528~3527~+	chr3	39150864	HPV45	2528	chr3~39150865~+~HPV45~2527~+	39150865	2527	147
HPV_sim_7sample_50insert	chr15~67399405~67400404~-~HPV45~4348~5347~-	chr15	67399405	HPV45	5347	HPV45~5347~+~chr15~67399403~+	67399403	5347	146
HPV_sim_7sample_50insert	chr11~59429894~59430893~-~HPV45~3918~4917~-	chr11	59429894	HPV45	4917	HPV45~4918~+~chr11~59429893~+	59429893	4918	146
HPV_sim_7sample_50insert	chr3~31619115~31620114~-~HPV45~2529~3528~-	chr3	31619115	HPV45	3528	HPV45~3528~+~chr3~31619113~+	31619113	3528	146
HPV_sim_7sample_50insert	chr1~57512657~57513656~-~HPV45~6600~7599~-	chr1	57512657	HPV45	7599	HPV45~7600~+~chr1~57512656~+	57512656	7600	146
HPV_sim_7sample_50insert	chr1~172609764~172610763~-~HPV45~3072~4071~+	chr1	172609764	HPV45	3072	HPV45~3071~-~chr1~172609763~+	172609763	3071	146
HPV_sim_7sample_50insert	chr17~75073896~75074895~-~HPV45~3111~4110~+	chr17	75073896	HPV45	3111	HPV45~3110~-~chr17~75073895~+	75073895	3110	146
HPV_sim_7sample_50insert	chr10~79937626~79938625~+~HPV35~4333~5332~+	chr10	79938625	HPV35	4333	chr10~79938627~+~HPV35~4333~+	79938627	4333	146
HPV_sim_7sample_50insert	chr20~42500392~42501391~+~HPV35~537~1536~-	chr20	42501391	HPV35	1536	chr20~42501393~+~HPV35~1536~-	42501393	1536	146
HPV_sim_7sample_50insert	chr11~91586823~91587822~+~HPV16~3439~4438~+	chr11	91587822	HPV16	3439	chr11~91587823~+~HPV16~3438~+	91587823	3438	146
HPV_sim_7sample_50insert	chrX~62697957~62698956~+~HPV33~3595~4594~+	chrX	62698956	HPV33	3595	chrX~62698958~+~HPV33~3595~+	62698958	3595	146
HPV_sim_7sample_50insert	chr21~13860569~13861568~+~HPV33~6640~7639~+	chr21	13861568	HPV33	6640	chr21~13861569~+~HPV33~6639~+	13861569	6639	146
HPV_sim_7sample_50insert	chr6~58096039~58097038~+~HPV31~5790~6789~-	chr6	58097038	HPV31	6789	chr6~58097039~+~HPV31~6790~-	58097039	6790	145
HPV_sim_7sample_50insert	chr10~88905967~88906966~-~HPV39~3653~4652~-	chr10	88905967	HPV39	4652	HPV39~4653~+~chr10~88905966~+	88905966	4653	145
HPV_sim_7sample_50insert	chr6~169505288~169506287~-~HPV45~6692~7691~-	chr6	169505288	HPV45	7691	HPV45~7692~+~chr6~169505287~+	169505287	7692	145
HPV_sim_7sample_50insert	chr15~49880692~49881691~+~HPV39~1487~2486~-	chr15	49881691	HPV39	2486	chr15~49881689~+~HPV39~2490~-	49881689	2490	145
HPV_sim_7sample_50insert	chr20~37774800~37775799~-~HPV45~1400~2399~-	chr20	37774800	HPV45	2399	HPV45~2400~+~chr20~37774799~+	37774799	2400	145
HPV_sim_7sample_50insert	chrX~123155953~123156952~-~HPV33~456~1455~-	chrX	123155953	HPV33	1455	HPV33~1456~+~chrX~123155952~+	123155952	1456	145
HPV_sim_7sample_50insert	chr6~47912312~47913311~-~HPV33~2565~3564~-	chr6	47912312	HPV33	3564	HPV33~3565~+~chr6~47912311~+	47912311	3565	145
HPV_sim_7sample_50insert	chr12~103989583~103990582~-~HPV45~4663~5662~+	chr12	103989583	HPV45	4663	HPV45~4660~-~chr12~103989584~+	103989584	4660	145
HPV_sim_7sample_50insert	chr21~32634162~32635161~-~HPV45~2307~3306~+	chr21	32634162	HPV45	2307	HPV45~2304~-~chr21~32634163~+	32634163	2304	145
HPV_sim_7sample_50insert	chr13~94740398~94741397~-~HPV45~5268~6267~-	chr13	94740398	HPV45	6267	HPV45~6268~+~chr13~94740397~+	94740397	6268	145
HPV_sim_7sample_50insert	chr4~83295824~83296823~-~HPV33~1258~2257~+	chr4	83295824	HPV33	1258	HPV33~1257~-~chr4~83295823~+	83295823	1257	145
HPV_sim_7sample_50insert	chr16~73393056~73394055~-~HPV33~1594~2593~+	chr16	73393056	HPV33	1594	HPV33~1595~-~chr16~73393053~+	73393053	1595	145
HPV_sim_7sample_50insert	chr7~149104247~149105246~-~HPV45~1611~2610~+	chr7	149104247	HPV45	1611	HPV45~1609~-~chr7~149104247~+	149104247	1609	145
HPV_sim_7sample_50insert	chr13~20272041~20273040~+~HPV16~2402~3401~-	chr13	20273040	HPV16	3401	chr13~20273041~+~HPV16~3402~-	20273041	3402	145
HPV_sim_7sample_50insert	chr15~72300966~72301965~+~HPV35~3736~4735~-	chr15	72301965	HPV35	4735	chr15~72301966~+~HPV35~4736~-	72301966	4736	145
HPV_sim_7sample_50insert	chr20~12952319~12953318~+~HPV31~2741~3740~-	chr20	12953318	HPV31	3740	chr20~12953322~+~HPV31~3738~-	12953322	3738	145
HPV_sim_7sample_50insert	chr1~49242805~49243804~-~HPV39~3258~4257~-	chr1	49242805	HPV39	4257	HPV39~4258~+~chr1~49242804~+	49242804	4258	144
HPV_sim_7sample_50insert	chr15~100512208~100513207~-~HPV31~4058~5057~-	chr15	100512208	HPV31	5057	HPV31~5058~+~chr15~100512207~+	100512207	5058	144
HPV_sim_7sample_50insert	chrY~14397769~14398768~+~HPV31~5872~6871~-	chrY	14398768	HPV31	6871	chrY~14398770~+~HPV31~6871~-	14398770	6871	144
HPV_sim_7sample_50insert	chr5~158913086~158914085~+~HPV31~4138~5137~-	chr5	158914085	HPV31	5137	chr5~158914087~+~HPV31~5137~-	158914087	5137	144
HPV_sim_7sample_50insert	chr21~27378610~27379609~-~HPV31~604~1603~-	chr21	27378610	HPV31	1603	HPV31~1604~+~chr21~27378609~+	27378609	1604	144
HPV_sim_7sample_50insert	chr8~10958994~10959993~+~HPV31~2983~3982~-	chr8	10959993	HPV31	3982	chr8~10959994~+~HPV31~3983~-	10959994	3983	144
HPV_sim_7sample_50insert	chr4~65591089~65592088~-~HPV31~1016~2015~-	chr4	65591089	HPV31	2015	HPV31~2016~+~chr4~65591088~+	65591088	2016	144
HPV_sim_7sample_50insert	chr8~107037220~107038219~-~HPV31~4028~5027~-	chr8	107037220	HPV31	5027	HPV31~5027~+~chr8~107037218~+	107037218	5027	144
HPV_sim_7sample_50insert	chr9~5592171~5593170~+~HPV31~3350~4349~-	chr9	5593170	HPV31	4349	chr9~5593171~+~HPV31~4350~-	5593171	4350	144
HPV_sim_7sample_50insert	chr2~102182056~102183055~-~HPV39~4214~5213~-	chr2	102182056	HPV39	5213	HPV39~5213~+~chr2~102182054~+	102182054	5213	144
HPV_sim_7sample_50insert	chr17~30865657~30866656~-~HPV31~6580~7579~-	chr17	30865657	HPV31	7579	HPV31~7579~+~chr17~30865655~+	30865655	7579	144
HPV_sim_7sample_50insert	chr14~38524926~38525925~-~HPV39~3007~4006~-	chr14	38524926	HPV39	4006	HPV39~4007~+~chr14~38524925~+	38524925	4007	144
HPV_sim_7sample_50insert	chr20~51240752~51241751~+~HPV31~3660~4659~+	chr20	51241751	HPV31	3660	chr20~51241752~+~HPV31~3659~+	51241752	3659	144
HPV_sim_7sample_50insert	chr9~4244702~4245701~+~HPV31~5301~6300~+	chr9	4245701	HPV31	5301	chr9~4245702~+~HPV31~5300~+	4245702	5300	144
HPV_sim_7sample_50insert	chr17~49264624~49265623~-~HPV31~3666~4665~-	chr17	49264624	HPV31	4665	HPV31~4666~+~chr17~49264623~+	49264623	4666	144
HPV_sim_7sample_50insert	chr6~87899070~87900069~-~HPV31~181~1180~-	chr6	87899070	HPV31	1180	HPV31~1181~+~chr6~87899069~+	87899069	1181	144
HPV_sim_7sample_50insert	chrY~4874909~4875908~+~HPV33~4215~5214~-	chrY	4875908	HPV33	5214	chrY~4875909~+~HPV33~5215~-	4875909	5215	144
HPV_sim_7sample_50insert	chr8~84279664~84280663~-~HPV39~1664~2663~+	chr8	84279664	HPV39	1664	HPV39~1661~-~chr8~84279665~+	84279665	1661	144
HPV_sim_7sample_50insert	chr19~7960172~7961171~-~HPV45~5246~6245~+	chr19	7960172	HPV45	5246	HPV45~5245~-~chr19~7960171~+	7960171	5245	144
