#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	HPV18~5228~+~chr14~62374723~+	chr14	62374723	+	HPV18	5228	+	165+40	high	205
subset.insertion_seqs.fa	chr9~84934088~-~HPV18~346~+	chr9	84934088	-	HPV18	346	+	0+18	high	18
subset.insertion_seqs.fa	chr9~84934100~-~HPV18~346~+	chr9	84934100	-	HPV18	346	+	172+37	high	209
subset.insertion_seqs.fa	HPV18~1474~+~chr16~64211225~-	chr16	64211225	-	HPV18	1474	+	176+19	high	195
subset.insertion_seqs.fa	HPV18~1474~+~chr16~64211228~-	chr16	64211228	-	HPV18	1474	+	176+19	high	195
subset.insertion_seqs.fa	HPV18~3169~+~chr8~47118634~+	chr8	47118634	+	HPV18	3169	+	0+37	high	37
subset.insertion_seqs.fa	chr4~9116362~-~HPV18~3440~+	chr4	9116362	-	HPV18	3440	+	0+23	high	23
subset.insertion_seqs.fa	chr2~194531839~-~HPV18~3662~+	chr2	194531839	-	HPV18	3662	+	0+40	high	40
subset.insertion_seqs.fa	chr17~9404795~-~HPV18~3872~+	chr17	9404795	-	HPV18	3872	+	165+40	high	205
subset.insertion_seqs.fa	HPV18~4493~+~chr1~32773242~+	chr1	32773242	+	HPV18	4493	+	167+43	high	210
subset.insertion_seqs.fa	chr11~5010488~+~HPV18~4714~+	chr11	5010488	+	HPV18	4714	+	172+18	high	190
subset.insertion_seqs.fa	chr2~184219516~-~HPV18~4909~+	chr2	184219516	-	HPV18	4909	+	191+32	high	223
subset.insertion_seqs.fa	HPV18~5038~+~chr1~107166643~+	chr1	107166643	+	HPV18	5038	+	191+35	high	226
subset.insertion_seqs.fa	HPV18~5397~+~chr7~24416128~-	chr7	24416128	-	HPV18	5397	+	0+19	high	19
subset.insertion_seqs.fa	HPV18~5398~+~chr10~94215187~-	chr10	94215187	-	HPV18	5398	+	167+40	high	207
subset.insertion_seqs.fa	HPV18~5670~+~chr2~134345893~+	chr2	134345893	+	HPV18	5670	+	0+41	high	41
subset.insertion_seqs.fa	HPV18~5921~+~chr17~48898019~-	chr17	48898019	-	HPV18	5921	+	190+34	high	224
subset.insertion_seqs.fa	HPV18~6576~+~chrX~65806351~-	chrX	65806351	-	HPV18	6576	+	0+18	high	18
subset.insertion_seqs.fa	HPV18~4159~+~chr1~26195756~+	chr1	26195756	+	HPV18	4159	+	188+34	high	222
subset.insertion_seqs.fa	HPV18~3111~-~chr22~36753126~+	chr22	36753126	+	HPV18	3111	-	0+4	low	4
subset.insertion_seqs.fa	chr3~7351913~+~HPV18~2824~-	chr3	7351913	+	HPV18	2824	-	0+15	low	15
subset.insertion_seqs.fa	chr3~130129756~+~HPV18~3440~+	chr3	130129756	+	HPV18	3440	+	136+41	low	177
subset.insertion_seqs.fa	chr6~41195088~+~HPV18~3478~-	chr6	41195088	+	HPV18	3478	-	0+13	low	13
subset.insertion_seqs.fa	chr6~153459067~+~HPV18~2780~-	chr6	153459067	+	HPV18	2780	-	0+16	low	16
subset.insertion_seqs.fa	chr12~108484846~+~HPV18~2393~+	chr12	108484846	+	HPV18	2393	+	18+6	low	24
subset.insertion_seqs.fa	HPV18~5876~+~chrX~140420496~-	chrX	140420496	-	HPV18	5876	+	43+23	low	66
subset.insertion_seqs.fa	HPV18~6547~+~chr13~34248628~-	chr13	34248628	-	HPV18	6547	+	171+18	low	189
subset.insertion_seqs.fa	HPV18~6576~+~chrX~65806340~-	chrX	65806340	-	HPV18	6576	+	0+19	low	19
subset.insertion_seqs.fa	chr19~53536674~+~HPV18~3073~-	chr19	53536674	+	HPV18	3073	-	165+39	low	204
subset.insertion_seqs.fa	chr2~155753411~+~HPV18~1663~-	chr2	155753411	+	HPV18	1663	-	192+12	low	204
subset.insertion_seqs.fa	chr21~32634156~-~HPV18~2695-2821~NA	chr21	32634156	-	HPV18	2695-2821	NA	12+17	low	29
