TCGA	sample_id	seqtype	chrom	virus	contig	sample_region_expr	mean_region_expr	log2_fold_change	expr_quantile	region_gene_list
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~3357~-~chr20~33658476~+	84.24	72.21	0.22	1.00	CBFA2T2^ENSG00000078699.20,RP1-63M2.7^ENSG00000275223.1,NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33707970~+~HPV16~227~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33701467~+~HPV16~3358~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~7461~-~chr20~33700711~+	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~3357~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~741~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	HPV16~2708~-~chr20~33669374~+	90.35	71.19	0.34	1.00	NECAB3^ENSG00000125967.15,C20orf144^ENSG00000149609.5,ACTL10^ENSG00000182584.4,RP1-63M2.5^ENSG00000271803.1,E2F1^ENSG00000101412.12
CESC	CESC-VS-A953-TP	RNA	chr20	HPV16	chr20~33709886~+~HPV16~1587~-	19.98	16.25	0.30	1.00	PXMP4^ENSG00000101417.10
HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	chr4~139807086~+~HPV16~2974~-	18.70	14.71	0.35	1.00	MAML3^ENSG00000196782.11
HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	chr4~139730668~+~HPV16~881~-	37.41	32.79	0.19	1.00	MGST2^ENSG00000085871.7,MAML3^ENSG00000196782.11
HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	HPV16~3357~-~chr4~139889356~+	18.70	14.71	0.35	1.00	MAML3^ENSG00000196782.11
HNSC	HNSC-P3-A5Q5-TP	RNA	chr4	HPV16	chr4~139784591~+~HPV16~882~-	31.24	15.15	1.04	1.00	MAML3^ENSG00000196782.11,RN7SKP253^ENSG00000252233.1
LGG	LGG-QH-A6CS-TP	RNA	chr5	HBV	NC_003977_3182nt_Hepatitis_B_virus~1793~+~chr5~1306848~+	0.00	0.02	-1.73	0.76	MIR4457^ENSG00000263670.1
LGG	LGG-QH-A6CS-TP	RNA	chr4	HBV	NC_003977_3182nt_Hepatitis_B_virus~1804~+~chr4~129752655~+	0.00	0.63	-5.99	0.39	RP11-519M16.1^ENSG00000246876.5
CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73413637~+~HPV16~881~-	30.59	9.61	1.67	0.99	MARK2P12^ENSG00000229708.1,LINC00393^ENSG00000224853.1
CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73477207~+~HPV16~881~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73456963~+~HPV16~881~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73497733~+~HPV16~2442~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
CESC	CESC-EA-A44S-TP	RNA	chr13	HPV16	chr13~73451336~+~HPV16~882~-	16.93	7.85	1.11	0.97	LINC00393^ENSG00000224853.1
CESC	CESC-JW-A69B-TP	RNA	chr9	HPV16	chr9~133255382~+~HPV16~3924~+	16.64	15.36	0.12	0.58	ABO^ENSG00000175164.12
CESC	CESC-HG-A2PA-TP	RNA	chr3	HPV16	HPV16~1859~+~chr3~189899756~+	20.54	17.80	0.21	0.79	TP63^ENSG00000073282.11
LIHC	LIHC-CC-A7IF-TP	RNA	chr19	HBV	NC_003977_3182nt_Hepatitis_B_virus~1427~-~chr19~35723006~+	31.35	28.14	0.16	0.95	ZBTB32^ENSG00000011590.12,KMT2B^ENSG00000272333.4
LIHC	LIHC-BC-A10Y-TP	RNA	chr4	NC_001401_4679nt_Adeno_associated_virus_2	NC_001401_4679nt_Adeno_associated_virus_2~4161~-~chr4~121823413~+	56.07	47.62	0.24	1.00	EXOSC9^ENSG00000123737.11,CCNA2^ENSG00000145386.8,BBS7^ENSG00000138686.8
CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159203657~+~HPV18~930~-	34.70	27.25	0.35	0.99	RNF145^ENSG00000145860.10,CTB-11I22.1^ENSG00000253256.1
CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159203657~+~HPV18~234~-	34.70	27.25	0.35	0.99	RNF145^ENSG00000145860.10,CTB-11I22.1^ENSG00000253256.1
CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159194826~+~HPV18~239~-	22.58	19.29	0.23	1.00	RNF145^ENSG00000145860.10
CESC	CESC-EX-A8YF-TP	RNA	chr5	HPV18	chr5~159206049~+~HPV18~1761~-	34.70	27.25	0.35	0.99	RNF145^ENSG00000145860.10,CTB-11I22.1^ENSG00000253256.1
SARC	SARC-X6-A8C7-TP	RNA	chr1	HPV16	chr1~171203992~+~HPV16~881~-	27.21	15.66	0.80	0.93	FMO2^ENSG00000094963.12,RP1-127D3.4^ENSG00000225243.4
LIHC	LIHC-DD-AADK-TP	RNA	chr19	HBV	NC_003977_3182nt_Hepatitis_B_virus~1818~+~chr19~35722273~+	31.62	28.14	0.17	0.97	ZBTB32^ENSG00000011590.12,KMT2B^ENSG00000272333.4
CESC	CESC-C5-A7X3-TP	RNA	chr1	HPV45	HPV45~930~+~chr1~43464843~+	14.68	13.57	0.11	0.86	HYI-AS1^ENSG00000229348.1
CESC	CESC-C5-A7X3-TP	RNA	chr1	HPV45	HPV45~2462~+~chr1~43462500~+	47.15	45.95	0.04	0.77	SZT2^ENSG00000198198.12,HYI^ENSG00000178922.15,HYI-AS1^ENSG00000229348.1
CESC	CESC-C5-A7X3-TP	RNA	chr1	HPV45	chr1~43435330~+~HPV45~3403~+	15.05	15.75	-0.07	0.08	SZT2^ENSG00000198198.12
CESC	CESC-C5-A7X3-TP	RNA	chr11	HPV45	chr11~32337694~+~HPV45~3391~+	9.03	4.48	1.01	0.79	THEM7P^ENSG00000227160.2
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68237177~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~918~+~chr14~68232968~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68234922~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~229~+~chr14~68411421~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	chr14~68274977~+~HPV16~3434~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68291883~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~227~+~chr14~68237177~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~229~+~chr14~68497120~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~227~+~chr14~68291883~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~3981~+~chr14~68216852~+	0.00	14.12	-10.46	0.00	RAD51B^ENSG00000182185.17
HNSC	HNSC-BA-4077-TP	RNA	chr14	HPV16	HPV16~227~+~chr14~68234922~+	0.00	15.03	-10.55	0.00	RAD51B^ENSG00000182185.17,RN7SL108P^ENSG00000243546.3
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206039055~+~HPV16~881~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~205978929~+~HPV16~881~-	20.38	16.95	0.27	1.00	RAB7B^ENSG00000276600.3
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206066515~+~HPV16~2091~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206032222~+~HPV16~881~-	59.39	27.42	1.11	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1,C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206047619~+~HPV16~881~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206062939~+~HPV16~881~-	18.31	15.04	0.28	0.82	C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206039055~+~HPV16~227~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206049015~+~HPV16~877~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206032223~+~HPV16~227~-	59.39	27.42	1.11	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1,C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~205978929~+~HPV16~227~-	20.38	16.95	0.27	1.00	RAB7B^ENSG00000276600.3
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206050938~+~HPV16~861~-	18.31	15.04	0.28	0.83	C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206027475~+~HPV16~855~-	59.39	27.42	1.11	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1,C1orf186^ENSG00000263961.5
CESC	CESC-VS-A8QA-TP	RNA	chr1	HPV16	chr1~206016130~+~HPV16~844~-	41.08	12.37	1.73	1.00	CTSE^ENSG00000196188.9,BX571818.1^ENSG00000280687.1
CESC	CESC-VS-A8QA-TP	RNA	chr19	HPV51	HPV51~1610~+~chr19~12790871~+	82.75	75.84	0.13	0.73	HOOK2^ENSG00000095066.10,Metazoa_SRP^ENSG00000280783.1,CTD-2659N19.9^ENSG00000267212.1,MIR5684^ENSG00000263800.1,JUNB^ENSG00000171223.5,PRDX2^ENSG00000167815.10,CTD-2659N19.10^ENSG00000267062.1
CESC	CESC-VS-A8QA-TP	RNA	chr18	HPV16	HPV16~2091~+~chr18~9192781~+	15.78	16.05	-0.02	0.30	ANKRD12^ENSG00000101745.14
CESC	CESC-EK-A2RC-TP	RNA	chr4	HPV16	HPV16~881~+~chr4~67700453~+	38.51	32.48	0.25	1.00	UBA6^ENSG00000033178.11,UBA6-AS1^ENSG00000248049.5
CESC	CESC-EK-A2RC-TP	RNA	chr4	HPV16	HPV16~1471~+~chr4~67700381~+	38.51	32.48	0.25	1.00	UBA6^ENSG00000033178.11,UBA6-AS1^ENSG00000248049.5
HNSC	HNSC-CN-A6V7-TP	RNA	chr14	HPV16	HPV16~3494~+~chr14~68446729~+	14.47	14.15	0.03	0.74	RAD51B^ENSG00000182185.17
HNSC	HNSC-CN-A6V7-TP	RNA	chr14	HPV16	HPV16~3494~+~chr14~68447936~+	14.47	14.15	0.03	0.74	RAD51B^ENSG00000182185.17
HNSC	HNSC-CN-A6V7-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68446729~+	14.47	14.15	0.03	0.74	RAD51B^ENSG00000182185.17
HNSC	HNSC-CN-A6V7-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68447935~+	14.47	14.15	0.03	0.74	RAD51B^ENSG00000182185.17
HNSC	HNSC-CN-A6V7-TP	RNA	chr14	HPV16	chr14~68411528~+~HPV16~3357~+	14.47	14.15	0.03	0.74	RAD51B^ENSG00000182185.17
HNSC	HNSC-CN-A6V7-TP	RNA	chr14	HPV16	HPV16~881~+~chr14~68468171~+	14.47	14.15	0.03	0.74	RAD51B^ENSG00000182185.17
