sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tissue_id	sample_read_count	mapped_rpm
GTEX-ZXG5-0011-R8a-SM-57WD1	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	54	0	2702	0.016	Brain_Hypothalamus	104437357	0.517056363270472
GTEX-OOBJ-0006-SM-2I3F4	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	1476	28	598	0.114	Whole_Blood	45136704	32.70065975575
GTEX-OOBJ-0006-SM-2I3F4	NC_001405_35937nt_Human_mastadenovirus_C	35937	691	319	1978	0.055	Whole_Blood	45136704	15.3090487067908
GTEX-S3XE-1026-SM-4AD4O	NC_001716_153080nt_Human_betaherpesvirus_7	153080	54	0	3811	0.025	Stomach	35847652	1.50637481082443
GTEX-1269C-0003-SM-5S2PB	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	297023	42	129811	0.755	Cells_EBV-transformed_lymphocytes	36916899	8045.71911633206
GTEX-1269C-0003-SM-5S2PB	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	136828	430	95596	0.553	Cells_EBV-transformed_lymphocytes	36916899	3706.37847994763
GTEX-ZF2S-3026-SM-4WWCH	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	58	0	3439	0.02	Liver	39413869	1.47156322055061
GTEX-XUYS-0005-SM-47JZ2	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	52	10	3524	0.021	Whole_Blood	36902426	1.40912144908847
GTEX-X15G-0008-SM-4PR2D	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	654	13	25162	0.146	Cells_Cultured_fibroblasts	35874369	18.2302858065601
GTEX-X15G-0008-SM-4PR2D	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	258	0	12585	0.073	Cells_Cultured_fibroblasts	35874369	7.19176412552371
GTEX-ZF28-2926-SM-4WKG1	NC_001781_15225nt_Human_orthopneumovirus	15225	242	0	8772	0.576	Brain_Cerebellum	48591320	4.98031335637723
GTEX-1LH75-2126-SM-EVR5F	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	88	0	4644	0.027	Colon_Transverse	43573173	2.01959127465884
GTEX-XMD2-0126-SM-4YCDU	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	120	10	6567	0.038	Skin_Sun_Exposed_Lower_leg	48698995	2.46411655928423
GTEX-R53T-1226-SM-48FCT	NC_001716_153080nt_Human_betaherpesvirus_7	153080	106	0	7197	0.047	Stomach	39582413	2.67795700075182
GTEX-WFJO-0002-SM-3P61X	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	319553	151	132751	0.773	Cells_EBV-transformed_lymphocytes	73556632	4344.31255634434
GTEX-WFJO-0002-SM-3P61X	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	124344	368	102694	0.594	Cells_EBV-transformed_lymphocytes	73556632	1690.4526025607
GTEX-WFJO-0002-SM-3P61X	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	2899	0	53550	0.352	Cells_EBV-transformed_lymphocytes	73556632	39.411809937138
GTEX-WHSE-0011-R8A-SM-3P5Z1	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	1922	6	47786	0.314	Brain_Hypothalamus	63175112	30.4233730523501
GTEX-WHSE-0011-R8A-SM-3P5Z1	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	78	0	4647	0.027	Brain_Hypothalamus	63175112	1.23466342251993
GTEX-Q734-0626-SM-2I3EF	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	1275	12	683	0.13	Lung	50217719	25.3894447097448
GTEX-Q734-0626-SM-2I3EF	NC_001405_35937nt_Human_mastadenovirus_C	35937	498	688	1980	0.055	Lung	50217719	9.91681840427679
GTEX-Y114-0002-SM-4TT78	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	144642	625	131030	0.763	Cells_EBV-transformed_lymphocytes	56479663	2560.95720684452
GTEX-Y114-0002-SM-4TT78	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	99823	767	113862	0.659	Cells_EBV-transformed_lymphocytes	56479663	1767.41493659408
GTEX-QLQ7-0826-SM-447B3	NC_001716_153080nt_Human_betaherpesvirus_7	153080	54	0	3681	0.024	Stomach	32276061	1.67306661119521
GTEX-P4PQ-1026-SM-3NMCN	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	736	0	29002	0.169	Pancreas	58774882	12.5223560635987
GTEX-P4PQ-1026-SM-3NMCN	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	310	0	13492	0.078	Pancreas	58774882	5.27436192896142
GTEX-NPJ8-0011-R3a-SM-2HMIW	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	5243	1120	25	599	0.114	Brain_Anterior_cingulate_cortex_BA24	84640025	13.2325102692255
GTEX-NPJ8-0011-R3a-SM-2HMIW	NC_001405_35937nt_Human_mastadenovirus_C	35937	275	438	1979	0.055	Brain_Anterior_cingulate_cortex_BA24	84640025	3.24905386074732
GTEX-UPJH-0001-SM-3NMDE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	258523	102	132544	0.771	Cells_EBV-transformed_lymphocytes	61823041	4181.66100887855
GTEX-UPJH-0001-SM-3NMDE	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	115535	317	101014	0.585	Cells_EBV-transformed_lymphocytes	61823041	1868.80163335867
GTEX-WK11-0926-SM-3NMAU	NC_003059_8072nt_Porcine_endogenous_retrovirus_E	8072	92	0	3859	0.478	Thyroid	58325329	1.57735929787897
GTEX-WK11-0926-SM-3NMAU	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	114	0	6641	0.039	Thyroid	58325329	1.95455391258916
GTEX-WK11-0926-SM-3NMAU	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	52	0	3318	0.019	Thyroid	58325329	0.89155090749681
GTEX-PLZ4-2726-SM-3P61A	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	2210	0	49410	0.325	Vagina	61118681	36.1591572959502
GTEX-PLZ4-2726-SM-3P61A	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	72	0	4386	0.026	Vagina	61118681	1.17803589380471
GTEX-Y3IK-2226-SM-4YCD4	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	116	0	6284	0.037	Vagina	48371764	2.39809323472264
GTEX-ZF28-0011-R3a-SM-4WWDA	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	52	0	3405	0.02	Brain_Anterior_cingulate_cortex_BA24	45038291	1.15457311646217
GTEX-POMQ-1426-SM-3P61D	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	1966	0	42846	0.281	Ovary	52302151	37.5892762039557
GTEX-POMQ-1426-SM-3P61D	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	62	0	3815	0.022	Ovary	52302151	1.1854196971746
GTEX-POMQ-1426-SM-3P61D	NC_006273_235646nt_Human_betaherpesvirus_5	235646	78	0	4699	0.02	Ovary	52302151	1.49133445773578
GTEX-X4EO-0526-SM-3P5Z3	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	1839	0	41302	0.271	Muscle_Skeletal	65844822	27.9293032335937
GTEX-X4EO-0526-SM-3P5Z3	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	76	5	4268	0.025	Muscle_Skeletal	65844822	1.15422895364498
GTEX-X15G-1726-SM-4PQZN	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	64	0	3581	0.021	Ovary	31514817	2.03079078644182
GTEX-WYJK-2126-SM-4ONDG	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	66	0	3633	0.021	Esophagus_Gastroesophageal_Junction	158456295	0.416518636889749
GTEX-ZVP2-0005-SM-51MRK	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	58	0	3414	0.02	Whole_Blood	70217350	0.826006677836746
GTEX-XMK1-0926-SM-4B66X	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	5668	36	83555	0.486	Adipose_Visceral_Omentum	46256123	122.535129024973
GTEX-XMK1-0926-SM-4B66X	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	1938	0	41059	0.238	Adipose_Visceral_Omentum	46256123	41.8971559721942
GTEX-WYBS-0926-SM-3NM94	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	130	0	7533	0.044	Breast_Mammary_Tissue	63638021	2.04280393948768
GTEX-WYBS-0926-SM-3NM94	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	60	5	3484	0.02	Breast_Mammary_Tissue	63638021	0.942832587455854
GTEX-X4EO-2426-SM-4QASD	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	188	0	10915	0.072	Ovary	28523275	6.59110848947044
GTEX-WYBS-1126-SM-3NMAM	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	106	0	6320	0.037	Lung	64761657	1.63677096773481
GTEX-WYBS-1126-SM-3NMAM	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	56	5	3586	0.021	Lung	64761657	0.86470919050141
GTEX-1H2FU-0004-SM-EYYW8	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	89082	310	127012	0.739	Cells_EBV-transformed_lymphocytes	59849575	1488.4316221126
GTEX-1H2FU-0004-SM-EYYW8	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	23007	236	86781	0.502	Cells_EBV-transformed_lymphocytes	59849575	384.413757324091
GTEX-WH7G-0426-SM-3NMBJ	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	192	0	10952	0.064	Heart_Left_Ventricle	70044565	2.74111203346041
GTEX-WH7G-0426-SM-3NMBJ	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	80	0	4841	0.028	Heart_Left_Ventricle	70044565	1.14213001394184
GTEX-X15G-1426-SM-4PQZK	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	50	7	3134	0.018	Small_Intestine_Terminal_Ileum	32753757	1.52654243603261
GTEX-ZDTT-0006-SM-4WKFP	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	68	0	4645	0.027	Whole_Blood	63715700	1.0672408841149
GTEX-18A66-0008-SM-EAZBU	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	200	8	9907	0.058	Cells_Cultured_fibroblasts	61338608	3.2605891545501
GTEX-15SB6-0008-SM-EAZCE	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	52	0	3061	0.018	Cells_Cultured_fibroblasts	52413974	0.992101839101153
GTEX-1IDJD-1426-SM-CM2TR	NC_001479_7835nt_Encephalomyocarditis_virus	7835	249	0	575	0.073	Artery_Tibial	41712193	5.96947755779707
GTEX-Y8DK-0004-SM-4RGM7	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	147278	286	118913	0.692	Cells_EBV-transformed_lymphocytes	59392624	2479.73553079588
GTEX-Y8DK-0004-SM-4RGM7	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	40103	85	73487	0.425	Cells_EBV-transformed_lymphocytes	59392624	675.218525451915
GTEX-ZDTS-1226-SM-4WKGL	NC_002549_18959nt_Zaire_ebolavirus	18959	3329	0	18923	0.998	Heart_Atrial_Appendage	35938992	92.6291978361552
GTEX-UPK5-2326-SM-3P5Z8	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	2185	6	49831	0.327	Breast_Mammary_Tissue	70844962	30.8419955112687
GTEX-UPK5-2326-SM-3P5Z8	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	158	0	8389	0.049	Breast_Mammary_Tissue	70844962	2.23022210104368
GTEX-UPK5-2326-SM-3P5Z8	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	72	0	4486	0.026	Breast_Mammary_Tissue	70844962	1.01630374224775
GTEX-1IDJD-2526-SM-C1YSA	NC_000898_162114nt_Human_betaherpesvirus_6B	162114	162	0	2771	0.017	Minor_Salivary_Gland	32531190	4.97983627404961
GTEX-XQ3S-0001-SM-4B64K	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	219197	219	131523	0.765	Cells_EBV-transformed_lymphocytes	65882123	3327.10893363288
GTEX-XQ3S-0001-SM-4B64K	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	79438	454	98582	0.571	Cells_EBV-transformed_lymphocytes	65882123	1205.75956545905
GTEX-RUSQ-0926-SM-47JWU	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	64	5	4197	0.024	Esophagus_Muscularis	45564186	1.40461194676012
GTEX-PLZ6-0226-SM-3P61I	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	1553	0	40044	0.263	Adrenal_Gland	65404388	23.7445842318714
GTEX-PLZ6-0226-SM-3P61I	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	70	0	4210	0.025	Adrenal_Gland	65404388	1.07026458224791
GTEX-WK11-0826-SM-EZ6LH	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	64	0	4142	0.024	Heart_Left_Ventricle	62848885	1.01831559939369
GTEX-X4EP-2926-SM-3P5YQ	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	1696	0	43896	0.288	Breast_Mammary_Tissue	66266992	25.5934357183438
GTEX-1QP67-0826-SM-EVR46	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	94	0	5606	0.037	Esophagus_Muscularis	58920172	1.5953789136936
GTEX-1QP67-0826-SM-EVR46	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	108	0	6040	0.035	Esophagus_Muscularis	58920172	1.83298853913733
GTEX-18D9A-0626-SM-7KFTY	NC_001716_153080nt_Human_betaherpesvirus_7	153080	154	0	9119	0.06	Stomach	57426537	2.681687039565
GTEX-1EKGG-0001-SM-EAZCL	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	396077	523	133908	0.779	Cells_EBV-transformed_lymphocytes	63768067	6211.21226710541
GTEX-1EKGG-0001-SM-EAZCL	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	175364	2585	103547	0.599	Cells_EBV-transformed_lymphocytes	63768067	2750.02847428322
GTEX-ZT9W-0005-SM-4YCEG	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	146	0	7630	0.044	Whole_Blood	55914024	2.61115172107806
GTEX-ZT9W-0005-SM-4YCEG	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	54	0	3197	0.019	Whole_Blood	55914024	0.965768444782297
GTEX-TML8-1626-SM-32QOO	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	64	0	3748	0.022	Nerve_Tibial	59985073	1.06693210159134
GTEX-1JMQK-1926-SM-CJI3B	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	317	10	16435	0.096	Kidney_Cortex	45206068	7.01233294609918
GTEX-1JMQK-1926-SM-CJI3B	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	300	0	15103	0.087	Kidney_Cortex	45206068	6.63627723605601
GTEX-XBEW-0002-SM-4AT5O	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	96900	194	126814	0.738	Cells_EBV-transformed_lymphocytes	35471371	2731.7805111057
GTEX-XBEW-0002-SM-4AT5O	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	26172	229	84274	0.488	Cells_EBV-transformed_lymphocytes	35471371	737.834463742605
GTEX-ZF3C-2026-SM-4WWB5	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	70	0	4359	0.025	Pancreas	49773596	1.40636814748125
GTEX-ZUA1-0926-SM-4YCDX	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	132	0	7344	0.043	Thyroid	48399366	2.72730845275948
GTEX-1RLM8-0626-SM-E76OW	NC_006273_235646nt_Human_betaherpesvirus_5	235646	201	0	12508	0.053	Lung	43666528	4.60306805249091
GTEX-X4XX-1026-SM-4QARO	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	220	0	11688	0.077	Lung	36846376	5.97073644366002
GTEX-S7SF-0008-SM-3NM8T	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	164	0	8692	0.051	Cells_Cultured_fibroblasts	80410367	2.0395380113114
GTEX-S7SF-0008-SM-3NM8T	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	60	0	3534	0.02	Cells_Cultured_fibroblasts	80410367	0.746172443162708
GTEX-X3Y1-0926-SM-3P5YT	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	1531	0	37375	0.246	Adipose_Visceral_Omentum	44197706	34.6398068714245
GTEX-WY7C-0004-SM-4ONDS	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	94766	140	127251	0.741	Cells_EBV-transformed_lymphocytes	37796364	2507.27821332232
GTEX-WY7C-0004-SM-4ONDS	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	28367	226	85748	0.496	Cells_EBV-transformed_lymphocytes	37796364	750.52192851143
GTEX-RWSA-1426-SM-47JXA	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	66	0	4080	0.024	Liver	46219894	1.42795654183023
GTEX-1F6I4-0002-SM-EVR38	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	268754	240	133355	0.776	Cells_EBV-transformed_lymphocytes	60710117	4426.8404226597
GTEX-1F6I4-0002-SM-EVR38	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	106540	656	101521	0.588	Cells_EBV-transformed_lymphocytes	60710117	1754.89696387836
GTEX-T5JC-0001-SM-3NMAK	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	62661	115	116105	0.676	Cells_EBV-transformed_lymphocytes	61940780	1011.62755780602
GTEX-T5JC-0001-SM-3NMAK	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	20702	58	70809	0.41	Cells_EBV-transformed_lymphocytes	61940780	334.222462164668
GTEX-ZPU1-0226-SM-4WWC9	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	430	0	17487	0.102	Pancreas	39175098	10.9763605441395
GTEX-ZPU1-0226-SM-4WWC9	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	126	0	6224	0.036	Pancreas	39175098	3.21632890363159
GTEX-WWTW-0002-SM-4MVNH	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	119569	201	132634	0.772	Cells_EBV-transformed_lymphocytes	33089594	3613.49250764455
GTEX-WWTW-0002-SM-4MVNH	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	53123	549	104595	0.605	Cells_EBV-transformed_lymphocytes	33089594	1605.42918719402
GTEX-1HSKV-0001-SM-EZ6M6	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	142399	238	130521	0.76	Cells_EBV-transformed_lymphocytes	71499851	1991.59855591867
GTEX-1HSKV-0001-SM-EZ6M6	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	54990	353	93519	0.541	Cells_EBV-transformed_lymphocytes	71499851	769.092511815164
GTEX-ZG7Y-0003-SM-4WWEJ	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	174602	171	129590	0.754	Cells_EBV-transformed_lymphocytes	51557511	3386.54827615709
GTEX-ZG7Y-0003-SM-4WWEJ	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	65038	657	94299	0.546	Cells_EBV-transformed_lymphocytes	51557511	1261.46508507752
GTEX-YF7O-2026-SM-4W1YE	NC_000898_162114nt_Human_betaherpesvirus_6B	162114	154	0	8533	0.053	Testis	69909593	2.20284503730411
GTEX-S3LF-1126-SM-EVR33	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	268	0	11497	0.067	Lung	48288735	5.54994865779772
GTEX-S3LF-1126-SM-EVR33	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	88	0	5442	0.031	Lung	48288735	1.82237120106791
GTEX-X3Y1-1126-SM-4PQZ9	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	64	0	3797	0.022	Esophagus_Gastroesophageal_Junction	39108866	1.63645757460725
GTEX-1AMEY-1226-SM-731DU	NC_001716_153080nt_Human_betaherpesvirus_7	153080	82	0	5437	0.036	Stomach	35906589	2.28370341721961
GTEX-ZGAY-0006-SM-4WWAQ	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	84	0	4089	0.024	Whole_Blood	54050176	1.55411149817533
GTEX-WYJK-2526-SM-4ONDF	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	52	0	2654	0.015	Stomach	35366701	1.4703095999822
GTEX-1QAET-0326-SM-EVR3U	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	75	0	4687	0.027	Skin_Not_Sun_Exposed_Suprapubic	53892771	1.39165232383393
GTEX-Y5V6-0003-SM-4V6FX	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	136683	129	131783	0.767	Cells_EBV-transformed_lymphocytes	54870575	2491.00724750925
GTEX-Y5V6-0003-SM-4V6FX	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	50943	259	96662	0.56	Cells_EBV-transformed_lymphocytes	54870575	928.421107305692
GTEX-X4EP-1626-SM-4QAS6	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	282	0	13861	0.091	Esophagus_Mucosa	40116843	7.02946640143144
GTEX-WH7G-0005-SM-3NMBX	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	231	0	11798	0.069	Whole_Blood	70075832	3.29642893144672
GTEX-WH7G-0005-SM-3NMBX	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	80	0	4828	0.028	Whole_Blood	70075832	1.14162040915904
GTEX-WZTO-0426-SM-3NM99	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	168	0	9193	0.054	Lung	69549248	2.41555451469439
GTEX-WZTO-0426-SM-3NM99	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	56	5	3630	0.021	Lung	69549248	0.805184838231464
GTEX-T6MO-0003-SM-3NMAG	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	124403	149	129652	0.755	Cells_EBV-transformed_lymphocytes	69637389	1786.43975293215
GTEX-T6MO-0003-SM-3NMAG	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	42736	369	94516	0.547	Cells_EBV-transformed_lymphocytes	69637389	613.693313515818
GTEX-X4LF-0008-SM-4QAST	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	274	0	14886	0.098	Cells_Cultured_fibroblasts	41466682	6.60771459843351
GTEX-14PKV-1826-SM-69LO9	NC_001716_153080nt_Human_betaherpesvirus_7	153080	98	0	6851	0.045	Stomach	52273022	1.87477203824183
GTEX-OXRL-1426-SM-3NM9E	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	170	0	9051	0.053	Colon_Transverse	66350820	2.56213864425489
GTEX-OXRL-1426-SM-3NM9E	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	76	0	4595	0.027	Colon_Transverse	66350820	1.14542668801983
GTEX-11DXY-0226-SM-5H123	NC_001664_159378nt_Human_betaherpesvirus_6A	159378	152	0	6007	0.038	Testis	39644849	3.83404159264171
GTEX-13SLX-1226-SM-5S2Q6	NC_004102_9646nt_Hepatitis_C_virus_genotype_1	9646	70	0	2455	0.255	Liver	28730432	2.43644091394101
GTEX-17MFQ-0008-SM-EAZBK	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	162	0	8774	0.051	Cells_Cultured_fibroblasts	56600104	2.86218555358131
GTEX-17MFQ-0008-SM-EAZBK	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	66	0	4431	0.026	Cells_Cultured_fibroblasts	56600104	1.1660755959035
GTEX-P4PP-2426-SM-3P61L	NC_001806_152222nt_Human_alphaherpesvirus_1	152222	2285	0	50105	0.329	Ovary	69626358	32.8180313553094
GTEX-P4PP-2426-SM-3P61L	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	108	0	6604	0.038	Ovary	69626358	1.5511367117608
GTEX-Y8LW-0002-SM-4V6G2	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	123159	147	129608	0.754	Cells_EBV-transformed_lymphocytes	45124183	2729.33473388316
GTEX-Y8LW-0002-SM-4V6G2	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	41073	316	91992	0.532	Cells_EBV-transformed_lymphocytes	45124183	910.221465948757
GTEX-1S82P-0526-SM-EVR4N	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	74	0	4001	0.023	Artery_Tibial	55748997	1.32737814099149
GTEX-1EWIQ-0008-SM-EVR3F	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	118	0	5386	0.031	Cells_Cultured_fibroblasts	72695228	1.62321521297106
GTEX-13OW8-2826-SM-5L3GC	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	358	0	20222	0.118	Brain_Cortex	43593213	8.21228754118215
GTEX-13OW8-2826-SM-5L3GC	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	146	0	8198	0.047	Brain_Cortex	43593213	3.3491451983592
GTEX-Y3IK-1626-SM-4YCF5	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	161	5	8336	0.049	Skin_Not_Sun_Exposed_Suprapubic	48017227	3.35296330210822
GTEX-Y3IK-1626-SM-4YCF5	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	74	0	4670	0.027	Skin_Not_Sun_Exposed_Suprapubic	48017227	1.54111356742862
GTEX-X88G-0004-SM-47JZ6	NC_007605_171823nt_Human_gammaherpesvirus_4	171823	96571	211	133312	0.776	Cells_EBV-transformed_lymphocytes	37592750	2568.87298747764
GTEX-X88G-0004-SM-47JZ6	NC_009334_172764nt_Human_herpesvirus_4_type_2	172764	60049	239	109114	0.632	Cells_EBV-transformed_lymphocytes	37592750	1597.35587314043
