sample_id	contig	humanchr	human_coord	fusion_name	fusionBreakpointCoord	DistBetweenInsertionAndFusionBreakpoint	Annots
CESC-VS-A9U7-TP	chr9~5335598~+~HPV16~881~-	chr9	5335598	RLN1::CD274	5339536	3938	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	HPV16~1152~+~chr9~5451263~+	chr9	5451263	CD274::RLN1	5450596	667	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5340897~+~HPV16~227~-	chr9	5340897	CD274::RLN1	5340896	1	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5450597~+~HPV16~408~+	chr9	5450597	CD274::RLN1	5450596	1	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5339688~+~HPV16~887~-	chr9	5339688	RLN1::CD274	5339536	152	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5304200~+~HPV16~887~-	chr9	5304200	RLN1::CD274	5339536	35336	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	HPV16~5293~+~chr9~5330337~+	chr9	5330337	RLN1::CD274	5339536	9199	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5451224~+~HPV16~5886~+	chr9	5451224	CD274::RLN1	5450596	628	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	HPV16~4156~+~chr9~5439951~+	chr9	5439951	CD274::RLN1	5450596	10645	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5465614~+~HPV16~5637~+	chr9	5465614	RLN1::CD274	5462834	2780	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5466830~+~HPV16~5638~+	chr9	5466830	RLN1::CD274	5462834	3996	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5335575~+~HPV16~210~-	chr9	5335575	RLN1::CD274	5339536	3961	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	HPV16~5294~+~chr9~5330337~+	chr9	5330337	RLN1::CD274	5339536	9199	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	HPV16~1152~+~chr9~5451250~+	chr9	5451250	CD274::RLN1	5450596	654	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	HPV16~4144~+~chr9~5439951~+	chr9	5439951	CD274::RLN1	5450596	10645	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5449473~+~HPV16~4635~+	chr9	5449473	CD274::RLN1	5450596	1123	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9U7-TP	chr9~5333426~+~HPV16~4660~+	chr9	5333426	RLN1::CD274	5339536	6110	[HGNC_GENEFAM,INTRACHROMOSOMAL[chr9:0.11Mb]]
CESC-VS-A9V5-TP	HPV16~3347~-~chr17~39737484~+	chr17	39737484	GRB7::ERBB2	39738133	649	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39730264~+~HPV16~932~-	chr17	39730264	GRB7::ERBB2	39730023	241	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~182~-	chr17	39720416	ERBB2::PGAP3	39724010	3594	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~182~-	chr17	39720416	ERBB2::PGAP3	39724010	3594	NA
CESC-VS-A9V5-TP	chr17~39716747~+~HPV16~3652~-	chr17	39716747	ERBB2::PGAP3	39710481	6266	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39716747~+~HPV16~3652~-	chr17	39716747	ERBB2::PGAP3	39710481	6266	NA
CESC-VS-A9V5-TP	chr17~39712449~+~HPV16~578~-	chr17	39712449	ERBB2::PGAP3	39710481	1968	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39712449~+~HPV16~578~-	chr17	39712449	ERBB2::PGAP3	39710481	1968	NA
CESC-VS-A9V5-TP	HPV16~3357~-~chr17~39738023~+	chr17	39738023	GRB7::ERBB2	39738133	110	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	HPV16~3356~-~chr17~39729286~+	chr17	39729286	GRB7::ERBB2	39730023	737	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39720488~+~HPV16~2084~-	chr17	39720488	ERBB2::PGAP3	39724010	3522	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39720488~+~HPV16~2084~-	chr17	39720488	ERBB2::PGAP3	39724010	3522	NA
CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~7907~-	chr17	39720416	ERBB2::PGAP3	39724010	3594	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~7907~-	chr17	39720416	ERBB2::PGAP3	39724010	3594	NA
CESC-VS-A9V5-TP	chr17~39717487~+~HPV16~935~-	chr17	39717487	ERBB2::PGAP3	39724010	6523	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39717487~+~HPV16~935~-	chr17	39717487	ERBB2::PGAP3	39724010	6523	NA
CESC-VS-A9V5-TP	chr17~39713430~+~HPV16~863~-	chr17	39713430	ERBB2::PGAP3	39710481	2949	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39713430~+~HPV16~863~-	chr17	39713430	ERBB2::PGAP3	39710481	2949	NA
CESC-VS-A9V5-TP	chr17~39733342~+~HPV16~921~-	chr17	39733342	GRB7::ERBB2	39730023	3319	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39734755~+~HPV16~935~-	chr17	39734755	GRB7::ERBB2	39738133	3378	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	HPV16~3355~-~chr17~39723866~+	chr17	39723866	ERBB2::PGAP3	39724010	144	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~3355~-~chr17~39723866~+	chr17	39723866	ERBB2::PGAP3	39724010	144	NA
CESC-VS-A9V5-TP	chr17~39723615~+~HPV16~2152~-	chr17	39723615	ERBB2::PGAP3	39724010	395	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39723615~+~HPV16~2152~-	chr17	39723615	ERBB2::PGAP3	39724010	395	NA
CESC-VS-A9V5-TP	HPV16~408~-~chr17~39729684~+	chr17	39729684	GRB7::ERBB2	39730023	339	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39723656~+~HPV16~3355~+	chr17	39723656	ERBB2::PGAP3	39724010	354	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39723656~+~HPV16~3355~+	chr17	39723656	ERBB2::PGAP3	39724010	354	NA
CESC-VS-A9V5-TP	chr17~39726043~+~HPV16~516~-	chr17	39726043	ERBB2::PGAP3	39724010	2033	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39726043~+~HPV16~516~-	chr17	39726043	ERBB2::PGAP3	39724010	2033	NA
CESC-VS-A9V5-TP	chr17~39710482~+~HPV16~578~-	chr17	39710482	ERBB2::PGAP3	39710481	1	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39710482~+~HPV16~578~-	chr17	39710482	ERBB2::PGAP3	39710481	1	NA
CESC-VS-A9V5-TP	chr17~39716606~+~HPV16~578~-	chr17	39716606	ERBB2::PGAP3	39710481	6125	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39716606~+~HPV16~578~-	chr17	39716606	ERBB2::PGAP3	39710481	6125	NA
CESC-VS-A9V5-TP	HPV16~2271~-~chr17~39723866~+	chr17	39723866	ERBB2::PGAP3	39724010	144	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~2271~-~chr17~39723866~+	chr17	39723866	ERBB2::PGAP3	39724010	144	NA
CESC-VS-A9V5-TP	HPV16~1871~-~chr17~39651458~+	chr17	39651458	ERBB2::PGAP3	39674679	23221	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~1871~-~chr17~39651458~+	chr17	39651458	ERBB2::PGAP3	39674679	23221	NA
CESC-VS-A9V5-TP	chr17~39757250~+~HPV16~4450~-	chr17	39757250	GRB7::ERBB2	39738392	18858	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	HPV16~6171~-~chr17~39707969~+	chr17	39707969	ERBB2::PGAP3	39707141	828	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~6171~-~chr17~39707969~+	chr17	39707969	ERBB2::PGAP3	39707141	828	NA
CESC-VS-A9V5-TP	HPV16~2270~-~chr17~39723867~+	chr17	39723867	ERBB2::PGAP3	39724010	143	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~2270~-~chr17~39723867~+	chr17	39723867	ERBB2::PGAP3	39724010	143	NA
CESC-VS-A9V5-TP	HPV16~2712~-~chr17~39737243~+	chr17	39737243	GRB7::ERBB2	39738133	890	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	HPV16~619~-~chr17~39708755~+	chr17	39708755	ERBB2::PGAP3	39707141	1614	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~619~-~chr17~39708755~+	chr17	39708755	ERBB2::PGAP3	39707141	1614	NA
CESC-VS-A9V5-TP	HPV16~4277~-~chr17~39709419~+	chr17	39709419	ERBB2::PGAP3	39710481	1062	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~4277~-~chr17~39709419~+	chr17	39709419	ERBB2::PGAP3	39710481	1062	NA
CESC-VS-A9V5-TP	HPV16~1693~-~chr17~39725022~+	chr17	39725022	ERBB2::PGAP3	39724010	1012	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~1693~-~chr17~39725022~+	chr17	39725022	ERBB2::PGAP3	39724010	1012	NA
CESC-VS-A9V5-TP	HPV16~1976~-~chr17~39653365~+	chr17	39653365	ERBB2::PGAP3	39674679	21314	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~1976~-~chr17~39653365~+	chr17	39653365	ERBB2::PGAP3	39674679	21314	NA
CESC-VS-A9V5-TP	chr17~39737430~+~HPV16~7814~-	chr17	39737430	GRB7::ERBB2	39738133	703	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	HPV16~6664~-~chr17~39710566~+	chr17	39710566	ERBB2::PGAP3	39710481	85	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~6664~-~chr17~39710566~+	chr17	39710566	ERBB2::PGAP3	39710481	85	NA
CESC-VS-A9V5-TP	HPV16~3049~-~chr17~39731806~+	chr17	39731806	GRB7::ERBB2	39730023	1783	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39664677~+~HPV16~2785~-	chr17	39664677	ERBB2::PGAP3	39674679	10002	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39664677~+~HPV16~2785~-	chr17	39664677	ERBB2::PGAP3	39674679	10002	NA
CESC-VS-A9V5-TP	HPV16~1661~-~chr17~39724343~+	chr17	39724343	ERBB2::PGAP3	39724010	333	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~1661~-~chr17~39724343~+	chr17	39724343	ERBB2::PGAP3	39724010	333	NA
CESC-VS-A9V5-TP	HPV16~7619~-~chr17~39693790~+	chr17	39693790	ERBB2::PGAP3	39686019	7771	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~7619~-~chr17~39693790~+	chr17	39693790	ERBB2::PGAP3	39686019	7771	NA
CESC-VS-A9V5-TP	HPV16~1431~-~chr17~39728908~+	chr17	39728908	GRB7::ERBB2	39730023	1115	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	HPV16~5767~+~chr17~39718892~+	chr17	39718892	ERBB2::PGAP3	39724010	5118	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~5767~+~chr17~39718892~+	chr17	39718892	ERBB2::PGAP3	39724010	5118	NA
CESC-VS-A9V5-TP	chr17~39687063~+~HPV16~4779~-	chr17	39687063	ERBB2::PGAP3	39686019	1044	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39687063~+~HPV16~4779~-	chr17	39687063	ERBB2::PGAP3	39686019	1044	NA
CESC-VS-A9V5-TP	chr17~39687572~+~HPV16~1117~-	chr17	39687572	ERBB2::PGAP3	39686019	1553	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39687572~+~HPV16~1117~-	chr17	39687572	ERBB2::PGAP3	39686019	1553	NA
CESC-VS-A9V5-TP	chr17~39695065~+~HPV16~6117~-	chr17	39695065	ERBB2::PGAP3	39686019	9046	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39695065~+~HPV16~6117~-	chr17	39695065	ERBB2::PGAP3	39686019	9046	NA
CESC-VS-A9V5-TP	HPV16~5892~-~chr17~39694310~+	chr17	39694310	ERBB2::PGAP3	39686019	8291	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~5892~-~chr17~39694310~+	chr17	39694310	ERBB2::PGAP3	39686019	8291	NA
CESC-VS-A9V5-TP	chr17~39732200~+~HPV16~6883~-	chr17	39732200	GRB7::ERBB2	39730023	2177	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39696799~+~HPV16~4411~-	chr17	39696799	ERBB2::PGAP3	39707141	10342	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39696799~+~HPV16~4411~-	chr17	39696799	ERBB2::PGAP3	39707141	10342	NA
CESC-VS-A9V5-TP	HPV16~6312~-~chr17~39717864~+	chr17	39717864	ERBB2::PGAP3	39724010	6146	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~6312~-~chr17~39717864~+	chr17	39717864	ERBB2::PGAP3	39724010	6146	NA
CESC-VS-A9V5-TP	chr17~39692019~+~HPV16~2658~+	chr17	39692019	ERBB2::PGAP3	39686019	6000	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39692019~+~HPV16~2658~+	chr17	39692019	ERBB2::PGAP3	39686019	6000	NA
CESC-VS-A9V5-TP	chr17~39666041~+~HPV16~973~-	chr17	39666041	ERBB2::PGAP3	39674679	8638	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39666041~+~HPV16~973~-	chr17	39666041	ERBB2::PGAP3	39674679	8638	NA
CESC-VS-A9V5-TP	chr17~39733144~+~HPV16~4887~-	chr17	39733144	GRB7::ERBB2	39730023	3121	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	chr17~39658476~+~HPV16~6754~-	chr17	39658476	ERBB2::PGAP3	39674679	16203	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	chr17~39658476~+~HPV16~6754~-	chr17	39658476	ERBB2::PGAP3	39674679	16203	NA
CESC-VS-A9V5-TP	HPV16~2290~-~chr17~39698676~+	chr17	39698676	ERBB2::PGAP3	39707141	8465	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~2290~-~chr17~39698676~+	chr17	39698676	ERBB2::PGAP3	39707141	8465	NA
CESC-VS-A9V5-TP	HPV16~1309~-~chr17~39746696~+	chr17	39746696	GRB7::ERBB2	39738392	8304	[ChimerPub,TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr17:0.01Mb],LOCAL_REARRANGEMENT:+:[7501]]
CESC-VS-A9V5-TP	HPV16~2277~-~chr17~39717869~+	chr17	39717869	ERBB2::PGAP3	39724010	6141	[CCLE_StarF2019,TumorFusionsNAR2018,TCGA_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr17:0.01Mb],NEIGHBORS_OVERLAP:+:-:[8883]]
CESC-VS-A9V5-TP	HPV16~2277~-~chr17~39717869~+	chr17	39717869	ERBB2::PGAP3	39724010	6141	NA
CESC-VS-A94W-TP	HPV16~3357~-~chr12~6354437~+	chr12	6354437	TNFRSF1A::SCNN1A	6355880	1443	[TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr12:0.00Mb],LOCAL_REARRANGEMENT:-:[4729]]
CESC-VS-A94W-TP	chr12~6352354~+~HPV16~1218~-	chr12	6352354	TNFRSF1A::SCNN1A	6355880	3526	[TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr12:0.00Mb],LOCAL_REARRANGEMENT:-:[4729]]
CESC-MA-AA3X-TP	chr20~14856841~+~HPV16~5965~+	chr20	14856841	ETV6::MACROD2	14849904	6937	[TCGA_StarF2019,INTERCHROMOSOMAL[chr12--chr20]]
