#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr3~31619257~HPV45~3294	chr3	31619257	+	HPV45	3294	-	1	1	0	0	1
subset.insertion_seqs.fa	chr3~39150864~HPV45~2528	chr3	39150864	+	HPV45	2528	+	187	187	6	188	1
subset.insertion_seqs.fa	chr3~55854272~HPV45~4786	chr3	55854272	+	HPV45	4786	+	1	1	0	0	1
subset.insertion_seqs.fa	chr3~179458083~HPV45~0	chr3	179458083	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr3~196418180~HPV45~0	chr3	196418180	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr6~6928883~HPV45~5687	chr6	6928883	+	HPV45	5687	+	182	182	9	88	98
subset.insertion_seqs.fa	chr6~41195089~HPV45~3444	chr6	41195089	+	HPV45	3444	-	192	192	8	194	0
subset.insertion_seqs.fa	chr6~153459068~HPV45~2732	chr6	153459068	+	HPV45	2732	-	180	180	0	132	48
subset.insertion_seqs.fa	chr20~34262628~HPV45~731	chr20	34262628	+	HPV45	731	+	194	194	1	193	3
subset.insertion_seqs.fa	chr20~36834944~HPV45~0	chr20	36834944	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr16~24270723~HPV45~5821	chr16	24270723	+	HPV45	5821	-	188	188	6	190	0
subset.insertion_seqs.fa	chr16~73371113~HPV45~3390	chr16	73371113	+	HPV45	3390	+	1	1	0	0	1
subset.insertion_seqs.fa	chr16~79249185~HPV45~5090	chr16	79249185	+	HPV45	5090	-	192	192	0	147	49
subset.insertion_seqs.fa	chr16~87347453~HPV45~4699	chr16	87347453	+	HPV45	4699	-	1	1	0	0	1
subset.insertion_seqs.fa	chr14~61829831~HPV45~3884	chr14	61829831	+	HPV45	3884	+	1	1	0	0	1
subset.insertion_seqs.fa	chr8~11295774~HPV45~5173	chr8	11295774	+	HPV45	5173	+	196	196	1	198	0
subset.insertion_seqs.fa	chr8~19924041~HPV45~0	chr8	19924041	+	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr8~45974419~HPV45~6394	chr8	45974419	+	HPV45	6394	+	1	1	0	0	1
subset.insertion_seqs.fa	chr8~143847323~HPV45~0	chr8	143847323	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr8~144158943~HPV45~972	chr8	144158943	+	HPV45	972	+	166	166	0	71	95
subset.insertion_seqs.fa	chr11~14269171~HPV45~1415	chr11	14269171	+	HPV45	1415	+	1	1	0	1	0
subset.insertion_seqs.fa	chr11~39998148~HPV45~0	chr11	39998148	+	HPV45	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr11~59430036~HPV45~4683	chr11	59430036	+	HPV45	4683	-	1	1	0	1	0
subset.insertion_seqs.fa	chr11~60452997~HPV45~2726	chr11	60452997	+	HPV45	2726	+	188	188	4	190	0
subset.insertion_seqs.fa	chr11~87469506~HPV45~6350	chr11	87469506	+	HPV45	6350	+	1	1	0	0	1
subset.insertion_seqs.fa	chr5~14800480~HPV45~1762	chr5	14800480	+	HPV45	1762	-	1	1	0	1	0
subset.insertion_seqs.fa	chr5~61268121~HPV45~2643	chr5	61268121	+	HPV45	2643	+	196	196	2	177	24
subset.insertion_seqs.fa	chr5~109693472~HPV45~6020	chr5	109693472	+	HPV45	6020	-	189	189	1	180	11
subset.insertion_seqs.fa	chr15~67399547~HPV45~5113	chr15	67399547	+	HPV45	5113	-	1	1	0	1	0
subset.insertion_seqs.fa	chr17~5040984~HPV45~3884	chr17	5040984	+	HPV45	3884	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~32425202~HPV45~254	chr17	32425202	+	HPV45	254	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~58786247~HPV45~3965	chr17	58786247	+	HPV45	3965	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~75074038~HPV45~3345	chr17	75074038	+	HPV45	3345	+	1	1	0	1	0
subset.insertion_seqs.fa	chr17~77879073~HPV45~177	chr17	77879073	+	HPV45	177	+	1	1	0	0	1
subset.insertion_seqs.fa	chr21~14363163~HPV45~6130	chr21	14363163	+	HPV45	6130	+	1	1	0	0	1
subset.insertion_seqs.fa	chr21~32634304~HPV45~2541	chr21	32634304	+	HPV45	2541	+	1	1	0	1	0
subset.insertion_seqs.fa	chr18~5692806~HPV45~0	chr18	5692806	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr18~40054308~HPV45~3789	chr18	40054308	+	HPV45	3789	+	175	175	6	63	114
subset.insertion_seqs.fa	chr18~51241705~HPV45~1133	chr18	51241705	+	HPV45	1133	-	196	196	1	178	20
subset.insertion_seqs.fa	chr18~77375704~HPV45~0	chr18	77375704	+	HPV45	0	?	2	2	0	2	2
subset.insertion_seqs.fa	chr13~21304883~HPV45~4906	chr13	21304883	+	HPV45	4906	-	188	188	6	85	105
subset.insertion_seqs.fa	chr13~22286858~HPV45~5437	chr13	22286858	+	HPV45	5437	+	1	1	0	1	0
subset.insertion_seqs.fa	chr13~46766617~HPV45~5775	chr13	46766617	+	HPV45	5775	+	200	200	1	202	1
subset.insertion_seqs.fa	chr13~94740540~HPV45~6033	chr13	94740540	+	HPV45	6033	-	1	1	0	1	0
subset.insertion_seqs.fa	chr22~41123087~HPV45~6753	chr22	41123087	+	HPV45	6753	-	175	175	1	95	83
subset.insertion_seqs.fa	chrY~7844638~HPV45~4615	chrY	7844638	-	HPV45	4615	-	1	1	0	0	1
subset.insertion_seqs.fa	chr13~22286713~HPV45~5203	chr13	22286713	-	HPV45	5203	+	182	182	2	186	1
subset.insertion_seqs.fa	chr13~94740395~HPV45~6267	chr13	94740395	-	HPV45	6267	-	193	193	2	154	45
subset.insertion_seqs.fa	chr5~97947380~HPV45~1444	chr5	97947380	-	HPV45	1444	-	1	1	0	0	1
subset.insertion_seqs.fa	chr5~147902208~HPV45~6441	chr5	147902208	-	HPV45	6441	+	1	1	0	0	1
subset.insertion_seqs.fa	chr5~163380670~HPV45~4602	chr5	163380670	-	HPV45	4602	-	1	1	0	0	1
subset.insertion_seqs.fa	chr5~176522517~HPV45~6054	chr5	176522517	-	HPV45	6054	+	1	1	0	0	1
subset.insertion_seqs.fa	chr15~67399401~HPV45~5347	chr15	67399401	-	HPV45	5347	-	202	202	2	205	2
subset.insertion_seqs.fa	chr15~72947430~HPV45~3918	chr15	72947430	-	HPV45	3918	-	1	1	0	0	1
subset.insertion_seqs.fa	chr17~29441728~HPV45~1414	chr17	29441728	-	HPV45	1414	-	1	1	0	0	1
subset.insertion_seqs.fa	chr17~32425058~HPV45~17	chr17	32425058	-	HPV45	17	+	173	173	2	56	123
subset.insertion_seqs.fa	chr17~64666539~HPV45~3170	chr17	64666539	-	HPV45	3170	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~65862396~HPV45~6139	chr17	65862396	-	HPV45	6139	-	1	1	0	0	1
subset.insertion_seqs.fa	chr17~75073896~HPV45~3107	chr17	75073896	-	HPV45	3107	+	202	202	2	207	0
subset.insertion_seqs.fa	chr21~32634157~HPV45~2297	chr21	32634157	-	HPV45	2297	+	199	199	2	204	0
subset.insertion_seqs.fa	chr7~62980131~HPV45~0	chr7	62980131	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr7~94813817~HPV45~6077	chr7	94813817	-	HPV45	6077	+	1	1	0	1	0
subset.insertion_seqs.fa	chr7~149104247~HPV45~1610	chr7	149104247	-	HPV45	1610	+	193	193	8	175	20
subset.insertion_seqs.fa	chr6~6561686~HPV45~0	chr6	6561686	-	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr6~36870655~HPV45~2579	chr6	36870655	-	HPV45	2579	-	1	1	0	0	1
subset.insertion_seqs.fa	chr6~39702012~HPV45~5112	chr6	39702012	-	HPV45	5112	+	200	200	1	202	0
subset.insertion_seqs.fa	chr6~66497595~HPV45~4434	chr6	66497595	-	HPV45	4434	+	1	1	0	0	1
subset.insertion_seqs.fa	chr6~169505288~HPV45~7691	chr6	169505288	-	HPV45	7691	-	196	196	1	198	0
subset.insertion_seqs.fa	chr3~31619114~HPV45~3528	chr3	31619114	-	HPV45	3528	-	202	202	2	170	37
subset.insertion_seqs.fa	chr3~92616285~HPV45~0	chr3	92616285	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr3~155403469~HPV45~3100	chr3	155403469	-	HPV45	3100	+	192	192	0	102	93
subset.insertion_seqs.fa	chr3~190954143~HPV45~3996	chr3	190954143	-	HPV45	3996	-	1	1	0	0	1
subset.insertion_seqs.fa	chr14~45177591~HPV45~3291	chr14	45177591	-	HPV45	3291	+	1	1	0	0	1
subset.insertion_seqs.fa	chr14~86308555~HPV45~1474	chr14	86308555	-	HPV45	1474	-	1	1	0	0	1
subset.insertion_seqs.fa	chr16~58601105~HPV45~3295	chr16	58601105	-	HPV45	3295	+	1	1	0	0	1
subset.insertion_seqs.fa	chr20~37774800~HPV45~2399	chr20	37774800	-	HPV45	2399	-	171	171	7	159	14
subset.insertion_seqs.fa	chr20~47690701~HPV45~2464	chr20	47690701	-	HPV45	2464	-	1	1	0	1	0
subset.insertion_seqs.fa	chr11~22107398~HPV45~2534	chr11	22107398	-	HPV45	2534	+	1	1	0	1	0
subset.insertion_seqs.fa	chr11~47630206~HPV45~3503	chr11	47630206	-	HPV45	3503	-	2	2	0	0	2
subset.insertion_seqs.fa	chr11~59429893~HPV45~4917	chr11	59429893	-	HPV45	4917	-	198	198	2	203	0
subset.insertion_seqs.fa	chr11~87030361~HPV45~0	chr11	87030361	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr11~106090455~HPV45~2700	chr11	106090455	-	HPV45	2700	+	167	167	2	167	0
subset.insertion_seqs.fa	chr11~133494175~HPV45~4438	chr11	133494175	-	HPV45	4438	-	1	1	0	0	1
subset.insertion_seqs.fa	chr8~19924014~HPV45~1291	chr8	19924014	-	HPV45	1291	-	1	1	0	1	0
subset.insertion_seqs.fa	chrX~49689070~HPV45~3314	chrX	49689070	-	HPV45	3314	+	1	1	0	0	1
subset.insertion_seqs.fa	chrX~53727947~HPV45~3209	chrX	53727947	-	HPV45	3209	+	1	1	0	1	0
subset.insertion_seqs.fa	chrX~58532064~HPV45~6295	chrX	58532064	-	HPV45	6295	-	1	1	0	1	0
subset.insertion_seqs.fa	chrX~143988747~HPV45~4222	chrX	143988747	-	HPV45	4222	+	199	199	1	181	20
subset.insertion_seqs.fa	chr10~18622507~HPV45~0	chr10	18622507	-	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr10~20952259~HPV45~3960	chr10	20952259	-	HPV45	3960	-	1	1	0	0	1
subset.insertion_seqs.fa	chr19~7960164~HPV45~5246	chr19	7960164	-	HPV45	5246	+	182	182	6	184	0
subset.insertion_seqs.fa	chr19~21247122~HPV45~3893	chr19	21247122	-	HPV45	3893	+	180	180	1	98	85
subset.insertion_seqs.fa	chr19~30247659~HPV45~2497	chr19	30247659	-	HPV45	2497	-	1	1	0	1	0
subset.insertion_seqs.fa	chr19~37677423~HPV45~3503	chr19	37677423	-	HPV45	3503	-	176	176	0	133	47
subset.insertion_seqs.fa	chr9~36335463~HPV45~3421	chr9	36335463	-	HPV45	3421	-	1	1	0	1	0
subset.insertion_seqs.fa	chr1~13815296~HPV45~3499	chr1	13815296	-	HPV45	3499	-	1	1	0	0	1
subset.insertion_seqs.fa	chr1~24004744~HPV45~0	chr1	24004744	-	HPV45	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr1~44599471~HPV45~2505	chr1	44599471	-	HPV45	2505	-	1	1	0	1	0
subset.insertion_seqs.fa	chr1~53504589~HPV45~3375	chr1	53504589	-	HPV45	3375	-	1	1	0	0	1
subset.insertion_seqs.fa	chr1~57512654~HPV45~7599	chr1	57512654	-	HPV45	7599	-	180	180	2	185	0
subset.insertion_seqs.fa	chr1~145970313~HPV45~0	chr1	145970313	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr1~172609759~HPV45~3072	chr1	172609759	-	HPV45	3072	+	202	202	2	207	0
subset.insertion_seqs.fa	chr1~179647926~HPV45~0	chr1	179647926	-	HPV45	0	?	2	2	0	1	2
subset.insertion_seqs.fa	chr1~200884617~HPV45~2571	chr1	200884617	-	HPV45	2571	-	1	1	0	0	1
subset.insertion_seqs.fa	chr1~211989792~HPV45~0	chr1	211989792	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr12~47134786~HPV45~3878	chr12	47134786	-	HPV45	3878	-	1	1	0	0	1
subset.insertion_seqs.fa	chr12~53140650~HPV45~3124	chr12	53140650	-	HPV45	3124	+	1	1	0	1	0
subset.insertion_seqs.fa	chr12~74575759~HPV45~3321	chr12	74575759	-	HPV45	3321	-	1	1	0	0	1
subset.insertion_seqs.fa	chr12~103989582~HPV45~4662	chr12	103989582	-	HPV45	4662	+	195	195	2	199	1
subset.insertion_seqs.fa	chr12~129044890~HPV45~339	chr12	129044890	-	HPV45	339	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~47262218~HPV45~4689	chr4	47262218	-	HPV45	4689	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~69497645~HPV45~1490	chr4	69497645	-	HPV45	1490	+	1	1	0	1	0
subset.insertion_seqs.fa	chr4~136631599~HPV45~0	chr4	136631599	-	HPV45	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr4~159996498~HPV45~6061	chr4	159996498	-	HPV45	6061	-	2	2	0	0	2
subset.insertion_seqs.fa	chr2~65323710~HPV45~3943	chr2	65323710	-	HPV45	3943	-	1	1	0	0	1
subset.insertion_seqs.fa	chr2~73271638~HPV45~0	chr2	73271638	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr2~108738820~HPV45~0	chr2	108738820	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr2~135360649~HPV45~0	chr2	135360649	-	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr2~135715276~HPV45~3942	chr2	135715276	-	HPV45	3942	-	1	1	0	0	1
