#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr12~7219539~HPV18~1455	chr12	7219539	+	HPV18	1455	+	1	1	0	0	1
subset.insertion_seqs.fa	chr12~46716028~HPV18~1430	chr12	46716028	+	HPV18	1430	-	1	1	0	0	1
subset.insertion_seqs.fa	chr12~60497739~HPV18~7694	chr12	60497739	+	HPV18	7694	-	196	196	1	5	194
subset.insertion_seqs.fa	chr12~65127705~HPV18~6782	chr12	65127705	+	HPV18	6782	-	2	2	0	2	0
subset.insertion_seqs.fa	chr12~98548124~HPV18~2357	chr12	98548124	+	HPV18	2357	-	183	183	0	93	90
subset.insertion_seqs.fa	chr14~32692412~HPV18~1098	chr14	32692412	+	HPV18	1098	-	152	152	2	152	1
subset.insertion_seqs.fa	chr16~64211227~HPV18~1472	chr16	64211227	+	HPV18	1472	-	199	199	1	205	0
subset.insertion_seqs.fa	chr9~30681930~HPV18~7469	chr9	30681930	+	HPV18	7469	-	1	1	0	0	1
subset.insertion_seqs.fa	chr9~30828791~HPV18~3089	chr9	30828791	+	HPV18	3089	-	1	1	0	1	0
subset.insertion_seqs.fa	chr9~110203313~HPV18~2625	chr9	110203313	+	HPV18	2625	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~38684370~HPV18~5003	chr17	38684370	+	HPV18	5003	-	1	1	0	0	1
subset.insertion_seqs.fa	chr17~42959297~HPV18~3995	chr17	42959297	+	HPV18	3995	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~48898020~HPV18~5922	chr17	48898020	+	HPV18	5922	-	199	199	1	200	1
subset.insertion_seqs.fa	chr7~12456199~HPV18~3872	chr7	12456199	+	HPV18	3872	-	197	197	1	199	0
subset.insertion_seqs.fa	chr7~24416117~HPV18~5397	chr7	24416117	+	HPV18	5397	-	170	170	0	170	4
subset.insertion_seqs.fa	chr7~124980433~HPV18~5860	chr7	124980433	+	HPV18	5860	-	1	1	0	0	1
subset.insertion_seqs.fa	chr8~20368789~HPV18~3727	chr8	20368789	+	HPV18	3727	+	1	1	0	0	1
subset.insertion_seqs.fa	chr8~31291478~HPV18~1404	chr8	31291478	+	HPV18	1404	-	1	1	0	0	1
subset.insertion_seqs.fa	chr8~54991077~HPV18~0	chr8	54991077	+	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr8~58376908~HPV18~0	chr8	58376908	+	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr8~88901923~HPV18~1320	chr8	88901923	+	HPV18	1320	-	8	8	0	2	9
subset.insertion_seqs.fa	chr5~91404294~HPV18~6325	chr5	91404294	+	HPV18	6325	+	196	196	0	197	1
subset.insertion_seqs.fa	chr2~7092538~HPV18~3815	chr2	7092538	+	HPV18	3815	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~80038610~HPV18~0	chr2	80038610	+	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr2~118108489~HPV18~6750	chr2	118108489	+	HPV18	6750	-	2	2	0	1	1
subset.insertion_seqs.fa	chr2~155753409~HPV18~1666	chr2	155753409	+	HPV18	1666	-	192	192	0	40	156
subset.insertion_seqs.fa	chr2~234750577~HPV18~3441	chr2	234750577	+	HPV18	3441	+	1	1	1	0	1
subset.insertion_seqs.fa	chr20~20718065~HPV18~2423	chr20	20718065	+	HPV18	2423	+	1	1	0	0	1
subset.insertion_seqs.fa	chr20~46238871~HPV18~4052	chr20	46238871	+	HPV18	4052	+	195	195	1	194	3
subset.insertion_seqs.fa	chr20~52026065~HPV18~2411	chr20	52026065	+	HPV18	2411	+	195	195	0	91	108
subset.insertion_seqs.fa	chr19~317282~HPV18~5066	chr19	317282	+	HPV18	5066	-	7	7	0	4	7
subset.insertion_seqs.fa	chr19~52488875~HPV18~3796	chr19	52488875	+	HPV18	3796	-	5	5	0	3	5
subset.insertion_seqs.fa	chr19~53536675~HPV18~3072	chr19	53536675	+	HPV18	3072	-	168	168	0	147	22
subset.insertion_seqs.fa	chr3~55193905~HPV18~1153	chr3	55193905	+	HPV18	1153	+	196	196	0	27	173
subset.insertion_seqs.fa	chr3~85855749~HPV18~0	chr3	85855749	+	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr3~115463436~HPV18~0	chr3	115463436	+	HPV18	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr3~130129757~HPV18~3444	chr3	130129757	+	HPV18	3444	+	176	176	0	27	154
subset.insertion_seqs.fa	chr15~54003775~HPV18~3787	chr15	54003775	+	HPV18	3787	-	1	1	0	0	1
subset.insertion_seqs.fa	chr11~8621071~HPV18~6885	chr11	8621071	-	HPV18	6885	-	202	202	1	204	1
subset.insertion_seqs.fa	chr11~35588185~HPV18~0	chr11	35588185	-	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr11~50748227~HPV18~5663	chr11	50748227	-	HPV18	5663	+	1	1	0	0	1
subset.insertion_seqs.fa	chr11~55538230~HPV18~3882	chr11	55538230	-	HPV18	3882	-	1	1	0	0	1
subset.insertion_seqs.fa	chr21~19152141~HPV18~5784	chr21	19152141	-	HPV18	5784	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~91028924~HPV18~5731	chr10	91028924	-	HPV18	5731	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~107895412~HPV18~3870	chr10	107895412	-	HPV18	3870	+	2	2	0	1	1
subset.insertion_seqs.fa	chr1~26195757~HPV18~3692	chr1	26195757	-	HPV18	3692	+	180	180	0	100	84
subset.insertion_seqs.fa	chr1~32773243~HPV18~4494	chr1	32773243	-	HPV18	4494	-	166	166	2	167	0
subset.insertion_seqs.fa	chr1~35517696~HPV18~5750	chr1	35517696	-	HPV18	5750	+	1	1	0	0	1
subset.insertion_seqs.fa	chr1~40875100~HPV18~4015	chr1	40875100	-	HPV18	4015	+	1	1	0	0	1
subset.insertion_seqs.fa	chr1~104340441~HPV18~1410	chr1	104340441	-	HPV18	1410	+	1	1	0	0	1
subset.insertion_seqs.fa	chr1~107166644~HPV18~5039	chr1	107166644	-	HPV18	5039	-	198	198	1	198	2
subset.insertion_seqs.fa	chr1~112586147~HPV18~3870	chr1	112586147	-	HPV18	3870	-	1	1	0	0	1
subset.insertion_seqs.fa	chr1~193871737~HPV18~1666	chr1	193871737	-	HPV18	1666	-	1	1	1	0	1
subset.insertion_seqs.fa	chr14~62374724~HPV18~4683	chr14	62374724	-	HPV18	4683	+	157	157	0	147	12
subset.insertion_seqs.fa	chr14~90377260~HPV18~4160	chr14	90377260	-	HPV18	4160	-	1	1	1	0	1
subset.insertion_seqs.fa	chr12~78842847~HPV18~0	chr12	78842847	-	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chrX~17019003~HPV18~0	chrX	17019003	-	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr18~1875685~HPV18~1048	chr18	1875685	-	HPV18	1048	-	198	198	1	200	0
subset.insertion_seqs.fa	chr18~4607425~HPV18~3276	chr18	4607425	-	HPV18	3276	-	196	196	1	146	52
subset.insertion_seqs.fa	chr18~6318789~HPV18~0	chr18	6318789	-	HPV18	0	?	1	1	0	1	0
subset.insertion_seqs.fa	chr18~13542448~HPV18~5948	chr18	13542448	-	HPV18	5948	-	202	202	1	204	1
subset.insertion_seqs.fa	chr18~13695033~HPV18~1402	chr18	13695033	-	HPV18	1402	+	1	1	0	0	1
subset.insertion_seqs.fa	chr18~17611288~HPV18~6555	chr18	17611288	-	HPV18	6555	-	1	1	0	0	1
subset.insertion_seqs.fa	chr18~73407386~HPV18~3808	chr18	73407386	-	HPV18	3808	-	181	181	0	165	20
subset.insertion_seqs.fa	chr18~73440279~HPV18~2921	chr18	73440279	-	HPV18	2921	+	204	204	0	208	0
subset.insertion_seqs.fa	chr6~29407742~HPV18~1396	chr6	29407742	-	HPV18	1396	+	1	1	0	0	1
subset.insertion_seqs.fa	chr6~50410596~HPV18~5094	chr6	50410596	-	HPV18	5094	+	147	147	0	148	0
subset.insertion_seqs.fa	chr6~122521580~HPV18~0	chr6	122521580	-	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr13~113182969~HPV18~3411	chr13	113182969	-	HPV18	3411	+	169	169	0	170	0
subset.insertion_seqs.fa	chr4~16110010~HPV18~6870	chr4	16110010	-	HPV18	6870	-	94	94	1	40	57
subset.insertion_seqs.fa	chr4~76161277~HPV18~5153	chr4	76161277	-	HPV18	5153	-	202	202	0	205	1
subset.insertion_seqs.fa	chr4~92530410~HPV18~1739	chr4	92530410	-	HPV18	1739	-	183	183	1	98	87
subset.insertion_seqs.fa	chr4~170878390~HPV18~6729	chr4	170878390	-	HPV18	6729	+	1	1	0	1	0
subset.insertion_seqs.fa	chr4~177955222~HPV18~5696	chr4	177955222	-	HPV18	5696	+	1	1	0	0	1
subset.insertion_seqs.fa	chr20~62846905~HPV18~0	chr20	62846905	-	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr5~21697514~HPV18~5124	chr5	21697514	-	HPV18	5124	+	200	200	0	204	0
subset.insertion_seqs.fa	chr5~179023370~HPV18~4160	chr5	179023370	-	HPV18	4160	-	1	1	1	0	1
subset.insertion_seqs.fa	chr2~125598299~HPV18~3164	chr2	125598299	-	HPV18	3164	+	1	1	0	1	0
subset.insertion_seqs.fa	chr2~134345894~HPV18~5134	chr2	134345894	-	HPV18	5134	+	186	186	0	187	3
subset.insertion_seqs.fa	chr2~172683217~HPV18~2522	chr2	172683217	-	HPV18	2522	-	2	2	0	0	2
subset.insertion_seqs.fa	chr2~184219517~HPV18~4910	chr2	184219517	-	HPV18	4910	+	205	205	1	95	113
subset.insertion_seqs.fa	chr2~194531840~HPV18~4200	chr2	194531840	-	HPV18	4200	-	175	175	0	93	86
subset.insertion_seqs.fa	chr3~19853852~HPV18~1459	chr3	19853852	-	HPV18	1459	+	1	1	0	0	1
subset.insertion_seqs.fa	chr3~25993226~HPV18~0	chr3	25993226	-	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr3~63866457~HPV18~0	chr3	63866457	-	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr3~150011839~HPV18~1483	chr3	150011839	-	HPV18	1483	+	1	1	0	0	1
subset.insertion_seqs.fa	chr3~172382611~HPV18~1666	chr3	172382611	-	HPV18	1666	-	1	1	1	0	1
subset.insertion_seqs.fa	chr15~54003728~HPV18~0	chr15	54003728	-	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr15~82983834~HPV18~3074	chr15	82983834	-	HPV18	3074	-	1	1	1	1	0
subset.insertion_seqs.fa	chr19~47181483~HPV18~0	chr19	47181483	-	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr22~16996660~HPV18~1557	chr22	16996660	-	HPV18	1557	+	1	1	0	1	0
subset.insertion_seqs.fa	chr22~24714858~HPV18~3650	chr22	24714858	-	HPV18	3650	+	1	1	0	0	1
subset.insertion_seqs.fa	chr22~36753133~HPV18~3650	chr22	36753133	-	HPV18	3650	-	202	202	0	194	12
subset.insertion_seqs.fa	chrY~4525660~HPV18~0	chrY	4525660	-	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr16~6418542~HPV18~6512	chr16	6418542	-	HPV18	6512	+	1	1	0	0	1
subset.insertion_seqs.fa	chr16~35948757~HPV18~5690	chr16	35948757	-	HPV18	5690	+	1	1	0	0	1
subset.insertion_seqs.fa	chr16~66297725~HPV18~4399	chr16	66297725	-	HPV18	4399	-	145	145	0	145	1
subset.insertion_seqs.fa	chr8~47118635~HPV18~2628	chr8	47118635	-	HPV18	2628	+	198	198	0	88	114
subset.insertion_seqs.fa	chr7~55853223~HPV18~0	chr7	55853223	-	HPV18	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr7~81153251~HPV18~4872	chr7	81153251	-	HPV18	4872	+	199	199	0	113	91
subset.insertion_seqs.fa	chr7~87434113~HPV18~5096	chr7	87434113	-	HPV18	5096	+	1	1	0	1	0
subset.insertion_seqs.fa	chr7~90481200~HPV18~3584	chr7	90481200	-	HPV18	3584	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~98320877~HPV18~6508	chr7	98320877	-	HPV18	6508	+	1	1	0	0	1
subset.insertion_seqs.fa	chr7~98599820~HPV18~3806	chr7	98599820	-	HPV18	3806	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~99076732~HPV18~1975	chr7	99076732	-	HPV18	1975	+	127	127	0	131	0
subset.insertion_seqs.fa	chr7~153307468~HPV18~1326	chr7	153307468	-	HPV18	1326	+	1	1	0	0	1
subset.insertion_seqs.fa	chr17~9404796~HPV18~4419	chr17	9404796	-	HPV18	4419	-	143	143	0	92	52
subset.insertion_seqs.fa	chr17~42959231~HPV18~3976	chr17	42959231	-	HPV18	3976	-	1	1	0	0	1
subset.insertion_seqs.fa	chr9~40881207~HPV18~0	chr9	40881207	-	HPV18	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr9~43622036~HPV18~6518	chr9	43622036	-	HPV18	6518	-	1	1	0	0	1
subset.insertion_seqs.fa	chr9~84934101~HPV18~885	chr9	84934101	-	HPV18	885	-	204	204	0	208	0
