#sample	entry	chrA	coordA	orientA	chrB	total	coordA_lend	coordA_rend	total_reads	L_reads	R_reads	min	max	split1	split2
subset.insertion_seqs.fa	chr10~72867533~72868099	chr10	72868098.0	+	HPV39	122	72867533	72868099	122	122	0	72867798	72868098	72868098.0	0.0
subset.insertion_seqs.fa	chr10~79625448~79625974	chr10	79625940.0	+	HPV35	187	79625448	79625974	188	188	0	79625642	79625942	79625940.0	0.0
subset.insertion_seqs.fa	chr10~79938114~79938626	chr10	79938625.0	+	HPV35	180	79938114	79938626	181	181	0	79938331	79938631	79938625.0	0.0
subset.insertion_seqs.fa	chr10~88905966~88906463	chr10	88905966.0	-	HPV39	207	88905966	88906463	207	0	207	88905966	88906266	0.0	88905966.0
subset.insertion_seqs.fa	chr10~90823350~90823888	chr10	90823887.0	+	HPV16	185	90823350	90823888	185	185	0	90823587	90823887	90823887.0	0.0
subset.insertion_seqs.fa	chr10~94214643~94215208	chr10	0.0	+	HPV18	196	94214643	94215208	197	197	0	94214880	94215180	0.0	0.0
subset.insertion_seqs.fa	chr10~109016610~109017205	chr10	109017168.0	+	HPV33	187	109016610	109017205	187	187	0	109016870	109017170	109017168.0	0.0
subset.insertion_seqs.fa	chr10~110406162~110406712	chr10	110406711.0	+	HPV33	215	110406162	110406712	215	215	0	110406411	110406711	110406711.0	0.0
subset.insertion_seqs.fa	chr10~125924784~125925186	chr10	0.0	-	HPV33	120	125924784	125925186	121	0	121	125924784	125925084	0.0	0.0
subset.insertion_seqs.fa	chr10~132648759~132649325	chr10	132648759.0	-	HPV39	220	132648759	132649325	223	0	223	132648759	132649059	0.0	132648759.0
subset.insertion_seqs.fa	chr11~5009922~5010488	chr11	5010487.0	+	HPV18	215	5009922	5010488	215	215	0	5010194	5010494	5010487.0	0.0
subset.insertion_seqs.fa	chr11~8621078~8621647	chr11	8621080.0	-	HPV18	221	8621078	8621647	221	0	221	8621078	8621378	0.0	8621080.0
subset.insertion_seqs.fa	chr11~16347287~16347859	chr11	16347288.0	-	HPV16	179	16347287	16347859	180	0	180	16347287	16347587	0.0	16347288.0
subset.insertion_seqs.fa	chr11~38631852~38632406	chr11	0.0	-	HPV35	172	38631852	38632406	172	0	172	38631852	38632152	0.0	0.0
subset.insertion_seqs.fa	chr11~47219724~47220256	chr11	47220254.0	+	HPV33	136	47219724	47220256	136	136	0	47219955	47220255	47220254.0	0.0
subset.insertion_seqs.fa	chr11~59429893~59430413	chr11	59429893.0	-	HPV45	220	59429893	59430413	220	0	220	59429893	59430193	0.0	59429893.0
subset.insertion_seqs.fa	chr11~60452496~60453024	chr11	60452989.0	+	HPV45	202	60452496	60453024	202	202	0	60452692	60452992	60452989.0	0.0
subset.insertion_seqs.fa	chr11~60938427~60938972	chr11	60938971.0	+	HPV39	208	60938427	60938972	208	208	0	60938671	60938971	60938971.0	0.0
subset.insertion_seqs.fa	chr11~79889969~79890560	chr11	79890524.0	+	HPV31	216	79889969	79890560	216	216	0	79890224	79890524	79890524.0	0.0
subset.insertion_seqs.fa	chr11~88892970~88893424	chr11	0.0	+	HPV39	129	88892970	88893424	129	129	0	88893123	88893423	0.0	0.0
subset.insertion_seqs.fa	chr11~91587311~91587822	chr11	91587821.0	+	HPV16	180	91587311	91587822	181	181	0	91587522	91587822	91587821.0	0.0
subset.insertion_seqs.fa	chr11~97654273~97654812	chr11	97654273.0	-	HPV16	187	97654273	97654812	188	0	188	97654273	97654573	0.0	97654273.0
subset.insertion_seqs.fa	chr11~98111713~98112214	chr11	98111714.0	-	HPV16	147	98111713	98112214	147	0	147	98111713	98112013	0.0	98111714.0
subset.insertion_seqs.fa	chr11~100020981~100021531	chr11	100021530.0	+	HPV33	215	100020981	100021531	215	215	0	100021230	100021530	100021530.0	0.0
subset.insertion_seqs.fa	chr11~103797747~103798318	chr11	103798317.0	+	HPV16	179	103797747	103798318	180	180	0	103798018	103798318	103798317.0	0.0
subset.insertion_seqs.fa	chr11~106090462~106090959	chr11	106090462.0	-	HPV45	206	106090462	106090959	207	0	207	106090462	106090762	0.0	106090462.0
subset.insertion_seqs.fa	chr11~128452704~128453252	chr11	128452704.0	-	HPV35	176	128452704	128453252	176	0	176	128452704	128453004	0.0	128452704.0
subset.insertion_seqs.fa	chr12~2929551~2930081	chr12	2930080.0	+	HPV33	121	2929551	2930081	121	121	0	2929780	2930080	2930080.0	0.0
subset.insertion_seqs.fa	chr12~13198503~13199048	chr12	13199047.0	+	HPV39	207	13198503	13199048	207	207	0	13198749	13199049	13199047.0	0.0
subset.insertion_seqs.fa	chr12~31659894~31660403	chr12	31660402.0	+	HPV33	137	31659894	31660403	137	137	0	31660102	31660402	31660402.0	0.0
subset.insertion_seqs.fa	chr12~38926997~38927509	chr12	38926997.0	-	HPV35	180	38926997	38927509	181	0	181	38926997	38927297	0.0	38926997.0
subset.insertion_seqs.fa	chr12~60497296~60497774	chr12	60497738.0	+	HPV18	108	60497296	60497774	108	108	0	60497439	60497739	60497738.0	0.0
subset.insertion_seqs.fa	chr12~77586797~77587347	chr12	77587346.0	+	HPV33	215	77586797	77587347	215	215	0	77587046	77587346	77587346.0	0.0
subset.insertion_seqs.fa	chr12~95770245~95770836	chr12	95770800.0	+	HPV31	216	95770245	95770836	216	216	0	95770500	95770800	95770800.0	0.0
subset.insertion_seqs.fa	chr12~98547557~98548124	chr12	98548123.0	+	HPV18	214	98547557	98548124	214	214	0	98547824	98548124	98548123.0	0.0
subset.insertion_seqs.fa	chr12~103578382~103578894	chr12	103578383.0	-	HPV16	180	103578382	103578894	180	0	180	103578382	103578682	0.0	103578383.0
subset.insertion_seqs.fa	chr12~103989579~103990102	chr12	103989581.0	-	HPV45	222	103989579	103990102	222	0	222	103989579	103989879	0.0	103989581.0
subset.insertion_seqs.fa	chr12~108484328~108484848	chr12	108484847.0	+	HPV45	212	108484328	108484848	212	212	0	108484547	108484847	108484847.0	0.0
subset.insertion_seqs.fa	chr13~20272529~20273040	chr13	20273039.0	+	HPV16	180	20272529	20273040	180	180	0	20272740	20273040	20273039.0	0.0
subset.insertion_seqs.fa	chr13~21165955~21166498	chr13	0.0	+	HPV31	174	21165955	21166498	174	174	0	21166197	21166497	0.0	0.0
subset.insertion_seqs.fa	chr13~21304384~21304883	chr13	21304882.0	+	HPV45	210	21304384	21304883	210	210	0	21304583	21304883	21304882.0	0.0
subset.insertion_seqs.fa	chr13~22286712~22287235	chr13	22286715.0	-	HPV45	220	22286712	22287235	220	0	220	22286712	22287012	0.0	22286715.0
subset.insertion_seqs.fa	chr13~22949042~22949574	chr13	0.0	-	HPV33	113	22949042	22949574	113	0	113	22949042	22949342	0.0	0.0
subset.insertion_seqs.fa	chr13~28823599~28824149	chr13	28823599.0	-	HPV33	204	28823599	28824149	204	0	204	28823599	28823899	0.0	28823599.0
subset.insertion_seqs.fa	chr13~34248230~34248748	chr13	34248747.0	+	HPV18	214	34248230	34248748	214	214	0	34248448	34248748	34248747.0	0.0
subset.insertion_seqs.fa	chr13~46766032~46766617	chr13	46766616.0	+	HPV45	214	46766032	46766617	214	214	0	46766316	46766616	46766616.0	0.0
subset.insertion_seqs.fa	chr13~94740397~94740802	chr13	94740397.0	-	HPV45	196	94740397	94740802	196	0	196	94740397	94740697	0.0	94740397.0
subset.insertion_seqs.fa	chr13~103129196~103129746	chr13	103129196.0	-	HPV39	215	103129196	103129746	215	0	215	103129196	103129496	0.0	103129196.0
subset.insertion_seqs.fa	chr13~112277643~112278167	chr13	0.0	-	HPV35	44	112277643	112278167	44	0	44	112277643	112277943	0.0	0.0
subset.insertion_seqs.fa	chr13~112740725~112741316	chr13	112741280.0	+	HPV31	215	112740725	112741316	215	215	0	112740980	112741280	112741280.0	0.0
subset.insertion_seqs.fa	chr13~113182969~113183509	chr13	113182972.0	-	HPV18	197	113182969	113183509	197	0	197	113182969	113183269	0.0	113182972.0
subset.insertion_seqs.fa	chr14~22894719~22895135	chr14	0.0	+	HPV16	29	22894719	22895135	29	29	0	22894834	22895134	0.0	0.0
subset.insertion_seqs.fa	chr14~28350835~28351395	chr14	28350836.0	-	HPV33	190	28350835	28351395	191	0	191	28350835	28351135	0.0	28350836.0
subset.insertion_seqs.fa	chr14~32691873~32692410	chr14	32692409.0	+	HPV18	197	32691873	32692410	198	198	0	32692112	32692412	32692409.0	0.0
subset.insertion_seqs.fa	chr14~37563656~37564204	chr14	37564203.0	+	HPV35	178	37563656	37564204	178	178	0	37563903	37564203	37564203.0	0.0
subset.insertion_seqs.fa	chr14~38524923~38525470	chr14	0.0	-	HPV39	209	38524923	38525470	209	0	209	38524923	38525223	0.0	0.0
subset.insertion_seqs.fa	chr14~39351224~39351790	chr14	39351789.0	+	HPV39	223	39351224	39351790	223	223	0	39351489	39351789	39351789.0	0.0
subset.insertion_seqs.fa	chr14~47814860~47815420	chr14	47814861.0	-	HPV33	167	47814860	47815420	168	0	168	47814860	47815160	0.0	47814861.0
subset.insertion_seqs.fa	chr14~57711627~57712183	chr14	57711627.0	-	HPV31	216	57711627	57712183	216	0	216	57711627	57711927	0.0	57711627.0
subset.insertion_seqs.fa	chr14~62374723~62375261	chr14	62374724.0	-	HPV18	197	62374723	62375261	199	0	199	62374723	62375023	0.0	62374724.0
subset.insertion_seqs.fa	chr14~69352880~69353392	chr14	69352880.0	-	HPV16	180	69352880	69353392	181	0	181	69352880	69353180	0.0	69352880.0
subset.insertion_seqs.fa	chr14~94591899~94592465	chr14	94592464.0	+	HPV39	223	94591899	94592465	223	223	0	94592164	94592464	94592464.0	0.0
subset.insertion_seqs.fa	chr15~28321071~28321167	chr15	0.0	+	HPV35	16	28321071	28321167	16	16	0	28320866	28321166	0.0	0.0
subset.insertion_seqs.fa	chr15~31750308~31750859	chr15	31750858.0	+	HPV39	214	31750308	31750859	214	214	0	31750559	31750859	31750858.0	0.0
subset.insertion_seqs.fa	chr15~40234958~40235470	chr15	40234958.0	-	HPV35	180	40234958	40235470	181	0	181	40234958	40235258	0.0	40234958.0
subset.insertion_seqs.fa	chr15~43408394~43408942	chr15	43408941.0	+	HPV35	176	43408394	43408942	176	176	0	43408641	43408941	43408941.0	0.0
subset.insertion_seqs.fa	chr15~49881194~49881691	chr15	49881690.0	+	HPV39	208	49881194	49881691	208	208	0	49881390	49881690	49881690.0	0.0
subset.insertion_seqs.fa	chr15~67399400~67399924	chr15	67399403.0	-	HPV45	222	67399400	67399924	222	0	222	67399400	67399700	0.0	67399403.0
subset.insertion_seqs.fa	chr15~67904642~67905094	chr15	0.0	-	HPV16	166	67904642	67905094	166	0	166	67904642	67904942	0.0	0.0
subset.insertion_seqs.fa	chr15~69557796~69558348	chr15	69557798.0	-	HPV33	215	69557796	69558348	215	0	215	69557796	69558096	0.0	69557798.0
subset.insertion_seqs.fa	chr15~72301454~72301931	chr15	0.0	+	HPV35	112	72301454	72301931	112	112	0	72301630	72301930	0.0	0.0
subset.insertion_seqs.fa	chr15~77771253~77771764	chr15	77771253.0	-	HPV16	191	77771253	77771764	192	0	192	77771253	77771553	0.0	77771253.0
subset.insertion_seqs.fa	chr15~100512207~100512745	chr15	100512207.0	-	HPV31	213	100512207	100512745	213	0	213	100512207	100512507	0.0	100512207.0
subset.insertion_seqs.fa	chr16~24270226~24270723	chr16	24270722.0	+	HPV45	207	24270226	24270723	207	207	0	24270422	24270722	24270722.0	0.0
subset.insertion_seqs.fa	chr16~59686696~59687252	chr16	59686696.0	-	HPV31	208	59686696	59687252	208	0	208	59686696	59686996	0.0	59686696.0
subset.insertion_seqs.fa	chr16~61991435~61992001	chr16	61991435.0	-	HPV39	223	61991435	61992001	223	0	223	61991435	61991735	0.0	61991435.0
subset.insertion_seqs.fa	chr16~64210700~64211223	chr16	64211217.0	+	HPV18	217	64210700	64211223	217	217	0	64210928	64211228	64211217.0	0.0
subset.insertion_seqs.fa	chr16~65846519~65847029	chr16	65846519.0	-	HPV31	190	65846519	65847029	190	0	190	65846519	65846819	0.0	65846519.0
subset.insertion_seqs.fa	chr16~66297724~66298262	chr16	66297725.0	-	HPV18	197	66297724	66298262	199	0	199	66297724	66298024	0.0	66297725.0
subset.insertion_seqs.fa	chr16~71999569~72000135	chr16	72000134.0	+	HPV39	223	71999569	72000135	223	223	0	71999834	72000134	72000134.0	0.0
subset.insertion_seqs.fa	chr16~73393053~73393587	chr16	73393053.0	-	HPV33	205	73393053	73393587	206	0	206	73393053	73393353	0.0	73393053.0
subset.insertion_seqs.fa	chr16~75319844~75320389	chr16	75320388.0	+	HPV39	208	75319844	75320389	208	208	0	75320088	75320388	75320388.0	0.0
subset.insertion_seqs.fa	chr16~79248664~79249182	chr16	0.0	+	HPV45	201	79248664	79249182	201	201	0	79248881	79249181	0.0	0.0
subset.insertion_seqs.fa	chr16~87541865~87542432	chr16	87541865.0	-	HPV39	224	87541865	87542432	224	0	224	87541865	87542165	0.0	87541865.0
subset.insertion_seqs.fa	chr17~4366506~4367051	chr17	4367050.0	+	HPV39	203	4366506	4367051	207	207	0	4366750	4367050	4367050.0	0.0
subset.insertion_seqs.fa	chr17~9404795~9405333	chr17	9404796.0	-	HPV18	195	9404795	9405333	196	0	196	9404795	9405095	0.0	9404796.0
subset.insertion_seqs.fa	chr17~20412791~20413302	chr17	20412791.0	-	HPV16	47	20412791	20413302	47	0	47	20412791	20413091	0.0	20412791.0
subset.insertion_seqs.fa	chr17~30865655~30866194	chr17	30865655.0	-	HPV31	213	30865655	30866194	213	0	213	30865655	30865955	0.0	30865655.0
subset.insertion_seqs.fa	chr17~32425056~32425528	chr17	32425057.0	-	HPV45	139	32425056	32425528	139	0	139	32425056	32425356	0.0	32425057.0
subset.insertion_seqs.fa	chr17~33470265~33470826	chr17	33470267.0	-	HPV33	190	33470265	33470826	191	0	191	33470265	33470565	0.0	33470267.0
subset.insertion_seqs.fa	chr17~48897453~48898020	chr17	48898019.0	+	HPV18	219	48897453	48898020	219	219	0	48897720	48898020	48898019.0	0.0
subset.insertion_seqs.fa	chr17~49264623~49265161	chr17	49264623.0	-	HPV31	211	49264623	49265161	211	0	211	49264623	49264923	0.0	49264623.0
subset.insertion_seqs.fa	chr17~50935378~50935923	chr17	50935378.0	-	HPV39	207	50935378	50935923	207	0	207	50935378	50935678	0.0	50935378.0
subset.insertion_seqs.fa	chr17~65500310~65500855	chr17	65500819.0	+	HPV16	189	65500310	65500855	189	189	0	65500519	65500819	65500819.0	0.0
subset.insertion_seqs.fa	chr17~73060211~73060664	chr17	73060663.0	+	HPV35	181	73060211	73060664	181	181	0	73060363	73060663	73060663.0	0.0
subset.insertion_seqs.fa	chr17~75073895~75074415	chr17	75073895.0	-	HPV45	220	75073895	75074415	220	0	220	75073895	75074195	0.0	75073895.0
subset.insertion_seqs.fa	chr18~1875683~1876251	chr18	1875684.0	-	HPV18	219	1875683	1876251	219	0	219	1875683	1875983	0.0	1875684.0
subset.insertion_seqs.fa	chr18~4607423~4607991	chr18	4607424.0	-	HPV18	219	4607423	4607991	219	0	219	4607423	4607723	0.0	4607424.0
subset.insertion_seqs.fa	chr18~13542446~13543014	chr18	13542447.0	-	HPV18	219	13542446	13543014	219	0	219	13542446	13542746	0.0	13542447.0
subset.insertion_seqs.fa	chr18~27398038~27398604	chr18	27398603.0	+	HPV39	225	27398038	27398604	226	226	0	27398303	27398603	27398603.0	0.0
subset.insertion_seqs.fa	chr18~40053811~40054308	chr18	40054307.0	+	HPV45	96	40053811	40054308	96	96	0	40054007	40054307	40054307.0	0.0
subset.insertion_seqs.fa	chr18~51241120~51241705	chr18	51241704.0	+	HPV45	212	51241120	51241705	212	212	0	51241404	51241704	51241704.0	0.0
subset.insertion_seqs.fa	chr18~56561238~56561786	chr18	56561238.0	-	HPV35	175	56561238	56561786	175	0	175	56561238	56561538	0.0	56561238.0
subset.insertion_seqs.fa	chr18~57040332~57040904	chr18	57040333.0	-	HPV16	179	57040332	57040904	180	0	180	57040332	57040632	0.0	57040333.0
subset.insertion_seqs.fa	chr18~61535260~61535766	chr18	61535765.0	+	HPV33	188	61535260	61535766	190	190	0	61535467	61535767	61535765.0	0.0
subset.insertion_seqs.fa	chr18~62615782~62616313	chr18	0.0	-	HPV39	189	62615782	62616313	189	0	189	62615782	62616082	0.0	0.0
subset.insertion_seqs.fa	chr18~62715685~62716179	chr18	62716178.0	+	HPV35	190	62715685	62716179	191	191	0	62715879	62716179	62716178.0	0.0
subset.insertion_seqs.fa	chr18~70954792~70955332	chr18	70954794.0	-	HPV16	121	70954792	70955332	122	0	122	70954792	70955092	0.0	70954794.0
subset.insertion_seqs.fa	chr18~71026197~71026746	chr18	71026197.0	-	HPV35	177	71026197	71026746	177	0	177	71026197	71026497	0.0	71026197.0
subset.insertion_seqs.fa	chr18~73407385~73407904	chr18	73407386.0	-	HPV18	214	73407385	73407904	214	0	214	73407385	73407685	0.0	73407386.0
subset.insertion_seqs.fa	chr18~73440278~73440798	chr18	0.0	-	HPV18	208	73440278	73440798	213	0	213	73440278	73440578	0.0	0.0
subset.insertion_seqs.fa	chr19~6565868~6566227	chr19	0.0	+	HPV45	50	6565868	6566227	50	50	0	6565903	6566203	0.0	0.0
subset.insertion_seqs.fa	chr19~7960170~7960668	chr19	7960170.0	-	HPV45	209	7960170	7960668	209	0	209	7960170	7960470	0.0	7960170.0
subset.insertion_seqs.fa	chr19~11291121~11291677	chr19	11291121.0	-	HPV31	213	11291121	11291677	214	0	214	11291121	11291421	0.0	11291121.0
subset.insertion_seqs.fa	chr19~21247121~21247706	chr19	21247121.0	-	HPV45	211	21247121	21247706	211	0	211	21247121	21247421	0.0	21247121.0
subset.insertion_seqs.fa	chr19~23932127~23932637	chr19	23932127.0	-	HPV31	183	23932127	23932637	183	0	183	23932127	23932427	0.0	23932127.0
subset.insertion_seqs.fa	chr19~33719853~33720391	chr19	33720390.0	+	HPV16	187	33719853	33720391	188	188	0	33720092	33720392	33720390.0	0.0
subset.insertion_seqs.fa	chr19~35202465~35202959	chr19	35202958.0	+	HPV16	184	35202465	35202959	184	184	0	35202658	35202958	35202958.0	0.0
subset.insertion_seqs.fa	chr19~37677487~37677917	chr19	0.0	-	HPV45	157	37677487	37677917	157	0	157	37677487	37677787	0.0	0.0
subset.insertion_seqs.fa	chr19~49501668~49502181	chr19	49501669.0	-	HPV33	211	49501668	49502181	212	0	212	49501668	49501968	0.0	49501669.0
subset.insertion_seqs.fa	chr19~50944905~50945416	chr19	50945415.0	+	HPV35	163	50944905	50945416	164	164	0	50945116	50945416	50945415.0	0.0
subset.insertion_seqs.fa	chr19~53536137~53536702	chr19	0.0	+	HPV18	193	53536137	53536702	195	195	0	53536376	53536676	0.0	0.0
subset.insertion_seqs.fa	chr2~4013582~4014081	chr2	0.0	-	HPV35	189	4013582	4014081	190	0	190	4013582	4013882	0.0	0.0
subset.insertion_seqs.fa	chr2~15501002~15501540	chr2	15501002.0	-	HPV16	141	15501002	15501540	142	0	142	15501002	15501302	0.0	15501002.0
subset.insertion_seqs.fa	chr2~33090105~33090664	chr2	33090663.0	+	HPV33	190	33090105	33090664	191	191	0	33090365	33090665	33090663.0	0.0
subset.insertion_seqs.fa	chr2~42250527~42251118	chr2	42251083.0	+	HPV31	201	42250527	42251118	201	201	0	42250785	42251085	42251083.0	0.0
subset.insertion_seqs.fa	chr2~42716100~42716666	chr2	42716665.0	+	HPV39	195	42716100	42716666	195	195	0	42716365	42716665	42716665.0	0.0
subset.insertion_seqs.fa	chr2~66167762~66168312	chr2	66167762.0	-	HPV33	216	66167762	66168312	216	0	216	66167762	66168062	0.0	66167762.0
subset.insertion_seqs.fa	chr2~69647479~69648024	chr2	69647479.0	-	HPV39	122	69647479	69648024	124	0	124	69647479	69647779	0.0	69647479.0
subset.insertion_seqs.fa	chr2~89107288~89107621	chr2	0.0	-	HPV35	67	89107288	89107621	67	0	67	89107288	89107588	0.0	0.0
subset.insertion_seqs.fa	chr2~102182052~102182552	chr2	102182054.0	-	HPV39	208	102182052	102182552	208	0	208	102182052	102182352	0.0	102182054.0
subset.insertion_seqs.fa	chr2~108771605~108772115	chr2	0.0	-	HPV31	148	108771605	108772115	148	0	148	108771605	108771905	0.0	0.0
subset.insertion_seqs.fa	chr2~134345893~134346412	chr2	134345894.0	-	HPV18	214	134345893	134346412	214	0	214	134345893	134346193	0.0	134345894.0
subset.insertion_seqs.fa	chr2~155752842~155753403	chr2	0.0	+	HPV18	201	155752842	155753403	201	201	0	155753102	155753402	0.0	0.0
subset.insertion_seqs.fa	chr2~162522322~162522854	chr2	162522853.0	+	HPV33	206	162522322	162522854	207	207	0	162522556	162522856	162522853.0	0.0
subset.insertion_seqs.fa	chr2~184219515~184220084	chr2	0.0	-	HPV18	217	184219515	184220084	217	0	217	184219515	184219815	0.0	0.0
subset.insertion_seqs.fa	chr2~185527916~185528501	chr2	185528500.0	+	HPV45	212	185527916	185528501	212	212	0	185528200	185528500	185528500.0	0.0
subset.insertion_seqs.fa	chr2~192283744~192284283	chr2	192283745.0	-	HPV16	130	192283744	192284283	130	0	130	192283744	192284044	0.0	192283745.0
subset.insertion_seqs.fa	chr2~193171134~193171239	chr2	0.0	-	HPV39	25	193171134	193171239	25	0	25	193171134	193171434	0.0	0.0
subset.insertion_seqs.fa	chr2~194531839~194532358	chr2	0.0	-	HPV18	183	194531839	194532358	183	0	183	194531839	194532139	0.0	0.0
subset.insertion_seqs.fa	chr2~212879467~212879987	chr2	0.0	+	HPV33	23	212879467	212879987	23	23	0	212879686	212879986	0.0	0.0
subset.insertion_seqs.fa	chr2~213539959~213540497	chr2	213539959.0	-	HPV31	74	213539959	213540497	75	0	75	213539959	213540259	0.0	213539959.0
subset.insertion_seqs.fa	chr2~233169251~233169842	chr2	233169806.0	+	HPV31	216	233169251	233169842	216	216	0	233169506	233169806	233169806.0	0.0
subset.insertion_seqs.fa	chr20~5942773~5943311	chr20	5942773.0	-	HPV16	187	5942773	5943311	188	0	188	5942773	5943073	0.0	5942773.0
subset.insertion_seqs.fa	chr20~8398778~8399351	chr20	8398779.0	-	HPV16	180	8398778	8399351	181	0	181	8398778	8399078	0.0	8398779.0
subset.insertion_seqs.fa	chr20~12952762~12953100	chr20	0.0	+	HPV31	82	12952762	12953100	82	82	0	12952799	12953099	0.0	0.0
subset.insertion_seqs.fa	chr20~18490931~18491428	chr20	18491427.0	+	HPV33	188	18490931	18491428	188	188	0	18491131	18491431	18491427.0	0.0
subset.insertion_seqs.fa	chr20~19430956~19431522	chr20	19431521.0	+	HPV39	223	19430956	19431522	223	223	0	19431221	19431521	19431521.0	0.0
subset.insertion_seqs.fa	chr20~20162173~20162764	chr20	20162729.0	+	HPV31	215	20162173	20162764	215	215	0	20162429	20162729	20162729.0	0.0
subset.insertion_seqs.fa	chr20~22208764~22209322	chr20	22208764.0	-	HPV31	82	22208764	22209322	82	0	82	22208764	22209064	0.0	22208764.0
subset.insertion_seqs.fa	chr20~34262081~34262628	chr20	34262627.0	+	HPV45	213	34262081	34262628	213	213	0	34262327	34262627	34262627.0	0.0
subset.insertion_seqs.fa	chr20~37067994~37068585	chr20	37068549.0	+	HPV31	203	37067994	37068585	203	203	0	37068249	37068549	37068549.0	0.0
subset.insertion_seqs.fa	chr20~37774799~37775296	chr20	37774799.0	-	HPV45	207	37774799	37775296	207	0	207	37774799	37775099	0.0	37774799.0
subset.insertion_seqs.fa	chr20~42500880~42501392	chr20	42501391.0	+	HPV35	180	42500880	42501392	180	180	0	42501091	42501391	42501391.0	0.0
subset.insertion_seqs.fa	chr20~44049460~44049963	chr20	0.0	+	HPV35	146	44049460	44049963	147	147	0	44049652	44049952	0.0	0.0
subset.insertion_seqs.fa	chr20~46238304~46238871	chr20	46238870.0	+	HPV18	219	46238304	46238871	219	219	0	46238572	46238872	46238870.0	0.0
subset.insertion_seqs.fa	chr20~50687125~50687622	chr20	50687125.0	-	HPV39	206	50687125	50687622	206	0	206	50687125	50687425	0.0	50687125.0
subset.insertion_seqs.fa	chr20~51241317~51241751	chr20	51241750.0	+	HPV31	199	51241317	51241751	199	199	0	51241450	51241750	51241750.0	0.0
subset.insertion_seqs.fa	chr20~52025498~52026064	chr20	52026063.0	+	HPV18	133	52025498	52026064	133	133	0	52025764	52026064	52026063.0	0.0
subset.insertion_seqs.fa	chr20~56601583~56602095	chr20	56601584.0	-	HPV16	173	56601583	56602095	174	0	174	56601583	56601883	0.0	56601584.0
subset.insertion_seqs.fa	chr21~9970730~9971207	chr21	0.0	+	HPV39	47	9970730	9971207	47	47	0	9970906	9971206	0.0	0.0
