#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	HPV45~1797~+~chr2~185528501~-	chr2	185528501	-	HPV45	1797	+	171+24	high	195
subset.insertion_seqs.fa	chr21~32634156~-~HPV45~2296~+	chr21	32634156	-	HPV45	2296	+	187+35	high	222
subset.insertion_seqs.fa	chr21~32634161~-~HPV45~2296~+	chr21	32634161	-	HPV45	2296	+	187+20	high	207
subset.insertion_seqs.fa	chr12~108484845~+~HPV45~2351~+	chr12	108484845	+	HPV45	2351	+	185+22	high	207
subset.insertion_seqs.fa	chr12~108484860~+~HPV45~2351~+	chr12	108484860	+	HPV45	2351	+	0+22	high	22
subset.insertion_seqs.fa	chr5~61268118~+~HPV45~2642~+	chr5	61268118	+	HPV45	2642	+	184+22	high	206
subset.insertion_seqs.fa	chr5~61268120~+~HPV45~2642~+	chr5	61268120	+	HPV45	2642	+	184+38	high	222
subset.insertion_seqs.fa	chr11~106090459~-~HPV45~2699~+	chr11	106090459	-	HPV45	2699	+	0+37	high	37
subset.insertion_seqs.fa	HPV45~2738~+~chr6~153459065~-	chr6	153459065	-	HPV45	2738	+	183+22	high	205
subset.insertion_seqs.fa	HPV45~2738~+~chr6~153459067~-	chr6	153459067	-	HPV45	2738	+	183+36	high	219
subset.insertion_seqs.fa	HPV45~2738~+~chr6~153459068~-	chr6	153459068	-	HPV45	2738	+	183+22	high	205
subset.insertion_seqs.fa	chr4~176308196~+~HPV45~2924~+	chr4	176308196	+	HPV45	2924	+	184+22	high	206
subset.insertion_seqs.fa	chr4~176308198~+~HPV45~2924~+	chr4	176308198	+	HPV45	2924	+	184+37	high	221
subset.insertion_seqs.fa	chr1~172609763~-~HPV45~3071~+	chr1	172609763	-	HPV45	3071	+	183+37	high	220
subset.insertion_seqs.fa	chr1~172609765~-~HPV45~3071~+	chr1	172609765	-	HPV45	3071	+	183+21	high	204
subset.insertion_seqs.fa	chr17~75073895~-~HPV45~3110~+	chr17	75073895	-	HPV45	3110	+	184+37	high	221
subset.insertion_seqs.fa	chr17~75073897~-~HPV45~3110~+	chr17	75073897	-	HPV45	3110	+	184+22	high	206
subset.insertion_seqs.fa	HPV45~3527~+~chr3~31619114~+	chr3	31619114	+	HPV45	3527	+	184+22	high	206
subset.insertion_seqs.fa	chr18~40054307~+~HPV45~3788~+	chr18	40054307	+	HPV45	3788	+	0+41	high	41
subset.insertion_seqs.fa	chr19~21247121~-~HPV45~3892~+	chr19	21247121	-	HPV45	3892	+	172+35	high	207
subset.insertion_seqs.fa	chr10~41901742~-~HPV45~3953~+	chr10	41901742	-	HPV45	3953	+	182+22	high	204
subset.insertion_seqs.fa	chrX~143988746~-~HPV45~4221~+	chrX	143988746	-	HPV45	4221	+	171+38	high	209
subset.insertion_seqs.fa	chrX~143988747~-~HPV45~4221~+	chrX	143988747	-	HPV45	4221	+	171+25	high	196
subset.insertion_seqs.fa	chr19~6566203~+~HPV45~4351~+	chr19	6566203	+	HPV45	4351	+	102+22	high	124
subset.insertion_seqs.fa	chr12~103989582~-~HPV45~4661~+	chr12	103989582	-	HPV45	4661	+	185+21	high	206
subset.insertion_seqs.fa	HPV45~4905~+~chr13~21304882~-	chr13	21304882	-	HPV45	4905	+	0+37	high	37
subset.insertion_seqs.fa	HPV45~4916~+~chr11~59429892~+	chr11	59429892	+	HPV45	4916	+	183+22	high	205
subset.insertion_seqs.fa	HPV45~4916~+~chr11~59429893~+	chr11	59429893	+	HPV45	4916	+	183+36	high	219
subset.insertion_seqs.fa	HPV45~4916~+~chr11~59429895~+	chr11	59429895	+	HPV45	4916	+	183+22	high	205
subset.insertion_seqs.fa	chr6~39702011~-~HPV45~5111~+	chr6	39702011	-	HPV45	5111	+	173+37	high	210
subset.insertion_seqs.fa	chr6~39702012~-~HPV45~5111~+	chr6	39702012	-	HPV45	5111	+	173+25	high	198
subset.insertion_seqs.fa	chr8~11295773~+~HPV45~5172~+	chr8	11295773	+	HPV45	5172	+	169+39	high	208
subset.insertion_seqs.fa	chr13~22286715~-~HPV45~5202~+	chr13	22286715	-	HPV45	5202	+	185+37	high	222
subset.insertion_seqs.fa	chr13~22286717~-~HPV45~5202~+	chr13	22286717	-	HPV45	5202	+	185+22	high	207
subset.insertion_seqs.fa	chr19~7960170~-~HPV45~5245~+	chr19	7960170	-	HPV45	5245	+	0+38	high	38
subset.insertion_seqs.fa	HPV45~5346~+~chr15~67399400~+	chr15	67399400	+	HPV45	5346	+	0+38	high	38
subset.insertion_seqs.fa	HPV45~5346~+~chr15~67399404~+	chr15	67399404	+	HPV45	5346	+	185+22	high	207
subset.insertion_seqs.fa	chr13~46766616~+~HPV45~5774~+	chr13	46766616	+	HPV45	5774	+	169+39	high	208
subset.insertion_seqs.fa	HPV45~5820~+~chr16~24270722~-	chr16	24270722	-	HPV45	5820	+	0+38	high	38
subset.insertion_seqs.fa	HPV45~6019~+~chr5~109693471~-	chr5	109693471	-	HPV45	6019	+	169+38	high	207
subset.insertion_seqs.fa	HPV45~6019~+~chr5~109693473~-	chr5	109693473	-	HPV45	6019	+	0+25	high	25
subset.insertion_seqs.fa	HPV45~6266~+~chr13~94740396~+	chr13	94740396	+	HPV45	6266	+	182+22	high	204
subset.insertion_seqs.fa	HPV45~6266~+~chr13~94740397~+	chr13	94740397	+	HPV45	6266	+	182+34	high	216
subset.insertion_seqs.fa	HPV45~6266~+~chr13~94740399~+	chr13	94740399	+	HPV45	6266	+	182+22	high	204
subset.insertion_seqs.fa	chrX~140700596~+~HPV45~6332~+	chrX	140700596	+	HPV45	6332	+	0+37	high	37
subset.insertion_seqs.fa	chr7~125201865~+~HPV45~6360~+	chr7	125201865	+	HPV45	6360	+	170+37	high	207
subset.insertion_seqs.fa	chr7~125201866~+~HPV45~6360~+	chr7	125201866	+	HPV45	6360	+	0+24	high	24
subset.insertion_seqs.fa	HPV45~6748~+~chr22~41123086~-	chr22	41123086	-	HPV45	6748	+	171+38	high	209
subset.insertion_seqs.fa	HPV45~6832~+~chrX~140501634~-	chrX	140501634	-	HPV45	6832	+	0+40	high	40
subset.insertion_seqs.fa	HPV45~6832~+~chrX~140501637~-	chrX	140501637	-	HPV45	6832	+	0+28	high	28
subset.insertion_seqs.fa	HPV45~7598~+~chr1~57512656~+	chr1	57512656	+	HPV45	7598	+	185+37	high	222
subset.insertion_seqs.fa	HPV45~7598~+~chr1~57512658~+	chr1	57512658	+	HPV45	7598	+	185+22	high	207
subset.insertion_seqs.fa	HPV45~7693~+~chr6~169505282~+	chr6	169505282	+	HPV45	7693	+	177+23	high	200
subset.insertion_seqs.fa	HPV45~7693~+~chr6~169505287~+	chr6	169505287	+	HPV45	7693	+	177+36	high	213
subset.insertion_seqs.fa	chr6~6928882~+~HPV45~5690~+	chr6	6928882	+	HPV45	5690	+	0+39	high	39
subset.insertion_seqs.fa	HPV45~2986~-~chr19~37677419~+	chr19	37677419	+	HPV45	2986	-	0+38	high	38
subset.insertion_seqs.fa	HPV45~19~-~chr17~32425057~+	chr17	32425057	+	HPV45	19	-	187+13	high	200
subset.insertion_seqs.fa	chr16~79249183~+~HPV45~5096~-	chr16	79249183	+	HPV45	5096	-	187+15	high	202
subset.insertion_seqs.fa	chr11~60452996~+~HPV45~2725~+	chr11	60452996	+	HPV45	2725	+	0+37	low	37
subset.insertion_seqs.fa	HPV45~3122~+~chr8~47118634~+	chr8	47118634	+	HPV45	3122	+	0+5	low	5
subset.insertion_seqs.fa	HPV45~3443~+~chr6~41195088~-	chr6	41195088	-	HPV45	3443	+	0+40	low	40
subset.insertion_seqs.fa	chr10~41901577~-~HPV45~3953~+	chr10	41901577	-	HPV45	3953	+	0+21	low	21
subset.insertion_seqs.fa	HPV45~6266~+~chr13~103129196~+	chr13	103129196	+	HPV45	6266	+	0+44	low	44
