#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	HPV31~5056~+~chr15~100512204~+	chr15	100512204	+	HPV31	5056	+	172+44	high	216
subset.insertion_seqs.fa	chr1~52396361~-~HPV31~203~+	chr1	52396361	-	HPV31	203	+	181+36	high	217
subset.insertion_seqs.fa	chr1~52396363~-~HPV31~203~+	chr1	52396363	-	HPV31	203	+	181+26	high	207
subset.insertion_seqs.fa	chr2~233169804~+~HPV31~910~+	chr2	233169804	+	HPV31	910	+	181+26	high	207
subset.insertion_seqs.fa	chrX~110671545~-~HPV31~1319~+	chrX	110671545	-	HPV31	1319	+	181+35	high	216
subset.insertion_seqs.fa	chrX~110671547~-~HPV31~1319~+	chrX	110671547	-	HPV31	1319	+	181+26	high	207
subset.insertion_seqs.fa	HPV31~1179~+~chr6~87899069~+	chr6	87899069	+	HPV31	1179	+	0+45	high	45
subset.insertion_seqs.fa	HPV31~1375~+~chr16~59686696~+	chr16	59686696	+	HPV31	1375	+	0+34	high	34
subset.insertion_seqs.fa	HPV31~1375~+~chr16~59686698~+	chr16	59686698	+	HPV31	1375	+	0+25	high	25
subset.insertion_seqs.fa	HPV31~1602~+~chr21~27378608~+	chr21	27378608	+	HPV31	1602	+	0+26	high	26
subset.insertion_seqs.fa	chr14~57711629~-~HPV31~1877~+	chr14	57711629	-	HPV31	1877	+	183+26	high	209
subset.insertion_seqs.fa	chr13~112741278~+~HPV31~2193~+	chr13	112741278	+	HPV31	2193	+	181+26	high	207
subset.insertion_seqs.fa	chr13~112741280~+~HPV31~2193~+	chr13	112741280	+	HPV31	2193	+	181+35	high	216
subset.insertion_seqs.fa	chr5~122143277~-~HPV31~2317~+	chr5	122143277	-	HPV31	2317	+	0+18	high	18
subset.insertion_seqs.fa	HPV31~2354~+~chr7~116782382~+	chr7	116782382	+	HPV31	2354	+	0+36	high	36
subset.insertion_seqs.fa	HPV31~2354~+~chr7~116782384~+	chr7	116782384	+	HPV31	2354	+	0+19	high	19
subset.insertion_seqs.fa	HPV31~2446~+~chr1~57690286~-	chr1	57690286	-	HPV31	2446	+	181+26	high	207
subset.insertion_seqs.fa	HPV31~2446~+~chr1~57690291~-	chr1	57690291	-	HPV31	2446	+	181+34	high	215
subset.insertion_seqs.fa	chr19~11291121~-~HPV31~2636~+	chr19	11291121	-	HPV31	2636	+	181+35	high	216
subset.insertion_seqs.fa	chr19~11291123~-~HPV31~2636~+	chr19	11291123	-	HPV31	2636	+	181+26	high	207
subset.insertion_seqs.fa	HPV31~2800~+~chr21~24941131~-	chr21	24941131	-	HPV31	2800	+	171+25	high	196
subset.insertion_seqs.fa	chr12~95770798~+~HPV31~3367~+	chr12	95770798	+	HPV31	3367	+	0+26	high	26
subset.insertion_seqs.fa	chr16~65846519~-~HPV31~3382~+	chr16	65846519	-	HPV31	3382	+	0+38	high	38
subset.insertion_seqs.fa	chr16~65846521~-~HPV31~3382~+	chr16	65846521	-	HPV31	3382	+	0+20	high	20
subset.insertion_seqs.fa	HPV31~3412~+~chr20~37068547~-	chr20	37068547	-	HPV31	3412	+	0+27	high	27
subset.insertion_seqs.fa	HPV31~3981~+~chr8~10959992~-	chr8	10959992	-	HPV31	3981	+	171+44	high	215
subset.insertion_seqs.fa	HPV31~4347~+~chr11~79890522~-	chr11	79890522	-	HPV31	4347	+	0+26	high	26
subset.insertion_seqs.fa	HPV31~4347~+~chr11~79890524~-	chr11	79890524	-	HPV31	4347	+	0+35	high	35
subset.insertion_seqs.fa	HPV31~4348~+~chr9~5593169~-	chr9	5593169	-	HPV31	4348	+	171+45	high	216
subset.insertion_seqs.fa	chr21~34910395~-~HPV31~4397~+	chr21	34910395	-	HPV31	4397	+	0+19	high	19
subset.insertion_seqs.fa	HPV31~4389~+~chr8~14415937~+	chr8	14415937	+	HPV31	4389	+	182+36	high	218
subset.insertion_seqs.fa	HPV31~4389~+~chr8~14415939~+	chr8	14415939	+	HPV31	4389	+	182+26	high	208
subset.insertion_seqs.fa	HPV31~4664~+~chr17~49264623~+	chr17	49264623	+	HPV31	4664	+	172+44	high	216
subset.insertion_seqs.fa	chr3~1872753~-~HPV31~4727~+	chr3	1872753	-	HPV31	4727	+	183+34	high	217
subset.insertion_seqs.fa	HPV31~4726~+~chr2~108771607~+	chr2	108771607	+	HPV31	4726	+	0+18	high	18
subset.insertion_seqs.fa	HPV31~4936~+~chrX~128695181~-	chrX	128695181	-	HPV31	4936	+	0+37	high	37
subset.insertion_seqs.fa	chr7~104992513~-~HPV31~4939~+	chr7	104992513	-	HPV31	4939	+	0+36	high	36
subset.insertion_seqs.fa	chr7~104992515~-~HPV31~4939~+	chr7	104992515	-	HPV31	4939	+	0+18	high	18
subset.insertion_seqs.fa	HPV31~5026~+~chr8~107037218~+	chr8	107037218	+	HPV31	5026	+	0+44	high	44
subset.insertion_seqs.fa	HPV31~5026~+~chr8~107037219~+	chr8	107037219	+	HPV31	5026	+	0+26	high	26
subset.insertion_seqs.fa	HPV31~5136~+~chr5~158914084~-	chr5	158914084	-	HPV31	5136	+	171+26	high	197
subset.insertion_seqs.fa	HPV31~5136~+~chr5~158914088~-	chr5	158914088	-	HPV31	5136	+	0+26	high	26
subset.insertion_seqs.fa	chr9~4245700~+~HPV31~5299~+	chr9	4245700	+	HPV31	5299	+	172+43	high	215
subset.insertion_seqs.fa	chr9~4245701~+~HPV31~5299~+	chr9	4245701	+	HPV31	5299	+	0+27	high	27
subset.insertion_seqs.fa	chr10~69362369~-~HPV31~6064~+	chr10	69362369	-	HPV31	6064	+	0+36	high	36
subset.insertion_seqs.fa	chr10~69362371~-~HPV31~6064~+	chr10	69362371	-	HPV31	6064	+	0+18	high	18
subset.insertion_seqs.fa	HPV31~6194~+~chrX~10845065~-	chrX	10845065	-	HPV31	6194	+	0+18	high	18
subset.insertion_seqs.fa	HPV31~6194~+~chrX~10845067~-	chrX	10845067	-	HPV31	6194	+	0+36	high	36
subset.insertion_seqs.fa	chr1~192164549~-~HPV31~6178~+	chr1	192164549	-	HPV31	6178	+	0+43	high	43
subset.insertion_seqs.fa	chr1~192164550~-~HPV31~6178~+	chr1	192164550	-	HPV31	6178	+	0+26	high	26
subset.insertion_seqs.fa	HPV31~6788~+~chr6~58097035~-	chr6	58097035	-	HPV31	6788	+	0+26	high	26
subset.insertion_seqs.fa	HPV31~6788~+~chr6~58097037~-	chr6	58097037	-	HPV31	6788	+	0+37	high	37
subset.insertion_seqs.fa	HPV31~6870~+~chrY~14398767~-	chrY	14398767	-	HPV31	6870	+	171+26	high	197
subset.insertion_seqs.fa	HPV31~7581~+~chr17~30865655~+	chr17	30865655	+	HPV31	7581	+	173+43	high	216
subset.insertion_seqs.fa	HPV31~7581~+~chr17~30865656~+	chr17	30865656	+	HPV31	7581	+	173+26	high	199
subset.insertion_seqs.fa	chr13~21166511~+~HPV31~461~+	chr13	21166511	+	HPV31	461	+	181+35	high	216
subset.insertion_seqs.fa	chr6~67644124~+~HPV31~4094~+	chr6	67644124	+	HPV31	4094	+	0+20	high	20
subset.insertion_seqs.fa	chr1~29269141~+~HPV31~2890~+	chr1	29269141	+	HPV31	2890	+	0+36	high	36
subset.insertion_seqs.fa	chr20~12953323~+~HPV31~3737~-	chr20	12953323	+	HPV31	3737	-	0+11	low	11
subset.insertion_seqs.fa	HPV31~1602~+~chr21~27378609~+	chr21	27378609	+	HPV31	1602	+	0+41	low	41
subset.insertion_seqs.fa	HPV31~3720~-~chr21~31583956~+	chr21	31583956	+	HPV31	3720	-	0+42	low	42
subset.insertion_seqs.fa	chr3~88783087~-~HPV31~2133~+	chr3	88783087	-	HPV31	2133	+	0+23	low	23
subset.insertion_seqs.fa	chr3~88783088~-~HPV31~2133~+	chr3	88783088	-	HPV31	2133	+	0+4	low	4
subset.insertion_seqs.fa	HPV31~2354~+~chr7~116782197~+	chr7	116782197	+	HPV31	2354	+	0+18	low	18
subset.insertion_seqs.fa	chr19~23932127~-~HPV31~6730~+	chr19	23932127	-	HPV31	6730	+	0+36	low	36
subset.insertion_seqs.fa	chr19~23932129~-~HPV31~6730~+	chr19	23932129	-	HPV31	6730	+	0+18	low	18
subset.insertion_seqs.fa	chr22~47977272~-~HPV31~2629-2734~NA	chr22	47977272	-	HPV31	2629-2734	NA	4+19	low	23
