Chromosome	hotspot_coord	hotspot	hotspot_sample_counts	proj_label	viruses	insert_genes	insert_gene_count
chr17	81511555	chr17:81511555	33	CCLE,GTEx,GTEx,GTEx,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16	ACTG1	30
chr6	31320575	chr6:31320575	28	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,NATGEN2015	Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	HLA-C;HLA-B	18
chr1	125176478	chr1:125176478	27	NATGEN2015,TCGA^CESC	HPV18,HPV16,HPV33,HPV58,HPV11	RP11-344P13.1~CH17-333M13.2	27
chr16	46388963	chr16:46388963	27	NATGEN2015,TCGA^CESC	HPV16,HPV11,HPV33,HPV59,HPV18,HPV58	PPP1R1AP2~ANKRD26P1	27
chr8	127764585	chr8:127764585	26	CCLE,GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16,HPV18,HPV35,Eppstein-Barr,HPV33	MYC~PVT1_1	17
chr4	49695142	chr4:49695142	26	NATGEN2015,TCGA^CESC	HPV16,HPV11,HPV33,HPV31,HPV18,HPV58	AC119751.4~DUTP7	26
chr3	60594681	chr3:60594681	25	NATGEN2015	HPV16	FHIT	25
chr19	2261051	chr19:2261051	24	CCLE,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV16,NC_006430_15246nt_Mammalian_orthorubulavirus_5	OAZ1	14
chr19	3985318	chr19:3985318	24	CCLE,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,HPV33,HPV58,HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001702_8135nt_Murine_type_C_retrovirus	EEF2	20
chr5	150406337	chr5:150406337	24	CCLE,GTEx	Eppstein-Barr,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	CD74	22
chr19	49487527	chr19:49487527	23	CCLE,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV16,Eppstein-Barr,HPV18,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_007815_8197nt_PreXMRV_1,NC_001501_8332nt_Moloney_murine_leukemia_virus	RPS11	14
chr6	44244202	chr6:44244202	22	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV11,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr,NC_007815_8197nt_PreXMRV_1,HPV16,HPV33	HSP90AB1	12
chr21	8994096	chr21:8994096	21	CCLE,GTEx,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_000858_9028nt_Simian_T_lymphotropic_virus_1,HPV16,HPV11,HPV58,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_001362_8323nt_Friend_murine_leukemia_virus,NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	MIR3687-1~bP-2171C21.3	17
chr16	34583021	chr16:34583021	21	NATGEN2015,TCGA^CESC	HPV11,HPV16,HPV33,HPV18,HPV59,HPV58	ABBA01017803.1~CTD-2144E22.9	21
chr6	29927123	chr6:29927123	20	CCLE,GTEx,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,HPV31,HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV11,HPV33	HLA-A	16
chr8	127241438	chr8:127241438	19	CCLE,NATGEN2015,TCGA^CESC,TCGA^KIRC	HPV18,HPV16,HPV45	CCAT1~RP11-382A18.3	15
chr3	195661473	chr3:195661473	19	GTEx,NATGEN2015,TCGA^CESC	HPV16,HPV58,HPV11,HPV33,Eppstein-Barr	AC069213.1	9
chr16	30062946	chr16:30062946	18	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001702_8135nt_Murine_type_C_retrovirus	ALDOA	15
chr9	133016111	chr9:133016111	18	CCLE,GTEx,GTEx,GTEx,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_007815_8197nt_PreXMRV_1	EEF1A1P5	14
chr17	16386965	chr17:16386965	17	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,NATGEN2015	HPV16,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_007815_8197nt_PreXMRV_1	UBB;RP11-138I1.4	10
chr19	608866	chr19:608866	17	CCLE,GTEx,GTEx,GTEx,NATGEN2015	NC_001806_152222nt_Human_alphaherpesvirus_1,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,HPV33,HPV11,NC_001702_8135nt_Murine_type_C_retrovirus,NC_009333_137969nt_Human_gammaherpesvirus_8	BSG	6
chr19	2053394	chr19:2053394	17	CCLE,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV33,HPV16	MKNK2	14
chr3	93470621	chr3:93470621	17	NATGEN2015,TCGA^CESC	HPV16,HPV11,HPV33,HPV18,HPV59,HPV58	HSPE1P19~RNU6-488P	17
chr17	4957200	chr17:4957200	16	CCLE,GTEx,GTEx,TCGA^CESC	Eppstein-Barr,HPV18,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_009333_137969nt_Human_gammaherpesvirus_8,NC_001806_152222nt_Human_alphaherpesvirus_1	PFN1;ENO3	8
chr5	439350	chr5:439350	16	CCLE,GTEx,NATGEN2015,TCGA^CESC	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV11,Eppstein-Barr,HPV16,HPV33	AHRR	9
chr6	73516427	chr6:73516427	16	CCLE,GTEx,GTEx,GTEx,TCGA^HNSC	NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV33,NC_006430_15246nt_Mammalian_orthorubulavirus_5,HPV16	EEF1A1	16
chr12	65677166	chr12:65677166	16	NATGEN2015	HPV16	RP11-221N13.4~RPSAP52	14
chr8	85777715	chr8:85777715	16	NATGEN2015,TCGA^CESC	HPV16,HPV58,HPV11,HPV33,HPV18,HPV45	REXO1L10P~REXO1L9P	8
chr11	62544756	chr11:62544756	15	CCLE,GTEx	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus	EEF1G	9
chr13	73382955	chr13:73382955	15	CCLE,NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV18,HPV16,HPV45	RNY1P8~RP11-309J13.1	9
chr16	89582828	chr16:89582828	15	CCLE,GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV33,Eppstein-Barr,NC_007815_8197nt_PreXMRV_1,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus	RPL13	9
chr19	35712433	chr19:35712433	15	CCLE,GTEx,TCGA^LIHC	HBV,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr	KMT2B	12
chr19	48971073	chr19:48971073	15	CCLE,GTEx,GTEx,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus	FTL	10
chr2	88862742	chr2:88862742	15	CCLE,GTEx,NATGEN2015,TCGA^HNSC	Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8,HPV33,HPV16	AC096579.13	13
chr20	17659464	chr20:17659464	15	CCLE,GTEx,GTEx,GTEx,TCGA^HNSC	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16,NC_009333_137969nt_Human_gammaherpesvirus_8	RRBP1	15
chr8	144801189	chr8:144801189	15	CCLE,GTEx,TCGA^CESC	Eppstein-Barr,HPV52,NC_001702_8135nt_Murine_type_C_retrovirus,NC_009333_137969nt_Human_gammaherpesvirus_8	RPL8	12
chr17	78147901	chr17:78147901	15	GTEx,NATGEN2015,TCGA^CESC	HPV16,Eppstein-Barr	SYNGR2	5
chr12	6910346	chr12:6910346	14	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,NC_006430_15246nt_Mammalian_orthorubulavirus_5	TPI1	4
chr17	81866995	chr17:81866995	14	CCLE,GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC	Eppstein-Barr,HPV16,HPV33,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001501_8332nt_Moloney_murine_leukemia_virus	ARHGDIA	4
chr5	14647215	chr5:14647215	14	CCLE,GTEx,GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV33,HPV58,HPV16,HPV11,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr	EEF1A1P13	9
chr14	105628511	chr14:105628511	14	GTEx,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV16,HPV35,NC_001806_152222nt_Human_alphaherpesvirus_1	IGH-@-ext;IGH@-ext	10
chr19	388241	chr19:388241	14	GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV16,HPV33,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV18,HPV58,HPV11	THEG~AC010641.1	4
chr8	127350534	chr8:127350534	14	NATGEN2015,TCGA^CESC	HPV18,HPV16,HPV45,HPV33	CASC8	12
chr1	8870043	chr1:8870043	13	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	ENO1	13
chr17	63735733	chr17:63735733	13	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,NC_007815_8197nt_PreXMRV_1,HPV33,HPV16,NC_009333_137969nt_Human_gammaherpesvirus_8	DDX42	4
chr19	1026339	chr19:1026339	13	CCLE,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV33,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus,HPV18,HPV16	CNN2	3
chr19	1217393	chr19:1217393	13	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,Eppstein-Barr,NC_007815_8197nt_PreXMRV_1,HPV33,NC_001501_8332nt_Moloney_murine_leukemia_virus	STK11	5
chr19	58524442	chr19:58524442	13	CCLE,GTEx,NATGEN2015,TCGA^CESC,TCGA^LIHC	HBV,NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,HPV58,HPV16,HPV33	SLC27A5	5
chr6	30740334	chr6:30740334	13	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,HPV33,Eppstein-Barr,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	TUBB	5
chr1	2673597	chr1:2673597	13	GTEx,NATGEN2015,TCGA^CESC	HPV33,HPV16,HPV11,HPV58,NC_001806_152222nt_Human_alphaherpesvirus_1	TTC34	12
chr15	44714166	chr15:44714166	13	GTEx,GTEx,GTEx,GTEx,NATGEN2015	NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,HPV16	B2M	12
chr17	7267678	chr17:7267678	12	CCLE,GTEx	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,NC_000858_9028nt_Simian_T_lymphotropic_virus_1,NC_001702_8135nt_Murine_type_C_retrovirus,NC_009333_137969nt_Human_gammaherpesvirus_8	EIF5A	5
chr17	41644209	chr17:41644209	12	CCLE,GTEx,NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV70,NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV31,HPV33,HPV16,NC_007815_8197nt_PreXMRV_1	EIF1	6
chr19	55367301	chr19:55367301	12	CCLE,GTEx	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus	RPL28	11
chr20	63930063	chr20:63930063	12	CCLE,GTEx,GTEx,NATGEN2015,TCGA^STAD	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16,HPV33	DNAJC5	5
chr22	23898599	chr22:23898599	12	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV33,HPV16	MIF;MIF-AS1	9
chr7	22511708	chr7:22511708	12	CCLE,GTEx,GTEx,NATGEN2015,TCGA^LIHC	NC_001702_8135nt_Murine_type_C_retrovirus,NC_006430_15246nt_Mammalian_orthorubulavirus_5,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16,Eppstein-Barr,HBV	EEF1A1P6;STEAP1B	9
chr14	106321499	chr14:106321499	12	GTEx,NATGEN2015	Eppstein-Barr,HPV33,HPV16	IGH-@-ext;IGH@-ext	12
chr22	49970726	chr22:49970726	12	GTEx,NATGEN2015	Eppstein-Barr,HPV11,HPV58,HPV33	PIM3	9
chrX	48906224	chrX:48906224	12	GTEx,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV58	PIM2	4
chr4	49134014	chr4:49134014	12	NATGEN2015,TCGA^CESC	HPV16,HPV11,HPV33	CWH43~AC118282.3	12
chr4	190155945	chr4:190155945	12	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HBV,HPV33	DUX4	6
chr8	127865839	chr8:127865839	12	NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV18,HPV16	PVT1	12
chr1	228132087	chr1:228132087	11	CCLE,GTEx,NATGEN2015,TCGA^CESC	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,Eppstein-Barr,HPV45	ARF1	4
chr11	65863604	chr11:65863604	11	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16	CFL1;SNX32	7
chr12	20551578	chr12:20551578	11	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_007815_8197nt_PreXMRV_1,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr	PDE3A	10
chr17	7499048	chr17:7499048	11	CCLE,GTEx,GTEx,NATGEN2015	Eppstein-Barr,HPV16,HPV33,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_009333_137969nt_Human_gammaherpesvirus_8,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1	POLR2A	5
chr17	77221130	chr17:77221130	11	CCLE,GTEx,GTEx,GTEx,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV58,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	SEC14L1	9
chr19	41862962	chr19:41862962	11	CCLE,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV16,HPV58,NC_001702_8135nt_Murine_type_C_retrovirus	RPS19	6
chr22	39305023	chr22:39305023	11	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	RPL3	9
chr4	1357370	chr4:1357370	11	CCLE,GTEx,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV59,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV11,HPV18,HPV33	MAEA	4
chr4	82359564	chr4:82359564	11	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV16,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	HNRNPD	7
chr6	33296416	chr6:33296416	11	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_007815_8197nt_PreXMRV_1,NC_001702_8135nt_Murine_type_C_retrovirus,HPV11	TAPBP	3
chr7	26188810	chr7:26188810	11	CCLE,GTEx,NATGEN2015,TCGA^CESC	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,HPV33,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	HNRNPA2B1	10
chr7	133035257	chr7:133035257	11	CCLE,GTEx,GTEx	NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr	CHCHD3	11
chr9	133325396	chr9:133325396	11	CCLE,GTEx,GTEx,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV33,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	RPL7A	7
chr9	137232435	chr9:137232435	11	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV33,NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,HPV16	TUBB4B	5
chrX	1354070	chrX:1354070	11	CCLE,GTEx,GTEx,NATGEN2015,TCGA^CESC	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV33,Eppstein-Barr,HPV58	SLC25A6	7
chrY	1354070	chrY:1354070	11	CCLE,GTEx,GTEx,NATGEN2015,TCGA^CESC	HPV58,HPV33,Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV16	SLC25A6	7
chr16	89338199	chr16:89338199	11	GTEx,GTEx,NATGEN2015,TCGA^ESCA	HPV16,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV33	ANKRD11	11
chrX	278695	chrX:278695	11	GTEx,GTEx,NATGEN2015,TCGA^LIHC	Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV11,HPV16,HBV	~LL0YNC03-29C1.1	3
chrY	279013	chrY:279013	11	GTEx,GTEx,NATGEN2015,TCGA^LIHC	HBV,HPV11,HPV16,Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1	~LL0YNC03-29C1.1	3
chr1	3633771	chr1:3633771	11	NATGEN2015,TCGA^CESC	HPV18,HPV33,HPV11,HPV16,HPV58	TP73	8
chr10	133675659	chr10:133675659	11	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HPV33,HPV11,HBV,HPV18	AL845259.2~XX-2136C48.8	6
chr17	39704450	chr17:39704450	11	NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16	ERBB2	8
chr22	12151777	chr22:12151777	11	NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16,HPV11,HPV18,HPV33	CU459202.1~AC116618.1	11
chr5	1086512	chr5:1086512	11	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HPV33,HPV11,HBV,HPV58	SLC12A7	6
chr11	320931	chr11:320931	10	CCLE,GTEx,GTEx,GTEx,GTEx,NATGEN2015	NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,HPV11	IFITM2;IFITM1	5
chr11	772946	chr11:772946	10	CCLE,GTEx,NATGEN2015,TCGA^CESC	HPV18,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr,HPV16,HPV11	RPLP2	6
chr11	61960747	chr11:61960747	10	CCLE,GTEx,GTEx,GTEx,GTEx,GTEx,NATGEN2015	HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_006430_15246nt_Mammalian_orthorubulavirus_5,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus	FTH1	6
chr11	65415386	chr11:65415386	10	CCLE,GTEx,GTEx,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,HPV33,NC_007815_8197nt_PreXMRV_1,Eppstein-Barr,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1	NEAT1	7
chr16	21405239	chr16:21405239	10	CCLE,GTEx,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	NC_001806_152222nt_Human_alphaherpesvirus_1,HPV33,Eppstein-Barr,HPV16,NC_007815_8197nt_PreXMRV_1	NPIPB3	10
chr16	67818780	chr16:67818780	10	CCLE,GTEx,GTEx,GTEx,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV58,HPV33,NC_001501_8332nt_Moloney_murine_leukemia_virus	TSNAXIP1	3
chr17	22194407	chr17:22194407	10	CCLE,GTEx,GTEx,GTEx,NATGEN2015,TCGA^CESC	Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_007815_8197nt_PreXMRV_1,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	UBBP4	8
chr17	41536491	chr17:41536491	10	CCLE,NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV33,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,HPV31,HPV70,HPV58	KRT14	6
chr19	12652472	chr19:12652472	10	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,HPV18	CTD-2192J16.15	5
chr19	54161810	chr19:54161810	10	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	CNOT3	6
