humanchr	human_coord	Chromosome	Start	End	Gene_ID	min_dist_from_exon_end	exon_insert_type
chr2	43776286	chr2	43776782	43776899	DYNC2LI1^ENSG00000138036.17	496	external
chr1	94332271	chr1	94333267	94333409	RP11-148B18.3^ENSG00000226835.1	996	external
chr7	44118789	chr7	44117943	44118304	POLD2^ENSG00000106628.9	485	external
chr7	125495894	chr7	125466270	125466401	RP11-807H17.1^ENSG00000227869.1	29493	external
chr5	36120529	chr5	36122280	36122463	LMBRD2^ENSG00000164187.6	1751	external
chr20	15322061	chr20	15280764	15280873	RNA5SP475^ENSG00000222500.1	41188	external
chr11	64347064	chr11	64348831	64349052	CCDC88B^ENSG00000168071.20	1767	external
chr11	37651490	chr11	37702125	37702220	SNORA31^ENSG00000251838.1	50635	external
chr18	27520025	chr18	27501679	27501865	RP11-739N10.1^ENSG00000264151.4	18160	external
chr9	129211050	chr9	129208869	129210548	RP11-247A12.2^ENSG00000204055.4	502	external
chr9	109413224	chr9	109410229	109410415	PTPN3^ENSG00000070159.12	2809	external
chr9	10036852	chr9	10033718	10033790	PTPRD^ENSG00000153707.14	3062	external
chr8	38492174	chr8	38510834	38512639	C8orf86^ENSG00000196166.3	18660	external
chr7	102106358	chr7	102104437	102104459	CUX1^ENSG00000257923.8	1899	external
chr6	157040208	chr6	157084662	157084905	ARID1B^ENSG00000049618.20	44454	external
chr4	41069064	chr4	41065669	41065673	APBB2^ENSG00000163697.15	3391	external
chr22	50535853	chr22	50532477	50532580	ODF3B^ENSG00000177989.12	3273	external
chr2	99460345	chr2	99462496	99462622	REV1^ENSG00000135945.8	2151	external
chr2	113836937	chr2	113831530	113831727	AC104653.1^ENSG00000228857.2	5210	external
chr15	65313880	chr15	65304677	65304792	RNU5B-1^ENSG00000200156.1	9088	external
chr13	22782684	chr13	22803145	22803224	SNORD36^ENSG00000253094.1	20461	external
chr1	86496998	chr1	86495505	86495675	CLCA1^ENSG00000016490.14	1323	external
chrX	97301962	chrX	97341046	97341344	RN7SL74P^ENSG00000265260.2	39084	external
chr9	109452017	chr9	109448811	109451384	PTPN3^ENSG00000070159.12	633	external
chr21	43795889	chr21	43795189	43795250	RRP1^ENSG00000160214.11	639	external
chr2	213804431	chr2	213758067	213758159	MIR4438^ENSG00000265734.1	46272	external
chr17	6435459	chr17	6435009	6435199	AIPL1^ENSG00000129221.13	260	external
chr17	10164190	chr17	10198208	10198551	GAS7^ENSG00000007237.17	34018	external
chr12	114316863	chr12	114340790	114340908	AC009260.1^ENSG00000280861.1	23927	external
chr1	156304145	chr1	156308968	156309303	CCT3^ENSG00000163468.13	4823	external
chr12	62429155	chr12	62417098	62417431	USP15^ENSG00000135655.12	11724	external
chr19	14327855	chr19	14325352	14325431	CTC-548K16.2^ENSG00000266913.1	2424	external
chr10	125604561	chr10	125621613	125621645	TEX36^ENSG00000175018.11	17052	external
chr20	29748809	chr20	30214798	30214976	CFTRP3^ENSG00000204555.2	465989	external
chr7	26359926	chr7	26360454	26360464	SNX10^ENSG00000086300.14	528	external
chr1	154295125	chr1	154295503	154295601	RNU6-239P^ENSG00000212292.1	378	external
chr12	90905865	chr12	90905622	90905864	CCER1^ENSG00000197651.4	1	at_ref_exon_boundary
chr20	33707970	chr20	33707489	33707969	PXMP4^ENSG00000101417.10	1	at_ref_exon_boundary
chr20	33710040	chr20	33710555	33710753	PXMP4^ENSG00000101417.10	515	external
chr20	33707387	chr20	33707489	33707969	PXMP4^ENSG00000101417.10	102	external
chr20	33669145	chr20	33669143	33669472	NECAB3^ENSG00000125967.15	2	within_exon
chr20	33705938	chr20	33707269	33707969	PXMP4^ENSG00000101417.10	1331	external
chr20	33667157	chr20	33666581	33666702	NECAB3^ENSG00000125967.15	455	external
chr20	33669374	chr20	33669375	33669712	NECAB3^ENSG00000125967.15	1	at_ref_exon_boundary
chr20	33707383	chr20	33707489	33707969	PXMP4^ENSG00000101417.10	106	external
chr20	33658476	chr20	33658477	33658554	NECAB3^ENSG00000125967.15	1	at_ref_exon_boundary
chr20	33701467	chr20	33702754	33707969	PXMP4^ENSG00000101417.10	1287	external
chr20	33700711	chr20	33702754	33707969	PXMP4^ENSG00000101417.10	2043	external
chr20	33709886	chr20	33710555	33710753	PXMP4^ENSG00000101417.10	669	external
chr4	139807086	chr4	139794125	139794433	RN7SKP253^ENSG00000252233.1	12653	external
chr4	139730668	chr4	139730416	139730667	MAML3^ENSG00000196782.11	1	at_ref_exon_boundary
chr4	139889356	chr4	139889357	139890967	MAML3^ENSG00000196782.11	1	at_ref_exon_boundary
chr4	139784591	chr4	139794125	139794433	RN7SKP253^ENSG00000252233.1	9534	external
chr5	1306848	chr5	1309310	1309377	MIR4457^ENSG00000263670.1	2462	external
chr4	129752655	chr4	129749628	129749720	RP11-519M16.1^ENSG00000246876.5	2935	external
chr13	73413637	chr13	73413473	73413636	LINC00393^ENSG00000224853.1	1	at_ref_exon_boundary
chr13	73477207	chr13	73413473	73413636	LINC00393^ENSG00000224853.1	63571	external
chr13	73456963	chr13	73413473	73413636	LINC00393^ENSG00000224853.1	43327	external
chr13	73497733	chr13	73546388	73546841	LINC00393^ENSG00000224853.1	48655	external
chr13	73451336	chr13	73413473	73413636	LINC00393^ENSG00000224853.1	37700	external
chr13	73319188	chr13	73399031	73399205	RP11-309J13.1^ENSG00000279754.1	79843	external
chr9	133255382	chr9	133255176	133256356	ABO^ENSG00000175164.12	206	within_exon
chr3	189935001	chr3	189956728	189958004	P3H2^ENSG00000090530.8	21727	external
chr3	189935007	chr3	189956728	189958004	P3H2^ENSG00000090530.8	21721	external
chr3	189899756	chr3	189894206	189897279	TP63^ENSG00000073282.11	2477	external
chr3	189931577	chr3	189956728	189958004	P3H2^ENSG00000090530.8	25151	external
chr5	159203657	chr5	159203434	159203656	RNF145^ENSG00000145860.10	1	at_ref_exon_boundary
chr5	159194826	chr5	159194716	159194824	RNF145^ENSG00000145860.10	2	external
chr5	159206049	chr5	159207475	159207634	RNF145^ENSG00000145860.10	1426	external
chr19	35722273	chr19	35722359	35722472	KMT2B^ENSG00000272333.4	86	external
chr1	43464843	chr1	43456578	43456995	HYI-AS1^ENSG00000229348.1	7848	external
chr1	43489217	chr1	43456578	43456995	HYI-AS1^ENSG00000229348.1	32222	external
chr1	43462500	chr1	43456578	43456995	HYI-AS1^ENSG00000229348.1	5505	external
chr1	43477997	chr1	43456578	43456995	HYI-AS1^ENSG00000229348.1	21002	external
chr1	43477901	chr1	43456578	43456995	HYI-AS1^ENSG00000229348.1	20906	external
chr1	43435330	chr1	43435200	43435329	SZT2^ENSG00000198198.12	1	at_ref_exon_boundary
chr1	43476790	chr1	43456578	43456995	HYI-AS1^ENSG00000229348.1	19795	external
chr1	43486720	chr1	43456578	43456995	HYI-AS1^ENSG00000229348.1	29725	external
chr11	32337694	chr11	32343288	32343409	THEM7P^ENSG00000227160.2	5594	external
chr14	68237177	chr14	68236243	68236539	RN7SL108P^ENSG00000243546.3	638	external
chr14	68232968	chr14	68236243	68236539	RN7SL108P^ENSG00000243546.3	3275	external
chr14	68234922	chr14	68236243	68236539	RN7SL108P^ENSG00000243546.3	1321	external
chr14	68411421	chr14	68411424	68411527	RAD51B^ENSG00000182185.17	3	external
chr14	68274977	chr14	68291884	68291980	RAD51B^ENSG00000182185.17	16907	external
chr14	68291883	chr14	68291884	68291980	RAD51B^ENSG00000182185.17	1	at_ref_exon_boundary
chr14	68497120	chr14	68497124	68497562	RAD51B^ENSG00000182185.17	4	external
chr14	68216852	chr14	68236243	68236539	RN7SL108P^ENSG00000243546.3	19391	external
chr1	206039055	chr1	206037247	206037299	C1orf186^ENSG00000263961.5	1756	external
chr1	205978929	chr1	205977699	205978928	RAB7B^ENSG00000276600.3	1	at_ref_exon_boundary
chr1	206066515	chr1	206061662	206062257	C1orf186^ENSG00000263961.5	4258	external
chr1	206032222	chr1	206037231	206037299	C1orf186^ENSG00000263961.5	5009	external
chr1	206047619	chr1	206051742	206052001	C1orf186^ENSG00000263961.5	4123	external
chr1	206062939	chr1	206061662	206062257	C1orf186^ENSG00000263961.5	682	external
chr7	2875629	chr7	2906141	2906842	CARD11^ENSG00000198286.8	30512	external
chr1	206049015	chr1	206051742	206052001	C1orf186^ENSG00000263961.5	2727	external
chr1	206032223	chr1	206037231	206037299	C1orf186^ENSG00000263961.5	5008	external
chr1	206050938	chr1	206051742	206052001	C1orf186^ENSG00000263961.5	804	external
chr1	206027475	chr1	206024548	206024683	BX571818.1^ENSG00000280687.1	2792	external
chr1	206016130	chr1	206015931	206016130	CTSE^ENSG00000196188.9	0	external
chr18	9192781	chr18	9195551	9195597	ANKRD12^ENSG00000101745.14	2770	external
chr3	152220698	chr3	152243828	152244040	MBNL1^ENSG00000152601.16	23130	external
chr4	67700453	chr4	67701049	67701179	UBA6^ENSG00000033178.11	596	external
chr4	67700381	chr4	67701049	67701179	UBA6^ENSG00000033178.11	668	external
chr2	156310060	chr2	156324432	156326000	NR4A2^ENSG00000153234.12	14372	external
chr1	87422178	chr1	87453240	87453373	RNA5SP52^ENSG00000199318.1	31062	external
chr1	87423858	chr1	87453240	87453373	RNA5SP52^ENSG00000199318.1	29382	external
chr16	12733253	chr16	12745873	12745978	CTD-2583P5.1^ENSG00000260378.1	12620	external
chr21	8445303	chr21	8445223	8445271	FP236383.12^ENSG00000277644.1	32	external
chr21	8401071	chr21	8400991	8401039	FP236383.4^ENSG00000275209.1	32	external
chr21	8218033	chr21	8217953	8218001	FP671120.7^ENSG00000278597.1	32	external
chr3	189916656	chr3	189894206	189897279	TP63^ENSG00000073282.11	19377	external
chr3	189945418	chr3	189956728	189958004	P3H2^ENSG00000090530.8	11310	external
chr3	189938062	chr3	189956728	189958004	P3H2^ENSG00000090530.8	18666	external
chr3	189942974	chr3	189956728	189958004	P3H2^ENSG00000090530.8	13754	external
chr14	68446729	chr14	68468172	68468250	RAD51B^ENSG00000182185.17	21443	external
chr14	68447936	chr14	68468172	68468250	RAD51B^ENSG00000182185.17	20236	external
chr14	68447935	chr14	68468172	68468250	RAD51B^ENSG00000182185.17	20237	external
chr14	68411528	chr14	68411510	68411527	RAD51B^ENSG00000182185.17	1	at_ref_exon_boundary
chr14	68468171	chr14	68468172	68468250	RAD51B^ENSG00000182185.17	1	at_ref_exon_boundary
chr5	1295467	chr5	1294771	1295069	TERT^ENSG00000164362.17	398	external
chr5	1295482	chr5	1294771	1295069	TERT^ENSG00000164362.17	413	external
chr15	43613136	chr15	43613045	43613105	STRC^ENSG00000242866.8	31	external
chr15	43712598	chr15	43712507	43712693	STRCP1^ENSG00000166763.7	91	within_exon
chr5	72419408	chr5	72417489	72418335	YBX1P5^ENSG00000251108.1	1073	external
chr15	43712562	chr15	43712507	43712693	STRCP1^ENSG00000166763.7	55	within_exon
chr15	43613100	chr15	43613045	43613105	STRC^ENSG00000242866.8	5	within_exon
chr15	43612020	chr15	43611842	43612024	STRC^ENSG00000242866.8	4	within_exon
chr15	43711937	chr15	43711839	43711971	STRCP1^ENSG00000166763.7	34	within_exon
chr15	43612475	chr15	43612377	43612509	STRC^ENSG00000242866.8	34	within_exon
chr16	84407863	chr16	84407187	84407464	ATP2C2^ENSG00000064270.11	399	external
chr1	161223624	chr1	161223595	161223628	APOA2^ENSG00000158874.10	4	within_exon
chr15	31796605	chr15	31787494	31787734	RP11-456J20.2^ENSG00000277500.1	8871	external
chr9	5467319	chr9	5466770	5466829	CD274^ENSG00000120217.12	490	external
chr9	5340897	chr9	5339536	5339873	RLN1^ENSG00000107018.7	1024	external
chr9	5335598	chr9	5334969	5335597	RLN1^ENSG00000107018.7	1	at_ref_exon_boundary
chr9	5451263	chr9	5450525	5450596	CD274^ENSG00000120217.12	667	external
chr9	5450597	chr9	5450525	5450596	CD274^ENSG00000120217.12	1	at_ref_exon_boundary
chr9	5339688	chr9	5339536	5339873	RLN1^ENSG00000107018.7	152	within_exon
chr9	5304200	chr9	5304096	5304196	RLN2^ENSG00000107014.8	4	external
chr9	5330337	chr9	5334969	5335597	RLN1^ENSG00000107018.7	4632	external
chr9	5451224	chr9	5450525	5450596	CD274^ENSG00000120217.12	628	external
chr9	5439951	chr9	5437789	5437878	PLGRKT^ENSG00000107020.8	2073	external
chr9	5465614	chr9	5465499	5465606	CD274^ENSG00000120217.12	8	external
chr9	5466830	chr9	5466770	5466829	CD274^ENSG00000120217.12	1	at_ref_exon_boundary
chr9	5335575	chr9	5334969	5335597	RLN1^ENSG00000107018.7	22	within_exon
chr17	39737484	chr17	39737927	39738133	GRB7^ENSG00000141738.12	443	external
chr17	39730264	chr17	39730194	39730291	MIEN1^ENSG00000141741.10	27	within_exon
chr17	39720416	chr17	39719787	39720297	ERBB2^ENSG00000141736.12	119	external
chr17	39716747	chr17	39716551	39716605	ERBB2^ENSG00000141736.12	142	external
chr17	39712449	chr17	39712322	39712448	ERBB2^ENSG00000141736.12	1	at_ref_exon_boundary
chr17	39738023	chr17	39737974	39738133	GRB7^ENSG00000141738.12	49	within_exon
chr17	39729286	chr17	39729160	39729761	MIEN1^ENSG00000141741.10	126	within_exon
chr17	39720488	chr17	39719787	39720297	ERBB2^ENSG00000141736.12	191	external
chr17	39717487	chr17	39717429	39717480	ERBB2^ENSG00000141736.12	7	external
chr17	39713430	chr17	39713153	39713269	ERBB2^ENSG00000141736.12	161	external
chr17	39733342	chr17	39730407	39730787	MIEN1^ENSG00000141741.10	2555	external
chr17	39734755	chr17	39737927	39738133	GRB7^ENSG00000141738.12	3172	external
chr17	39723866	chr17	39723912	39724010	ERBB2^ENSG00000141736.12	46	external
chr17	39723615	chr17	39723538	39723624	ERBB2^ENSG00000141736.12	9	within_exon
chr17	39729684	chr17	39729685	39729761	MIEN1^ENSG00000141741.10	1	at_ref_exon_boundary
chr17	39723656	chr17	39723538	39723660	ERBB2^ENSG00000141736.12	4	within_exon
chr17	39726043	chr17	39725707	39725853	ERBB2^ENSG00000141736.12	190	external
chr17	39710482	chr17	39710356	39710481	ERBB2^ENSG00000141736.12	1	at_ref_exon_boundary
chr17	39716606	chr17	39716551	39716605	ERBB2^ENSG00000141736.12	1	at_ref_exon_boundary
chr21	8468222	chr21	8445991	8446046	FP236383.3^ENSG00000274735.1	22176	external
chr21	8240638	chr21	8249505	8249596	MIR6724-2^ENSG00000274060.1	8867	external
chr21	8423662	chr21	8432530	8432621	MIR6724-3^ENSG00000275692.1	8868	external
chr9	134358397	chr9	134371971	134372139	RXRA^ENSG00000186350.9	13574	external
chr9	134359176	chr9	134371971	134372139	RXRA^ENSG00000186350.9	12795	external
chr9	134355772	chr9	134371971	134372139	RXRA^ENSG00000186350.9	16199	external
chr9	134356101	chr9	134371971	134372139	RXRA^ENSG00000186350.9	15870	external
chr9	134358357	chr9	134371971	134372139	RXRA^ENSG00000186350.9	13614	external
chr9	134409120	chr9	134408940	134409119	RXRA^ENSG00000186350.9	1	at_ref_exon_boundary
chr14	37499907	chr14	37499908	37500138	MIPOL1^ENSG00000151338.17	1	at_ref_exon_boundary
chr14	37422950	chr14	37422855	37422949	MIPOL1^ENSG00000151338.17	1	at_ref_exon_boundary
chr19	35722700	chr19	35722568	35722718	KMT2B^ENSG00000272333.4	18	within_exon
chr19	35722994	chr19	35722995	35723274	KMT2B^ENSG00000272333.4	1	at_ref_exon_boundary
chr19	35722665	chr19	35722568	35722718	KMT2B^ENSG00000272333.4	53	within_exon
chr4	73777731	chr4	73777636	73778060	RP11-447E20.1^ENSG00000249051.2	95	within_exon
chr4	73776441	chr4	73777636	73778060	RP11-447E20.1^ENSG00000249051.2	1195	external
chr4	73802944	chr4	73777636	73778060	RP11-447E20.1^ENSG00000249051.2	24884	external
chr4	73777734	chr4	73777636	73778060	RP11-447E20.1^ENSG00000249051.2	98	within_exon
chr4	73777534	chr4	73777636	73778060	RP11-447E20.1^ENSG00000249051.2	102	external
chr19	35723016	chr19	35722995	35723274	KMT2B^ENSG00000272333.4	21	within_exon
chr19	35722719	chr19	35722568	35722718	KMT2B^ENSG00000272333.4	1	at_ref_exon_boundary
chr19	35721805	chr19	35719784	35721804	KMT2B^ENSG00000272333.4	1	at_ref_exon_boundary
chr2	130546887	chr2	130546193	130546467	AC013269.5^ENSG00000184761.7	420	external
chr3	183111076	chr3	183115474	183116075	MCCC1^ENSG00000078070.10	4398	external
chr3	183113977	chr3	183115474	183116075	MCCC1^ENSG00000078070.10	1497	external
chr19	9002386	chr19	9019344	9019468	BOLA3P2^ENSG00000267332.1	16958	external
chr19	9005986	chr19	9019344	9019468	BOLA3P2^ENSG00000267332.1	13358	external
chr19	9220514	chr19	9213850	9214871	OR7D4^ENSG00000174667.3	5643	external
chr19	8985550	chr19	8971664	8981342	MUC16^ENSG00000181143.14	4208	external
chr19	35722941	chr19	35722995	35723274	KMT2B^ENSG00000272333.4	54	external
chr22	38206347	chr22	38205293	38205690	PLA2G6^ENSG00000184381.17	657	external
chr22	38214420	chr22	38214420	38216505	MAFF^ENSG00000185022.10	0	external
chr6	29939330	chr6	29941260	29941319	HLA-A^ENSG00000206503.10	1930	external
chr6	29939026	chr6	29941260	29941319	HLA-A^ENSG00000206503.10	2234	external
chr6	29941965	chr6	29941966	29942096	HLA-A^ENSG00000206503.10	1	at_ref_exon_boundary
chr4	119784527	chr4	119799089	119799236	LINC01365^ENSG00000250772.4	14562	external
chr1	156156410	chr1	156156414	156156574	SEMA4A^ENSG00000196189.11	4	external
chr2	17989294	chr2	18040606	18040733	SNORA40^ENSG00000212455.1	51312	external
chr6	29939100	chr6	29941260	29941319	HLA-A^ENSG00000206503.10	2160	external
chr19	35722358	chr19	35722359	35722472	KMT2B^ENSG00000272333.4	1	at_ref_exon_boundary
chr16	17111051	chr16	17101769	17109017	XYLT1^ENSG00000103489.10	2034	external
chr10	110567834	chr10	110567691	110567831	SMC3^ENSG00000108055.9	3	external
chr10	110569014	chr10	110568938	110569013	SMC3^ENSG00000108055.9	1	at_ref_exon_boundary
chr10	110502870	chr10	110502747	110502869	DUSP5^ENSG00000138166.5	1	at_ref_exon_boundary
chr11	31978943	chr11	32035981	32036248	RP1-17K7.2^ENSG00000254584.1	57038	external
chr14	37597981	chr14	37595993	37596059	FOXA1^ENSG00000129514.5	1922	external
chr10	110498501	chr10	110497838	110498500	DUSP5^ENSG00000138166.5	1	at_ref_exon_boundary
chrY	25914277	chrY	25918323	25918895	RAB9AP3^ENSG00000223655.1	4046	external
chr13	42647649	chr13	42606497	42608013	TNFSF11^ENSG00000120659.13	39636	external
chrX	54493039	chrX	54495126	54496166	FGD1^ENSG00000102302.7	2087	external
chrX	54496610	chrX	54495126	54496166	FGD1^ENSG00000102302.7	444	external
chrY	23755805	chrY	23751188	23751760	RAB9AP1^ENSG00000232910.1	4045	external
chr10	110568468	chr10	110568327	110568487	SMC3^ENSG00000108055.9	19	within_exon
chr9	124478118	chr9	124478281	124478589	GPR144^ENSG00000180264.9	163	external
chr15	93755084	chr15	93760615	93761127	LINC01579^ENSG00000258754.6	5531	external
chr15	93760666	chr15	93760667	93760799	RP11-739G5.1^ENSG00000258631.2	1	at_ref_exon_boundary
chr16	4803663	chr16	4803254	4803565	GLYR1^ENSG00000140632.15	98	external
chr4	73996336	chr4	73995642	73997655	CXCL5^ENSG00000163735.6	694	within_exon
chr15	93729827	chr15	93731349	93731351	LINC01579^ENSG00000258754.6	1522	external
chr12	103401677	chr12	103401607	103401675	C12orf42^ENSG00000179088.13	2	external
chr16	4795113	chr16	4794952	4795076	SMIM22^ENSG00000267795.4	37	external
chr15	93746447	chr15	93760615	93761127	LINC01579^ENSG00000258754.6	14168	external
chr12	103396703	chr12	103396493	103396700	C12orf42^ENSG00000179088.13	3	external
chr16	4794273	chr16	4794952	4795076	SMIM22^ENSG00000267795.4	679	external
chr16	4797713	chr16	4797714	4797815	ROGDI^ENSG00000067836.11	1	at_ref_exon_boundary
chr1	209541430	chr1	209541308	209541429	RP1-272L16.1^ENSG00000224260.5	1	at_ref_exon_boundary
chr12	103389936	chr12	103396493	103396700	C12orf42^ENSG00000179088.13	6557	external
chr16	4795556	chr16	4795421	4795449	SMIM22^ENSG00000267795.4	107	external
chr16	4804833	chr16	4805049	4805310	GLYR1^ENSG00000140632.15	216	external
chr13	73260846	chr13	73227147	73227260	RNY1P8^ENSG00000206697.1	33586	external
chr13	73263925	chr13	73227147	73227260	RNY1P8^ENSG00000206697.1	36665	external
chr13	73264901	chr13	73227147	73227260	RNY1P8^ENSG00000206697.1	37641	external
chr13	73265637	chr13	73227147	73227260	RNY1P8^ENSG00000206697.1	38377	external
chr13	73263887	chr13	73227147	73227260	RNY1P8^ENSG00000206697.1	36627	external
chr6	25134653	chr6	25137620	25137823	CMAHP^ENSG00000168405.13	2967	external
chr6	25091340	chr6	25091896	25092012	CMAHP^ENSG00000168405.13	556	external
chr6	25091895	chr6	25091896	25092012	CMAHP^ENSG00000168405.13	1	at_ref_exon_boundary
chr6	25103490	chr6	25105812	25106529	CMAHP^ENSG00000168405.13	2322	external
chr6	25134919	chr6	25137620	25137823	CMAHP^ENSG00000168405.13	2701	external
chr6	25093578	chr6	25093514	25093688	CMAHP^ENSG00000168405.13	64	within_exon
chr6	25121751	chr6	25127546	25127857	CMAHP^ENSG00000168405.13	5795	external
chr3	58509026	chr3	58508893	58509025	ACOX2^ENSG00000168306.11	1	at_ref_exon_boundary
chr3	58505290	chr3	58505138	58505286	ACOX2^ENSG00000168306.11	4	external
chr4	73417589	chr4	73417531	73417614	ALB^ENSG00000163631.15	25	within_exon
chr14	105741910	chr14	105736956	105737020	AL122127.3^ENSG00000278556.1	4890	external
chr9	101421611	chr9	101421552	101421904	ALDOB^ENSG00000136872.16	59	within_exon
chr1	203698156	chr1	203698157	203698354	ATP2B4^ENSG00000058668.13	1	at_ref_exon_boundary
chr1	203699459	chr1	203699460	203699717	ATP2B4^ENSG00000058668.13	1	at_ref_exon_boundary
chr1	203683399	chr1	203682809	203683398	ATP2B4^ENSG00000058668.13	1	at_ref_exon_boundary
chr1	203692669	chr1	203698157	203698354	ATP2B4^ENSG00000058668.13	5488	external
chr10	35071340	chr10	35071199	35071339	CUL2^ENSG00000108094.13	1	at_ref_exon_boundary
chr10	35063063	chr10	35062960	35063062	CUL2^ENSG00000108094.13	1	at_ref_exon_boundary
chr10	34963501	chr10	34965069	34966259	PRDX2P2^ENSG00000213724.3	1568	external
chr10	35054433	chr10	35054434	35054539	CUL2^ENSG00000108094.13	1	at_ref_exon_boundary
chr10	35079338	chr10	35079598	35079680	MIR3611^ENSG00000266228.1	260	external
chr10	35060871	chr10	35060874	35060968	CUL2^ENSG00000108094.13	3	external
chr8	127290061	chr8	127289818	127290060	CASC8^ENSG00000246228.5	1	at_ref_exon_boundary
chr8	127285206	chr8	127289817	127290060	CASC8^ENSG00000246228.5	4611	external
chr8	127323154	chr8	127323015	127323154	CASC8^ENSG00000246228.5	0	external
chr8	127293771	chr8	127292233	127292440	RP11-382A18.3^ENSG00000271509.1	1331	external
chr8	127307950	chr8	127323015	127323154	CASC8^ENSG00000246228.5	15065	external
chr8	127290032	chr8	127289817	127290060	CASC8^ENSG00000246228.5	28	within_exon
chr8	127282389	chr8	127289817	127290060	CASC8^ENSG00000246228.5	7428	external
chrX	7057942	chrX	7057760	7057823	HDHD1^ENSG00000130021.12	119	external
chrX	7057403	chrX	7057586	7057823	HDHD1^ENSG00000130021.12	183	external
chrX	7059324	chrX	7057760	7057823	HDHD1^ENSG00000130021.12	1501	external
chr17	51649255	chr17	51649182	51649254	CA10^ENSG00000154975.12	1	at_ref_exon_boundary
chr17	51650733	chr17	51649182	51649254	CA10^ENSG00000154975.12	1479	external
chr17	51636010	chr17	51635855	51636009	CA10^ENSG00000154975.12	1	at_ref_exon_boundary
chr17	51649263	chr17	51649182	51649254	CA10^ENSG00000154975.12	9	external
chr17	51633621	chr17	51633612	51633650	CA10^ENSG00000154975.12	9	within_exon
chr6	48812832	chr6	48701491	48701872	RP1-281E18.1^ENSG00000278736.1	110960	external
chr6	48783098	chr6	48701491	48701872	RP1-281E18.1^ENSG00000278736.1	81226	external
chr6	48793412	chr6	48701491	48701872	RP1-281E18.1^ENSG00000278736.1	91540	external
chr6	48793410	chr6	48701491	48701872	RP1-281E18.1^ENSG00000278736.1	91538	external
chr6	48791839	chr6	48701491	48701872	RP1-281E18.1^ENSG00000278736.1	89967	external
chr22	43134438	chr22	43132880	43133486	MCAT^ENSG00000100294.11	952	external
chr11	12689760	chr11	12675503	12675561	TEAD1^ENSG00000187079.13	14199	external
chr16	31402112	chr16	31402115	31402245	ITGAD^ENSG00000156886.11	3	external
chr4	62785696	chr4	62816826	62818794	EXOC5P1^ENSG00000180673.9	31130	external
chr4	62782190	chr4	62816826	62818794	EXOC5P1^ENSG00000180673.9	34636	external
chr16	31403496	chr16	31403500	31403645	ITGAD^ENSG00000156886.11	4	external
chr16	31391202	chr16	31393312	31393391	ITGAD^ENSG00000156886.11	2110	external
chr16	22732506	chr16	22814177	22815095	HS3ST2^ENSG00000122254.6	81671	external
