hotspot	Chromosome	hotspot_coord	virus_genome	hotspot_virus_tally	insert_genes	insert_gene_count	hotspot_name
chr10:118551834	chr10	118551834	HPV16	2	LINC00867~SLC25A18P1	2	chr10:118551834^LINC00867~SLC25A18P1
chr10:118551834	chr10	118551834	HPV33	1	LINC00867~SLC25A18P1	2	chr10:118551834^LINC00867~SLC25A18P1
chr10:118680656	chr10	118680656	Eppstein-Barr	1	TOMM22P5~RP11-427L15.2	2	chr10:118680656^TOMM22P5~RP11-427L15.2
chr10:118680656	chr10	118680656	HPV16	2	TOMM22P5~RP11-427L15.2	2	chr10:118680656^TOMM22P5~RP11-427L15.2
chr10:119011372	chr10	119011372	HPV11	1	EIF3A	2	chr10:119011372^EIF3A
chr10:119011372	chr10	119011372	HPV16	1	EIF3A	2	chr10:119011372^EIF3A
chr10:119011372	chr10	119011372	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	EIF3A	2	chr10:119011372^EIF3A
chr10:119011372	chr10	119011372	NC_001702_8135nt_Murine_type_C_retrovirus	1	EIF3A	2	chr10:119011372^EIF3A
chr10:119167199	chr10	119167199	HPV16	1	PRDX3	1	chr10:119167199^PRDX3
chr10:119167199	chr10	119167199	HPV33	1	PRDX3	1	chr10:119167199^PRDX3
chr10:119167199	chr10	119167199	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	PRDX3	1	chr10:119167199^PRDX3
chr10:119442410	chr10	119442410	Eppstein-Barr	1	GRK5	3	chr10:119442410^GRK5
chr10:119442410	chr10	119442410	HPV11	1	GRK5	3	chr10:119442410^GRK5
chr10:119442410	chr10	119442410	HPV33	1	GRK5	3	chr10:119442410^GRK5
chr10:122347756	chr10	122347756	HPV11	1	PLEKHA1	2	chr10:122347756^PLEKHA1
chr10:122347756	chr10	122347756	HPV16	1	PLEKHA1	2	chr10:122347756^PLEKHA1
chr10:122347756	chr10	122347756	NC_001501_8332nt_Moloney_murine_leukemia_virus	2	PLEKHA1	2	chr10:122347756^PLEKHA1
chr10:122347756	chr10	122347756	NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	1	PLEKHA1	2	chr10:122347756^PLEKHA1
chr10:122648210	chr10	122648210	HPV16	3	C10orf120~RP11-318C4.3	1	chr10:122648210^C10orf120~RP11-318C4.3
chr10:123492385	chr10	123492385	HPV16	1	RP11-282I1.1	2	chr10:123492385^RP11-282I1.1
chr10:123492385	chr10	123492385	HPV33	1	RP11-282I1.1	2	chr10:123492385^RP11-282I1.1
chr10:123492385	chr10	123492385	HPV59	1	RP11-282I1.1	2	chr10:123492385^RP11-282I1.1
chr10:124639998	chr10	124639998	HPV11	1	FAM53B	3	chr10:124639998^FAM53B
chr10:124639998	chr10	124639998	HPV16	1	FAM53B	3	chr10:124639998^FAM53B
chr10:124639998	chr10	124639998	HPV33	1	FAM53B	3	chr10:124639998^FAM53B
chr10:124639998	chr10	124639998	NC_009333_137969nt_Human_gammaherpesvirus_8	1	FAM53B	3	chr10:124639998^FAM53B
chr10:125167249	chr10	125167249	HBV	1	CTBP2	2	chr10:125167249^CTBP2
chr10:125167249	chr10	125167249	HPV16	1	CTBP2	2	chr10:125167249^CTBP2
chr10:125167249	chr10	125167249	HPV33	1	CTBP2	2	chr10:125167249^CTBP2
chr10:125610088	chr10	125610088	HPV16	1	TEX36	2	chr10:125610088^TEX36
chr10:125610088	chr10	125610088	HPV18	1	TEX36	2	chr10:125610088^TEX36
chr10:125610088	chr10	125610088	HPV33	1	TEX36	2	chr10:125610088^TEX36
chr10:126947909	chr10	126947909	HPV16	3	DOCK1	6	chr10:126947909^DOCK1
chr10:126947909	chr10	126947909	HPV33	1	DOCK1	6	chr10:126947909^DOCK1
chr10:126947909	chr10	126947909	NC_001806_152222nt_Human_alphaherpesvirus_1	2	DOCK1	6	chr10:126947909^DOCK1
chr10:13217369	chr10	13217369	NC_001806_152222nt_Human_alphaherpesvirus_1	3	RNU6-1~UCMA	3	chr10:13217369^RNU6-1~UCMA
chr10:132362392	chr10	132362392	HPV16	3	LRRC27	2	chr10:132362392^LRRC27
chr10:132362392	chr10	132362392	HPV33	1	LRRC27	2	chr10:132362392^LRRC27
chr10:1323981	chr10	1323981	HPV11	1	ADARB2	4	chr10:1323981^ADARB2
chr10:1323981	chr10	1323981	HPV16	1	ADARB2	4	chr10:1323981^ADARB2
chr10:1323981	chr10	1323981	HPV33	1	ADARB2	4	chr10:1323981^ADARB2
chr10:1323981	chr10	1323981	HPV58	1	ADARB2	4	chr10:1323981^ADARB2
chr10:132589087	chr10	132589087	HPV11	1	INPP5A	3	chr10:132589087^INPP5A
chr10:132589087	chr10	132589087	HPV16	1	INPP5A	3	chr10:132589087^INPP5A
chr10:132589087	chr10	132589087	HPV33	1	INPP5A	3	chr10:132589087^INPP5A
chr10:132839328	chr10	132839328	HPV16	2	CFAP46	4	chr10:132839328^CFAP46
chr10:132839328	chr10	132839328	HPV33	1	CFAP46	4	chr10:132839328^CFAP46
chr10:132839328	chr10	132839328	HPV58	1	CFAP46	4	chr10:132839328^CFAP46
chr10:132968557	chr10	132968557	HPV11	1	CFAP46	2	chr10:132968557^CFAP46
chr10:132968557	chr10	132968557	HPV16	1	CFAP46	2	chr10:132968557^CFAP46
chr10:132968557	chr10	132968557	HPV33	1	CFAP46	2	chr10:132968557^CFAP46
chr10:132968557	chr10	132968557	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	CFAP46	2	chr10:132968557^CFAP46
chr10:133078873	chr10	133078873	HPV16	2	GPR123	2	chr10:133078873^GPR123
chr10:133078873	chr10	133078873	HPV33	1	GPR123	2	chr10:133078873^GPR123
chr10:133237743	chr10	133237743	Eppstein-Barr	2	ADAM8	2	chr10:133237743^ADAM8
chr10:133237743	chr10	133237743	HPV16	1	ADAM8	2	chr10:133237743^ADAM8
chr10:133392728	chr10	133392728	Eppstein-Barr	2	ECHS1	2	chr10:133392728^ECHS1
chr10:133392728	chr10	133392728	HPV11	1	ECHS1	2	chr10:133392728^ECHS1
chr10:133392728	chr10	133392728	HPV16	1	ECHS1	2	chr10:133392728^ECHS1
chr10:133392728	chr10	133392728	HPV33	1	ECHS1	2	chr10:133392728^ECHS1
chr10:133392728	chr10	133392728	HPV58	1	ECHS1	2	chr10:133392728^ECHS1
chr10:133675659	chr10	133675659	HBV	1	AL845259.2~XX-2136C48.8	6	chr10:133675659^AL845259.2~XX-2136C48.8
chr10:133675659	chr10	133675659	HPV11	1	AL845259.2~XX-2136C48.8	6	chr10:133675659^AL845259.2~XX-2136C48.8
chr10:133675659	chr10	133675659	HPV16	7	AL845259.2~XX-2136C48.8	6	chr10:133675659^AL845259.2~XX-2136C48.8
chr10:133675659	chr10	133675659	HPV18	1	AL845259.2~XX-2136C48.8	6	chr10:133675659^AL845259.2~XX-2136C48.8
chr10:133675659	chr10	133675659	HPV33	1	AL845259.2~XX-2136C48.8	6	chr10:133675659^AL845259.2~XX-2136C48.8
chr10:1532046	chr10	1532046	HPV16	4	ADARB2	3	chr10:1532046^ADARB2
chr10:1532046	chr10	1532046	HPV58	1	ADARB2	3	chr10:1532046^ADARB2
chr10:1532046	chr10	1532046	NC_001702_8135nt_Murine_type_C_retrovirus	1	ADARB2	3	chr10:1532046^ADARB2
chr10:16440470	chr10	16440470	HPV16	3	PTER	3	chr10:16440470^PTER
chr10:16440470	chr10	16440470	NC_001362_8323nt_Friend_murine_leukemia_virus	1	PTER	3	chr10:16440470^PTER
chr10:17067507	chr10	17067507	HPV16	1	CUBN	3	chr10:17067507^CUBN
chr10:17067507	chr10	17067507	HPV33	1	CUBN	3	chr10:17067507^CUBN
chr10:17067507	chr10	17067507	NC_007815_8197nt_PreXMRV_1	1	CUBN	3	chr10:17067507^CUBN
chr10:17229523	chr10	17229523	Eppstein-Barr	1	VIM-AS1;VIM	4	chr10:17229523^VIM-AS1;VIM
chr10:17229523	chr10	17229523	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	VIM-AS1;VIM	4	chr10:17229523^VIM-AS1;VIM
chr10:17229523	chr10	17229523	NC_001702_8135nt_Murine_type_C_retrovirus	1	VIM-AS1;VIM	4	chr10:17229523^VIM-AS1;VIM
chr10:17229523	chr10	17229523	NC_001806_152222nt_Human_alphaherpesvirus_1	1	VIM-AS1;VIM	4	chr10:17229523^VIM-AS1;VIM
chr10:18420957	chr10	18420957	HPV16	3	CACNB2	3	chr10:18420957^CACNB2
chr10:20943077	chr10	20943077	HPV16	4	NEBL	4	chr10:20943077^NEBL
chr10:21315746	chr10	21315746	HPV33	1	RNU6-15P	2	chr10:21315746^RNU6-15P
chr10:21315746	chr10	21315746	NC_001806_152222nt_Human_alphaherpesvirus_1	3	RNU6-15P	2	chr10:21315746^RNU6-15P
chr10:22533878	chr10	22533878	Eppstein-Barr	3	PIP4K2A	4	chr10:22533878^PIP4K2A
chr10:22533878	chr10	22533878	HPV16	1	PIP4K2A	4	chr10:22533878^PIP4K2A
chr10:22533878	chr10	22533878	HPV18	1	PIP4K2A	4	chr10:22533878^PIP4K2A
chr10:23158733	chr10	23158733	HPV16	2	LINC01552~RP11-215C7.3	1	chr10:23158733^LINC01552~RP11-215C7.3
chr10:23158733	chr10	23158733	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	LINC01552~RP11-215C7.3	1	chr10:23158733^LINC01552~RP11-215C7.3
chr10:24393708	chr10	24393708	Eppstein-Barr	1	KIAA1217	4	chr10:24393708^KIAA1217
chr10:24393708	chr10	24393708	HPV16	2	KIAA1217	4	chr10:24393708^KIAA1217
chr10:24393708	chr10	24393708	HPV18	1	KIAA1217	4	chr10:24393708^KIAA1217
chr10:26738233	chr10	26738233	Eppstein-Barr	1	ABI1	2	chr10:26738233^ABI1
chr10:26738233	chr10	26738233	HPV16	1	ABI1	2	chr10:26738233^ABI1
chr10:26738233	chr10	26738233	HPV33	1	ABI1	2	chr10:26738233^ABI1
chr10:27190052	chr10	27190052	HPV11	1	ACBD5	3	chr10:27190052^ACBD5
chr10:27190052	chr10	27190052	HPV16	1	ACBD5	3	chr10:27190052^ACBD5
chr10:27190052	chr10	27190052	HPV33	1	ACBD5	3	chr10:27190052^ACBD5
chr10:27190052	chr10	27190052	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	ACBD5	3	chr10:27190052^ACBD5
chr10:2819540	chr10	2819540	HPV16	2	AL355361.1~RP11-89K18.1	3	chr10:2819540^AL355361.1~RP11-89K18.1
chr10:2819540	chr10	2819540	HPV33	1	AL355361.1~RP11-89K18.1	3	chr10:2819540^AL355361.1~RP11-89K18.1
chr10:28390289	chr10	28390289	HPV16	2	RP11-351M16.3	2	chr10:28390289^RP11-351M16.3
chr10:28390289	chr10	28390289	HPV33	1	RP11-351M16.3	2	chr10:28390289^RP11-351M16.3
chr10:29493978	chr10	29493978	HPV16	1	SVIL	2	chr10:29493978^SVIL
chr10:29493978	chr10	29493978	HPV33	1	SVIL	2	chr10:29493978^SVIL
chr10:29493978	chr10	29493978	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	SVIL	2	chr10:29493978^SVIL
chr10:30740542	chr10	30740542	HPV16	3	RP11-14C22.6~RP11-330O11.3	2	chr10:30740542^RP11-14C22.6~RP11-330O11.3
chr10:30740542	chr10	30740542	HPV33	1	RP11-14C22.6~RP11-330O11.3	2	chr10:30740542^RP11-14C22.6~RP11-330O11.3
chr10:3161766	chr10	3161766	Eppstein-Barr	2	PFKP	3	chr10:3161766^PFKP
chr10:3161766	chr10	3161766	HPV16	2	PFKP	3	chr10:3161766^PFKP
chr10:3161766	chr10	3161766	HPV33	1	PFKP	3	chr10:3161766^PFKP
chr10:31967850	chr10	31967850	HPV16	2	ARHGAP12	1	chr10:31967850^ARHGAP12
chr10:31967850	chr10	31967850	NC_001702_8135nt_Murine_type_C_retrovirus	1	ARHGAP12	1	chr10:31967850^ARHGAP12
chr10:32283676	chr10	32283676	HPV16	1	EPC1	1	chr10:32283676^EPC1
chr10:32283676	chr10	32283676	HPV33	1	EPC1	1	chr10:32283676^EPC1
chr10:32283676	chr10	32283676	HPV58	1	EPC1	1	chr10:32283676^EPC1
chr10:3335782	chr10	3335782	HPV16	2	RP11-195B3.1~RP11-482E14.1	3	chr10:3335782^RP11-195B3.1~RP11-482E14.1
chr10:3335782	chr10	3335782	HPV18	1	RP11-195B3.1~RP11-482E14.1	3	chr10:3335782^RP11-195B3.1~RP11-482E14.1
chr10:34387379	chr10	34387379	HPV11	1	PARD3	4	chr10:34387379^PARD3
chr10:34387379	chr10	34387379	HPV16	2	PARD3	4	chr10:34387379^PARD3
chr10:34387379	chr10	34387379	HPV33	1	PARD3	4	chr10:34387379^PARD3
chr10:34594699	chr10	34594699	HPV16	2	PARD3	3	chr10:34594699^PARD3
chr10:34594699	chr10	34594699	HPV33	1	PARD3	3	chr10:34594699^PARD3
chr10:35042015	chr10	35042015	HPV16	4	CUL2	3	chr10:35042015^CUL2
chr10:36391412	chr10	36391412	HPV16	2	RP11-810B23.1~MTND5P17	2	chr10:36391412^RP11-810B23.1~MTND5P17
chr10:36391412	chr10	36391412	HPV33	1	RP11-810B23.1~MTND5P17	2	chr10:36391412^RP11-810B23.1~MTND5P17
chr10:38720854	chr10	38720854	HBV	1	ACTR3BP5~CHEK2P5	1	chr10:38720854^ACTR3BP5~CHEK2P5
chr10:38720854	chr10	38720854	HPV11	1	ACTR3BP5~CHEK2P5	1	chr10:38720854^ACTR3BP5~CHEK2P5
chr10:38720854	chr10	38720854	HPV16	1	ACTR3BP5~CHEK2P5	1	chr10:38720854^ACTR3BP5~CHEK2P5
chr10:38720854	chr10	38720854	NC_001806_152222nt_Human_alphaherpesvirus_1	1	ACTR3BP5~CHEK2P5	1	chr10:38720854^ACTR3BP5~CHEK2P5
chr10:38946302	chr10	38946302	HBV	1	RP11-96F8.1~KSR1P1	3	chr10:38946302^RP11-96F8.1~KSR1P1
chr10:38946302	chr10	38946302	HPV16	2	RP11-96F8.1~KSR1P1	3	chr10:38946302^RP11-96F8.1~KSR1P1
chr10:39600907	chr10	39600907	HPV11	1	RP11-96F8.1~KSR1P1	5	chr10:39600907^RP11-96F8.1~KSR1P1
chr10:39600907	chr10	39600907	HPV16	3	RP11-96F8.1~KSR1P1	5	chr10:39600907^RP11-96F8.1~KSR1P1
chr10:39600907	chr10	39600907	HPV59	1	RP11-96F8.1~KSR1P1	5	chr10:39600907^RP11-96F8.1~KSR1P1
chr10:41534886	chr10	41534886	HPV11	1	RP11-96F8.1~KSR1P1	6	chr10:41534886^RP11-96F8.1~KSR1P1
chr10:41534886	chr10	41534886	HPV16	4	RP11-96F8.1~KSR1P1	6	chr10:41534886^RP11-96F8.1~KSR1P1
chr10:41534886	chr10	41534886	HPV33	1	RP11-96F8.1~KSR1P1	6	chr10:41534886^RP11-96F8.1~KSR1P1
chr10:41866427	chr10	41866427	HPV11	1	RP11-96F8.1~KSR1P1	6	chr10:41866427^RP11-96F8.1~KSR1P1
chr10:41866427	chr10	41866427	HPV16	2	RP11-96F8.1~KSR1P1	6	chr10:41866427^RP11-96F8.1~KSR1P1
chr10:41866427	chr10	41866427	HPV18	1	RP11-96F8.1~KSR1P1	6	chr10:41866427^RP11-96F8.1~KSR1P1
chr10:41866427	chr10	41866427	HPV33	2	RP11-96F8.1~KSR1P1	6	chr10:41866427^RP11-96F8.1~KSR1P1
chr10:42080833	chr10	42080833	HPV11	1	RP11-96F8.1~KSR1P1	10	chr10:42080833^RP11-96F8.1~KSR1P1
chr10:42080833	chr10	42080833	HPV16	7	RP11-96F8.1~KSR1P1	10	chr10:42080833^RP11-96F8.1~KSR1P1
chr10:42080833	chr10	42080833	HPV33	1	RP11-96F8.1~KSR1P1	10	chr10:42080833^RP11-96F8.1~KSR1P1
chr10:42080833	chr10	42080833	HPV58	1	RP11-96F8.1~KSR1P1	10	chr10:42080833^RP11-96F8.1~KSR1P1
chr10:42792412	chr10	42792412	HPV16	4	BMS1	2	chr10:42792412^BMS1
chr10:42962110	chr10	42962110	HPV16	4	RP11-124O11.1~LINC01264	3	chr10:42962110^RP11-124O11.1~LINC01264
chr10:42962110	chr10	42962110	HPV33	1	RP11-124O11.1~LINC01264	3	chr10:42962110^RP11-124O11.1~LINC01264
chr10:44760473	chr10	44760473	HPV16	2	EIF2AP4~TMEM72-AS1	1	chr10:44760473^EIF2AP4~TMEM72-AS1
chr10:44760473	chr10	44760473	HPV33	1	EIF2AP4~TMEM72-AS1	1	chr10:44760473^EIF2AP4~TMEM72-AS1
chr10:45413748	chr10	45413748	Eppstein-Barr	2	ALOX5	2	chr10:45413748^ALOX5
chr10:45413748	chr10	45413748	HPV16	1	ALOX5	2	chr10:45413748^ALOX5
chr10:45803459	chr10	45803459	HPV16	3	AGAP4	1	chr10:45803459^AGAP4
chr10:45803459	chr10	45803459	HPV33	1	AGAP4	1	chr10:45803459^AGAP4
chr10:46007794	chr10	46007794	HPV16	3	AGAP7P~ANTXRLP1	1	chr10:46007794^AGAP7P~ANTXRLP1
chr10:46007794	chr10	46007794	HPV33	1	AGAP7P~ANTXRLP1	1	chr10:46007794^AGAP7P~ANTXRLP1
chr10:46814458	chr10	46814458	HPV16	3	BMS1P1	1	chr10:46814458^BMS1P1
chr10:47905904	chr10	47905904	HPV16	3	CH17-360D5.1;CH17-360D5.2	2	chr10:47905904^CH17-360D5.1;CH17-360D5.2
chr10:47905904	chr10	47905904	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	CH17-360D5.1;CH17-360D5.2	2	chr10:47905904^CH17-360D5.1;CH17-360D5.2
chr10:49498730	chr10	49498730	HPV16	2	ERCC6	1	chr10:49498730^ERCC6
chr10:49498730	chr10	49498730	HPV33	1	ERCC6	1	chr10:49498730^ERCC6
chr10:59850762	chr10	59850762	HPV16	2	CCDC6	3	chr10:59850762^CCDC6
chr10:59850762	chr10	59850762	HPV18	1	CCDC6	3	chr10:59850762^CCDC6
chr10:62093463	chr10	62093463	HBV	1	ARID5B	2	chr10:62093463^ARID5B
chr10:62093463	chr10	62093463	HPV16	1	ARID5B	2	chr10:62093463^ARID5B
chr10:62093463	chr10	62093463	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	ARID5B	2	chr10:62093463^ARID5B
chr10:64403388	chr10	64403388	HBV	1	DBF4P1~RPL17P35	3	chr10:64403388^DBF4P1~RPL17P35
chr10:64403388	chr10	64403388	HPV16	2	DBF4P1~RPL17P35	3	chr10:64403388^DBF4P1~RPL17P35
chr10:649301	chr10	649301	HPV16	3	DIP2C	4	chr10:649301^DIP2C
chr10:649301	chr10	649301	HPV33	1	DIP2C	4	chr10:649301^DIP2C
chr10:6715105	chr10	6715105	HPV16	3	AL158210.1~RP11-554I8.2	2	chr10:6715105^AL158210.1~RP11-554I8.2
chr10:69068415	chr10	69068415	Eppstein-Barr	4	SRGN	3	chr10:69068415^SRGN
chr10:69068415	chr10	69068415	HPV11	1	SRGN	3	chr10:69068415^SRGN
chr10:69068415	chr10	69068415	HPV16	1	SRGN	3	chr10:69068415^SRGN
chr10:69180960	chr10	69180960	Eppstein-Barr	1	RP11-227H15.4;HKDC1	1	chr10:69180960^RP11-227H15.4;HKDC1
chr10:69180960	chr10	69180960	HPV16	1	RP11-227H15.4;HKDC1	1	chr10:69180960^RP11-227H15.4;HKDC1
chr10:69180960	chr10	69180960	HPV33	1	RP11-227H15.4;HKDC1	1	chr10:69180960^RP11-227H15.4;HKDC1
chr10:71347004	chr10	71347004	HPV11	1	RP11-327E2.5~CDH23-AS1	2	chr10:71347004^RP11-327E2.5~CDH23-AS1
chr10:71347004	chr10	71347004	HPV16	2	RP11-327E2.5~CDH23-AS1	2	chr10:71347004^RP11-327E2.5~CDH23-AS1
chr10:71347004	chr10	71347004	HPV33	1	RP11-327E2.5~CDH23-AS1	2	chr10:71347004^RP11-327E2.5~CDH23-AS1
chr10:71597171	chr10	71597171	HPV16	3	CDH23	3	chr10:71597171^CDH23
chr10:71912117	chr10	71912117	HPV16	1	AC073370.1~CHST3	2	chr10:71912117^AC073370.1~CHST3
chr10:71912117	chr10	71912117	HPV18	1	AC073370.1~CHST3	2	chr10:71912117^AC073370.1~CHST3
chr10:71912117	chr10	71912117	HPV31	1	AC073370.1~CHST3	2	chr10:71912117^AC073370.1~CHST3
chr10:71912117	chr10	71912117	HPV33	1	AC073370.1~CHST3	2	chr10:71912117^AC073370.1~CHST3
chr10:71912117	chr10	71912117	HPV58	1	AC073370.1~CHST3	2	chr10:71912117^AC073370.1~CHST3
chr10:71912117	chr10	71912117	NC_001702_8135nt_Murine_type_C_retrovirus	1	AC073370.1~CHST3	2	chr10:71912117^AC073370.1~CHST3
chr10:73530101	chr10	73530101	HBV	1	USP54	2	chr10:73530101^USP54
