sample_name	chrA	coordA	orientA	chrB	coordB	orientB	Support_reads_pair_softclip	Confidence	total
rep1.HPV16	chr2	210344929	+	HPV16	6456	+	185+42	high	227
rep1.HPV16	chr5	90694618	+	HPV16	7089	+	187+51	high	238
rep1.HPV16	chr7	23918644	+	HPV16	6592	+	187+36	high	223
rep1.HPV16	chr13	43062888	+	HPV16	6184	+	175+40	high	215
rep1.HPV16	chr16	70933174	+	HPV16	7622	+	133+22	low	155
rep1.HPV16	chr9	41674485	+	HPV16	1671	+	115+22	low	137
rep1.HPV16	chr18	10602538	+	HPV16	3629	+	180+28	low	208
rep1.HPV18	chr4	36979659	+	HPV18	2503	-	0+45	high	45
rep1.HPV18	chr4	165078897	+	HPV18	3963	+	175+44	high	219
rep1.HPV18	chr4	166852894	+	HPV18	3488	-	0+45	high	45
rep1.HPV18	chr22	30626470	+	HPV18	3905	-	198+27	high	225
rep1.HPV18	chr22	33197552	+	HPV18	6177	+	176+41	high	217
rep1.HPV18	chr22	42076180	+	HPV18	4913	+	199+27	high	226
rep1.HPV18	chr2	194991150	+	HPV18	6009	+	176+39	high	215
rep1.HPV18	chr2	23135890	+	HPV18	1742	-	170+44	high	214
rep1.HPV18	chr5	174338792	+	HPV18	1046	+	167+43	high	210
rep1.HPV18	chr17	5758916	+	HPV18	2107	+	198+26	high	224
rep1.HPV18	chr17	30773512	+	HPV18	4523	+	179+29	high	208
rep1.HPV18	chrX	73171380	+	HPV18	1547	-	185+27	high	212
rep1.HPV18	chrX	105062559	+	HPV18	3049	+	199+26	high	225
rep1.HPV18	chr9	25615094	+	HPV18	2282	-	165+44	high	209
rep1.HPV18	chr9	38688635	+	HPV18	4814	-	164+31	high	195
rep1.HPV18	chr9	129968541	+	HPV18	6883	+	176+39	high	215
rep1.HPV18	chr9	102620175	+	HPV18	5323	-	163+45	high	208
rep1.HPV18	chr21	18751084	+	HPV18	3635	-	175+41	high	216
rep1.HPV18	chr12	9188696	-	HPV18	148	+	199+28	high	227
rep1.HPV18	chr1	197320838	+	HPV18	278	+	200+29	high	229
rep1.HPV18	chr1	218053026	+	HPV18	558	+	163+43	high	206
rep1.HPV18	chr10	90917361	+	HPV18	788	+	175+23	high	198
rep1.HPV18	chr10	90917362	+	HPV18	788	+	175+39	high	214
rep1.HPV18	chr11	128012356	+	HPV18	931	+	165+45	high	210
rep1.HPV18	chr3	4085987	+	HPV18	1308	+	175+41	high	216
rep1.HPV18	chr3	4085988	+	HPV18	1308	+	175+24	high	199
rep1.HPV18	chr15	27882236	+	HPV18	1600	+	200+30	high	230
rep1.HPV18	chr3	182498093	+	HPV18	2330	+	176+23	high	199
rep1.HPV18	chr3	182498094	+	HPV18	2330	+	176+42	high	218
rep1.HPV18	chr8	106848151	-	HPV18	2469	+	0+45	high	45
rep1.HPV18	chr14	67999192	-	HPV18	2070	+	170+44	high	214
rep1.HPV18	chr8	13816541	-	HPV18	2577	+	199+29	high	228
rep1.HPV18	chrX	14468512	-	HPV18	2801	+	97+29	high	126
rep1.HPV18	chr3	165348777	-	HPV18	2603	+	176+24	high	200
rep1.HPV18	chr3	165348778	-	HPV18	2603	+	176+38	high	214
rep1.HPV18	chr7	13077594	-	HPV18	3750	+	175+24	high	199
rep1.HPV18	chr7	13077595	-	HPV18	3750	+	175+44	high	219
rep1.HPV18	chr4	165078899	+	HPV18	3963	+	175+24	high	199
rep1.HPV18	chr6	133400514	+	HPV18	3994	+	175+43	high	218
rep1.HPV18	chr6	133400515	+	HPV18	3994	+	175+24	high	199
rep1.HPV18	chr13	66432512	-	HPV18	4170	+	199+24	high	223
rep1.HPV18	chr18	50217322	+	HPV18	4570	+	198+27	high	225
rep1.HPV18	chr15	69576597	-	HPV18	4651	+	163+44	high	207
rep1.HPV18	chr9	38688637	-	HPV18	4814	+	164+24	high	188
rep1.HPV18	chr1	82064431	+	HPV18	4983	+	178+40	high	218
rep1.HPV18	chr1	75060897	+	HPV18	5204	+	198+26	high	224
rep1.HPV18	chr2	194991148	+	HPV18	6009	+	176+23	high	199
rep1.HPV18	chr22	33197551	+	HPV18	6177	+	176+24	high	200
rep1.HPV18	chr6	42870176	+	HPV18	6280	+	147+24	high	171
rep1.HPV18	chr6	42870177	+	HPV18	6280	+	147+41	high	188
rep1.HPV18	chr19	27856334	-	HPV18	5814	+	155+31	high	186
rep1.HPV18	chr9	129968542	+	HPV18	6883	+	176+23	high	199
rep1.HPV18	chr12	113186220	+	HPV18	7021	+	0+45	high	45
rep1.HPV18	chr16	65807360	-	HPV18	7123	+	163+44	high	207
rep1.HPV18	chr12	116483377	+	HPV18	7247	+	0+28	high	28
rep1.HPV18	chrY	12042486	+	HPV18	6791	+	158+27	low	185
rep1.HPV18	chr17	8298070	+	HPV18	3333	+	0+47	low	47
rep1.HPV18	chr9	26615603	+	HPV18	7820	+	175+41	low	216
rep1.HPV18	chr4	165078774	+	HPV18	3963	+	0+25	low	25
rep1.HPV18	chr21	10126835	+	HPV18	6393	+	0+27	low	27
rep1.HPV31	chr4	27399060	+	HPV31	3324	-	152+41	high	193
rep1.HPV31	chr4	13223969	+	HPV31	2590	-	170+43	high	213
rep1.HPV31	chr4	87436529	+	HPV31	2996	-	151+46	high	197
rep1.HPV31	chr4	185344302	+	HPV31	7250	-	169+38	high	207
rep1.HPV31	chr5	8906202	+	HPV31	2522	-	189+42	high	231
rep1.HPV31	chr20	14166797	+	HPV31	5284	-	166+38	high	204
rep1.HPV31	chr20	50544384	+	HPV31	6277	+	190+36	high	226
rep1.HPV31	chr7	152704406	+	HPV31	4762	+	190+36	high	226
rep1.HPV31	chr7	108195375	+	HPV31	3949	-	171+38	high	209
rep1.HPV31	chr12	37359581	+	HPV31	7371	-	191+36	high	227
rep1.HPV31	chr12	101431686	+	HPV31	6396	-	189+36	high	225
rep1.HPV31	chr12	123246666	+	HPV31	4932	-	191+39	high	230
rep1.HPV31	chr14	72033863	+	HPV31	2287	+	189+36	high	225
rep1.HPV31	chr14	82248067	+	HPV31	7727	+	151+47	high	198
rep1.HPV31	chr10	120782126	+	HPV31	818	+	190+38	high	228
rep1.HPV31	chr10	126835630	+	HPV31	623	-	187+41	high	228
rep1.HPV31	chr15	56841236	+	HPV31	7444	+	191+33	high	224
rep1.HPV31	chr15	77939298	+	HPV31	6979	+	0+44	high	44
rep1.HPV31	chr16	31868461	+	HPV31	2076	-	191+36	high	227
rep1.HPV31	chr16	4667660	+	HPV31	1346	-	187+42	high	229
rep1.HPV31	chrX	34002570	+	HPV31	5751	-	151+46	high	197
rep1.HPV31	chrX	118359980	+	HPV31	6634	-	151+44	high	195
rep1.HPV31	chrX	120263996	+	HPV31	6092	+	186+39	high	225
rep1.HPV31	chr22	19740270	+	HPV31	6878	-	186+42	high	228
rep1.HPV31	chr22	34411481	+	HPV31	688	+	190+43	high	233
rep1.HPV31	chr22	20369349	+	HPV31	1297	-	150+24	high	174
rep1.HPV31	chr8	121636408	-	HPV31	495	+	194+36	high	230
rep1.HPV31	chr19	31223846	+	HPV31	1130	+	191+36	high	227
rep1.HPV31	chr1	83050186	+	HPV31	1664	+	147+35	high	182
rep1.HPV31	chr9	113274447	+	HPV31	1889	+	169+40	high	209
rep1.HPV31	chr21	13410791	+	HPV31	1984	+	112+30	high	142
rep1.HPV31	chr1	97271447	-	HPV31	2419	+	191+34	high	225
rep1.HPV31	chr11	115796275	-	HPV31	2892	+	190+36	high	226
rep1.HPV31	chr17	30360604	+	HPV31	3078	+	151+44	high	195
rep1.HPV31	chr10	900977	+	HPV31	3869	+	0+21	high	21
rep1.HPV31	chr8	48608296	-	HPV31	3900	+	150+46	high	196
rep1.HPV31	chr8	38923528	-	HPV31	4138	+	189+40	high	229
rep1.HPV31	chr8	73153563	+	HPV31	4313	+	189+41	high	230
rep1.HPV31	chr8	78116645	+	HPV31	4230	+	188+39	high	227
rep1.HPV31	chr13	62660649	+	HPV31	5363	+	167+40	high	207
rep1.HPV31	chr21	27214934	-	HPV31	5781	+	149+46	high	195
rep1.HPV31	chr9	2725573	+	HPV31	5943	+	151+41	high	192
rep1.HPV31	chr1	85556543	-	HPV31	5405	+	190+36	high	226
rep1.HPV31	chr3	192755980	+	HPV31	6715	+	191+37	high	228
rep1.HPV31	chr19	30020182	+	HPV31	7339	+	151+46	high	197
rep1.HPV31	chr3	126574734	+	HPV31	2105	+	190+34	high	224
rep1.HPV31	chr4	98547878	+	HPV31	2563	+	166+37	low	203
rep1.HPV31	chr16	49227537	+	HPV31	1589	+	0+42	low	42
rep1.HPV31	chrX	48305336	+	HPV31	2680	-	172+39	low	211
rep1.HPV31	chr19	46874869	+	HPV31	3869	+	190+36	low	226
rep1.HPV33	chr9	1348095	+	HPV33	3222	-	193+44	high	237
rep1.HPV33	chr17	41041754	+	HPV33	6668	+	182+31	high	213
rep1.HPV33	chr17	75455653	+	HPV33	7137	+	186+31	high	217
rep1.HPV33	chr18	36997749	+	HPV33	5104	+	173+43	high	216
rep1.HPV33	chr18	56397585	+	HPV33	3602	+	186+31	high	217
rep1.HPV33	chr18	68151178	+	HPV33	7510	+	194+43	high	237
rep1.HPV33	chr14	99848804	+	HPV33	1383	-	187+32	high	219
rep1.HPV33	chr1	53441953	+	HPV33	3719	+	173+42	high	215
rep1.HPV33	chr1	69627812	+	HPV33	932	-	191+45	high	236
rep1.HPV33	chr1	215835078	+	HPV33	3995	-	173+45	high	218
rep1.HPV33	chr10	17994913	+	HPV33	6101	-	173+44	high	217
rep1.HPV33	chr10	99707209	+	HPV33	1446	-	174+40	high	214
rep1.HPV33	chr10	3319303	+	HPV33	1538	+	143+34	high	177
rep1.HPV33	chrX	21602562	+	HPV33	4428	+	173+44	high	217
rep1.HPV33	chr6	19931768	+	HPV33	3676	-	182+32	high	214
rep1.HPV33	chr6	21642854	+	HPV33	5495	+	166+41	high	207
rep1.HPV33	chr6	84792057	+	HPV33	5428	+	189+45	high	234
rep1.HPV33	chr6	146375816	+	HPV33	719	+	188+31	high	219
rep1.HPV33	chr3	171799853	+	HPV33	626	+	186+31	high	217
rep1.HPV33	chr3	182689477	+	HPV33	4540	+	173+45	high	218
rep1.HPV33	chr8	85380071	+	HPV33	6731	-	194+45	high	239
rep1.HPV33	chr8	139954505	+	HPV33	3888	-	174+47	high	221
rep1.HPV33	chr8	3014519	+	HPV33	2388	-	185+31	high	216
rep1.HPV33	chr2	115822372	+	HPV33	4979	-	153+44	high	197
rep1.HPV33	chr2	121603405	+	HPV33	5691	-	187+32	high	219
rep1.HPV33	chr2	180365289	+	HPV33	2196	-	189+29	high	218
rep1.HPV33	chr2	176607770	+	HPV33	3808	-	194+41	high	235
rep1.HPV33	chr19	53670973	+	HPV33	459	+	182+34	high	216
rep1.HPV33	chr19	19243274	+	HPV33	101	-	190+43	high	233
rep1.HPV33	chr13	109272059	+	HPV33	59	+	182+31	high	213
rep1.HPV33	chr7	38027654	-	HPV33	136	+	152+45	high	197
rep1.HPV33	chr4	19978539	-	HPV33	238	+	187+30	high	217
rep1.HPV33	chr16	7377018	+	HPV33	589	+	175+40	high	215
rep1.HPV33	chr16	4781550	-	HPV33	1462	+	179+31	high	210
rep1.HPV33	chr5	53205401	+	HPV33	2997	+	173+43	high	216
rep1.HPV33	chr4	158791221	-	HPV33	3176	+	145+31	high	176
rep1.HPV33	chr21	29599063	+	HPV33	3423	+	185+31	high	216
rep1.HPV33	chr20	48686982	+	HPV33	5065	+	172+43	high	215
rep1.HPV33	chr20	23140334	+	HPV33	4932	+	134+46	high	180
rep1.HPV33	chr20	52301356	+	HPV33	5384	+	182+34	high	216
rep1.HPV33	chr4	102138619	-	HPV33	6899	+	173+43	high	216
rep1.HPV33	chr7	112772739	-	HPV33	7182	+	188+32	high	220
rep1.HPV33	chr13	20430272	+	HPV33	7845	+	173+24	high	197
rep1.HPV33	chr5	159323075	+	HPV33	6818	+	191+43	high	234
rep1.HPV33	chr5	99404598	+	HPV33	3650	+	182+43	high	225
rep1.HPV33	chr17	46337033	+	HPV33	2942	+	94+25	low	119
rep1.HPV33	chr20	29553963	-	HPV33	1939	+	151+31	low	182
rep1.HPV33	chr7	35852290	+	HPV33	7259	+	0+32	low	32
rep1.HPV35	chr2	203344615	+	HPV35	2983	-	184+39	high	223
rep1.HPV35	chr2	14004261	+	HPV35	3885	+	182+39	high	221
rep1.HPV35	chr7	111538716	+	HPV35	3078	+	181+39	high	220
rep1.HPV35	chr7	137684550	+	HPV35	5150	+	180+39	high	219
rep1.HPV35	chr1	232494408	+	HPV35	6196	+	179+39	high	218
rep1.HPV35	chr1	63672934	+	HPV35	3662	-	182+35	high	217
rep1.HPV35	chr15	85991878	+	HPV35	6849	+	181+43	high	224
rep1.HPV35	chr13	29912000	+	HPV35	2560	-	183+37	high	220
rep1.HPV35	chr4	68081230	+	HPV35	1808	-	182+34	high	216
rep1.HPV35	chr4	100945133	+	HPV35	7436	-	181+38	high	219
rep1.HPV35	chr4	2405224	+	HPV35	6461	-	168+47	high	215
rep1.HPV35	chr4	109657889	+	HPV35	6512	-	168+46	high	214
rep1.HPV35	chr4	144766655	+	HPV35	7525	+	157+50	high	207
rep1.HPV35	chr6	149792501	+	HPV35	6801	+	0+28	high	28
rep1.HPV35	chr6	151781152	+	HPV35	7223	-	184+36	high	220
rep1.HPV35	chr11	119197053	+	HPV35	5033	-	188+33	high	221
rep1.HPV35	chr12	28928560	+	HPV35	2208	-	180+39	high	219
rep1.HPV35	chr3	13464668	+	HPV35	2299	+	180+42	high	222
rep1.HPV35	chr3	75660172	+	HPV35	4941	-	0+47	high	47
rep1.HPV35	chr3	110302123	+	HPV35	2783	-	0+49	high	49
rep1.HPV35	chr3	164643470	+	HPV35	1086	+	186+34	high	220
rep1.HPV35	chr3	161496876	+	HPV35	2909	+	181+39	high	220
rep1.HPV35	chr3	184105065	+	HPV35	4750	-	186+32	high	218
rep1.HPV35	chr20	57464069	+	HPV35	5587	-	165+47	high	212
rep1.HPV35	chr19	53833678	+	HPV35	3225	-	138+38	high	176
rep1.HPV35	chr10	1220130	+	HPV35	3480	+	181+42	high	223
rep1.HPV35	chr10	71492345	+	HPV35	3765	-	168+51	high	219
rep1.HPV35	chr10	74585302	+	HPV35	6316	+	168+47	high	215
rep1.HPV35	chr10	75585406	+	HPV35	3033	-	166+50	high	216
rep1.HPV35	chrY	13083603	+	HPV35	2413	+	169+48	high	217
rep1.HPV35	chrX	33618577	+	HPV35	2070	-	186+33	high	219
rep1.HPV35	chrX	110217367	+	HPV35	3608	+	181+39	high	220
rep1.HPV35	chr5	169598591	-	HPV35	252	+	180+40	high	220
rep1.HPV35	chr16	6338143	+	HPV35	335	+	180+37	high	217
rep1.HPV35	chr17	30559365	+	HPV35	1433	+	180+40	high	220
rep1.HPV35	chr9	11387809	+	HPV35	2495	+	183+39	high	222
rep1.HPV35	chr18	58996125	-	HPV35	2614	+	182+34	high	216
rep1.HPV35	chr5	118608141	-	HPV35	2731	+	179+39	high	218
rep1.HPV35	chr17	76346945	+	HPV35	2814	+	178+41	high	219
rep1.HPV35	chr5	66048037	-	HPV35	4065	+	181+38	high	219
rep1.HPV35	chr17	75265633	-	HPV35	3912	+	166+50	high	216
rep1.HPV35	chr14	35546876	-	HPV35	4630	+	168+49	high	217
rep1.HPV35	chr17	30316975	-	HPV35	4698	+	168+46	high	214
rep1.HPV35	chr22	36284676	-	HPV35	5071	+	0+32	high	32
rep1.HPV35	chr22	50140700	-	HPV35	5201	+	182+39	high	221
rep1.HPV35	chr18	79562154	-	HPV35	7306	+	182+38	high	220
rep1.HPV35	chr9	23865250	+	HPV35	7684	+	181+38	high	219
rep1.HPV35	chr9	92366196	+	HPV35	3562	-	138+51	high	189
rep1.HPV35	chr9	105481815	-	HPV35	1847	+	182+34	low	216
rep1.HPV35	chr16	20602326	+	HPV35	3357	+	178+36	low	214
rep1.HPV39	chr18	38399302	+	HPV39	2988	+	156+36	high	192
rep1.HPV39	chr18	14183374	+	HPV39	6460	+	169+34	high	203
rep1.HPV39	chr18	41556098	+	HPV39	7463	+	188+38	high	226
rep1.HPV39	chrX	6105137	+	HPV39	3125	+	0+31	high	31
rep1.HPV39	chrX	15152357	+	HPV39	3587	+	161+36	high	197
rep1.HPV39	chrX	32399433	+	HPV39	1659	-	0+42	high	42
rep1.HPV39	chrX	116951157	+	HPV39	3500	+	159+42	high	201
rep1.HPV39	chr6	15070169	+	HPV39	6516	+	0+33	high	33
rep1.HPV39	chr6	69254322	+	HPV39	5642	+	181+35	high	216
rep1.HPV39	chr6	87593109	+	HPV39	6607	+	193+34	high	227
rep1.HPV39	chr12	16971654	+	HPV39	2159	-	162+41	high	203
rep1.HPV39	chr12	96174335	+	HPV39	3814	+	187+38	high	225
rep1.HPV39	chr12	105290730	+	HPV39	5306	+	160+40	high	200
rep1.HPV39	chr22	20882489	+	HPV39	226	+	182+42	high	224
rep1.HPV39	chr15	97412717	+	HPV39	284	+	159+40	high	199
rep1.HPV39	chr10	927321	+	HPV39	385	+	189+38	high	227
rep1.HPV39	chr3	100166274	-	HPV39	1083	+	192+20	high	212
rep1.HPV39	chr3	100166275	-	HPV39	1083	+	192+31	high	223
rep1.HPV39	chr19	20933893	-	HPV39	1463	+	183+42	high	225
rep1.HPV39	chr13	102724017	+	HPV39	1278	+	184+43	high	227
rep1.HPV39	chr14	90309793	-	HPV39	2194	+	186+39	high	225
rep1.HPV39	chr11	93980105	-	HPV39	2414	+	184+43	high	227
rep1.HPV39	chr16	27620880	-	HPV39	2227	+	182+44	high	226
rep1.HPV39	chr3	109769378	+	HPV39	2614	+	182+42	high	224
rep1.HPV39	chr5	137151583	-	HPV39	3092	+	186+38	high	224
rep1.HPV39	chr10	36075521	-	HPV39	2651	+	189+38	high	227
rep1.HPV39	chrX	6105138	+	HPV39	3125	+	189+20	high	209
rep1.HPV39	chr3	52711254	+	HPV39	3206	+	160+40	high	200
rep1.HPV39	chr7	157658332	+	HPV39	3694	+	160+40	high	200
rep1.HPV39	chr3	10547421	-	HPV39	3981	+	186+42	high	228
rep1.HPV39	chr3	57491839	+	HPV39	4356	+	182+43	high	225
rep1.HPV39	chr15	96042552	+	HPV39	4125	+	0+31	high	31
rep1.HPV39	chr15	96042553	+	HPV39	4125	+	195+21	high	216
rep1.HPV39	chr13	103616561	-	HPV39	4830	+	160+40	high	200
rep1.HPV39	chr10	33621058	+	HPV39	5613	+	182+43	high	225
rep1.HPV39	chr2	130742704	-	HPV39	5697	+	195+20	high	215
rep1.HPV39	chr2	130742705	-	HPV39	5697	+	195+33	high	228
rep1.HPV39	chr4	146311689	-	HPV39	5730	+	183+43	high	226
rep1.HPV39	chr1	83768193	+	HPV39	5904	+	160+41	high	201
rep1.HPV39	chr17	78122827	+	HPV39	5451	+	194+33	high	227
rep1.HPV39	chr14	76151019	-	HPV39	6424	+	0+33	high	33
rep1.HPV39	chr14	76151021	-	HPV39	6424	+	193+20	high	213
rep1.HPV39	chr10	104609164	+	HPV39	6369	+	0+33	high	33
rep1.HPV39	chr10	104609165	+	HPV39	6369	+	194+20	high	214
rep1.HPV39	chr6	15070170	+	HPV39	6516	+	195+20	high	215
rep1.HPV39	chr11	109215099	+	HPV39	6852	+	187+38	high	225
rep1.HPV39	chr11	34574527	-	HPV39	7334	+	193+18	high	211
rep1.HPV39	chr11	34574528	-	HPV39	7334	+	193+31	high	224
rep1.HPV39	chr5	111900317	+	HPV39	7758	+	185+42	high	227
rep1.HPV39	chr10	17774253	+	HPV39	3620	+	182+44	high	226
rep1.HPV39	chr10	72596080	+	HPV39	4387	-	174+44	high	218
rep1.HPV39	chr19	8624741	+	HPV39	4707	+	0+33	high	33
rep1.HPV39	chr17	2349949	+	HPV39	4569	+	170+43	high	213
rep1.HPV39	chr6	146520955	+	HPV39	5245	+	0+30	low	30
rep1.HPV39	chr14	65999701	+	HPV39	1151	+	196+31	low	227
rep1.HPV39	chr20	44855746	+	HPV39	2113	-	0+43	low	43
rep1.HPV45	chr14	59724981	+	HPV45	3245	+	194+45	high	239
rep1.HPV45	chr14	49328618	+	HPV45	2732	-	180+45	high	225
rep1.HPV45	chr14	77686486	+	HPV45	2867	+	160+48	high	208
rep1.HPV45	chr21	46273946	+	HPV45	3337	-	195+46	high	241
rep1.HPV45	chr1	33571187	+	HPV45	3158	-	180+26	high	206
rep1.HPV45	chr1	58515652	+	HPV45	6725	+	173+47	high	220
rep1.HPV45	chr19	35324475	+	HPV45	5439	-	180+46	high	226
rep1.HPV45	chr19	50299039	+	HPV45	7626	-	175+24	high	199
rep1.HPV45	chr19	15952395	+	HPV45	1814	+	178+49	high	227
rep1.HPV45	chr7	77156554	+	HPV45	5598	-	173+22	high	195
rep1.HPV45	chr10	86937793	+	HPV45	3287	+	173+47	high	220
rep1.HPV45	chr10	98247274	+	HPV45	2416	-	172+45	high	217
rep1.HPV45	chr10	37406326	+	HPV45	3908	-	172+45	high	217
rep1.HPV45	chr5	176515724	-	HPV45	681	+	173+28	high	201
rep1.HPV45	chr2	36836370	+	HPV45	727	+	0+14	high	14
rep1.HPV45	chr17	73518699	-	HPV45	1201	+	180+45	high	225
rep1.HPV45	chr17	47949113	+	HPV45	1315	+	188+38	high	226
rep1.HPV45	chr13	60213506	-	HPV45	1736	+	180+49	high	229
rep1.HPV45	chr22	43247272	+	HPV45	1849	+	171+45	high	216
rep1.HPV45	chr9	114207114	+	HPV45	1920	+	181+27	high	208
rep1.HPV45	chr5	144992020	+	HPV45	2199	+	189+48	high	237
rep1.HPV45	chr18	58693876	+	HPV45	2917	+	182+47	high	229
rep1.HPV45	chr16	30652070	-	HPV45	3036	+	181+49	high	230
rep1.HPV45	chrY	22251735	+	HPV45	2485	+	179+49	high	228
rep1.HPV45	chr3	53872279	-	HPV45	3624	+	178+26	high	204
rep1.HPV45	chr2	55672008	-	HPV45	4425	+	194+47	high	241
rep1.HPV45	chr3	195027646	+	HPV45	4464	+	195+46	high	241
rep1.HPV45	chr20	11208974	+	HPV45	4537	+	181+48	high	229
rep1.HPV45	chr22	39409420	+	HPV45	4864	+	176+47	high	223
rep1.HPV45	chr16	1857507	-	HPV45	5278	+	197+46	high	243
rep1.HPV45	chr8	106623644	-	HPV45	5350	+	180+47	high	227
rep1.HPV45	chr2	193991396	-	HPV45	5155	+	178+26	high	204
rep1.HPV45	chr16	64089055	-	HPV45	5517	+	174+45	high	219
rep1.HPV45	chr12	112022688	+	HPV45	5878	+	0+50	high	50
rep1.HPV45	chr4	89693433	+	HPV45	6147	+	176+26	high	202
rep1.HPV45	chr16	58700752	+	HPV45	6491	+	177+27	high	204
rep1.HPV45	chr2	177230333	+	HPV45	6625	+	178+48	high	226
rep1.HPV45	chr12	115747365	+	HPV45	7241	+	194+48	high	242
rep1.HPV45	chr6	151678198	-	HPV45	7398	+	175+45	high	220
rep1.HPV45	chr2	25099354	-	HPV45	7528	+	172+48	high	220
rep1.HPV45	chr9	75619938	-	HPV45	6796	+	171+28	high	199
rep1.HPV45	chr22	39970342	+	HPV45	727	+	178+29	high	207
rep1.HPV45	chr18	36583950	+	HPV45	5008	+	173+47	high	220
rep1.HPV45	chr13	37736716	+	HPV45	4691	-	172+45	high	217
rep1.HPV45	chr13	21485116	+	HPV45	3572	-	177+47	high	224
rep1.HPV45	chr9	43245173	+	HPV45	1469	+	99+36	low	135
rep1.HPV45	chr22	28551106	+	HPV45	2077	+	179+26	low	205
rep1.HPV45	chrX	3877834	-	HPV45	5731	+	88+18	low	106
rep1.HPV45	chr12	3787913	+	HPV45	1159	+	0+24	low	24
rep2.HPV16	chr5	127941528	+	HPV16	1078	+	207+35	high	242
rep2.HPV16	chr8	144128338	+	HPV16	3808	+	176+44	high	220
rep2.HPV16	chr20	38052153	+	HPV16	5118	-	163+51	high	214
rep2.HPV16	chr20	56134950	+	HPV16	4550	+	186+44	high	230
rep2.HPV16	chr20	59988252	+	HPV16	3969	+	190+50	high	240
rep2.HPV16	chrX	8458225	+	HPV16	980	-	209+32	high	241
rep2.HPV16	chrX	8340174	+	HPV16	7055	-	204+47	high	251
rep2.HPV16	chrX	12121150	+	HPV16	5812	-	192+45	high	237
rep2.HPV16	chrX	85511858	+	HPV16	6065	-	207+34	high	241
rep2.HPV16	chrX	97706672	+	HPV16	4809	-	209+36	high	245
rep2.HPV16	chr11	74796319	+	HPV16	776	+	181+44	high	225
rep2.HPV16	chr11	54784508	+	HPV16	6496	-	0+41	high	41
rep2.HPV16	chr12	14010560	+	HPV16	1237	-	188+51	high	239
rep2.HPV16	chr12	66996149	+	HPV16	5253	-	181+41	high	222
rep2.HPV16	chr14	41540221	+	HPV16	3766	+	202+33	high	235
