sample_name	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split_Reads	Uniquely_Mapped_Reads	Multiply_Mapped_Reads	Rank1_Hits
rep1.HPV16	chr17~7138104~HPV16~6185	chr17	7138104	+	HPV16	6185	+	8	8	3	4	7
rep1.HPV16	chr2~27516595~HPV16~0	chr2	27516595	+	HPV16	0	?	1	1	0	1	1
rep1.HPV16	chr16~19090098~HPV16~0	chr16	19090098	+	HPV16	0	?	1	1	0	1	1
rep1.HPV16	chr16~48385004~HPV16~3808	chr16	48385004	+	HPV16	3808	-	155	155	4	162	0
rep1.HPV16	chr20~58517065~HPV16~5065	chr20	58517065	+	HPV16	5065	+	1	1	0	0	1
rep1.HPV16	chr6~103110378~HPV16~4985	chr6	103110378	+	HPV16	4985	+	216	216	2	217	2
rep1.HPV16	chr19~13868922~HPV16~1125	chr19	13868922	+	HPV16	1125	-	235	235	6	154	91
rep1.HPV16	chr19~30473602~HPV16~1926	chr19	30473602	+	HPV16	1926	-	210	210	5	177	41
rep1.HPV16	chr19~48026298~HPV16~7120	chr19	48026298	+	HPV16	7120	-	232	232	4	239	0
rep1.HPV16	chr19~48030787~HPV16~5189	chr19	48030787	+	HPV16	5189	-	232	232	4	239	0
rep1.HPV16	chr5~90694619~HPV16~7090	chr5	90694619	-	HPV16	7090	-	237	237	6	245	1
rep1.HPV16	chr5~161762312~HPV16~5598	chr5	161762312	-	HPV16	5598	-	215	215	5	223	0
rep1.HPV16	chr4~4376542~HPV16~1885	chr4	4376542	-	HPV16	1885	+	230	230	6	89	150
rep1.HPV16	chr4~24368508~HPV16~5501	chr4	24368508	-	HPV16	5501	-	215	215	5	223	0
rep1.HPV16	chr4~58456067~HPV16~6223	chr4	58456067	-	HPV16	6223	-	232	232	5	239	0
rep1.HPV16	chr14~25080588~HPV16~4429	chr14	25080588	-	HPV16	4429	-	198	198	7	193	13
rep1.HPV16	chr14~28398571~HPV16~4603	chr14	28398571	-	HPV16	4603	-	205	205	5	208	0
rep1.HPV16	chr14~63426498~HPV16~4232	chr14	63426498	-	HPV16	4232	+	233	233	6	242	0
rep1.HPV16	chr10~101208009~HPV16~0	chr10	101208009	-	HPV16	0	?	1	1	0	1	1
rep1.HPV16	chr1~75904282~HPV16~1746	chr1	75904282	-	HPV16	1746	+	203	203	2	110	96
rep1.HPV16	chr8~74170118~HPV16~4783	chr8	74170118	-	HPV16	4783	+	228	228	4	158	78
rep1.HPV16	chrX~94818483~HPV16~4477	chrX	94818483	-	HPV16	4477	+	216	216	2	219	0
rep1.HPV16	chr9~41674486~HPV16~1672	chr9	41674486	-	HPV16	1672	-	201	201	2	0	207
rep1.HPV16	chr9~113943092~HPV16~855	chr9	113943092	-	HPV16	855	+	219	219	6	228	0
rep1.HPV16	chr11~24694928~HPV16~0	chr11	24694928	-	HPV16	0	?	1	1	0	1	1
rep1.HPV16	chr11~69416858~HPV16~1459	chr11	69416858	-	HPV16	1459	+	231	231	4	237	2
rep1.HPV16	chr19~36853822~HPV16~2153	chr19	36853822	-	HPV16	2153	+	228	228	4	215	18
rep1.HPV16	chr20~60918076~HPV16~1388	chr20	60918076	-	HPV16	1388	-	237	237	6	244	1
rep1.HPV16	chr6~131137494~HPV16~0	chr6	131137494	-	HPV16	0	?	1	1	0	1	1
rep1.HPV16	chr2~200567721~HPV16~0	chr2	200567721	-	HPV16	0	?	1	1	0	1	1
rep1.HPV16	chr2~210344930~HPV16~6457	chr2	210344930	-	HPV16	6457	-	207	207	2	15	196
rep1.HPV16	chr17~4179423~HPV16~7812	chr17	4179423	-	HPV16	7812	-	232	232	5	238	2
rep1.HPV16	chr17~6633460~HPV16~5328	chr17	6633460	-	HPV16	5328	-	232	232	4	160	79
rep1.HPV16	chr17~13167124~HPV16~5752	chr17	13167124	-	HPV16	5752	+	215	215	5	114	110
rep1.HPV16	chr17~19936868~HPV16~3268	chr17	19936868	-	HPV16	3268	+	223	223	5	182	48
rep1.HPV16	chr17~38613606~HPV16~5561	chr17	38613606	-	HPV16	5561	-	214	214	2	193	28
rep1.HPV16	chr17~42161021~HPV16~0	chr17	42161021	-	HPV16	0	?	2	2	0	2	2
rep1.HPV16	chr18~9830376~HPV16~2590	chr18	9830376	-	HPV16	2590	-	237	237	6	156	90
rep1.HPV16	chr18~62291577~HPV16~6053	chr18	62291577	-	HPV16	6053	+	237	237	6	244	1
rep1.HPV16	chr3~89751741~HPV16~3898	chr3	89751741	-	HPV16	3898	-	1	1	0	0	1
rep1.HPV16	chr3~100385151~HPV16~701	chr3	100385151	-	HPV16	701	+	232	232	4	240	0
rep1.HPV18	chr1~75060898~HPV18~5207	chr1	75060898	+	HPV18	5207	+	221	221	0	53	172
rep1.HPV18	chr1~82064432~HPV18~4984	chr1	82064432	+	HPV18	4984	+	205	205	1	144	69
rep1.HPV18	chr1~197320839~HPV18~281	chr1	197320839	+	HPV18	281	+	221	221	0	225	0
rep1.HPV18	chr1~218053027~HPV18~559	chr1	218053027	+	HPV18	559	+	198	198	5	90	118
rep1.HPV18	chrY~12042487~HPV18~6792	chrY	12042487	+	HPV18	6792	+	185	185	1	15	175
rep1.HPV18	chr22~33197553~HPV18~6178	chr22	33197553	+	HPV18	6178	+	196	196	1	203	0
rep1.HPV18	chr7~13077596~HPV18~3751	chr7	13077596	+	HPV18	3751	-	190	190	1	198	0
rep1.HPV18	chr17~5758917~HPV18~2110	chr17	5758917	+	HPV18	2110	+	221	221	0	147	78
rep1.HPV18	chr17~8298071~HPV18~3334	chr17	8298071	+	HPV18	3334	+	185	185	3	51	146
rep1.HPV18	chr17~30773513~HPV18~4526	chr17	30773513	+	HPV18	4526	+	190	190	0	12	179
rep1.HPV18	chr15~69576598~HPV18~4652	chr15	69576598	+	HPV18	4652	-	197	197	7	208	0
rep1.HPV18	chr14~67999193~HPV18~2068	chr14	67999193	+	HPV18	2068	-	206	206	1	213	5
rep1.HPV18	chr8~61190505~HPV18~6792	chr8	61190505	+	HPV18	6792	+	5	5	1	4	5
rep1.HPV18	chr16~65807361~HPV18~7124	chr16	65807361	+	HPV18	7124	-	202	202	5	212	0
rep1.HPV18	chr9~102620176~HPV18~5324	chr9	102620176	+	HPV18	5324	-	204	204	5	214	0
rep1.HPV18	chr12~25307990~HPV18~1891	chr12	25307990	+	HPV18	1891	+	4	4	0	1	4
rep1.HPV18	chr13~66432513~HPV18~4171	chr13	66432513	+	HPV18	4171	-	222	222	1	226	0
rep1.HPV18	chr10~80317894~HPV18~0	chr10	80317894	+	HPV18	0	?	1	1	0	1	1
rep1.HPV18	chr10~90917363~HPV18~789	chr10	90917363	+	HPV18	789	+	204	204	1	212	0
rep1.HPV18	chr6~42870178~HPV18~6274	chr6	42870178	+	HPV18	6274	+	204	204	1	79	132
rep1.HPV18	chr19~27856335~HPV18~5815	chr19	27856335	+	HPV18	5815	-	208	208	5	3	213
rep1.HPV18	chr5~132209685~HPV18~3594	chr5	132209685	+	HPV18	3594	-	3	3	0	1	2
rep1.HPV18	chr18~33574295~HPV18~3572	chr18	33574295	+	HPV18	3572	-	1	1	0	0	1
rep1.HPV18	chr21~18751085~HPV18~3636	chr21	18751085	+	HPV18	3636	-	215	215	5	144	81
rep1.HPV18	chr11~128012357~HPV18~932	chr11	128012357	+	HPV18	932	+	205	205	5	21	195
rep1.HPV18	chr2~118108489~HPV18~6751	chr2	118108489	+	HPV18	6751	-	5	5	0	6	0
rep1.HPV18	chr2~194991151~HPV18~6010	chr2	194991151	+	HPV18	6010	+	205	205	2	216	0
rep1.HPV18	chr3~165348778~HPV18~2604	chr3	165348778	+	HPV18	2604	-	187	187	1	124	67
rep1.HPV18	chr3~182498095~HPV18~2331	chr3	182498095	+	HPV18	2331	+	182	182	0	183	0
rep1.HPV18	chr22~22436543~HPV18~0	chr22	22436543	-	HPV18	0	?	1	1	0	1	1
rep1.HPV18	chr22~30626471~HPV18~4423	chr22	30626471	-	HPV18	4423	-	208	208	0	212	0
rep1.HPV18	chr22~42076181~HPV18~4397	chr22	42076181	-	HPV18	4397	+	221	221	0	45	181
rep1.HPV18	chr6~133400515~HPV18~3485	chr6	133400515	-	HPV18	3485	+	201	201	0	200	1
rep1.HPV18	chr5~145242152~HPV18~0	chr5	145242152	-	HPV18	0	?	1	1	0	2	0
rep1.HPV18	chr5~174338793~HPV18~1044	chr5	174338793	-	HPV18	1044	-	205	205	1	216	0
rep1.HPV18	chr4~34420909~HPV18~0	chr4	34420909	-	HPV18	0	?	1	1	0	1	1
rep1.HPV18	chr4~36979660~HPV18~2504	chr4	36979660	-	HPV18	2504	+	204	204	5	215	0
rep1.HPV18	chr4~165078898~HPV18~3441	chr4	165078898	-	HPV18	3441	+	195	195	0	111	84
rep1.HPV18	chr4~166852895~HPV18~3489	chr4	166852895	-	HPV18	3489	+	205	205	5	217	0
rep1.HPV18	chr4~179076720~HPV18~3850	chr4	179076720	-	HPV18	3850	-	1	1	0	0	1
rep1.HPV18	chrX~14468504~HPV18~2810	chrX	14468504	-	HPV18	2810	+	203	203	5	83	130
rep1.HPV18	chrX~24348660~HPV18~3334	chrX	24348660	-	HPV18	3334	+	3	3	1	2	3
rep1.HPV18	chrX~73171381~HPV18~2065	chrX	73171381	-	HPV18	2065	-	221	221	0	2	224
rep1.HPV18	chrX~105062552~HPV18~3050	chrX	105062552	-	HPV18	3050	-	221	221	1	15	211
rep1.HPV18	chr18~50217323~HPV18~4571	chr18	50217323	-	HPV18	4571	-	211	211	1	215	0
rep1.HPV18	chr15~27882237~HPV18~1101	chr15	27882237	-	HPV18	1101	+	217	217	0	217	0
rep1.HPV18	chr14~42331546~HPV18~0	chr14	42331546	-	HPV18	0	?	1	1	0	1	1
rep1.HPV18	chr8~13816542~HPV18~3095	chr8	13816542	-	HPV18	3095	-	202	202	0	203	2
rep1.HPV18	chr8~106848152~HPV18~2470	chr8	106848152	-	HPV18	2470	+	205	205	5	215	2
rep1.HPV18	chr9~25615094~HPV18~2283	chr9	25615094	-	HPV18	2283	+	204	204	5	208	6
rep1.HPV18	chr9~26615604~HPV18~7311	chr9	26615604	-	HPV18	7311	+	199	199	0	198	1
rep1.HPV18	chr9~38688636~HPV18~4815	chr9	38688636	-	HPV18	4815	+	205	205	2	75	140
rep1.HPV18	chr9~129968522~HPV18~6884	chr9	129968522	-	HPV18	6884	-	204	204	1	209	2
rep1.HPV18	chr3~4085988~HPV18~1309	chr3	4085988	-	HPV18	1309	-	204	204	1	211	0
rep1.HPV18	chr3~45590476~HPV18~0	chr3	45590476	-	HPV18	0	?	2	2	0	2	2
rep1.HPV18	chr2~23135891~HPV18~1743	chr2	23135891	-	HPV18	1743	+	204	204	1	216	0
rep1.HPV18	chr2~72806904~HPV18~0	chr2	72806904	-	HPV18	0	?	1	1	0	1	1
rep1.HPV18	chr12~9188697~HPV18~669	chr12	9188697	-	HPV18	669	-	221	221	0	13	212
rep1.HPV18	chr12~52176597~HPV18~6463	chr12	52176597	-	HPV18	6463	-	1	1	0	0	1
rep1.HPV18	chr12~113186221~HPV18~7017	chr12	113186221	-	HPV18	7017	-	204	204	5	214	0
rep1.HPV18	chr12~116483378~HPV18~6731	chr12	116483378	-	HPV18	6731	+	183	183	0	95	94
rep1.HPV31	chr22~34411482~HPV31~689	chr22	34411482	+	HPV31	689	+	204	204	4	212	0
rep1.HPV31	chr6~14764259~HPV31~2564	chr6	14764259	+	HPV31	2564	-	25	25	2	11	25
rep1.HPV31	chr11~6491575~HPV31~3950	chr11	6491575	+	HPV31	3950	+	8	8	1	5	8
rep1.HPV31	chr11~119103720~HPV31~0	chr11	119103720	+	HPV31	0	?	1	1	0	1	1
rep1.HPV31	chr19~22898773~HPV31~0	chr19	22898773	+	HPV31	0	?	1	1	0	1	1
rep1.HPV31	chr19~31223850~HPV31~1131	chr19	31223850	+	HPV31	1131	+	224	224	4	230	0
rep1.HPV31	chr19~46874870~HPV31~3870	chr19	46874870	+	HPV31	3870	+	191	191	4	36	164
rep1.HPV31	chr10~120782127~HPV31~819	chr10	120782127	+	HPV31	819	+	223	223	4	103	126
rep1.HPV31	chr20~14166798~HPV31~5285	chr20	14166798	+	HPV31	5285	-	203	203	1	213	0
rep1.HPV31	chr7~132928720~HPV31~5175	chr7	132928720	+	HPV31	5175	+	1	1	0	0	1
rep1.HPV31	chr7~152704407~HPV31~4763	chr7	152704407	+	HPV31	4763	+	222	222	6	72	156
rep1.HPV31	chr2~239199832~HPV31~0	chr2	239199832	+	HPV31	0	?	1	1	0	1	1
rep1.HPV31	chr12~37359582~HPV31~7372	chr12	37359582	+	HPV31	7372	-	129	129	6	17	118
rep1.HPV31	chr12~101431687~HPV31~6397	chr12	101431687	+	HPV31	6397	-	224	224	4	230	0
rep1.HPV31	chr3~192755934~HPV31~6716	chr3	192755934	+	HPV31	6716	+	178	178	0	117	68
rep1.HPV31	chr21~27214935~HPV31~5782	chr21	27214935	+	HPV31	5782	-	187	187	6	190	0
rep1.HPV31	chrX~118359981~HPV31~6635	chrX	118359981	+	HPV31	6635	-	188	188	6	190	1
rep1.HPV31	chr14~72033864~HPV31~2288	chr14	72033864	+	HPV31	2288	+	223	223	4	123	106
rep1.HPV31	chr4~27399061~HPV31~3325	chr4	27399061	+	HPV31	3325	-	191	191	7	196	0
rep1.HPV31	chr4~87436530~HPV31~2997	chr4	87436530	+	HPV31	2997	-	188	188	6	37	153
rep1.HPV31	chr4~185344303~HPV31~7251	chr4	185344303	+	HPV31	7251	-	128	128	1	33	106
rep1.HPV31	chr8~48608297~HPV31~3901	chr8	48608297	+	HPV31	3901	-	134	134	6	55	81
rep1.HPV31	chr8~73153564~HPV31~4317	chr8	73153564	+	HPV31	4317	+	214	214	0	191	23
rep1.HPV31	chr17~30360605~HPV31~3079	chr17	30360605	+	HPV31	3079	+	188	188	6	144	46
rep1.HPV31	chr5~8906203~HPV31~2523	chr5	8906203	+	HPV31	2523	-	222	222	4	230	0
rep1.HPV31	chr5~16752507~HPV31~819	chr5	16752507	+	HPV31	819	+	7	7	4	4	5
rep1.HPV31	chr16~31868462~HPV31~2077	chr16	31868462	+	HPV31	2077	-	224	224	4	174	56
rep1.HPV31	chr16~49227492~HPV31~1590	chr16	49227492	+	HPV31	1590	+	185	185	0	185	0
rep1.HPV31	chr1~83050187~HPV31~1665	chr1	83050187	+	HPV31	1665	+	205	205	1	37	179
rep1.HPV31	chr1~97271448~HPV31~2420	chr1	97271448	+	HPV31	2420	-	222	222	4	228	0
rep1.HPV31	chr1~202788593~HPV31~4471	chr1	202788593	+	HPV31	4471	+	10	10	0	4	10
rep1.HPV31	chr14~82248068~HPV31~7728	chr14	82248068	-	HPV31	7728	-	188	188	7	140	50
rep1.HPV31	chr15~56841237~HPV31~7445	chr15	56841237	-	HPV31	7445	-	110	110	4	116	2
rep1.HPV31	chr15~75761418~HPV31~0	chr15	75761418	-	HPV31	0	?	1	1	0	1	1
rep1.HPV31	chr15~77939299~HPV31~6980	chr15	77939299	-	HPV31	6980	-	188	188	6	10	180
rep1.HPV31	chr3~126574735~HPV31~2106	chr3	126574735	-	HPV31	2106	-	219	219	1	142	87
rep1.HPV31	chr13~62660650~HPV31~5364	chr13	62660650	-	HPV31	5364	-	185	185	1	87	105
rep1.HPV31	chr1~85556544~HPV31~5406	chr1	85556544	-	HPV31	5406	+	215	215	4	142	81
rep1.HPV31	chr1~202788554~HPV31~4639	chr1	202788554	-	HPV31	4639	-	18	18	0	13	13
rep1.HPV31	chr4~13223970~HPV31~2591	chr4	13223970	-	HPV31	2591	+	205	205	1	210	6
rep1.HPV31	chr4~98547879~HPV31~2020	chr4	98547879	-	HPV31	2020	+	172	172	0	122	61
rep1.HPV31	chr8~38923529~HPV31~4639	chr8	38923529	-	HPV31	4639	-	199	199	0	153	46
rep1.HPV31	chr8~78116646~HPV31~4231	chr8	78116646	-	HPV31	4231	-	199	199	4	209	1
rep1.HPV31	chr8~121636409~HPV31~491	chr8	121636409	-	HPV31	491	+	225	225	5	236	0
rep1.HPV31	chr16~4667661~HPV31~1347	chr16	4667661	-	HPV31	1347	+	221	221	4	229	0
rep1.HPV31	chr19~22333987~HPV31~3870	chr19	22333987	-	HPV31	3870	+	3	3	2	3	1
rep1.HPV31	chr19~30020183~HPV31~7340	chr19	30020183	-	HPV31	7340	-	73	73	5	73	1
rep1.HPV31	chr11~56800609~HPV31~0	chr11	56800609	-	HPV31	0	?	1	1	0	1	1
rep1.HPV31	chr11~115796276~HPV31~2893	chr11	115796276	-	HPV31	2893	+	224	224	4	229	1
rep1.HPV31	chr22~19740271~HPV31~6879	chr22	19740271	-	HPV31	6879	+	128	128	4	136	0
rep1.HPV31	chr22~20369350~HPV31~1298	chr22	20369350	-	HPV31	1298	+	205	205	1	5	211
rep1.HPV31	chr9~2725574~HPV31~5944	chr9	2725574	-	HPV31	5944	-	188	188	6	191	0
rep1.HPV31	chr9~64980842~HPV31~0	chr9	64980842	-	HPV31	0	?	1	1	0	1	1
rep1.HPV31	chr9~113274448~HPV31~1890	chr9	113274448	-	HPV31	1890	-	205	205	1	216	0
rep1.HPV31	chr12~123246667~HPV31~5433	chr12	123246667	-	HPV31	5433	-	204	204	0	0	212
rep1.HPV31	chr10~126835631~HPV31~624	chr10	126835631	-	HPV31	624	+	218	218	4	226	0
rep1.HPV31	chr2~61328260~HPV31~3870	chr2	61328260	-	HPV31	3870	+	2	2	1	1	2
rep1.HPV31	chr7~108195376~HPV31~3950	chr7	108195376	-	HPV31	3950	+	185	185	2	82	122
rep1.HPV31	chr20~50544385~HPV31~6278	chr20	50544385	-	HPV31	6278	-	224	224	4	126	104
rep1.HPV33	chr19~53670974~HPV33~460	chr19	53670974	+	HPV33	460	+	215	215	4	178	40
rep1.HPV33	chr13~109272060~HPV33~60	chr13	109272060	+	HPV33	60	+	205	205	4	103	104
rep1.HPV33	chr3~171799854~HPV33~627	chr3	171799854	+	HPV33	627	+	205	205	4	158	49
rep1.HPV33	chr3~182689478~HPV33~4541	chr3	182689478	+	HPV33	4541	+	208	208	1	148	69
rep1.HPV33	chr20~23140335~HPV33~4933	chr20	23140335	+	HPV33	4933	+	210	210	5	123	96
rep1.HPV33	chr12~77936009~HPV33~0	chr12	77936009	+	HPV33	0	?	2	2	0	2	2
rep1.HPV33	chr2~115822373~HPV33~4980	chr2	115822373	+	HPV33	4980	-	188	188	6	169	22
rep1.HPV33	chr2~121603406~HPV33~5692	chr2	121603406	+	HPV33	5692	-	202	202	4	41	164
rep1.HPV33	chr2~180365290~HPV33~2197	chr2	180365290	+	HPV33	2197	-	205	205	4	207	0
rep1.HPV33	chr9~1348096~HPV33~3223	chr9	1348096	+	HPV33	3223	-	218	218	5	227	0
rep1.HPV33	chr16~7377019~HPV33~590	chr16	7377019	+	HPV33	590	+	210	210	1	218	1
rep1.HPV33	chr8~85380072~HPV33~6732	chr8	85380072	+	HPV33	6732	-	228	228	5	237	0
rep1.HPV33	chr8~139954506~HPV33~3889	chr8	139954506	+	HPV33	3889	-	210	210	1	196	23
rep1.HPV33	chr14~66517953~HPV33~0	chr14	66517953	+	HPV33	0	?	2	2	0	2	2
rep1.HPV33	chr14~85259734~HPV33~837	chr14	85259734	+	HPV33	837	+	1	1	0	0	1
rep1.HPV33	chr5~53205402~HPV33~2998	chr5	53205402	+	HPV33	2998	+	210	210	1	79	140
rep1.HPV33	chr5~99404599~HPV33~3651	chr5	99404599	+	HPV33	3651	+	201	201	5	12	198
rep1.HPV33	chr5~159323076~HPV33~6819	chr5	159323076	+	HPV33	6819	+	167	167	8	177	0
rep1.HPV33	chr6~19931769~HPV33~3677	chr6	19931769	+	HPV33	3677	-	215	215	4	218	0
rep1.HPV33	chr6~21642852~HPV33~5500	chr6	21642852	+	HPV33	5500	+	203	203	0	2	211
rep1.HPV33	chr6~47430071~HPV33~0	chr6	47430071	+	HPV33	0	?	1	1	0	1	1
rep1.HPV33	chr6~84792058~HPV33~5429	chr6	84792058	+	HPV33	5429	+	228	228	5	237	0
rep1.HPV33	chr6~146375817~HPV33~720	chr6	146375817	+	HPV33	720	+	205	205	4	54	153
rep1.HPV33	chr10~17994914~HPV33~6102	chr10	17994914	+	HPV33	6102	-	210	210	1	218	1
rep1.HPV33	chr10~99707210~HPV33~1438	chr10	99707210	+	HPV33	1438	-	210	210	1	219	0
rep1.HPV33	chr17~41041755~HPV33~6669	chr17	41041755	+	HPV33	6669	+	198	198	4	191	9
rep1.HPV33	chr18~56397586~HPV33~3603	chr18	56397586	+	HPV33	3603	+	191	191	4	195	1
rep1.HPV33	chr7~112772740~HPV33~7145	chr7	112772740	+	HPV33	7145	-	178	178	0	178	0
rep1.HPV33	chr7~152059693~HPV33~0	chr7	152059693	+	HPV33	0	?	1	1	0	1	1
rep1.HPV33	chr4~102138620~HPV33~6900	chr4	102138620	+	HPV33	6900	-	185	185	0	185	0
rep1.HPV33	chr1~66174699~HPV33~3384	chr1	66174699	+	HPV33	3384	+	1	1	0	0	1
rep1.HPV33	chr21~29599064~HPV33~3424	chr21	29599064	-	HPV33	3424	-	207	207	4	200	11
rep1.HPV33	chr2~176607771~HPV33~3809	chr2	176607771	-	HPV33	3809	+	205	205	5	135	79
rep1.HPV33	chr20~29553964~HPV33~1940	chr20	29553964	-	HPV33	1940	+	228	228	5	26	211
rep1.HPV33	chr20~48686983~HPV33~5066	chr20	48686983	-	HPV33	5066	-	210	210	1	219	0
rep1.HPV33	chr20~52301357~HPV33~5385	chr20	52301357	-	HPV33	5385	-	214	214	4	217	0
rep1.HPV33	chr13~20430273~HPV33~7846	chr13	20430273	-	HPV33	7846	-	209	209	1	218	0
rep1.HPV33	chr13~24449091~HPV33~0	chr13	24449091	-	HPV33	0	?	1	1	0	1	1
rep1.HPV33	chr19~19243275~HPV33~102	chr19	19243275	-	HPV33	102	+	218	218	5	28	200
rep1.HPV33	chr1~53441954~HPV33~3720	chr1	53441954	-	HPV33	3720	-	210	210	1	188	31
rep1.HPV33	chr1~69627813~HPV33~933	chr1	69627813	-	HPV33	933	+	228	228	5	232	5
rep1.HPV33	chr1~215835079~HPV33~3996	chr1	215835079	-	HPV33	3996	+	196	196	1	200	0
rep1.HPV33	chrX~21602563~HPV33~4429	chrX	21602563	-	HPV33	4429	-	210	210	2	113	107
rep1.HPV33	chrX~75686722~HPV33~0	chrX	75686722	-	HPV33	0	?	1	1	0	1	1
rep1.HPV33	chr4~19978540~HPV33~239	chr4	19978540	-	HPV33	239	+	207	207	4	138	73
rep1.HPV33	chr4~34335577~HPV33~0	chr4	34335577	-	HPV33	0	?	3	3	0	3	3
rep1.HPV33	chr4~138793074~HPV33~0	chr4	138793074	-	HPV33	0	?	1	1	0	1	1
rep1.HPV33	chr4~158791222~HPV33~3177	chr4	158791222	-	HPV33	3177	+	197	197	4	47	154
rep1.HPV33	chrY~14388496~HPV33~6357	chrY	14388496	-	HPV33	6357	-	11	11	4	0	15
rep1.HPV33	chr17~75455654~HPV33~7138	chr17	75455654	-	HPV33	7138	-	198	198	4	202	0
rep1.HPV33	chr10~3319304~HPV33~1539	chr10	3319304	-	HPV33	1539	-	210	210	1	14	205
rep1.HPV33	chr7~35852291~HPV33~7257	chr7	35852291	-	HPV33	7257	-	145	145	4	60	87
rep1.HPV33	chr7~38027655~HPV33~134	chr7	38027655	-	HPV33	134	+	185	185	6	182	6
rep1.HPV33	chr18~36997750~HPV33~5105	chr18	36997750	-	HPV33	5105	-	210	210	1	219	0
rep1.HPV33	chr18~68151179~HPV33~7511	chr18	68151179	-	HPV33	7511	-	136	136	5	93	51
rep1.HPV33	chr14~99848805~HPV33~1384	chr14	99848805	-	HPV33	1384	+	189	189	4	123	68
rep1.HPV33	chr8~3014520~HPV33~2389	chr8	3014520	-	HPV33	2389	+	205	205	4	79	128
rep1.HPV33	chr16~4781551~HPV33~1463	chr16	4781551	-	HPV33	1463	+	198	198	4	42	158
rep1.HPV35	chr3~5106741~HPV35~0	chr3	5106741	+	HPV35	0	?	2	2	0	2	2
rep1.HPV35	chr3~13464669~HPV35~2303	chr3	13464669	+	HPV35	2303	+	209	209	0	138	78
rep1.HPV35	chr3~75660167~HPV35~4942	chr3	75660167	+	HPV35	4942	-	214	214	5	25	193
rep1.HPV35	chr3~110302118~HPV35~2784	chr3	110302118	+	HPV35	2784	-	203	203	4	214	0
rep1.HPV35	chr3~161496877~HPV35~2919	chr3	161496877	+	HPV35	2919	+	187	187	2	193	2
rep1.HPV35	chr10~1220131~HPV35~3494	chr10	1220131	+	HPV35	3494	+	9	9	0	7	3
rep1.HPV35	chr10~71492346~HPV35~3766	chr10	71492346	+	HPV35	3766	-	203	203	4	214	0
rep1.HPV35	chr10~74585303~HPV35~6319	chr10	74585303	+	HPV35	6319	+	186	186	0	186	0
rep1.HPV35	chr13~29912001~HPV35~2561	chr13	29912001	+	HPV35	2561	-	217	217	5	222	0
rep1.HPV35	chr6~149792502~HPV35~6802	chr6	149792502	+	HPV35	6802	+	167	167	6	41	129
rep1.HPV35	chr6~151781153~HPV35~7224	chr6	151781153	+	HPV35	7224	-	182	182	7	161	29
rep1.HPV35	chr4~68081231~HPV35~1809	chr4	68081231	+	HPV35	1809	-	215	215	4	218	0
rep1.HPV35	chr4~100945134~HPV35~7437	chr4	100945134	+	HPV35	7437	-	140	140	1	144	1
rep1.HPV35	chr4~109657890~HPV35~6513	chr4	109657890	+	HPV35	6513	-	204	204	4	190	25
rep1.HPV35	chr4~178869404~HPV35~3834	chr4	178869404	+	HPV35	3834	-	1	1	0	0	1
rep1.HPV35	chr11~119197054~HPV35~5034	chr11	119197054	+	HPV35	5034	-	215	215	4	202	16
rep1.HPV35	chr12~28928561~HPV35~2209	chr12	28928561	+	HPV35	2209	-	215	215	1	220	0
