sample_name	chr	minpos	maxpos	reads	forward	reverse	Min	Max	Split1	Split2
rep1.HPV16	chr18	10602026	10602563	135	135	0	10602239	10602539	-1	-1
rep1.HPV16	chr18	62291580	62292116	225	0	225	62291580	62291880	-1	62291581
rep1.HPV16	chr19	13868385	13868922	222	222	0	13868621	13868921	13868921	-1
rep1.HPV16	chr19	30473037	30473602	194	194	0	30473302	30473602	30473601	-1
rep1.HPV16	chr19	36853820	36854334	224	0	224	36853820	36854120	-1	36853821
rep1.HPV16	chr19	48025785	48026298	224	224	0	48025998	48026298	48026297	-1
rep1.HPV16	chr19	48030274	48030787	224	224	0	48030487	48030787	48030786	-1
rep1.HPV16	chr2	210344928	210345495	182	0	182	210344928	210345228	-1	-1
rep1.HPV16	chr20	60918074	60918611	226	0	226	60918074	60918374	-1	60918075
rep1.HPV16	chr3	100385150	100385664	225	0	225	100385150	100385450	-1	100385150
rep1.HPV16	chr4	4376540	4377046	194	0	194	4376540	4376840	-1	4376541
rep1.HPV16	chr4	24368507	24369073	205	0	205	24368507	24368807	-1	24368507
rep1.HPV16	chr4	58456065	58456579	224	0	224	58456065	58456365	-1	58456066
rep1.HPV16	chr5	61864178	61864714	226	226	0	61864414	61864714	61864713	-1
rep1.HPV16	chr5	88059394	88059943	212	212	0	88059643	88059943	-1	-1
rep1.HPV16	chr5	90694617	90695153	225	0	225	90694617	90694917	-1	90694618
rep1.HPV16	chr5	161762310	161762876	204	0	204	161762310	161762610	-1	161762311
rep1.HPV16	chr6	103109835	103110378	212	212	0	103110077	103110377	103110377	-1
rep1.HPV16	chr7	23918102	23918645	212	212	0	23918344	23918644	23918644	-1
rep1.HPV16	chr8	74170117	74170632	177	0	177	74170117	74170417	-1	74170117
rep1.HPV16	chr9	41674484	41674833	42	0	42	41674484	41674784	-1	-1
rep1.HPV16	chr9	94022447	94022553	21	21	0	94022225	94022525	94022522	-1
rep1.HPV16	chr9	113943096	113943632	225	0	225	113943096	113943396	-1	113943097
rep1.HPV16	chrX	3166141	3166684	211	211	0	3166383	3166683	3166683	-1
rep1.HPV16	chrX	94818482	94819025	212	0	212	94818482	94818782	-1	94818482
rep1.HPV18	chr1	75060355	75060898	182	182	0	75060597	75060897	75060897	-1
rep1.HPV18	chr1	82063881	82064428	196	196	0	82064127	82064427	82064427	-1
rep1.HPV18	chr1	197320296	197320839	215	215	0	197320538	197320838	197320838	-1
rep1.HPV18	chr1	218052490	218053027	153	153	0	218052726	218053026	218053026	-1
rep1.HPV18	chr10	90916816	90917363	196	196	0	90917062	90917362	90917362	-1
rep1.HPV18	chr11	128011820	128012357	160	160	0	128012056	128012356	128012356	-1
rep1.HPV18	chr12	9188694	9189239	166	0	166	9188694	9188994	-1	-1
rep1.HPV18	chr12	113186220	113186757	193	0	193	113186220	113186520	-1	113186220
rep1.HPV18	chr12	116483378	116483929	215	0	215	116483378	116483678	-1	116483386
rep1.HPV18	chr13	66431970	66432513	215	215	0	66432212	66432512	66432512	-1
rep1.HPV18	chr14	67998648	67999193	194	194	0	67998893	67999193	67999192	-1
rep1.HPV18	chr15	27882236	27882779	215	0	215	27882236	27882536	-1	27882236
rep1.HPV18	chr15	69576061	69576598	194	194	0	69576297	69576597	69576597	-1
rep1.HPV18	chr16	65806824	65807361	193	193	0	65807060	65807360	65807360	-1
rep1.HPV18	chr17	5758374	5758917	215	215	0	5758618	5758918	5758916	-1
rep1.HPV18	chr17	8297534	8298021	133	133	0	8297720	8298020	-1	-1
rep1.HPV18	chr17	30772968	30773542	154	154	0	30773213	30773513	30773512	-1
rep1.HPV18	chr18	50217320	50217865	215	0	215	50217320	50217620	-1	50217322
rep1.HPV18	chr19	27855770	27856306	78	78	0	27856005	27856305	-1	-1
rep1.HPV18	chr2	23135889	23136435	194	0	194	23135889	23136189	-1	23135890
rep1.HPV18	chr2	194990603	194991151	195	195	0	194990850	194991150	194991150	-1
rep1.HPV18	chr21	10126366	10126821	47	47	0	10126520	10126820	-1	-1
rep1.HPV18	chr21	18750518	18751085	205	205	0	18750784	18751084	18751084	-1
rep1.HPV18	chr22	30626470	30627013	215	0	215	30626470	30626770	-1	30626470
rep1.HPV18	chr22	33197006	33197553	194	194	0	33197252	33197552	33197552	-1
rep1.HPV18	chr22	42076179	42076725	126	0	126	42076179	42076479	-1	42076180
rep1.HPV18	chr3	4085987	4086534	194	0	194	4085987	4086287	-1	4085987
rep1.HPV18	chr3	165348232	165348779	185	185	0	165348478	165348778	165348778	-1
rep1.HPV18	chr3	182497548	182498095	196	196	0	182497794	182498094	182498094	-1
rep1.HPV18	chr4	36979659	36980197	194	0	194	36979659	36979959	-1	36979659
rep1.HPV18	chr4	165078897	165079445	137	0	137	165078897	165079197	-1	-1
rep1.HPV18	chr4	166852894	166853432	194	0	194	166852894	166853194	-1	166852894
rep1.HPV18	chr5	174338792	174339336	192	0	192	174338792	174339092	-1	174338792
rep1.HPV18	chr6	42869631	42870201	114	114	0	42869877	42870177	-1	-1
rep1.HPV18	chr6	133400514	133401061	194	0	194	133400514	133400814	-1	133400514
rep1.HPV18	chr7	13077049	13077596	196	196	0	13077295	13077595	13077595	-1
rep1.HPV18	chr8	13816539	13817084	215	0	215	13816539	13816839	-1	13816541
rep1.HPV18	chr8	106848154	106848692	194	0	194	106848154	106848454	-1	106848154
rep1.HPV18	chr9	25615097	25615634	193	0	193	25615097	25615397	-1	25615097
rep1.HPV18	chr9	26615603	26616150	194	0	194	26615603	26615903	-1	26615603
rep1.HPV18	chr9	38688635	38689183	145	0	145	38688635	38688935	-1	38688635
rep1.HPV18	chr9	102619639	102620176	193	193	0	102619875	102620175	102620175	-1
rep1.HPV18	chr9	129968541	129969088	194	0	194	129968541	129968841	-1	129968541
rep1.HPV18	chrX	14468503	14468723	93	0	93	14468503	14468803	-1	14468503
rep1.HPV18	chrX	73171379	73171924	191	0	191	73171379	73171679	-1	73171380
rep1.HPV18	chrX	105062559	105063102	215	0	215	105062559	105062859	-1	105062559
rep1.HPV18	chrY	12041944	12042485	123	123	0	12042184	12042484	-1	-1
rep1.HPV31	chr1	83049710	83050187	128	128	0	83049886	83050186	83050186	-1
rep1.HPV31	chr1	85556543	85557027	177	0	177	85556543	85556843	-1	-1
rep1.HPV31	chr1	97270935	97271448	215	215	0	97271148	97271448	97271447	-1
rep1.HPV31	chr10	120781614	120782103	142	142	0	120781802	120782102	-1	-1
rep1.HPV31	chr10	126835629	126836154	213	0	213	126835629	126835929	-1	126835630
rep1.HPV31	chr11	115796274	115796788	215	0	215	115796274	115796574	-1	115796275
rep1.HPV31	chr12	37359067	37359582	188	188	0	37359282	37359582	37359581	-1
rep1.HPV31	chr12	101431174	101431687	215	215	0	101431387	101431687	101431686	-1
rep1.HPV31	chr12	123246667	123247146	57	0	57	123246667	123246967	-1	-1
rep1.HPV31	chr13	62660649	62661193	171	0	171	62660649	62660949	-1	62660649
rep1.HPV31	chr14	72033351	72033864	215	215	0	72033564	72033864	72033863	-1
rep1.HPV31	chr14	82248067	82248609	181	0	181	82248067	82248367	-1	82248067
rep1.HPV31	chr15	56841235	56841749	218	0	218	56841235	56841535	-1	56841236
rep1.HPV31	chr15	77939300	77939845	135	0	135	77939300	77939600	-1	77939303
rep1.HPV31	chr16	4667659	4668184	213	0	213	4667659	4667959	-1	4667660
rep1.HPV31	chr16	31867975	31868462	214	214	0	31868161	31868461	31868461	-1
rep1.HPV31	chr16	49226995	49227499	180	180	0	49227198	49227498	-1	-1
rep1.HPV31	chr17	30360063	30360605	181	181	0	30360304	30360604	30360604	-1
rep1.HPV31	chr19	30020182	30020724	181	0	181	30020182	30020482	-1	30020182
rep1.HPV31	chr19	31223334	31223847	215	215	0	31223549	31223849	31223846	-1
rep1.HPV31	chr19	46874357	46874855	129	129	0	46874554	46874854	-1	-1
rep1.HPV31	chr20	14166254	14166798	192	192	0	14166497	14166797	14166797	-1
rep1.HPV31	chr20	50544383	50544897	197	0	197	50544383	50544683	-1	50544384
rep1.HPV31	chr21	13410248	13410792	71	71	0	13410493	13410793	13410791	-1
rep1.HPV31	chr21	27214392	27214935	183	183	0	27214634	27214934	27214934	-1
rep1.HPV31	chr22	19740269	19740794	213	0	213	19740269	19740569	-1	19740270
rep1.HPV31	chr22	20369349	20369784	113	0	113	20369349	20369649	-1	-1
rep1.HPV31	chr22	34410949	34411473	213	213	0	34411173	34411473	34411472	-1
rep1.HPV31	chr3	126574733	126575247	201	0	201	126574733	126575033	-1	-1
rep1.HPV31	chr3	192755465	192755998	178	178	0	192755680	192755980	-1	-1
rep1.HPV31	chr4	13223976	13224520	192	0	192	13223976	13224276	-1	13223976
rep1.HPV31	chr4	27398519	27399061	182	182	0	27398760	27399060	27399060	-1
rep1.HPV31	chr4	87435988	87436530	158	158	0	87436229	87436529	87436529	-1
rep1.HPV31	chr4	98547886	98548422	146	0	146	98547886	98548186	-1	-1
rep1.HPV31	chr4	185343759	185344329	142	142	0	185344002	185344302	-1	-1
rep1.HPV31	chr5	8905679	8906203	213	213	0	8905903	8906203	8906202	-1
rep1.HPV31	chr7	108195375	108195919	178	0	178	108195375	108195675	-1	108195375
rep1.HPV31	chr7	152703892	152704407	139	139	0	152704107	152704407	152704406	-1
rep1.HPV31	chr8	38923528	38924057	211	0	211	38923528	38923828	-1	-1
rep1.HPV31	chr8	48607785	48608297	150	150	0	48607996	48608296	48608296	-1
rep1.HPV31	chr8	73153038	73153564	213	213	0	73153264	73153564	73153563	-1
rep1.HPV31	chr8	78116644	78117171	213	0	213	78116644	78116944	-1	78116645
rep1.HPV31	chr8	121636407	121636932	215	0	215	121636407	121636707	-1	-1
rep1.HPV31	chr9	2725572	2726117	183	0	183	2725572	2725872	-1	2725573
rep1.HPV31	chr9	113274447	113274991	192	0	192	113274447	113274747	-1	113274447
rep1.HPV31	chrX	34002029	34002571	179	179	0	34002270	34002570	34002570	-1
rep1.HPV31	chrX	48305396	48305860	151	0	151	48305396	48305696	-1	-1
rep1.HPV31	chrX	118359437	118359981	183	183	0	118359681	118359981	118359980	-1
rep1.HPV31	chrX	120263995	120264520	213	0	213	120263995	120264295	-1	120263996
rep1.HPV33	chr1	53441953	53442503	198	0	198	53441953	53442253	-1	53441956
rep1.HPV33	chr1	69627811	69628310	218	0	218	69627811	69628111	-1	69627812
rep1.HPV33	chr1	215835077	215835627	201	0	201	215835077	215835377	-1	215835078
rep1.HPV33	chr10	3319303	3319850	74	0	74	3319303	3319603	-1	3319303
rep1.HPV33	chr10	17994367	17994914	197	197	0	17994613	17994913	17994913	-1
rep1.HPV33	chr10	99706663	99707210	198	198	0	99706909	99707209	99707209	-1
rep1.HPV33	chr13	20430272	20430819	197	0	197	20430272	20430572	-1	20430272
rep1.HPV33	chr13	109271490	109272060	201	201	0	109271759	109272059	109272059	-1
rep1.HPV33	chr14	99848804	99849374	201	0	201	99848804	99849104	-1	99848804
rep1.HPV33	chr16	4781550	4782055	111	0	111	4781550	4781850	-1	4781550
rep1.HPV33	chr16	7376472	7377019	197	197	0	7376718	7377018	7377018	-1
rep1.HPV33	chr17	41041186	41041755	200	200	0	41041454	41041754	41041754	-1
rep1.HPV33	chr17	46337411	46337534	6	0	6	46337411	46337711	-1	-1
rep1.HPV33	chr17	75455653	75456222	200	0	200	75455653	75455953	-1	75455653
rep1.HPV33	chr18	36997743	36998296	197	0	197	36997743	36998043	-1	36997749
rep1.HPV33	chr18	56397077	56397586	211	211	0	56397285	56397585	56397585	-1
rep1.HPV33	chr18	68151177	68151676	218	0	218	68151177	68151477	-1	68151178
rep1.HPV33	chr19	7039919	7040049	31	0	31	7039919	7040219	-1	-1
rep1.HPV33	chr19	19243294	19243772	120	0	120	19243294	19243594	-1	-1
rep1.HPV33	chr19	53670467	53670954	183	183	0	53670653	53670953	-1	-1
rep1.HPV33	chr2	115821830	115822373	183	183	0	115822074	115822374	115822372	-1
rep1.HPV33	chr2	121602837	121603406	200	200	0	121603105	121603405	121603405	-1
rep1.HPV33	chr2	176607838	176608270	161	0	161	176607838	176608138	-1	-1
rep1.HPV33	chr2	180364720	180365290	203	203	0	180364991	180365291	180365289	-1
rep1.HPV33	chr20	23139836	23140335	116	116	0	23140035	23140335	23140334	-1
rep1.HPV33	chr20	29553965	29554293	109	0	109	29553965	29554265	-1	29553966
rep1.HPV33	chr20	48686982	48687529	198	0	198	48686982	48687282	-1	48686982
rep1.HPV33	chr20	52301356	52301863	208	0	208	52301356	52301656	-1	52301356
rep1.HPV33	chr21	29599063	29599633	202	0	202	29599063	29599363	-1	29599063
rep1.HPV33	chr3	171799343	171799849	202	202	0	171799548	171799848	171799848	-1
rep1.HPV33	chr3	182688930	182689478	201	201	0	182689177	182689477	182689477	-1
rep1.HPV33	chr4	19978539	19979108	200	0	200	19978539	19978839	-1	19978539
rep1.HPV33	chr4	102138072	102138620	199	199	0	102138321	102138621	102138619	-1
rep1.HPV33	chr4	158791221	158791791	80	0	80	158791221	158791521	-1	158791221
rep1.HPV33	chr5	53204855	53205402	187	187	0	53205101	53205401	53205401	-1
rep1.HPV33	chr5	99404101	99404592	136	136	0	99404291	99404591	-1	-1
rep1.HPV33	chr5	159322577	159323076	218	218	0	159322776	159323076	159323075	-1
rep1.HPV33	chr6	19931262	19931802	208	208	0	19931468	19931768	19931768	-1
rep1.HPV33	chr6	21642305	21642878	136	136	0	21642554	21642854	-1	-1
rep1.HPV33	chr6	84791560	84792058	218	218	0	84791758	84792058	84792057	-1
rep1.HPV33	chr6	146375248	146375817	188	188	0	146375516	146375816	146375816	-1
rep1.HPV33	chr7	35852319	35852859	179	0	179	35852319	35852619	-1	-1
rep1.HPV33	chr7	38027654	38028197	183	0	183	38027654	38027954	-1	38027654
rep1.HPV33	chr7	112772171	112772740	200	200	0	112772439	112772739	112772739	-1
rep1.HPV33	chr8	3014519	3015089	203	0	203	3014519	3014819	-1	3014519
rep1.HPV33	chr8	85379574	85380072	218	218	0	85379772	85380072	85380071	-1
rep1.HPV33	chr8	139953953	139954500	198	198	0	139954199	139954499	139954499	-1
rep1.HPV33	chr9	1347598	1348096	218	218	0	1347796	1348096	1348095	-1
rep1.HPV33	chrX	21602561	21603111	201	0	201	21602561	21602861	-1	21602562
rep1.HPV35	chr1	63672934	63673421	191	0	191	63672934	63673234	-1	63672934
rep1.HPV35	chr1	232493853	232494409	209	209	0	232494109	232494409	232494408	-1
rep1.HPV35	chr10	1219604	1220156	207	207	0	1219831	1220131	-1	-1
rep1.HPV35	chr10	71491807	71492346	192	192	0	71492046	71492346	71492345	-1
rep1.HPV35	chr10	74584763	74585303	193	193	0	74585003	74585303	74585302	-1
rep1.HPV35	chr10	75585405	75585945	194	0	194	75585405	75585705	-1	-1
rep1.HPV35	chr11	119196570	119197087	205	205	0	119196753	119197053	119197053	-1
rep1.HPV35	chr12	28928036	28928561	208	208	0	28928260	28928560	28928560	-1
rep1.HPV35	chr13	29911445	29912001	209	209	0	29911702	29912002	29912000	-1
rep1.HPV35	chr14	35546875	35547415	192	0	192	35546875	35547175	-1	35546876
rep1.HPV35	chr15	85991888	85992404	169	0	169	85991888	85992188	-1	-1
rep1.HPV35	chr16	6337588	6338144	209	209	0	6337844	6338144	6338143	-1
rep1.HPV35	chr16	20601772	20602338	162	162	0	20602026	20602326	-1	-1
rep1.HPV35	chr17	30316437	30316976	192	192	0	30316677	30316977	30316975	-1
rep1.HPV35	chr17	30558811	30559366	207	207	0	30559065	30559365	30559365	-1
rep1.HPV35	chr17	75265094	75265634	143	143	0	75265334	75265634	75265633	-1
rep1.HPV35	chr17	76346391	76346946	161	161	0	76346645	76346945	76346945	-1
rep1.HPV35	chr18	58995619	58996159	210	210	0	58995825	58996125	58996125	-1
rep1.HPV35	chr18	79561630	79562155	208	208	0	79561858	79562158	79562154	-1
rep1.HPV35	chr19	53833678	53834204	110	0	110	53833678	53833978	-1	53833678
rep1.HPV35	chr2	14004261	14004786	208	0	208	14004261	14004561	-1	14004261
rep1.HPV35	chr2	203344061	203344616	194	194	0	203344317	203344617	203344615	-1
rep1.HPV35	chr20	57464068	57464609	125	0	125	57464068	57464368	-1	57464069
rep1.HPV35	chr22	36284676	36285185	210	0	210	36284676	36284976	-1	36284676
rep1.HPV35	chr22	50140176	50140701	208	208	0	50140400	50140700	50140700	-1
rep1.HPV35	chr3	13464114	13464657	179	179	0	13464356	13464656	-1	-1
rep1.HPV35	chr3	75659605	75660160	143	143	0	75659861	75660161	75660159	-1
rep1.HPV35	chr3	110301579	110302118	192	192	0	110301819	110302119	110302117	-1
rep1.HPV35	chr3	161496351	161496877	208	208	0	161496577	161496877	161496876	-1
rep1.HPV35	chr3	164643470	164643977	208	0	208	164643470	164643770	-1	164643470
rep1.HPV35	chr3	184105065	184105572	210	0	210	184105065	184105365	-1	184105065
rep1.HPV35	chr4	2405223	2405764	193	0	193	2405223	2405523	-1	2405224
rep1.HPV35	chr4	68080724	68081264	208	208	0	68080932	68081232	68081230	-1
rep1.HPV35	chr4	100944609	100945134	208	208	0	100944833	100945133	100945133	-1
rep1.HPV35	chr4	109657351	109657890	192	192	0	109657591	109657891	109657889	-1
rep1.HPV35	chr4	144766654	144767195	131	0	131	144766654	144766954	-1	144766655
rep1.HPV35	chr5	66048037	66048562	208	0	208	66048037	66048337	-1	66048037
rep1.HPV35	chr5	118608141	118608696	207	0	207	118608141	118608441	-1	118608141
rep1.HPV35	chr5	169598591	169599116	208	0	208	169598591	169598891	-1	169598591
rep1.HPV35	chr6	149791989	149792529	99	99	0	149792195	149792495	149792495	-1
rep1.HPV35	chr6	151780598	151781153	209	209	0	151780852	151781152	-1	-1
rep1.HPV35	chr7	111538192	111538737	177	177	0	111538416	111538716	-1	-1
rep1.HPV35	chr7	137683995	137684551	209	209	0	137684251	137684551	137684550	-1
rep1.HPV35	chr9	11387807	11388364	207	0	207	11387807	11388107	-1	11387809
rep1.HPV35	chr9	23865253	23865712	152	0	152	23865253	23865553	-1	-1
rep1.HPV35	chr9	92365657	92366220	99	99	0	92365897	92366197	-1	-1
rep1.HPV35	chr9	105481815	105482322	188	0	188	105481815	105482115	-1	-1
rep1.HPV35	chrX	33618071	33618611	210	210	0	33618277	33618577	33618577	-1
rep1.HPV35	chrX	110217365	110217922	207	0	207	110217365	110217665	-1	110217367
rep1.HPV35	chrY	13083065	13083604	192	192	0	13083304	13083604	13083603	-1
rep1.HPV39	chr1	83768193	83768695	185	0	185	83768193	83768493	-1	83768193
rep1.HPV39	chr10	926822	927322	206	206	0	927021	927321	927321	-1
rep1.HPV39	chr10	17774253	17774789	197	0	197	17774253	17774553	-1	-1
rep1.HPV39	chr10	33621058	33621594	204	0	204	33621058	33621358	-1	33621058
rep1.HPV39	chr10	36075521	36076044	217	0	217	36075521	36075821	-1	36075521
rep1.HPV39	chr10	72596142	72596619	134	0	134	72596142	72596442	-1	-1
rep1.HPV39	chr10	104609164	104609733	200	0	200	104609164	104609464	-1	104609164
rep1.HPV39	chr11	34573960	34574563	215	215	0	34574228	34574528	34574528	-1
rep1.HPV39	chr11	93979563	93980101	205	205	0	93979805	93980105	93980100	-1
rep1.HPV39	chr11	109215099	109215621	215	0	215	109215099	109215399	-1	109215099
rep1.HPV39	chr12	16971154	16971655	184	184	0	16971354	16971654	16971654	-1
rep1.HPV39	chr12	96173814	96174336	195	195	0	96174035	96174335	96174335	-1
rep1.HPV39	chr12	105290199	105290731	181	181	0	105290431	105290731	105290730	-1
rep1.HPV39	chr13	102723476	102724012	204	204	0	102723711	102724011	102724011	-1
rep1.HPV39	chr13	103616030	103616562	182	182	0	103616262	103616562	103616561	-1
rep1.HPV39	chr14	65999701	66000270	199	0	199	65999701	66000001	-1	65999701
rep1.HPV39	chr14	76151019	76151589	215	0	215	76151019	76151319	-1	76151019
rep1.HPV39	chr14	90309271	90309794	196	196	0	90309493	90309793	90309793	-1
rep1.HPV39	chr15	96042552	96043121	215	0	215	96042552	96042852	-1	96042552
rep1.HPV39	chr15	97412186	97412718	177	177	0	97412418	97412718	97412717	-1
rep1.HPV39	chr16	27620880	27621416	204	0	204	27620880	27621180	-1	27620880
rep1.HPV39	chr17	2349412	2349900	151	151	0	2349599	2349899	-1	-1
rep1.HPV39	chr17	78122256	78122859	215	215	0	78122527	78122827	78122827	-1
rep1.HPV39	chr18	14182853	14183375	140	140	0	14183074	14183374	14183374	-1
rep1.HPV39	chr18	38399301	38399834	172	0	172	38399301	38399601	-1	38399302
rep1.HPV39	chr18	41556098	41556620	215	0	215	41556098	41556398	-1	41556098
rep1.HPV39	chr19	8624243	8624766	194	194	0	8624441	8624741	-1	-1
rep1.HPV39	chr19	20933358	20933894	205	205	0	20933593	20933893	20933893	-1
rep1.HPV39	chr2	92216987	92217084	16	0	16	92216987	92217287	-1	-1
rep1.HPV39	chr2	130742137	130742740	215	215	0	130742405	130742705	130742705	-1
rep1.HPV39	chr20	44855211	44855699	165	165	0	44855398	44855698	-1	-1
rep1.HPV39	chr22	20881954	20882490	204	204	0	20882189	20882489	20882489	-1
rep1.HPV39	chr3	10547421	10547957	204	0	204	10547421	10547721	-1	10547421
rep1.HPV39	chr3	52710723	52711255	182	182	0	52710955	52711255	52711254	-1
rep1.HPV39	chr3	57491304	57491872	200	200	0	57491539	57491839	57491839	-1
rep1.HPV39	chr3	100165707	100166310	215	215	0	100165975	100166275	100166275	-1
rep1.HPV39	chr3	109769376	109769914	204	0	204	109769376	109769676	-1	109769378
rep1.HPV39	chr4	146311154	146311690	204	204	0	146311389	146311689	146311689	-1
rep1.HPV39	chr5	111900317	111900853	204	0	204	111900317	111900617	-1	111900317
rep1.HPV39	chr5	137151062	137151584	210	210	0	137151283	137151583	137151583	-1
rep1.HPV39	chr6	15070169	15070738	179	0	179	15070169	15070469	-1	-1
rep1.HPV39	chr6	69254321	69254764	190	0	190	69254321	69254621	-1	69254322
rep1.HPV39	chr6	87592579	87593085	89	89	0	87592784	87593084	-1	-1
rep1.HPV39	chr6	146521182	146521424	24	0	24	146521182	146521482	-1	-1
rep1.HPV39	chr7	157657833	157658333	183	183	0	157658032	157658332	157658332	-1
rep1.HPV39	chrX	6105137	6105706	196	0	196	6105137	6105437	-1	6105137
rep1.HPV39	chrX	15151826	15152358	182	182	0	15152058	15152358	15152357	-1
rep1.HPV39	chrX	32398905	32399427	211	211	0	32399133	32399433	32399426	-1
rep1.HPV39	chrX	116951156	116951689	182	0	182	116951156	116951456	-1	116951157
rep1.HPV45	chr1	33570665	33571188	196	196	0	33570888	33571188	33571187	-1
rep1.HPV45	chr1	58515126	58515653	199	199	0	58515352	58515652	58515652	-1
rep1.HPV45	chr1	124935725	124935848	23	0	23	124935725	124936025	-1	-1
rep1.HPV45	chr10	37406326	37406853	200	0	200	37406326	37406626	-1	37406326
rep1.HPV45	chr10	86937267	86937794	199	199	0	86937493	86937793	86937793	-1
rep1.HPV45	chr10	98246748	98247275	201	201	0	98246974	98247274	98247274	-1
rep1.HPV45	chr12	3787447	3787828	48	48	0	3787527	3787827	-1	-1
rep1.HPV45	chr12	112022688	112023233	190	0	190	112022688	112022988	-1	112022691
rep1.HPV45	chr12	115747364	115747937	223	0	223	115747364	115747664	-1	115747365
rep1.HPV45	chr13	21484588	21485068	149	149	0	21484767	21485067	-1	-1
rep1.HPV45	chr13	37736716	37737243	134	0	134	37736716	37737016	-1	37736716
rep1.HPV45	chr13	60213506	60214048	194	0	194	60213506	60213806	-1	60213506
rep1.HPV45	chr14	49328077	49328619	195	195	0	49328318	49328618	49328618	-1
rep1.HPV45	chr14	59724980	59725553	223	0	223	59724980	59725280	-1	59724981
rep1.HPV45	chr14	77686486	77687013	121	0	121	77686486	77686786	-1	77686486
rep1.HPV45	chr16	1856935	1857508	223	223	0	1857208	1857508	1857507	-1
rep1.HPV45	chr16	30651528	30652071	196	196	0	30651770	30652070	30652070	-1
rep1.HPV45	chr16	58700230	58700753	186	186	0	58700453	58700753	58700752	-1
rep1.HPV45	chr16	64089055	64089582	199	0	199	64089055	64089355	-1	64089055
rep1.HPV45	chr17	47949113	47949636	217	0	217	47949113	47949413	-1	47949113
rep1.HPV45	chr17	73518699	73519241	195	0	195	73518699	73518999	-1	73518699
rep1.HPV45	chr18	36583424	36583976	180	180	0	36583650	36583950	-1	-1
rep1.HPV45	chr18	58693878	58694423	194	0	194	58693878	58694178	-1	58693881
rep1.HPV45	chr19	15952395	15952937	194	0	194	15952395	15952695	-1	15952395
rep1.HPV45	chr19	35323934	35324476	191	191	0	35324175	35324475	35324475	-1
rep1.HPV45	chr19	50298517	50299066	129	129	0	50298740	50299040	-1	-1
rep1.HPV45	chr2	25098828	25099355	199	199	0	25099054	25099354	25099354	-1
rep1.HPV45	chr2	55672007	55672580	218	0	218	55672007	55672307	-1	55672008
rep1.HPV45	chr2	177230333	177230875	194	0	194	177230333	177230633	-1	177230333
rep1.HPV45	chr2	193991395	193991919	196	0	196	193991395	193991695	-1	193991396
rep1.HPV45	chr20	11208973	11209518	200	0	200	11208973	11209273	-1	11208974
rep1.HPV45	chr21	46273944	46274518	223	0	223	46273944	46274244	-1	46273946
rep1.HPV45	chr22	28550584	28551056	155	155	0	28550755	28551055	-1	-1
rep1.HPV45	chr22	39409420	39409947	199	0	199	39409420	39409720	-1	39409420
rep1.HPV45	chr22	39969890	39970324	169	169	0	39970023	39970323	-1	-1
rep1.HPV45	chr22	43246746	43247273	199	199	0	43246972	43247272	43247272	-1
rep1.HPV45	chr3	53872278	53872802	193	0	193	53872278	53872578	-1	-1
rep1.HPV45	chr3	195027075	195027647	223	223	0	195027348	195027648	195027646	-1
rep1.HPV45	chr4	89692911	89693434	196	196	0	89693134	89693434	89693433	-1
